English Word	Emotion	Emotion-Intensity-Score	Afrikaans Word
outraged	anger	0.964	verontwaardig
brutality	anger	0.959	brutaliteit
hatred	anger	0.953	haat
hateful	anger	0.940	haatlik
terrorize	anger	0.939	terroriseer
violently	anger	0.938	gewelddadig
infuriated	anger	0.938	woedend
furious	anger	0.929	woedend
furiously	anger	0.927	woedend
enraged	anger	0.927	woedend
screwyou	anger	0.924	moer jou
murderer	anger	0.922	moordenaar
fury	anger	0.922	woede
execution	anger	0.917	uitvoering
angered	anger	0.916	kwaad
savagery	anger	0.915	wreedheid
slaughtering	anger	0.914	slagting
veryangry	anger	0.913	baie kwaad
assassinate	anger	0.912	vermoor
annihilation	anger	0.912	uitwissing
fuckoff	anger	0.912	fokof
rage	anger	0.911	woede
loathe	anger	0.909	verafsku
fucktard	anger	0.906	fokkend
roadrage	anger	0.906	padwoede
damnation	anger	0.906	verdoemenis
homicidal	anger	0.906	moorddadig
furor	anger	0.900	woede
hostile	anger	0.898	vyandiggesind
annihilate	anger	0.898	vernietig
murder	anger	0.897	moord
raging	anger	0.896	woed
sopissed	anger	0.894	gesukkel
infuriates	anger	0.894	woedend
pissed	anger	0.894	vies
rape	anger	0.894	verkragting
ferocious	anger	0.894	woeste
vengeful	anger	0.894	wraaksugtig
obliterated	anger	0.894	uitgewis
explosive	anger	0.894	plofstof
killing	anger	0.893	doodmaak
combative	anger	0.891	veglustig
vengeance	anger	0.886	wraak
gofuckyourself	anger	0.886	fok jouself
torment	anger	0.885	pyniging
wrath	anger	0.885	toorn
vicious	anger	0.884	boosaardig
massacre	anger	0.882	bloedbad
threatening	anger	0.882	dreigend
abhorrent	anger	0.875	afskuwelik
bloodthirsty	anger	0.875	bloeddorstig
pissoff	anger	0.875	Gaan weg
fighting	anger	0.868	baklei
attacking	anger	0.865	aanval
annihilated	anger	0.865	tot niet gemaak
angriest	anger	0.864	kwaadste
bloodshed	anger	0.864	bloedvergieting
smite	anger	0.862	slaan
brawl	anger	0.861	baklei
malicious	anger	0.859	kwaadwillig
assassination	anger	0.859	sluipmoord
strangle	anger	0.859	wurg
hostility	anger	0.859	vyandigheid
assault	anger	0.859	aanranding
explode	anger	0.859	ontplof
tirade	anger	0.859	tirade
loathsome	anger	0.857	afskuwelik
hell	anger	0.853	hel
murderous	anger	0.853	moorddadig
attack	anger	0.853	aanval
malice	anger	0.852	kwaadwilligheid
terrorism	anger	0.851	terrorisme
beating	anger	0.849	slaan
outrage	anger	0.848	verontwaardiging
desecration	anger	0.848	ontheiliging
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	vernietig
slaughter	anger	0.844	slagting
irate	anger	0.844	woedend
violent	anger	0.844	gewelddadig
stab	anger	0.844	steek
abomination	anger	0.844	gruwel
tumultuous	anger	0.844	onstuimig
infuriate	anger	0.844	woedend
obliterate	anger	0.843	uitwis
belligerent	anger	0.841	strydlustig
