English Word	Emotion	Emotion-Intensity-Score	Azerbaijani Word
outraged	anger	0.964	qəzəbləndi
brutality	anger	0.959	vəhşilik
hatred	anger	0.953	nifrət
hateful	anger	0.940	nifrət dolu
terrorize	anger	0.939	terror etmək
violently	anger	0.938	şiddətlə
infuriated	anger	0.938	hirsləndi
furious	anger	0.929	qəzəbli
furiously	anger	0.927	hiddətlə
enraged	anger	0.927	qəzəbləndi
screwyou	anger	0.924	lanet olsun
murderer	anger	0.922	qatil
fury	anger	0.922	qəzəb
execution	anger	0.917	icra
angered	anger	0.916	qəzəbləndi
savagery	anger	0.915	vəhşilik
slaughtering	anger	0.914	kəsim
veryangry	anger	0.913	çox ac
assassinate	anger	0.912	sui-qəsd etmək
annihilation	anger	0.912	məhv edilməsi
fuckoff	anger	0.912	sikmek
rage	anger	0.911	qəzəb
loathe	anger	0.909	nifrət etmək
fucktard	anger	0.906	axmaq
roadrage	anger	0.906	yol qəzəbi
damnation	anger	0.906	lənət
homicidal	anger	0.906	öldürücü
furor	anger	0.900	qəzəb
hostile	anger	0.898	düşmən
annihilate	anger	0.898	məhv etmək
murder	anger	0.897	qətl
raging	anger	0.896	qəzəbli
sopissed	anger	0.894	əsəbiləşdi
infuriates	anger	0.894	hiddətləndirir
pissed	anger	0.894	əsəbiləşdi
rape	anger	0.894	zorlama
ferocious	anger	0.894	vəhşi
vengeful	anger	0.894	intiqamçı
obliterated	anger	0.894	silindi
explosive	anger	0.894	partlayıcı
killing	anger	0.893	öldürmək
combative	anger	0.891	döyüşkən
vengeance	anger	0.886	intiqam
gofuckyourself	anger	0.886	sikdirin ozunuzu
torment	anger	0.885	əzab
wrath	anger	0.885	qəzəb
vicious	anger	0.884	qəddar
massacre	anger	0.882	qırğın
threatening	anger	0.882	təhdid edən
abhorrent	anger	0.875	iyrənc
bloodthirsty	anger	0.875	qaniçən
pissoff	anger	0.875	əsəbiləşmək
fighting	anger	0.868	döyüşmək
attacking	anger	0.865	hücum edir
annihilated	anger	0.865	məhv edilmişdir
angriest	anger	0.864	ən qəzəbli
bloodshed	anger	0.864	qan tökülməsi
smite	anger	0.862	vurmaq
brawl	anger	0.861	dava
malicious	anger	0.859	pis niyyətli
assassination	anger	0.859	sui-qəsd
strangle	anger	0.859	boğmaq
hostility	anger	0.859	düşmənçilik
assault	anger	0.859	basqın
explode	anger	0.859	partlatmaq
tirade	anger	0.859	tirad
loathsome	anger	0.857	iyrənc
hell	anger	0.853	cəhənnəm
murderous	anger	0.853	qatil
attack	anger	0.853	hücum
malice	anger	0.852	pislik
terrorism	anger	0.851	terrorizm
beating	anger	0.849	döymək
outrage	anger	0.848	qəzəb
desecration	anger	0.848	təhqir
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	məhv edir
slaughter	anger	0.844	qırğın
irate	anger	0.844	hirslənmək
violent	anger	0.844	şiddətli
stab	anger	0.844	bıçaqlamaq
abomination	anger	0.844	iyrənclik
tumultuous	anger	0.844	gurultulu
infuriate	anger	0.844	qəzəbləndirmək
obliterate	anger	0.843	məhv etmək
belligerent	anger	0.841	döyüşkən
dumbbitch	anger	0.841	axmaq
detest	anger	0.838	nifrət
hostilities	anger	0.837	hərbi əməliyyatlar
prick	anger	0.835	bizləmək
rampage	anger	0.833	coşmaq
horrid	anger	0.833	dəhşətli
cruelty	anger	0.833	qəddarlıq
torture	anger	0.833	işgəncə
rabid	anger	0.833	quduz
despicable	anger	0.828	alçaq
tyrannical	anger	0.828	tiran
demonic	anger	0.828	şeytan
satanic	anger	0.828	şeytani
hate	anger	0.828	nifrət
ragemode	anger	0.828	qəzəbli rejim
hating	anger	0.828	nifrət
ruinous	anger	0.825	xaraba
condemn	anger	0.825	qınamaq
riots	anger	0.824	iğtişaşlar
demolish	anger	0.824	sökmək
angry	anger	0.824	qəzəbli
extermination	anger	0.824	məhv edilməsi
dickhead	anger	0.824	dickhead
livid	anger	0.821	cansıxıcı
madman	anger	0.820	dəli
vindictive	anger	0.819	qisasçı
terrorist	anger	0.818	terrorçu
threaten	anger	0.818	hədələmək
venomous	anger	0.818	zəhərli
hateyou	anger	0.818	sənə nifrət edirəm
ferocity	anger	0.818	vəhşilik
effyou	anger	0.818	effyou
abhor	anger	0.816	nifrət etmək
carnage	anger	0.814	qırğın
savage	anger	0.814	vəhşi
atrocity	anger	0.814	vəhşilik
fucksake	anger	0.812	sikik
abuse	anger	0.812	sui-istifadə
fierce	anger	0.812	şiddətli
destroyer	anger	0.812	məhv edən
angrytweet	anger	0.812	angrytweet
barbaric	anger	0.812	barbar
vendetta	anger	0.812	vendetta
pissesmeoff	anger	0.812	əsəbiləşir
pissedoff	anger	0.812	təngə gəlmək
tyrant	anger	0.812	tiran
berserk	anger	0.812	dəli
fuming	anger	0.812	dumanlı
anger	anger	0.811	qəzəb
pieceofshit	anger	0.810	bok parçası
punched	anger	0.803	yumruqladı
punching	anger	0.803	yumruqlama
slam	anger	0.803	çırpmaq
homicide	anger	0.803	cinayət
bitch	anger	0.803	qancıq
fights	anger	0.803	döyüşür
ruthless	anger	0.797	amansız
villainous	anger	0.797	əclaf
destructive	anger	0.797	dağıdıcı
slap	anger	0.791	sillə
riot	anger	0.788	iğtişaş
growthefuckup	anger	0.788	böyümək
punishing	anger	0.788	cəzalandırmaq
slaughterhouse	anger	0.788	kəsimxana
yelling	anger	0.788	qışqırmaq
diabolical	anger	0.788	şeytani
destroyed	anger	0.788	məhv edildi
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	qisasçı
manslaughter	anger	0.783	adam öldürmə
clash	anger	0.783	toqquşma
quarrel	anger	0.781	dava
bloody	anger	0.781	qanlı
hellish	anger	0.781	cəhənnəm
sinister	anger	0.781	pis
loath	anger	0.781	nifrət
detonation	anger	0.781	partlama
accusing	anger	0.779	ittiham edir
fumin	anger	0.779	fumin
hateeee	anger	0.779	nifrət
treacherous	anger	0.779	xain
madder	anger	0.773	daha dəli
horrific	anger	0.773	dəhşətli
revulsion	anger	0.773	nifrət
retaliate	anger	0.773	qisas almaq
scorn	anger	0.769	istehza
bomb	anger	0.766	bomba
deplorable	anger	0.766	acınacaqlı
devastation	anger	0.765	dağıntı
anarchist	anger	0.765	anarxist
firestorm	anger	0.765	odlu tufan
resent	anger	0.765	küsmək
contemptible	anger	0.764	alçaldıcı
shittest	anger	0.760	ən pis
rant	anger	0.758	qışqırmaq
cruel	anger	0.758	qəddar
deadly	anger	0.758	ölümcül
smash	anger	0.758	əzmək
soangry	anger	0.758	çox əsəbi
outburst	anger	0.757	partlayış
snarl	anger	0.754	qışqırmaq
profane	anger	0.750	murdar
revolting	anger	0.750	üsyankar
aggravating	anger	0.750	ağırlaşdıran
horror	anger	0.750	dəhşət
despise	anger	0.750	xorlamaq
offend	anger	0.750	incitmək
stfu	anger	0.750	stfu
vulgarity	anger	0.750	vulqarlıq
crazed	anger	0.750	dəli
douchebags	anger	0.750	alçaqlar
growling	anger	0.750	hırıltı
dontmesswithme	anger	0.750	mənimlə əlaqə saxlamayın
screaming	anger	0.742	qışqıraraq
threat	anger	0.742	təhlükə
erupt	anger	0.742	püskürmək
horrible	anger	0.742	dəhşətli
molestation	anger	0.742	təcavüz
fuckedoff	anger	0.742	sikilmiş
violence	anger	0.742	zorakılıq
bastards	anger	0.741	əclaflar
revenge	anger	0.738	intiqam
menacing	anger	0.735	hədələyici
crushing	anger	0.735	sarsıdıcı
damn	anger	0.735	lənət
catastrophe	anger	0.735	fəlakət
demon	anger	0.735	Şeytan
argue	anger	0.734	mübahisə etmək
persecute	anger	0.734	təqib etmək
deplore	anger	0.734	təəssüflənmək
flog	anger	0.734	şallaq
fedup	anger	0.734	bezmək
riotous	anger	0.734	üsyankar
vehement	anger	0.734	şiddətli
revolt	anger	0.734	üsyan
warfare	anger	0.734	müharibə
thrash	anger	0.734	döymək
altercation	anger	0.729	mübahisə
warlike	anger	0.728	döyüşkən
shitday	anger	0.727	pis gün
mutiny	anger	0.727	qiyam
castrate	anger	0.727	kastrat etmək
sabotage	anger	0.727	təxribat
malevolent	anger	0.721	bədxah
strike	anger	0.721	zərbə
disaster	anger	0.721	fəlakət
disastrous	anger	0.720	fəlakətli
bastarding	anger	0.719	alçaqlıq
treachery	anger	0.719	xəyanət
arseholes	anger	0.719	arseholes
horseshit	anger	0.719	atlı
slay	anger	0.719	öldürmək
disdain	anger	0.719	nifrət etmək
aggravates	anger	0.719	ağırlaşdırır
brutal	anger	0.719	qəddar
scorching	anger	0.719	yandırıcı
devil	anger	0.719	şeytan
madden	anger	0.719	dəli
spiteful	anger	0.719	kinli
scream	anger	0.719	qışqırmaq
choke	anger	0.719	boğmaq
vermin	anger	0.719	həşərat
tumult	anger	0.719	təlatüm
criminal	anger	0.714	cinayətkar
mangle	anger	0.714	manqurt
anarchism	anger	0.714	anarxizm
mutilation	anger	0.714	şikəstlik
denunciation	anger	0.713	danonsasiya
punch	anger	0.713	yumruq
virulence	anger	0.712	virulentlik
fatal	anger	0.712	ölümcül
hurting	anger	0.712	incidir
crucifixion	anger	0.712	çarmıxa çəkilmə
dontlikeyou	anger	0.712	sevmirem
blasphemous	anger	0.712	küfr edən
holocaust	anger	0.712	holokost
dumbasses	anger	0.712	axmaqlar
battled	anger	0.712	döyüşdü
deranged	anger	0.706	pozulmuş
irritated	anger	0.706	qıcıqlanır
atrocious	anger	0.706	vəhşi
evil	anger	0.706	pis
aggravated	anger	0.703	ağırlaşmışdır
intimidation	anger	0.703	qorxutma
dicks	anger	0.703	siklər
assassin	anger	0.703	qatil
scolding	anger	0.703	danlamaq
persecution	anger	0.703	təqib
slayer	anger	0.703	qatil
kidnap	anger	0.703	qaçırmaq
aggression	anger	0.702	aqressiya
armed	anger	0.700	silahlı
battle	anger	0.697	döyüş
poison	anger	0.697	zəhər
snarling	anger	0.697	hırıltı
venom	anger	0.697	zəhər
disgruntled	anger	0.693	narazı
resentment	anger	0.691	inciklik
assailant	anger	0.691	basqınçı
insidious	anger	0.691	məkrli
contemptuous	anger	0.690	nifrət edən
lynch	anger	0.690	linç
temper	anger	0.688	xasiyyət
terrible	anger	0.688	dəhşətli
disparage	anger	0.688	aşağılamaq
lunatic	anger	0.688	dəli
bully	anger	0.688	zorakılıq
mad	anger	0.688	dəli
makesmemad	anger	0.688	etdi
infanticide	anger	0.688	körpə qətli
domination	anger	0.688	hökmranlıq
peeved	anger	0.688	əsəbləşdi
imprisonment	anger	0.688	həbs
curse	anger	0.688	lənət
volatility	anger	0.687	dəyişkənlik
eradication	anger	0.685	aradan qaldırılması
eradicate	anger	0.682	kökünü kəsmək
tantrum	anger	0.682	qəzəblənmə
scoundrel	anger	0.682	əclaf
devastate	anger	0.682	viran etmək
aggressively	anger	0.680	aqressiv şəkildə
agitation	anger	0.680	təşviqat
dictatorship	anger	0.676	diktatura
irritates	anger	0.676	qıcıqlandırır
profanity	anger	0.673	söyüş
shove	anger	0.672	itələmək
nasty	anger	0.672	pis
shot	anger	0.672	vuruldu
cruelly	anger	0.672	qəddarcasına
shoot	anger	0.672	vur
condemnation	anger	0.672	qınama
crushed	anger	0.672	əzik
aggravation	anger	0.672	ağırlaşma
poisonous	anger	0.672	zəhərli
egregious	anger	0.672	dəhşətli
crime	anger	0.672	cinayət
corrupting	anger	0.672	korlayan
dastardly	anger	0.672	qorxaqcasına
contempt	anger	0.672	hörmətsizlik
harmful	anger	0.672	zərərli
expletive	anger	0.672	təhqiredici
wreak	anger	0.672	qırmaq
maniac	anger	0.670	manyak
cutthroat	anger	0.667	boğaz
enemy	anger	0.667	düşmən
hit	anger	0.667	vurmaq
hateeveryone	anger	0.667	hamıya nifrət
eruption	anger	0.667	püskürmə
irritable	anger	0.667	əsəbi
odious	anger	0.667	iyrənc
shooting	anger	0.667	çəkiliş
shout	anger	0.667	qışqır
aggressive	anger	0.667	aqressiv
kick	anger	0.667	təpik
combat	anger	0.667	döyüş
fight	anger	0.667	döyüş
punished	anger	0.662	cəzalandırıldı
yell	anger	0.661	qışqır
ambush	anger	0.661	pusquya düşmək
harass	anger	0.659	bezdirmək
malignant	anger	0.656	bədxassəli
aggressor	anger	0.656	təcavüzkar
gore	anger	0.656	qan
destruction	anger	0.656	məhv
grudge	anger	0.656	kin
antichrist	anger	0.656	dəccal
incense	anger	0.656	buxur
expel	anger	0.656	qovmaq
cranky	anger	0.653	huysuz
slave	anger	0.652	qul
reprisal	anger	0.652	repressiya
growl	anger	0.652	hönkürmək
animosity	anger	0.652	düşmənçilik
insurrection	anger	0.652	üsyan
clashing	anger	0.652	toqquşma
denounce	anger	0.652	qınamaq
offended	anger	0.652	incidi
spank	anger	0.652	şılpaqlamaq
insulting	anger	0.652	təhqir edən
growls	anger	0.649	hırıldayır
executioner	anger	0.644	cəllad
twat	anger	0.644	twat
doomsday	anger	0.643	qiyamət
obscenity	anger	0.641	ədəbsizlik
accused	anger	0.641	ittiham olunur
feud	anger	0.641	dava
daemon	anger	0.641	demon
havoc	anger	0.641	xarab
shackle	anger	0.641	qandal
inexcusable	anger	0.641	bağışlanmaz
indignant	anger	0.641	qəzəbli
grr	anger	0.641	grr
expulsion	anger	0.641	qovulma
bombard	anger	0.641	bombardman etmək
spat	anger	0.641	tüpürmək
arson	anger	0.641	yandırma
reprimand	anger	0.641	töhmət
somad	anger	0.637	Çox əsəbi
frustrated	anger	0.636	incidir
batter	anger	0.636	xəmir
kicking	anger	0.636	təpikləmək
anarchy	anger	0.636	anarxiya
spanking	anger	0.636	şillələmək
glaring	anger	0.636	parıldayan
suicidal	anger	0.636	intihara meylli
disgusting	anger	0.636	iyrənc
wound	anger	0.636	yara
hanging	anger	0.636	asmaq
poisoned	anger	0.636	zəhərləndi
combatant	anger	0.636	döyüşçü
wrecked	anger	0.633	dağılmış
inflict	anger	0.633	vurmaq
grievous	anger	0.632	acınacaqlı
prosecute	anger	0.630	mühakimə etmək
agitated	anger	0.630	həyəcanlı
cheat	anger	0.630	aldatmaq
swastika	anger	0.627	svastika
injure	anger	0.625	yaralamaq
indict	anger	0.625	ittiham
scourge	anger	0.625	bəla
provocation	anger	0.625	təxribat
suffocation	anger	0.625	boğulma
strife	anger	0.625	çəkişmə
raid	anger	0.625	basqın
enslaved	anger	0.625	əsarət altına alındı
cursing	anger	0.625	qarğış
defamatory	anger	0.625	böhtan xarakterli
harassing	anger	0.625	təqib edən
thundering	anger	0.625	ildırım
betray	anger	0.625	xəyanət etmək
arsehole	anger	0.624	arsehole
theft	anger	0.621	oğurluq
insane	anger	0.621	dəli
retaliation	anger	0.621	qisas
irritate	anger	0.621	qıcıqlandırmaq
deprivation	anger	0.621	məhrumiyyət
fiend	anger	0.621	şeytan
jerk	anger	0.621	qaxac
convict	anger	0.621	məhkum
cussed	anger	0.619	söyüş söydü
turmoil	anger	0.618	qarışıqlıq
smack	anger	0.615	çırpmaq
retribution	anger	0.614	qisas
rebellion	anger	0.609	üsyan
oppressor	anger	0.609	zalım
gang	anger	0.609	Banda
slavery	anger	0.609	köləlik
intolerable	anger	0.609	dözülməz
adverse	anger	0.609	mənfi
injurious	anger	0.609	zədəli
twats	anger	0.609	twats
collision	anger	0.609	toqquşma
battery	anger	0.609	batareya
bitterly	anger	0.609	acı
antagonism	anger	0.609	antaqonizm
irritability	anger	0.609	qıcıqlanma
disgraced	anger	0.608	rüsvay oldu
diatribe	anger	0.606	diatribe
asshole	anger	0.606	göt
blast	anger	0.606	partlayış
bombardment	anger	0.606	bombardman
irks	anger	0.606	əsəbiləşir
ranting	anger	0.606	qışqırıq
revolution	anger	0.606	inqilab
thug	anger	0.606	quldur
antagonistic	anger	0.606	antaqonist
irritating	anger	0.606	acışdırıcı
sickening	anger	0.606	xəstələndirici
discrimination	anger	0.606	ayrı-seçkilik
frustrate	anger	0.604	məyus etmək
insult	anger	0.603	təhqir etmək
hurtful	anger	0.603	incidir
oppression	anger	0.603	zülm
manipulation	anger	0.603	manipulyasiya
tiredofit	anger	0.603	yorğunluq
bigot	anger	0.603	fanat
tension	anger	0.603	gərginlik
disgust	anger	0.602	ikrah
spite	anger	0.600	kin
intrusive	anger	0.598	müdaxilə
harshness	anger	0.597	sərtlik
slur	anger	0.596	qaralama
tempest	anger	0.594	tufan
assail	anger	0.594	hücum
bitterness	anger	0.594	acılıq
morbidity	anger	0.594	xəstələnmə
casualty	anger	0.594	qurban
puncture	anger	0.594	ponksiyon
miserable	anger	0.594	bədbəxt
inferno	anger	0.594	cəhənnəm
invasion	anger	0.594	işğal
storming	anger	0.594	fırtına
wretch	anger	0.594	yazıq
consternation	anger	0.592	çaşqınlıq
raving	anger	0.591	çılğın
forcibly	anger	0.591	zorla
guillotine	anger	0.591	gilyotin
guilty	anger	0.591	günahkar
