English Word	Emotion	Emotion-Intensity-Score	Basque Word
outraged	anger	0.964	haserretu
brutality	anger	0.959	basakeria
hatred	anger	0.953	gorrotoa
hateful	anger	0.940	gorrotagarria
terrorize	anger	0.939	izutu
violently	anger	0.938	bortizki
infuriated	anger	0.938	suminduta
furious	anger	0.929	haserre
furiously	anger	0.927	amorruz
enraged	anger	0.927	amorratuta
screwyou	anger	0.924	izorratuzu
murderer	anger	0.922	hiltzaile
fury	anger	0.922	amorrua
execution	anger	0.917	exekuzioa
angered	anger	0.916	haserretu
savagery	anger	0.915	basakeria
slaughtering	anger	0.914	sarraskia
veryangry	anger	0.913	oso haserre
assassinate	anger	0.912	hil
annihilation	anger	0.912	suntsipena
fuckoff	anger	0.912	izorratu
rage	anger	0.911	amorrua
loathe	anger	0.909	gaitzetsi
fucktard	anger	0.906	putzua
roadrage	anger	0.906	bidegorria
damnation	anger	0.906	gaitzespena
homicidal	anger	0.906	hiltzailea
furor	anger	0.900	haserrea
hostile	anger	0.898	etsai
annihilate	anger	0.898	deuseztatu
murder	anger	0.897	hilketa
raging	anger	0.896	amorruz
sopissed	anger	0.894	sopatu
infuriates	anger	0.894	haserretzen du
pissed	anger	0.894	haserretu
rape	anger	0.894	bortxaketa
ferocious	anger	0.894	ferotza
vengeful	anger	0.894	mendekua
obliterated	anger	0.894	ezabatu
explosive	anger	0.894	lehergailua
killing	anger	0.893	hiltzea
combative	anger	0.891	borrokalaria
vengeance	anger	0.886	mendeku
gofuckyourself	anger	0.886	gofucky Yourself
torment	anger	0.885	oinazea
wrath	anger	0.885	haserrea
vicious	anger	0.884	zital
massacre	anger	0.882	sarraskia
threatening	anger	0.882	mehatxatzen
abhorrent	anger	0.875	higuingarria
bloodthirsty	anger	0.875	odolzalea
pissoff	anger	0.875	pixa
fighting	anger	0.868	borrokan
attacking	anger	0.865	erasotzen
annihilated	anger	0.865	deuseztatu
angriest	anger	0.864	haserretuena
bloodshed	anger	0.864	odol isurketa
smite	anger	0.862	zartatu
brawl	anger	0.861	liskarra
malicious	anger	0.859	gaiztoa
assassination	anger	0.859	hilketa
strangle	anger	0.859	itotzea
hostility	anger	0.859	etsaitasuna
assault	anger	0.859	eraso
explode	anger	0.859	lehertu
tirade	anger	0.859	tirada
loathsome	anger	0.857	higuingarria
hell	anger	0.853	infernua
murderous	anger	0.853	hiltzailea
attack	anger	0.853	erasoa
malice	anger	0.852	maltzurkeria
terrorism	anger	0.851	terrorismoa
beating	anger	0.849	jipoitzen
outrage	anger	0.848	haserrea
desecration	anger	0.848	profanazioa
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	suntsitzen
slaughter	anger	0.844	sarraskia
irate	anger	0.844	haserretu
violent	anger	0.844	bortitza
stab	anger	0.844	labankada
abomination	anger	0.844	higuingarria
tumultuous	anger	0.844	nahasia
infuriate	anger	0.844	haserretu
obliterate	anger	0.843	ezabatu
belligerent	anger	0.841	beligerante
dumbbitch	anger	0.841	tontoa
detest	anger	0.838	gaitzetsi
hostilities	anger	0.837	etsaiak
prick	anger	0.835	pikatu
rampage	anger	0.833	sarraskia
horrid	anger	0.833	izugarria
cruelty	anger	0.833	krudelkeria
torture	anger	0.833	tortura
rabid	anger	0.833	amorratua
despicable	anger	0.828	arbuiagarria
tyrannical	anger	0.828	tiranikoa
demonic	anger	0.828	deabruzkoa
satanic	anger	0.828	satanikoa
hate	anger	0.828	gorrotoa
ragemode	anger	0.828	amorru modua
hating	anger	0.828	gorrotatuz
ruinous	anger	0.825	hondagarria
condemn	anger	0.825	gaitzetsi
riots	anger	0.824	istiluak
demolish	anger	0.824	eraitsi
angry	anger	0.824	haserre
extermination	anger	0.824	sarraskia
dickhead	anger	0.824	putzuburua
livid	anger	0.821	lizun
madman	anger	0.820	eroa
vindictive	anger	0.819	mendekua
terrorist	anger	0.818	terrorista
threaten	anger	0.818	mehatxatu
venomous	anger	0.818	pozoitsua
hateyou	anger	0.818	gorroto zaitut
ferocity	anger	0.818	gogorkeria
effyou	anger	0.818	effyou
abhor	anger	0.816	gaitzetsi
carnage	anger	0.814	sarraskia
savage	anger	0.814	basatia
atrocity	anger	0.814	ankerkeria
fucksake	anger	0.812	putzua
abuse	anger	0.812	tratu txarrak
fierce	anger	0.812	gogorra
destroyer	anger	0.812	suntsitzailea
angrytweet	anger	0.812	haserre txio
barbaric	anger	0.812	barbaroa
vendetta	anger	0.812	vendetta
pissesmeoff	anger	0.812	haserretu
pissedoff	anger	0.812	nazkatuta
tyrant	anger	0.812	tiranoa
berserk	anger	0.812	txoroa
fuming	anger	0.812	ketsu
anger	anger	0.811	haserrea
pieceofshit	anger	0.810	kaka puska
punched	anger	0.803	zulatu
punching	anger	0.803	ukabilkada
slam	anger	0.803	slam
homicide	anger	0.803	hilketa
bitch	anger	0.803	puta
fights	anger	0.803	borrokak
ruthless	anger	0.797	gupidagabea
villainous	anger	0.797	gaiztoa
destructive	anger	0.797	suntsitzailea
slap	anger	0.791	zaplazteko
riot	anger	0.788	matxinada
growthefuckup	anger	0.788	hazkundeefuckup
punishing	anger	0.788	zigortzen
slaughterhouse	anger	0.788	hiltegia
yelling	anger	0.788	oihuka
diabolical	anger	0.788	diabolikoa
destroyed	anger	0.788	suntsitu
ragetweet	anger	0.788	amorrua
retaliatory	anger	0.788	mendekua
manslaughter	anger	0.783	hilketa
clash	anger	0.783	talka
quarrel	anger	0.781	liskarra
bloody	anger	0.781	odoltsua
hellish	anger	0.781	infernua
sinister	anger	0.781	maltzurra
loath	anger	0.781	nazka
detonation	anger	0.781	detonazioa
accusing	anger	0.779	salatzen
fumin	anger	0.779	fumin
hateeee	anger	0.779	gorrotoeee
treacherous	anger	0.779	traidore
madder	anger	0.773	eroa
horrific	anger	0.773	izugarria
revulsion	anger	0.773	errefusa
retaliate	anger	0.773	mendekua
scorn	anger	0.769	mespretxu
bomb	anger	0.766	bonba
deplorable	anger	0.766	tamalgarria
devastation	anger	0.765	hondamendia
anarchist	anger	0.765	anarkista
firestorm	anger	0.765	su-ekaitza
resent	anger	0.765	haserretu
contemptible	anger	0.764	mespretxagarria
shittest	anger	0.760	kakatsuena
rant	anger	0.758	garrasi
cruel	anger	0.758	krudela
deadly	anger	0.758	hilgarria
smash	anger	0.758	apurtu
soangry	anger	0.758	haserretu
outburst	anger	0.757	leherketa
snarl	anger	0.754	irrintzi
profane	anger	0.750	profano
revolting	anger	0.750	matxinada
aggravating	anger	0.750	larrigarri
horror	anger	0.750	izua
despise	anger	0.750	mespretxatu
offend	anger	0.750	mindu
stfu	anger	0.750	stfu
vulgarity	anger	0.750	zakarkeria
crazed	anger	0.750	zoratua
douchebags	anger	0.750	txorroak
growling	anger	0.750	burrunbaka
dontmesswithme	anger	0.750	ez nahastu nirekin
screaming	anger	0.742	garrasika
threat	anger	0.742	mehatxua
erupt	anger	0.742	lehertu
horrible	anger	0.742	izugarria
molestation	anger	0.742	molestia
fuckedoff	anger	0.742	izorratua
violence	anger	0.742	indarkeria
bastards	anger	0.741	sasikumeak
revenge	anger	0.738	mendekua
menacing	anger	0.735	mehatxagarria
crushing	anger	0.735	birrintzea
damn	anger	0.735	madarikatua
catastrophe	anger	0.735	hondamendia
demon	anger	0.735	Deabru
argue	anger	0.734	argudiatu
persecute	anger	0.734	jazarri
deplore	anger	0.734	deitoratu
flog	anger	0.734	azotea
fedup	anger	0.734	Elikatu
riotous	anger	0.734	matxinada
vehement	anger	0.734	sutsu
revolt	anger	0.734	matxinada
warfare	anger	0.734	gerra
thrash	anger	0.734	sarraski
altercation	anger	0.729	liskarra
warlike	anger	0.728	gerrazalea
shitday	anger	0.727	kaka
mutiny	anger	0.727	matxinada
castrate	anger	0.727	kastratu
sabotage	anger	0.727	sabotajea
malevolent	anger	0.721	gaiztoa
strike	anger	0.721	greba
disaster	anger	0.721	hondamendia
disastrous	anger	0.720	negargarria
bastarding	anger	0.719	bastardoa
