English Word	Emotion	Emotion-Intensity-Score	Belarusian Word
outraged	anger	0.964	абураны
brutality	anger	0.959	жорсткасць
hatred	anger	0.953	нянавісць
hateful	anger	0.940	ненавісны
terrorize	anger	0.939	тэрарызаваць
violently	anger	0.938	гвалтоўна
infuriated	anger	0.938	раз'юшаны
furious	anger	0.929	люты
furiously	anger	0.927	люта
enraged	anger	0.927	раз'юшаны
screwyou	anger	0.924	ідзі ты
murderer	anger	0.922	забойца
fury	anger	0.922	лютасць
execution	anger	0.917	выкананне
angered	anger	0.916	раззлаваны
savagery	anger	0.915	дзікунства
slaughtering	anger	0.914	забойства
veryangry	anger	0.913	вельмі злы
assassinate	anger	0.912	забіць
annihilation	anger	0.912	анігіляцыя
fuckoff	anger	0.912	хрэн
rage	anger	0.911	лютасць
loathe	anger	0.909	ненавідзець
fucktard	anger	0.906	хрэн
roadrage	anger	0.906	дарожнае шаленства
damnation	anger	0.906	пракляцце
homicidal	anger	0.906	забойчы
furor	anger	0.900	фурор
hostile	anger	0.898	варожы
annihilate	anger	0.898	знішчыць
murder	anger	0.897	забойства
raging	anger	0.896	бушуе
sopissed	anger	0.894	сапсаваны
infuriates	anger	0.894	абурае
pissed	anger	0.894	раззлаваны
rape	anger	0.894	згвалтаванне
ferocious	anger	0.894	люты
vengeful	anger	0.894	помслівы
obliterated	anger	0.894	сцёрты
explosive	anger	0.894	выбуховае рэчыва
killing	anger	0.893	забойства
combative	anger	0.891	баявы
vengeance	anger	0.886	помста
gofuckyourself	anger	0.886	ебаць сябе
torment	anger	0.885	мучыць
wrath	anger	0.885	гнеў
vicious	anger	0.884	заганны
massacre	anger	0.882	разня
threatening	anger	0.882	пагрозлівы
abhorrent	anger	0.875	агідны
bloodthirsty	anger	0.875	крыважэрны
pissoff	anger	0.875	злы
fighting	anger	0.868	баявыя дзеянні
attacking	anger	0.865	атакуючы
annihilated	anger	0.865	знішчаны
angriest	anger	0.864	самы злы
bloodshed	anger	0.864	кровапраліцце
smite	anger	0.862	пабіць
brawl	anger	0.861	бойка
malicious	anger	0.859	шкоднасныя
assassination	anger	0.859	забойства
strangle	anger	0.859	задушыць
hostility	anger	0.859	варожасць
assault	anger	0.859	штурм
explode	anger	0.859	выбухнуць
tirade	anger	0.859	тырада
loathsome	anger	0.857	агідны
hell	anger	0.853	пекла
murderous	anger	0.853	забойчы
attack	anger	0.853	атака
malice	anger	0.852	злосць
terrorism	anger	0.851	тэрарызм
beating	anger	0.849	біццё
outrage	anger	0.848	абурэнне
desecration	anger	0.848	апаганьванне
pissingmeoff	anger	0.848	пісацца
destroying	anger	0.844	знішчаючы
slaughter	anger	0.844	забой
irate	anger	0.844	раз'юшаны
violent	anger	0.844	гвалтоўны
stab	anger	0.844	нажом
abomination	anger	0.844	агіднасць
tumultuous	anger	0.844	бурлівы
infuriate	anger	0.844	раз'юшыць
obliterate	anger	0.843	сцерці
belligerent	anger	0.841	ваяўнічы
dumbbitch	anger	0.841	тупая
detest	anger	0.838	ненавідзець
hostilities	anger	0.837	ваенных дзеянняў
prick	anger	0.835	калоць
rampage	anger	0.833	шаленства
horrid	anger	0.833	жахлівы
cruelty	anger	0.833	жорсткасць
torture	anger	0.833	катаванні
rabid	anger	0.833	шалёны
despicable	anger	0.828	подлы
tyrannical	anger	0.828	тыранічны
demonic	anger	0.828	дэманічны
satanic	anger	0.828	сатанінскі
hate	anger	0.828	нянавісць
ragemode	anger	0.828	рэжым лютасьці
hating	anger	0.828	ненавідзячы
ruinous	anger	0.825	разбуральны
condemn	anger	0.825	асуджаць
riots	anger	0.824	беспарадкі
demolish	anger	0.824	знесці
angry	anger	0.824	злы
extermination	anger	0.824	вынішчэнне
dickhead	anger	0.824	дурань
livid	anger	0.821	лідавы
madman	anger	0.820	вар'ят
vindictive	anger	0.819	помслівы
terrorist	anger	0.818	тэрарыст
threaten	anger	0.818	пагражаць
venomous	anger	0.818	атрутныя
hateyou	anger	0.818	ненавіджу цябе
ferocity	anger	0.818	лютасць
effyou	anger	0.818	effyou
abhor	anger	0.816	гідзіцца
carnage	anger	0.814	разня
savage	anger	0.814	дзікун
atrocity	anger	0.814	зверства
fucksake	anger	0.812	ебана
abuse	anger	0.812	злоўжыванне
