English Word	Emotion	Emotion-Intensity-Score	Bosnian Word
outraged	anger	0.964	ogorčen
brutality	anger	0.959	brutalnost
hatred	anger	0.953	mržnja
hateful	anger	0.940	mrski
terrorize	anger	0.939	terorisati
violently	anger	0.938	nasilno
infuriated	anger	0.938	razbjesnio
furious	anger	0.929	bijesan
furiously	anger	0.927	bijesno
enraged	anger	0.927	razjaren
screwyou	anger	0.924	jebi se
murderer	anger	0.922	ubica
fury	anger	0.922	bijes
execution	anger	0.917	izvršenje
angered	anger	0.916	ljut
savagery	anger	0.915	divljaštvo
slaughtering	anger	0.914	klanje
veryangry	anger	0.913	veoma ljut
assassinate	anger	0.912	atentat
annihilation	anger	0.912	uništenje
fuckoff	anger	0.912	fuckoff
rage	anger	0.911	bijes
loathe	anger	0.909	mrzim
fucktard	anger	0.906	fucktard
roadrage	anger	0.906	roadrage
damnation	anger	0.906	prokletstvo
homicidal	anger	0.906	ubistvena
furor	anger	0.900	furor
hostile	anger	0.898	neprijateljski
annihilate	anger	0.898	uništiti
murder	anger	0.897	ubistvo
raging	anger	0.896	besni
sopissed	anger	0.894	sopissed
infuriates	anger	0.894	ljuti
pissed	anger	0.894	pissed
rape	anger	0.894	silovanje
ferocious	anger	0.894	svirepo
vengeful	anger	0.894	osvetoljubiv
obliterated	anger	0.894	izbrisani
explosive	anger	0.894	eksplozivno
killing	anger	0.893	ubijanje
combative	anger	0.891	borbeni
vengeance	anger	0.886	osveta
gofuckyourself	anger	0.886	gofuckyourself
torment	anger	0.885	mučiti
wrath	anger	0.885	gnjev
vicious	anger	0.884	zlobni
massacre	anger	0.882	masakr
threatening	anger	0.882	prijeteći
abhorrent	anger	0.875	odvratno
bloodthirsty	anger	0.875	krvožedan
pissoff	anger	0.875	odjebi
fighting	anger	0.868	borba
attacking	anger	0.865	napadajući
annihilated	anger	0.865	uništen
angriest	anger	0.864	ljutiti
bloodshed	anger	0.864	krvoproliće
smite	anger	0.862	smite
brawl	anger	0.861	svađa
malicious	anger	0.859	zlonamjeran
assassination	anger	0.859	atentat
strangle	anger	0.859	zadaviti
hostility	anger	0.859	neprijateljstvo
assault	anger	0.859	napad
explode	anger	0.859	eksplodirati
tirade	anger	0.859	tirada
loathsome	anger	0.857	odvratno
hell	anger	0.853	pakao
murderous	anger	0.853	ubilački
attack	anger	0.853	napad
malice	anger	0.852	zloba
terrorism	anger	0.851	terorizam
beating	anger	0.849	batina
outrage	anger	0.848	zgražanje
desecration	anger	0.848	skrnavljenje
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	uništavajući
slaughter	anger	0.844	klanje
irate	anger	0.844	bijesan
violent	anger	0.844	nasilan
stab	anger	0.844	ubod
abomination	anger	0.844	odvratnost
tumultuous	anger	0.844	burno
infuriate	anger	0.844	razbjesniti
obliterate	anger	0.843	izbrisati
belligerent	anger	0.841	ratoborno
dumbbitch	anger	0.841	dumbbitch
detest	anger	0.838	mrzim
hostilities	anger	0.837	neprijateljstva
prick	anger	0.835	prick
rampage	anger	0.833	divljanje
horrid	anger	0.833	užasno
cruelty	anger	0.833	okrutnost
torture	anger	0.833	mučenje
rabid	anger	0.833	bijesan
despicable	anger	0.828	preziran
tyrannical	anger	0.828	tiranski
demonic	anger	0.828	demonski
satanic	anger	0.828	satanski
hate	anger	0.828	mržnja
ragemode	anger	0.828	ragemode
hating	anger	0.828	mrzeti
ruinous	anger	0.825	ruinous
condemn	anger	0.825	osuditi
riots	anger	0.824	nemiri
demolish	anger	0.824	demolish
angry	anger	0.824	ljut
extermination	anger	0.824	istrebljenje
dickhead	anger	0.824	kurac
livid	anger	0.821	livid
madman	anger	0.820	ludak
vindictive	anger	0.819	osvetoljubiv
terrorist	anger	0.818	terorista
threaten	anger	0.818	prijete
venomous	anger	0.818	otrovan
hateyou	anger	0.818	mrzim te
ferocity	anger	0.818	žestina
effyou	anger	0.818	effyou
abhor	anger	0.816	gnušati se
carnage	anger	0.814	carnage
savage	anger	0.814	divljak
atrocity	anger	0.814	zvjerstvo
fucksake	anger	0.812	fucksake
abuse	anger	0.812	zlostavljanje
fierce	anger	0.812	žestoko
destroyer	anger	0.812	razarač
angrytweet	anger	0.812	angrytweet
barbaric	anger	0.812	varvarski
vendetta	anger	0.812	vendetta
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	popizdio
tyrant	anger	0.812	tiranin
berserk	anger	0.812	berserk
fuming	anger	0.812	fuming
anger	anger	0.811	ljutnja
pieceofshit	anger	0.810	pieceofshit
punched	anger	0.803	udario
punching	anger	0.803	udaranje
slam	anger	0.803	slam
homicide	anger	0.803	ubistvo
bitch	anger	0.803	kučko
fights	anger	0.803	tuče
ruthless	anger	0.797	nemilosrdni
villainous	anger	0.797	negativan
destructive	anger	0.797	destruktivno
slap	anger	0.791	slap
riot	anger	0.788	nered
growthefuckup	anger	0.788	growefuckup
punishing	anger	0.788	kažnjavanje
slaughterhouse	anger	0.788	klaonica
yelling	anger	0.788	vikanje
diabolical	anger	0.788	đavolski
destroyed	anger	0.788	uništeno
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	osvetnički
manslaughter	anger	0.783	ubistvo iz nehata
clash	anger	0.783	sukob
quarrel	anger	0.781	svađa
bloody	anger	0.781	krvavo
hellish	anger	0.781	pakleno
sinister	anger	0.781	zlokobno
loath	anger	0.781	mrska
detonation	anger	0.781	detonacija
accusing	anger	0.779	optužujući
fumin	anger	0.779	fumin
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	izdajnički
madder	anger	0.773	madder
horrific	anger	0.773	užasno
revulsion	anger	0.773	odbojnost
retaliate	anger	0.773	osvetiti se
scorn	anger	0.769	prezir
bomb	anger	0.766	bomba
deplorable	anger	0.766	žalosno
devastation	anger	0.765	devastacija
anarchist	anger	0.765	anarhista
firestorm	anger	0.765	vatrena oluja
resent	anger	0.765	negodovati
contemptible	anger	0.764	prezira
shittest	anger	0.760	shittest
rant	anger	0.758	rant
cruel	anger	0.758	okrutno
deadly	anger	0.758	smrtonosna
smash	anger	0.758	razbiti
soangry	anger	0.758	soangry
outburst	anger	0.757	ispad
snarl	anger	0.754	zarežati
