English Word	Emotion	Emotion-Intensity-Score	Bulgarian Word
outraged	anger	0.964	възмутен
brutality	anger	0.959	бруталност
hatred	anger	0.953	ненавист
hateful	anger	0.940	омразен
terrorize	anger	0.939	тероризирам
violently	anger	0.938	насилствено
infuriated	anger	0.938	вбесен
furious	anger	0.929	бесен
furiously	anger	0.927	яростно
enraged	anger	0.927	вбесен
screwyou	anger	0.924	майната ти
murderer	anger	0.922	убиец
fury	anger	0.922	ярост
execution	anger	0.917	екзекуция
angered	anger	0.916	разгневен
savagery	anger	0.915	диващина
slaughtering	anger	0.914	клане
veryangry	anger	0.913	много ядосан
assassinate	anger	0.912	убивам
annihilation	anger	0.912	анихилация
fuckoff	anger	0.912	майната му
rage	anger	0.911	ярост
loathe	anger	0.909	ненавиждам
fucktard	anger	0.906	копняк
roadrage	anger	0.906	безобразие по пътя
damnation	anger	0.906	проклятие
homicidal	anger	0.906	убийствен
furor	anger	0.900	фурор
hostile	anger	0.898	враждебен
annihilate	anger	0.898	унищожавам
murder	anger	0.897	убийство
raging	anger	0.896	бушуващ
sopissed	anger	0.894	изпипан
infuriates	anger	0.894	вбесява
pissed	anger	0.894	ядосан
rape	anger	0.894	изнасилване
ferocious	anger	0.894	свиреп
vengeful	anger	0.894	отмъстителен
obliterated	anger	0.894	заличени
explosive	anger	0.894	експлозивен
killing	anger	0.893	убиване
combative	anger	0.891	борбен
vengeance	anger	0.886	отмъщение
gofuckyourself	anger	0.886	майната ти
torment	anger	0.885	мъчение
wrath	anger	0.885	гняв
vicious	anger	0.884	порочен
massacre	anger	0.882	клане
threatening	anger	0.882	заплашителен
abhorrent	anger	0.875	отвратителен
bloodthirsty	anger	0.875	кръвожаден
pissoff	anger	0.875	ядосване
fighting	anger	0.868	борба
attacking	anger	0.865	атакуващ
annihilated	anger	0.865	анихилиран
angriest	anger	0.864	най-ядосан
bloodshed	anger	0.864	кръвопролитие
smite	anger	0.862	поразявам
brawl	anger	0.861	кавга
malicious	anger	0.859	злонамерен
assassination	anger	0.859	атентат
