English Word	Emotion	Emotion-Intensity-Score	Catalan Word
outraged	anger	0.964	indignat
brutality	anger	0.959	brutalitat
hatred	anger	0.953	odi
hateful	anger	0.940	odiós
terrorize	anger	0.939	terroritzar
violently	anger	0.938	violentament
infuriated	anger	0.938	enfurismat
furious	anger	0.929	furiós
furiously	anger	0.927	furiós
enraged	anger	0.927	enfurismat
screwyou	anger	0.924	podreix-te
murderer	anger	0.922	assassí
fury	anger	0.922	fúria
execution	anger	0.917	execució
angered	anger	0.916	enfadat
savagery	anger	0.915	salvatgisme
slaughtering	anger	0.914	matança
veryangry	anger	0.913	molt enfadat
assassinate	anger	0.912	assassinar
annihilation	anger	0.912	aniquilació
fuckoff	anger	0.912	merda
rage	anger	0.911	ràbia
loathe	anger	0.909	detestar
fucktard	anger	0.906	fucktard
roadrage	anger	0.906	carretera
damnation	anger	0.906	condemnació
homicidal	anger	0.906	homicida
furor	anger	0.900	furor
hostile	anger	0.898	hostil
annihilate	anger	0.898	aniquilar
murder	anger	0.897	assassinat
raging	anger	0.896	furiós
sopissed	anger	0.894	enfadat
infuriates	anger	0.894	enfurisma
pissed	anger	0.894	enfadat
rape	anger	0.894	violació
ferocious	anger	0.894	ferotge
vengeful	anger	0.894	venjativa
obliterated	anger	0.894	esborrat
explosive	anger	0.894	explosiu
killing	anger	0.893	matar
combative	anger	0.891	combatiu
vengeance	anger	0.886	venjança
gofuckyourself	anger	0.886	fot-te a tu mateix
torment	anger	0.885	turment
wrath	anger	0.885	ira
vicious	anger	0.884	viciós
massacre	anger	0.882	massacre
threatening	anger	0.882	amenaçador
abhorrent	anger	0.875	repugnant
bloodthirsty	anger	0.875	assedegat de sang
pissoff	anger	0.875	treure de polleguera
fighting	anger	0.868	lluitant
attacking	anger	0.865	atacant
annihilated	anger	0.865	aniquilat
angriest	anger	0.864	més enfadat
bloodshed	anger	0.864	vessament de sang
smite	anger	0.862	colpejar
brawl	anger	0.861	baralla
malicious	anger	0.859	maliciós
assassination	anger	0.859	assassinat
strangle	anger	0.859	estranyar
hostility	anger	0.859	hostilitat
assault	anger	0.859	assalt
explode	anger	0.859	explotar
tirade	anger	0.859	diatriba
loathsome	anger	0.857	repugnant
hell	anger	0.853	infern
murderous	anger	0.853	assassina
attack	anger	0.853	atac
malice	anger	0.852	malícia
terrorism	anger	0.851	terrorisme
beating	anger	0.849	batre
outrage	anger	0.848	indignació
desecration	anger	0.848	profanació
pissingmeoff	anger	0.848	enfadar-me
destroying	anger	0.844	destruint
slaughter	anger	0.844	matança
irate	anger	0.844	enfadat
violent	anger	0.844	violents
stab	anger	0.844	punyalada
abomination	anger	0.844	abominació
tumultuous	anger	0.844	tumultuós
infuriate	anger	0.844	enfurismat
obliterate	anger	0.843	esborrar
belligerent	anger	0.841	bel·ligerant
dumbbitch	anger	0.841	tonto
detest	anger	0.838	detestar
hostilities	anger	0.837	hostilitats
prick	anger	0.835	punxada
rampage	anger	0.833	furor
horrid	anger	0.833	horrible
cruelty	anger	0.833	crueltat
torture	anger	0.833	tortura
rabid	anger	0.833	rabiosa
despicable	anger	0.828	menyspreable
tyrannical	anger	0.828	tirànic
demonic	anger	0.828	demoníac
satanic	anger	0.828	satànic
hate	anger	0.828	odi
ragemode	anger	0.828	mode de ràbia
hating	anger	0.828	odiant
ruinous	anger	0.825	ruïnós
condemn	anger	0.825	condemnar
riots	anger	0.824	disturbis
demolish	anger	0.824	enderrocar
angry	anger	0.824	enfadat
extermination	anger	0.824	extermini
dickhead	anger	0.824	cap de polla
livid	anger	0.821	lívid
madman	anger	0.820	boig
vindictive	anger	0.819	reivindicatiu
terrorist	anger	0.818	terrorista
threaten	anger	0.818	amenaçar
venomous	anger	0.818	verinós
hateyou	anger	0.818	t'odio
ferocity	anger	0.818	ferocitat
effyou	anger	0.818	effyou
abhor	anger	0.816	aborrecer
carnage	anger	0.814	carnisseria
savage	anger	0.814	salvatge
atrocity	anger	0.814	atrocitat
fucksake	anger	0.812	merda
abuse	anger	0.812	abús
fierce	anger	0.812	ferotge
destroyer	anger	0.812	destructor
angrytweet	anger	0.812	tuit enfadat
barbaric	anger	0.812	bàrbar
vendetta	anger	0.812	venjança
pissesmeoff	anger	0.812	enfadar-se
pissedoff	anger	0.812	emprenyat
tyrant	anger	0.812	tirà
berserk	anger	0.812	boig
fuming	anger	0.812	fumant
anger	anger	0.811	ira
pieceofshit	anger	0.810	tros de merda
punched	anger	0.803	punxada
punching	anger	0.803	punxada
slam	anger	0.803	slam
homicide	anger	0.803	homicidi
bitch	anger	0.803	gossa
fights	anger	0.803	baralles
ruthless	anger	0.797	despietat
villainous	anger	0.797	vilà
destructive	anger	0.797	destructiu
slap	anger	0.791	bufetada
riot	anger	0.788	disturbis
growthefuckup	anger	0.788	creixementefuckup
punishing	anger	0.788	castigant
slaughterhouse	anger	0.788	escorxador
yelling	anger	0.788	cridant
diabolical	anger	0.788	diabòlic
destroyed	anger	0.788	destruït
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	represàlia
manslaughter	anger	0.783	homicidi involuntari
clash	anger	0.783	xoc
quarrel	anger	0.781	baralla
bloody	anger	0.781	sagnant
hellish	anger	0.781	infernal
sinister	anger	0.781	sinistre
loath	anger	0.781	repugnant
detonation	anger	0.781	detonació
accusing	anger	0.779	acusant
fumin	anger	0.779	fumin
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	traïdor
madder	anger	0.773	més boig
horrific	anger	0.773	horrible
revulsion	anger	0.773	repulsió
retaliate	anger	0.773	represàlia
scorn	anger	0.769	menyspreu
bomb	anger	0.766	bomba
deplorable	anger	0.766	deplorable
devastation	anger	0.765	devastació
anarchist	anger	0.765	anarquista
firestorm	anger	0.765	tempesta de foc
resent	anger	0.765	ressentir
contemptible	anger	0.764	menyspreable
shittest	anger	0.760	més merda
rant	anger	0.758	devagar
cruel	anger	0.758	cruel
deadly	anger	0.758	mortal
smash	anger	0.758	aixafar
soangry	anger	0.758	tan enfadat
outburst	anger	0.757	esclat
snarl	anger	0.754	grunyir
profane	anger	0.750	profana
revolting	anger	0.750	revoltant
aggravating	anger	0.750	agreujant
horror	anger	0.750	horror
despise	anger	0.750	menysprear
offend	anger	0.750	ofendre
stfu	anger	0.750	stfu
vulgarity	anger	0.750	vulgaritat
crazed	anger	0.750	boig
douchebags	anger	0.750	ximples
growling	anger	0.750	grunyint
dontmesswithme	anger	0.750	no et molestis amb mi
screaming	anger	0.742	cridant
threat	anger	0.742	amenaça
erupt	anger	0.742	esclatar
horrible	anger	0.742	horrible
molestation	anger	0.742	maltractament
fuckedoff	anger	0.742	fotut
violence	anger	0.742	violència
bastards	anger	0.741	bastards
revenge	anger	0.738	venjança
menacing	anger	0.735	amenaçador
crushing	anger	0.735	trituració
damn	anger	0.735	maleïda
catastrophe	anger	0.735	catàstrofe
demon	anger	0.735	dimoni
argue	anger	0.734	argumentar
persecute	anger	0.734	perseguir
deplore	anger	0.734	deplorar
flog	anger	0.734	flagel·lar
fedup	anger	0.734	fart
riotous	anger	0.734	amotinada
vehement	anger	0.734	vehement
revolt	anger	0.734	revolta
warfare	anger	0.734	guerra
thrash	anger	0.734	golejar
altercation	anger	0.729	altercat
warlike	anger	0.728	bèl·lic
shitday	anger	0.727	dia de merda
mutiny	anger	0.727	motí
castrate	anger	0.727	castrar
sabotage	anger	0.727	sabotatge
malevolent	anger	0.721	malèvol
strike	anger	0.721	colpejar
disaster	anger	0.721	desastre
disastrous	anger	0.720	desastrosa
bastarding	anger	0.719	bastarda
treachery	anger	0.719	traïció
arseholes	anger	0.719	culs
horseshit	anger	0.719	merda de cavall
slay	anger	0.719	matar
disdain	anger	0.719	menyspreu
aggravates	anger	0.719	agreuja
brutal	anger	0.719	brutal
scorching	anger	0.719	abrasador
devil	anger	0.719	diable
madden	anger	0.719	boig
spiteful	anger	0.719	rancorós
scream	anger	0.719	cridar
choke	anger	0.719	sufocar
vermin	anger	0.719	insectes
tumult	anger	0.719	tumult
criminal	anger	0.714	criminal
mangle	anger	0.714	mutilar
anarchism	anger	0.714	anarquisme
mutilation	anger	0.714	mutilació
denunciation	anger	0.713	denúncia
punch	anger	0.713	punxada
virulence	anger	0.712	virulència
fatal	anger	0.712	fatal
hurting	anger	0.712	fent mal
crucifixion	anger	0.712	crucifixió
dontlikeyou	anger	0.712	no t'agrada
blasphemous	anger	0.712	blasfema
holocaust	anger	0.712	holocaust
dumbasses	anger	0.712	tontos
battled	anger	0.712	lluitat
deranged	anger	0.706	trastornat
irritated	anger	0.706	irritat
atrocious	anger	0.706	atroç
evil	anger	0.706	dolent
aggravated	anger	0.703	agreujat
intimidation	anger	0.703	intimidació
dicks	anger	0.703	polles
assassin	anger	0.703	assassí
scolding	anger	0.703	renyar
persecution	anger	0.703	persecució
slayer	anger	0.703	assassí
kidnap	anger	0.703	segrestar
aggression	anger	0.702	agressivitat
armed	anger	0.700	armat
battle	anger	0.697	batalla
poison	anger	0.697	verí
snarling	anger	0.697	grunyint
venom	anger	0.697	verí
disgruntled	anger	0.693	descontent
resentment	anger	0.691	ressentiment
assailant	anger	0.691	agressor
insidious	anger	0.691	insidiosa
contemptuous	anger	0.690	despectiu
lynch	anger	0.690	linxament
temper	anger	0.688	temperament
terrible	anger	0.688	terrible
disparage	anger	0.688	menysprear
lunatic	anger	0.688	boig
bully	anger	0.688	assetjador
mad	anger	0.688	boig
makesmemad	anger	0.688	makememad
infanticide	anger	0.688	infanticidi
domination	anger	0.688	dominació
peeved	anger	0.688	enfadat
imprisonment	anger	0.688	presó
curse	anger	0.688	maledicció
volatility	anger	0.687	volatilitat
eradication	anger	0.685	eradicació
eradicate	anger	0.682	eradicar
tantrum	anger	0.682	rabieta
scoundrel	anger	0.682	canalla
devastate	anger	0.682	devastar
aggressively	anger	0.680	agressivament
agitation	anger	0.680	agitació
dictatorship	anger	0.676	dictadura
irritates	anger	0.676	irrita
profanity	anger	0.673	blasfemia
shove	anger	0.672	empènyer
nasty	anger	0.672	desagradable
shot	anger	0.672	tir
cruelly	anger	0.672	cruelment
shoot	anger	0.672	disparar
condemnation	anger	0.672	condemna
crushed	anger	0.672	aixafat
aggravation	anger	0.672	agreujament
poisonous	anger	0.672	verinós
egregious	anger	0.672	flagrant
crime	anger	0.672	crim
corrupting	anger	0.672	corrupte
dastardly	anger	0.672	miserable
contempt	anger	0.672	menyspreu
harmful	anger	0.672	nocius
expletive	anger	0.672	improperi
wreak	anger	0.672	destrossar
maniac	anger	0.670	maníac
cutthroat	anger	0.667	tallat
enemy	anger	0.667	enemic
hit	anger	0.667	colpejar
hateeveryone	anger	0.667	odi a tothom
eruption	anger	0.667	erupció
irritable	anger	0.667	irritable
odious	anger	0.667	odiós
shooting	anger	0.667	disparant
shout	anger	0.667	cridar
aggressive	anger	0.667	agressiu
kick	anger	0.667	puntada
combat	anger	0.667	combat
fight	anger	0.667	lluitar
punished	anger	0.662	castigat
yell	anger	0.661	cridar
ambush	anger	0.661	emboscada
harass	anger	0.659	assetjar
malignant	anger	0.656	maligne
aggressor	anger	0.656	agressor
gore	anger	0.656	gore
destruction	anger	0.656	destrucció
grudge	anger	0.656	rancor
antichrist	anger	0.656	anticrist
incense	anger	0.656	encens
expel	anger	0.656	expulsar
cranky	anger	0.653	irritable
slave	anger	0.652	esclau
reprisal	anger	0.652	represàlia
growl	anger	0.652	grunyir
animosity	anger	0.652	animositat
insurrection	anger	0.652	insurrecció
clashing	anger	0.652	xocant
denounce	anger	0.652	denunciar
offended	anger	0.652	ofès
spank	anger	0.652	assotar
insulting	anger	0.652	insultant
growls	anger	0.649	grunyits
executioner	anger	0.644	botxí
twat	anger	0.644	puta
doomsday	anger	0.643	dia del judici final
obscenity	anger	0.641	obscenitat
accused	anger	0.641	acusat
feud	anger	0.641	feu
daemon	anger	0.641	dimoni
havoc	anger	0.641	estralls
shackle	anger	0.641	mantell
inexcusable	anger	0.641	inexcusable
indignant	anger	0.641	indignat
grr	anger	0.641	grr
expulsion	anger	0.641	expulsió
bombard	anger	0.641	bombardejar
spat	anger	0.641	escopir
