English Word	Emotion	Emotion-Intensity-Score	Cebuano Word
outraged	anger	0.964	nasuko
brutality	anger	0.959	kabangis
hatred	anger	0.953	pagdumot
hateful	anger	0.940	madumtanon
terrorize	anger	0.939	kahadlokan
violently	anger	0.938	mapintas
infuriated	anger	0.938	nasuko
furious	anger	0.929	nasuko
furiously	anger	0.927	sa kasuko
enraged	anger	0.927	nasuko
screwyou	anger	0.924	manguyab nimo
murderer	anger	0.922	mamumuno
fury	anger	0.922	kasuko
execution	anger	0.917	pagpatay
angered	anger	0.916	nasuko
savagery	anger	0.915	kabangis
slaughtering	anger	0.914	pag-ihaw
veryangry	anger	0.913	suko kaayo
assassinate	anger	0.912	pagpatay
annihilation	anger	0.912	paglaglag
fuckoff	anger	0.912	fuckoff
rage	anger	0.911	kasuko
loathe	anger	0.909	gikasilagan
fucktard	anger	0.906	bastos
roadrage	anger	0.906	roadrage
damnation	anger	0.906	panghimaraut
homicidal	anger	0.906	pagpatay
furor	anger	0.900	kasuko
hostile	anger	0.898	kaaway
annihilate	anger	0.898	laglagon
murder	anger	0.897	pagpatay
raging	anger	0.896	naglagot
sopissed	anger	0.894	nasuko
infuriates	anger	0.894	nakapasuko
pissed	anger	0.894	naglagot
rape	anger	0.894	pagpanglugos
ferocious	anger	0.894	bangis nga
vengeful	anger	0.894	mapanimaslon
obliterated	anger	0.894	nawagtang
explosive	anger	0.894	eksplosibo
killing	anger	0.893	pagpatay
combative	anger	0.891	pakigbisog
vengeance	anger	0.886	pagpanimalus
gofuckyourself	anger	0.886	lingawa imong kaugalingon
torment	anger	0.885	pagsakit
wrath	anger	0.885	kasuko
vicious	anger	0.884	bangis
massacre	anger	0.882	masaker
threatening	anger	0.882	paghulga
abhorrent	anger	0.875	salawayon
bloodthirsty	anger	0.875	uhaw sa dugo
pissoff	anger	0.875	pissoff
fighting	anger	0.868	away
attacking	anger	0.865	pag-atake
annihilated	anger	0.865	gipuo
angriest	anger	0.864	pinakasuko
bloodshed	anger	0.864	pagpaagas sa dugo
smite	anger	0.862	hampak
brawl	anger	0.861	away
malicious	anger	0.859	malisyoso
assassination	anger	0.859	pagpatay
strangle	anger	0.859	pagluok
hostility	anger	0.859	pagdumot
assault	anger	0.859	pag-atake
explode	anger	0.859	mobuto
tirade	anger	0.859	pagyawyaw
loathsome	anger	0.857	makaluod
hell	anger	0.853	impyerno
murderous	anger	0.853	mamumuno
attack	anger	0.853	pag-atake
malice	anger	0.852	malisya
terrorism	anger	0.851	terorismo
beating	anger	0.849	pagbunal
outrage	anger	0.848	kasuko
desecration	anger	0.848	pagpasipala
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	pagguba
slaughter	anger	0.844	pagpamatay
irate	anger	0.844	masuko
violent	anger	0.844	bayolente
stab	anger	0.844	dinunggaban
abomination	anger	0.844	dulumtanan
tumultuous	anger	0.844	gubot
infuriate	anger	0.844	masuko
obliterate	anger	0.843	mawagtang
belligerent	anger	0.841	makig-away
dumbbitch	anger	0.841	amang
detest	anger	0.838	pagdumot
hostilities	anger	0.837	mga panagsangka
prick	anger	0.835	tusok
rampage	anger	0.833	pagdagmal
horrid	anger	0.833	makalilisang
cruelty	anger	0.833	kabangis
torture	anger	0.833	pagsakit
rabid	anger	0.833	masupilon
despicable	anger	0.828	talamayon
tyrannical	anger	0.828	malupigon
demonic	anger	0.828	demonyo
satanic	anger	0.828	sataniko
hate	anger	0.828	pagdumot
ragemode	anger	0.828	kasuko
hating	anger	0.828	pagdumot
ruinous	anger	0.825	makaguba
condemn	anger	0.825	pagahukman sa silot
riots	anger	0.824	mga kagubot
demolish	anger	0.824	gub-on
angry	anger	0.824	nasuko
extermination	anger	0.824	pagpuo
dickhead	anger	0.824	dickhead
livid	anger	0.821	naglagot
madman	anger	0.820	buang nga tawo
vindictive	anger	0.819	mapanimaslon
terrorist	anger	0.818	terorista
threaten	anger	0.818	manghulga
venomous	anger	0.818	makahilo
hateyou	anger	0.818	nagdumot nimo
ferocity	anger	0.818	kabangis
effyou	anger	0.818	effyo nimo
abhor	anger	0.816	pagdumot
carnage	anger	0.814	pagpatay
savage	anger	0.814	bangis
atrocity	anger	0.814	kabangis
fucksake	anger	0.812	fucksake
abuse	anger	0.812	pag-abuso
fierce	anger	0.812	mabangis
destroyer	anger	0.812	tiglaglag
angrytweet	anger	0.812	nasuko tweet
barbaric	anger	0.812	salbahis
vendetta	anger	0.812	pagpanimalos
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	naglagot
tyrant	anger	0.812	malupigon
berserk	anger	0.812	naglibog
fuming	anger	0.812	naglagot
anger	anger	0.811	kasuko
pieceofshit	anger	0.810	gamay nga butang
punched	anger	0.803	gisumbag
punching	anger	0.803	pagsuntok
slam	anger	0.803	slam
homicide	anger	0.803	pagpatay
bitch	anger	0.803	aswang
fights	anger	0.803	mga away
ruthless	anger	0.797	walay kaluoy
villainous	anger	0.797	kontrabida
destructive	anger	0.797	makadaot
slap	anger	0.791	sagpa
riot	anger	0.788	kagubot
