English Word	Emotion	Emotion-Intensity-Score	Chichewa Word
outraged	anger	0.964	wokwiya
brutality	anger	0.959	nkhanza
hatred	anger	0.953	chidani
hateful	anger	0.940	wonyansa
terrorize	anger	0.939	kuopseza
violently	anger	0.938	mwankhanza
infuriated	anger	0.938	kukwiyitsidwa
furious	anger	0.929	wokwiya
furiously	anger	0.927	mwaukali
enraged	anger	0.927	kukwiya
screwyou	anger	0.924	kagwere
murderer	anger	0.922	wakupha
fury	anger	0.922	mkwiyo
execution	anger	0.917	kuphedwa
angered	anger	0.916	kukwiya
savagery	anger	0.915	zankhanza
slaughtering	anger	0.914	kupha
veryangry	anger	0.913	wokwiya kwambiri
assassinate	anger	0.912	kupha
annihilation	anger	0.912	chiwonongeko
fuckoff	anger	0.912	fuckoff
rage	anger	0.911	mkwiyo
loathe	anger	0.909	kunyansidwa
fucktard	anger	0.906	fucktard
roadrage	anger	0.906	msewu
damnation	anger	0.906	chilango
homicidal	anger	0.906	wakupha
furor	anger	0.900	furo
hostile	anger	0.898	waudani
annihilate	anger	0.898	wononga
murder	anger	0.897	kupha
raging	anger	0.896	kukwiya
sopissed	anger	0.894	wokhumudwa
infuriates	anger	0.894	amakwiyitsa
pissed	anger	0.894	wokwiya
rape	anger	0.894	kugwiririra
ferocious	anger	0.894	wankhanza
vengeful	anger	0.894	wobwezera
obliterated	anger	0.894	kuthetsedwa
explosive	anger	0.894	zophulika
killing	anger	0.893	kupha
combative	anger	0.891	wolimbana
vengeance	anger	0.886	kubwezera
gofuckyourself	anger	0.886	gofuckyourself
torment	anger	0.885	kuzunza
wrath	anger	0.885	mkwiyo
vicious	anger	0.884	wankhanza
massacre	anger	0.882	kupha anthu
threatening	anger	0.882	kuwopseza
abhorrent	anger	0.875	zonyansa
bloodthirsty	anger	0.875	waludzu
pissoff	anger	0.875	psoff
fighting	anger	0.868	kumenyana
attacking	anger	0.865	kuukira
annihilated	anger	0.865	kuwonongedwa
angriest	anger	0.864	wokwiya kwambiri
bloodshed	anger	0.864	kukhetsa mwazi
smite	anger	0.862	menya
brawl	anger	0.861	kukangana
malicious	anger	0.859	wanjiru
assassination	anger	0.859	kupha
strangle	anger	0.859	nyonga
hostility	anger	0.859	chidani
assault	anger	0.859	kumenya
explode	anger	0.859	kuphulika
tirade	anger	0.859	tirade
loathsome	anger	0.857	zonyansa
hell	anger	0.853	gehena
murderous	anger	0.853	wakupha
attack	anger	0.853	kuwukira
malice	anger	0.852	zoipa
terrorism	anger	0.851	uchigawenga
beating	anger	0.849	kumenya
outrage	anger	0.848	mkwiyo
desecration	anger	0.848	kuipitsidwa
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	kuwononga
slaughter	anger	0.844	kupha
irate	anger	0.844	kukwiya
violent	anger	0.844	zachiwawa
stab	anger	0.844	kubaya
abomination	anger	0.844	chonyansa
tumultuous	anger	0.844	zosokoneza
infuriate	anger	0.844	kukwiyitsa
obliterate	anger	0.843	wononga
belligerent	anger	0.841	wankhondo
dumbbitch	anger	0.841	chibwibwi
detest	anger	0.838	kunyansidwa
hostilities	anger	0.837	nkhondo
prick	anger	0.835	chobaya
rampage	anger	0.833	kuukira
horrid	anger	0.833	zoopsa
cruelty	anger	0.833	nkhanza
torture	anger	0.833	kuzunza
rabid	anger	0.833	wachikali
despicable	anger	0.828	wonyozeka
tyrannical	anger	0.828	wankhanza
demonic	anger	0.828	wa ziwanda
satanic	anger	0.828	wasatana
hate	anger	0.828	chidani
ragemode	anger	0.828	ragemode
hating	anger	0.828	kudana
ruinous	anger	0.825	zowononga
condemn	anger	0.825	kutsutsa
riots	anger	0.824	ziwawa
demolish	anger	0.824	phwasula
angry	anger	0.824	wokwiya
extermination	anger	0.824	kuwononga
dickhead	anger	0.824	mutu
livid	anger	0.821	livid
madman	anger	0.820	wamisala
vindictive	anger	0.819	wobwezera
terrorist	anger	0.818	zigawenga
threaten	anger	0.818	kuwopseza
venomous	anger	0.818	chakupha
hateyou	anger	0.818	Dana nawe
ferocity	anger	0.818	kuopsa
effyou	anger	0.818	effyo
abhor	anger	0.816	kunyansidwa
carnage	anger	0.814	kupha anthu
savage	anger	0.814	wankhanza
atrocity	anger	0.814	nkhanza
fucksake	anger	0.812	fucksake
abuse	anger	0.812	nkhanza
fierce	anger	0.812	owopsa
destroyer	anger	0.812	wowononga
angrytweet	anger	0.812	mkwiyotweet
barbaric	anger	0.812	wankhanza
vendetta	anger	0.812	vendetta
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	kwiyitsa
tyrant	anger	0.812	wankhanza
berserk	anger	0.812	berserk
fuming	anger	0.812	kukwiya
anger	anger	0.811	mkwiyo
pieceofshit	anger	0.810	pieceofshit
punched	anger	0.803	kukhomeredwa
