English Word	Emotion	Emotion-Intensity-Score	Chinese-Simplified Word
outraged	anger	0.964	愤怒
brutality	anger	0.959	残酷
hatred	anger	0.953	仇恨
hateful	anger	0.940	可恶
terrorize	anger	0.939	恐吓
violently	anger	0.938	猛烈地
infuriated	anger	0.938	被激怒了
furious	anger	0.929	狂怒
furiously	anger	0.927	愤怒地
enraged	anger	0.927	激怒了
screwyou	anger	0.924	去你的
murderer	anger	0.922	凶手
fury	anger	0.922	愤怒
execution	anger	0.917	执行
angered	anger	0.916	激怒了
savagery	anger	0.915	野蛮
slaughtering	anger	0.914	屠宰
veryangry	anger	0.913	很生气
assassinate	anger	0.912	暗杀
annihilation	anger	0.912	湮灭
fuckoff	anger	0.912	他妈的
rage	anger	0.911	愤怒
loathe	anger	0.909	厌恶
fucktard	anger	0.906	混蛋
roadrage	anger	0.906	路怒
damnation	anger	0.906	诅咒
homicidal	anger	0.906	杀人的
furor	anger	0.900	轰动
hostile	anger	0.898	敌对的
annihilate	anger	0.898	歼灭
murder	anger	0.897	谋杀
raging	anger	0.896	愤怒
sopissed	anger	0.894	厌烦的
infuriates	anger	0.894	激怒了
pissed	anger	0.894	生气
rape	anger	0.894	强奸
ferocious	anger	0.894	凶猛
vengeful	anger	0.894	复仇的
obliterated	anger	0.894	抹杀
explosive	anger	0.894	爆炸性的
killing	anger	0.893	杀戮
combative	anger	0.891	好斗的
vengeance	anger	0.886	复仇
gofuckyourself	anger	0.886	去他妈的
torment	anger	0.885	折磨
wrath	anger	0.885	愤怒
vicious	anger	0.884	恶毒
massacre	anger	0.882	屠杀
threatening	anger	0.882	威胁的
abhorrent	anger	0.875	可恶的
bloodthirsty	anger	0.875	嗜血的
pissoff	anger	0.875	生气
fighting	anger	0.868	斗争
attacking	anger	0.865	进攻
annihilated	anger	0.865	歼灭
angriest	anger	0.864	最愤怒的
bloodshed	anger	0.864	流血事件
smite	anger	0.862	惩戒
brawl	anger	0.861	争吵
malicious	anger	0.859	恶意的
assassination	anger	0.859	暗杀
strangle	anger	0.859	扼杀
hostility	anger	0.859	敌意
assault	anger	0.859	突击
explode	anger	0.859	爆炸
tirade	anger	0.859	长篇大论
loathsome	anger	0.857	讨厌的
hell	anger	0.853	地狱
murderous	anger	0.853	杀气腾腾
attack	anger	0.853	攻击
malice	anger	0.852	恶意
terrorism	anger	0.851	恐怖主义
beating	anger	0.849	殴打
outrage	anger	0.848	暴行
desecration	anger	0.848	亵渎
pissingmeoff	anger	0.848	小便
destroying	anger	0.844	破坏
slaughter	anger	0.844	屠宰
irate	anger	0.844	愤怒
violent	anger	0.844	暴力
stab	anger	0.844	刺
abomination	anger	0.844	厌恶
tumultuous	anger	0.844	喧嚣
infuriate	anger	0.844	激怒
obliterate	anger	0.843	泯
belligerent	anger	0.841	好战的
dumbbitch	anger	0.841	笨蛋
detest	anger	0.838	厌恶
hostilities	anger	0.837	敌对行动
prick	anger	0.835	刺
rampage	anger	0.833	横冲直撞
horrid	anger	0.833	可怕的
cruelty	anger	0.833	残酷
torture	anger	0.833	折磨
rabid	anger	0.833	狂热的
despicable	anger	0.828	卑鄙
tyrannical	anger	0.828	强横
demonic	anger	0.828	恶魔般的
satanic	anger	0.828	撒旦的
hate	anger	0.828	恨
ragemode	anger	0.828	愤怒模式
hating	anger	0.828	讨厌
ruinous	anger	0.825	毁灭性的
condemn	anger	0.825	谴责
riots	anger	0.824	骚乱
demolish	anger	0.824	拆除
angry	anger	0.824	生气的
extermination	anger	0.824	灭绝
dickhead	anger	0.824	白痴
livid	anger	0.821	铁青
madman	anger	0.820	狂人
vindictive	anger	0.819	斗气
terrorist	anger	0.818	恐怖分子
threaten	anger	0.818	威胁
venomous	anger	0.818	有毒
hateyou	anger	0.818	恨你
ferocity	anger	0.818	恶
effyou	anger	0.818	你
abhor	anger	0.816	痛恨
carnage	anger	0.814	大屠杀
savage	anger	0.814	野蛮的
atrocity	anger	0.814	暴行
fucksake	anger	0.812	他妈的
abuse	anger	0.812	虐待
fierce	anger	0.812	凶猛的
destroyer	anger	0.812	驱逐舰
angrytweet	anger	0.812	愤怒的推文
barbaric	anger	0.812	野蛮
vendetta	anger	0.812	仇杀
pissesmeoff	anger	0.812	生气
pissedoff	anger	0.812	生气
tyrant	anger	0.812	暴君
berserk	anger	0.812	狂暴
fuming	anger	0.812	发烟
anger	anger	0.811	愤怒
pieceofshit	anger	0.810	狗屎
punched	anger	0.803	打孔
punching	anger	0.803	冲孔
slam	anger	0.803	大满贯
homicide	anger	0.803	杀人
bitch	anger	0.803	婊子
fights	anger	0.803	打架
ruthless	anger	0.797	无情
villainous	anger	0.797	恶毒的
destructive	anger	0.797	破坏性的
slap	anger	0.791	拍击
riot	anger	0.788	暴动
growthefuckup	anger	0.788	成长他妈的
punishing	anger	0.788	惩罚
slaughterhouse	anger	0.788	屠宰场
yelling	anger	0.788	大喊大叫
diabolical	anger	0.788	恶魔般的
destroyed	anger	0.788	毁坏
ragetweet	anger	0.788	愤怒的推文
retaliatory	anger	0.788	报复性
manslaughter	anger	0.783	误杀
clash	anger	0.783	冲突
quarrel	anger	0.781	吵架
bloody	anger	0.781	血腥
hellish	anger	0.781	地狱般的
sinister	anger	0.781	险恶
loath	anger	0.781	厌恶
detonation	anger	0.781	爆炸
accusing	anger	0.779	指责
fumin	anger	0.779	富民
hateeee	anger	0.779	讨厌的人
treacherous	anger	0.779	奸诈
madder	anger	0.773	茜草
horrific	anger	0.773	可怕的
revulsion	anger	0.773	反感
retaliate	anger	0.773	报复
scorn	anger	0.769	轻蔑
bomb	anger	0.766	炸弹
deplorable	anger	0.766	可悲的
devastation	anger	0.765	破坏
anarchist	anger	0.765	无政府主义者
firestorm	anger	0.765	风暴
resent	anger	0.765	怨恨
contemptible	anger	0.764	可鄙
shittest	anger	0.760	最糟糕的
rant	anger	0.758	咆哮
cruel	anger	0.758	残忍的
deadly	anger	0.758	致命
smash	anger	0.758	粉碎
soangry	anger	0.758	太生气了
outburst	anger	0.757	爆发
snarl	anger	0.754	咆哮
profane	anger	0.750	亵渎
revolting	anger	0.750	令人反感
aggravating	anger	0.750	加重
horror	anger	0.750	恐怖
despise	anger	0.750	讨厌
offend	anger	0.750	得罪
stfu	anger	0.750	stfu
vulgarity	anger	0.750	粗俗
crazed	anger	0.750	疯狂
douchebags	anger	0.750	混蛋
growling	anger	0.750	咆哮
dontmesswithme	anger	0.750	别惹我
screaming	anger	0.742	尖叫
threat	anger	0.742	威胁
erupt	anger	0.742	爆发
horrible	anger	0.742	可怕
molestation	anger	0.742	骚扰
fuckedoff	anger	0.742	搞砸了
violence	anger	0.742	暴力
bastards	anger	0.741	混蛋
revenge	anger	0.738	复仇
menacing	anger	0.735	来势汹汹
crushing	anger	0.735	粉碎
damn	anger	0.735	该死
catastrophe	anger	0.735	灾难
demon	anger	0.735	恶魔
argue	anger	0.734	争论
persecute	anger	0.734	迫害
deplore	anger	0.734	痛惜
flog	anger	0.734	鞭打
fedup	anger	0.734	受够了
riotous	anger	0.734	暴乱的
vehement	anger	0.734	慷慨
revolt	anger	0.734	反叛
warfare	anger	0.734	战争
thrash	anger	0.734	捶打
altercation	anger	0.729	争吵
warlike	anger	0.728	好战
shitday	anger	0.727	狗屎天
mutiny	anger	0.727	兵变
castrate	anger	0.727	阉割
sabotage	anger	0.727	破坏
malevolent	anger	0.721	恶毒的
strike	anger	0.721	罢工
disaster	anger	0.721	灾难
disastrous	anger	0.720	惨重
bastarding	anger	0.719	混蛋
treachery	anger	0.719	背信弃义
arseholes	anger	0.719	混蛋
horseshit	anger	0.719	胡说
slay	anger	0.719	诛戮
disdain	anger	0.719	蔑视
aggravates	anger	0.719	加重
brutal	anger	0.719	野蛮
scorching	anger	0.719	灼热
devil	anger	0.719	魔鬼
madden	anger	0.719	疯了
spiteful	anger	0.719	恶意的
scream	anger	0.719	尖叫
choke	anger	0.719	呛
vermin	anger	0.719	害虫
tumult	anger	0.719	骚动
criminal	anger	0.714	刑事
mangle	anger	0.714	破坏
anarchism	anger	0.714	无政府主义
mutilation	anger	0.714	肢解
denunciation	anger	0.713	谴责
punch	anger	0.713	冲床
virulence	anger	0.712	毒力
fatal	anger	0.712	致命的
hurting	anger	0.712	伤害
crucifixion	anger	0.712	钉十字架
dontlikeyou	anger	0.712	不喜欢你
blasphemous	anger	0.712	亵渎神明的
holocaust	anger	0.712	大屠杀
dumbasses	anger	0.712	笨蛋
battled	anger	0.712	战斗
deranged	anger	0.706	精神错乱
