English Word	Emotion	Emotion-Intensity-Score	Chinese-Traditional Word
outraged	anger	0.964	憤怒
brutality	anger	0.959	殘酷
hatred	anger	0.953	仇恨
hateful	anger	0.940	可惡
terrorize	anger	0.939	恐嚇
violently	anger	0.938	猛烈地
infuriated	anger	0.938	被激怒了
furious	anger	0.929	狂怒
furiously	anger	0.927	憤怒地
enraged	anger	0.927	激怒了
screwyou	anger	0.924	去你的
murderer	anger	0.922	兇手
fury	anger	0.922	憤怒
execution	anger	0.917	執行
angered	anger	0.916	激怒了
savagery	anger	0.915	野蠻
slaughtering	anger	0.914	屠宰
veryangry	anger	0.913	很生氣
assassinate	anger	0.912	暗殺
annihilation	anger	0.912	湮滅
fuckoff	anger	0.912	他媽的
rage	anger	0.911	憤怒
loathe	anger	0.909	厭惡
fucktard	anger	0.906	混蛋
roadrage	anger	0.906	路怒
damnation	anger	0.906	詛咒
homicidal	anger	0.906	殺人的
furor	anger	0.900	轟動
hostile	anger	0.898	敵對的
annihilate	anger	0.898	殲滅
murder	anger	0.897	謀殺
raging	anger	0.896	憤怒
sopissed	anger	0.894	厭煩的
infuriates	anger	0.894	激怒了
pissed	anger	0.894	生氣
rape	anger	0.894	強姦
ferocious	anger	0.894	兇猛
vengeful	anger	0.894	復仇的
obliterated	anger	0.894	抹殺
explosive	anger	0.894	爆炸性的
killing	anger	0.893	殺戮
combative	anger	0.891	好鬥的
vengeance	anger	0.886	復仇
gofuckyourself	anger	0.886	去他媽的
torment	anger	0.885	折磨
wrath	anger	0.885	憤怒
vicious	anger	0.884	惡毒
massacre	anger	0.882	屠殺
threatening	anger	0.882	威脅的
abhorrent	anger	0.875	可惡的
bloodthirsty	anger	0.875	嗜血的
pissoff	anger	0.875	生氣
fighting	anger	0.868	鬥爭
attacking	anger	0.865	進攻
annihilated	anger	0.865	殲滅
angriest	anger	0.864	最憤怒的
bloodshed	anger	0.864	流血事件
smite	anger	0.862	懲戒
brawl	anger	0.861	爭吵
malicious	anger	0.859	惡意的
assassination	anger	0.859	暗殺
strangle	anger	0.859	扼殺
hostility	anger	0.859	敵意
assault	anger	0.859	突擊
explode	anger	0.859	爆炸
tirade	anger	0.859	長篇大論
loathsome	anger	0.857	討厭的
hell	anger	0.853	地獄
murderous	anger	0.853	殺氣騰騰
attack	anger	0.853	攻擊
malice	anger	0.852	惡意
terrorism	anger	0.851	恐怖主義
beating	anger	0.849	毆打
outrage	anger	0.848	暴行
desecration	anger	0.848	褻瀆
pissingmeoff	anger	0.848	小便
destroying	anger	0.844	破壞
slaughter	anger	0.844	屠宰
irate	anger	0.844	憤怒
violent	anger	0.844	暴力
stab	anger	0.844	刺
abomination	anger	0.844	厭惡
tumultuous	anger	0.844	喧囂
infuriate	anger	0.844	激怒
obliterate	anger	0.843	泯
belligerent	anger	0.841	好戰的
dumbbitch	anger	0.841	笨蛋
detest	anger	0.838	厭惡
hostilities	anger	0.837	敵對行動
prick	anger	0.835	刺
rampage	anger	0.833	橫衝直撞
horrid	anger	0.833	可怕的
cruelty	anger	0.833	殘酷
torture	anger	0.833	折磨
rabid	anger	0.833	狂熱的
despicable	anger	0.828	卑鄙
tyrannical	anger	0.828	強橫
demonic	anger	0.828	惡魔般的
satanic	anger	0.828	撒旦的
hate	anger	0.828	恨
ragemode	anger	0.828	憤怒模式
hating	anger	0.828	討厭
ruinous	anger	0.825	毀滅性的
condemn	anger	0.825	譴責
riots	anger	0.824	騷亂
demolish	anger	0.824	拆除
angry	anger	0.824	生氣的
extermination	anger	0.824	滅絕
dickhead	anger	0.824	白痴
livid	anger	0.821	鐵青
madman	anger	0.820	狂人
vindictive	anger	0.819	鬥氣
terrorist	anger	0.818	恐怖分子
threaten	anger	0.818	威脅
venomous	anger	0.818	有毒
hateyou	anger	0.818	恨你
ferocity	anger	0.818	惡
effyou	anger	0.818	你
abhor	anger	0.816	痛恨
carnage	anger	0.814	大屠殺
savage	anger	0.814	野蠻的
atrocity	anger	0.814	暴行
fucksake	anger	0.812	他媽的
abuse	anger	0.812	虐待
fierce	anger	0.812	兇猛的
destroyer	anger	0.812	驅逐艦
angrytweet	anger	0.812	憤怒的推文
barbaric	anger	0.812	野蠻
vendetta	anger	0.812	仇殺
pissesmeoff	anger	0.812	生氣
pissedoff	anger	0.812	生氣
tyrant	anger	0.812	暴君
berserk	anger	0.812	狂暴
fuming	anger	0.812	發煙
anger	anger	0.811	憤怒
pieceofshit	anger	0.810	狗屎
punched	anger	0.803	打孔
punching	anger	0.803	沖孔
slam	anger	0.803	大滿貫
homicide	anger	0.803	殺人
bitch	anger	0.803	婊子
fights	anger	0.803	打架
ruthless	anger	0.797	無情
villainous	anger	0.797	惡毒的
destructive	anger	0.797	破壞性的
slap	anger	0.791	拍擊
riot	anger	0.788	暴動
growthefuckup	anger	0.788	成長他媽的
punishing	anger	0.788	懲罰
slaughterhouse	anger	0.788	屠宰場
yelling	anger	0.788	大喊大叫
diabolical	anger	0.788	惡魔般的
destroyed	anger	0.788	毀壞
ragetweet	anger	0.788	憤怒的推文
retaliatory	anger	0.788	報復性
manslaughter	anger	0.783	誤殺
clash	anger	0.783	衝突
quarrel	anger	0.781	吵架
bloody	anger	0.781	血腥
hellish	anger	0.781	地獄般的
sinister	anger	0.781	險惡
loath	anger	0.781	厭惡
detonation	anger	0.781	爆炸
accusing	anger	0.779	指責
fumin	anger	0.779	富民
hateeee	anger	0.779	討厭的人
treacherous	anger	0.779	奸詐
madder	anger	0.773	茜草
horrific	anger	0.773	可怕的
revulsion	anger	0.773	反感
retaliate	anger	0.773	報復
scorn	anger	0.769	輕蔑
bomb	anger	0.766	炸彈
deplorable	anger	0.766	可悲的
devastation	anger	0.765	破壞
anarchist	anger	0.765	無政府主義者
firestorm	anger	0.765	風暴
resent	anger	0.765	怨恨
contemptible	anger	0.764	可鄙
shittest	anger	0.760	最糟糕的
rant	anger	0.758	咆哮
cruel	anger	0.758	殘忍的
deadly	anger	0.758	致命
smash	anger	0.758	粉碎
soangry	anger	0.758	太生氣了
outburst	anger	0.757	爆發
snarl	anger	0.754	咆哮
profane	anger	0.750	褻瀆
revolting	anger	0.750	令人反感
aggravating	anger	0.750	加重
horror	anger	0.750	恐怖
despise	anger	0.750	討厭
offend	anger	0.750	得罪
stfu	anger	0.750	stfu
vulgarity	anger	0.750	粗俗
crazed	anger	0.750	瘋狂
douchebags	anger	0.750	混蛋
growling	anger	0.750	咆哮
dontmesswithme	anger	0.750	別惹我
screaming	anger	0.742	尖叫
threat	anger	0.742	威脅
erupt	anger	0.742	爆發
horrible	anger	0.742	可怕
molestation	anger	0.742	騷擾
fuckedoff	anger	0.742	搞砸了
violence	anger	0.742	暴力
bastards	anger	0.741	混蛋
revenge	anger	0.738	復仇
menacing	anger	0.735	來勢洶洶
crushing	anger	0.735	粉碎
damn	anger	0.735	該死
catastrophe	anger	0.735	災難
demon	anger	0.735	惡魔
argue	anger	0.734	爭論
