English Word	Emotion	Emotion-Intensity-Score	Corsican Word
outraged	anger	0.964	indignatu
brutality	anger	0.959	brutalità
hatred	anger	0.953	odiu
hateful	anger	0.940	odiosa
terrorize	anger	0.939	terrorizà
violently	anger	0.938	viulente
infuriated	anger	0.938	infuriatu
furious	anger	0.929	furiosa
furiously	anger	0.927	furiosamente
enraged	anger	0.927	in furia
screwyou	anger	0.924	piglia ti lu in culu
murderer	anger	0.922	assassinu
fury	anger	0.922	furia
execution	anger	0.917	esicuzzioni
angered	anger	0.916	arrabbiatu
savagery	anger	0.915	selvaggia
slaughtering	anger	0.914	macellazione
veryangry	anger	0.913	assai arrabbiatu
assassinate	anger	0.912	assassinà
annihilation	anger	0.912	annientamentu
fuckoff	anger	0.912	cazzo
rage	anger	0.911	furia
loathe	anger	0.909	disprezzu
fucktard	anger	0.906	fucktard
roadrage	anger	0.906	roadrage
damnation	anger	0.906	dannazione
homicidal	anger	0.906	omicida
furor	anger	0.900	furore
hostile	anger	0.898	ostili
annihilate	anger	0.898	annichilate
murder	anger	0.897	assassiniu
raging	anger	0.896	furiosa
sopissed	anger	0.894	sopizzatu
infuriates	anger	0.894	infuria
pissed	anger	0.894	incazzatu
rape	anger	0.894	violenza
ferocious	anger	0.894	feroce
vengeful	anger	0.894	vindicà
obliterated	anger	0.894	sguassatu
explosive	anger	0.894	splusivi
killing	anger	0.893	tumbà
combative	anger	0.891	cummattitivu
vengeance	anger	0.886	vindetta
gofuckyourself	anger	0.886	vaccate voi stessi
torment	anger	0.885	turmentu
wrath	anger	0.885	ira
vicious	anger	0.884	vicious
massacre	anger	0.882	massacru
threatening	anger	0.882	minaccia
abhorrent	anger	0.875	abominevole
bloodthirsty	anger	0.875	assetati di sangue
pissoff	anger	0.875	mette in zerga
fighting	anger	0.868	cumbattimentu
attacking	anger	0.865	attaccà
annihilated	anger	0.865	annientata
angriest	anger	0.864	a più arrabbiata
bloodshed	anger	0.864	spargimentu di sangue
smite	anger	0.862	colpi
brawl	anger	0.861	rissa
malicious	anger	0.859	malicious
assassination	anger	0.859	assassiniu
strangle	anger	0.859	strangulà
hostility	anger	0.859	ostilità
assault	anger	0.859	assaltu
explode	anger	0.859	splode
tirade	anger	0.859	tirade
loathsome	anger	0.857	ripugnante
hell	anger	0.853	infernu
murderous	anger	0.853	assassinu
attack	anger	0.853	attaccu
malice	anger	0.852	malizia
terrorism	anger	0.851	terrurismu
beating	anger	0.849	battendu
outrage	anger	0.848	indignazione
desecration	anger	0.848	profanazione
pissingmeoff	anger	0.848	pissing me off
destroying	anger	0.844	distrughjendu
slaughter	anger	0.844	macellazione
irate	anger	0.844	irate
violent	anger	0.844	viulente
stab	anger	0.844	pugnala
abomination	anger	0.844	abominazione
tumultuous	anger	0.844	tumultuosa
infuriate	anger	0.844	infurià
obliterate	anger	0.843	obliterate
belligerent	anger	0.841	belligerante
dumbbitch	anger	0.841	stupidu
detest	anger	0.838	detesta
hostilities	anger	0.837	ostilità
prick	anger	0.835	picca
rampage	anger	0.833	furia
horrid	anger	0.833	orribile
cruelty	anger	0.833	crudeltà
torture	anger	0.833	tortura
rabid	anger	0.833	rabbiosa
despicable	anger	0.828	disprezzu
tyrannical	anger	0.828	tirannicu
demonic	anger	0.828	demoniacu
satanic	anger	0.828	satanicu
hate	anger	0.828	odiu
ragemode	anger	0.828	ragemode
hating	anger	0.828	odià
ruinous	anger	0.825	ruinoso
condemn	anger	0.825	cundannà
riots	anger	0.824	rivolti
demolish	anger	0.824	demolisce
angry	anger	0.824	arrabbiatu
extermination	anger	0.824	sterminiu
dickhead	anger	0.824	cazzo
livid	anger	0.821	livid
madman	anger	0.820	pazzu
vindictive	anger	0.819	vindictive
terrorist	anger	0.818	terrorista
threaten	anger	0.818	minaccia
venomous	anger	0.818	velenoso
hateyou	anger	0.818	ti odi
ferocity	anger	0.818	ferocia
effyou	anger	0.818	effì
abhor	anger	0.816	detesta
carnage	anger	0.814	carnage
savage	anger	0.814	salvaticu
atrocity	anger	0.814	atrocità
fucksake	anger	0.812	cazzo
abuse	anger	0.812	abusu
fierce	anger	0.812	feroce
destroyer	anger	0.812	distruttore
angrytweet	anger	0.812	angrytweet
barbaric	anger	0.812	barbaru
vendetta	anger	0.812	vendetta
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	in zerga
tyrant	anger	0.812	tirannu
berserk	anger	0.812	furiosa
fuming	anger	0.812	fuming
anger	anger	0.811	rabbia
pieceofshit	anger	0.810	pezzo di merda
punched	anger	0.803	pugnu
punching	anger	0.803	punching
slam	anger	0.803	slam
homicide	anger	0.803	omicidiu
bitch	anger	0.803	cagna
fights	anger	0.803	battaglie
ruthless	anger	0.797	senza pietà
villainous	anger	0.797	villanu
destructive	anger	0.797	distruttivu
slap	anger	0.791	schiaffi
riot	anger	0.788	rivolta
growthefuckup	anger	0.788	crescita fuckup
punishing	anger	0.788	punisce
slaughterhouse	anger	0.788	macello
yelling	anger	0.788	urla
diabolical	anger	0.788	diabolicu
destroyed	anger	0.788	distruttu
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	ritorsione
manslaughter	anger	0.783	omicidiu colpu
clash	anger	0.783	scontru
quarrel	anger	0.781	lite
bloody	anger	0.781	sanguinosa
hellish	anger	0.781	infernale
sinister	anger	0.781	sinistru
loath	anger	0.781	disprezzu
detonation	anger	0.781	detonazione
accusing	anger	0.779	accusendu
fumin	anger	0.779	fumin
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	traditore
madder	anger	0.773	più pazza
horrific	anger	0.773	terribili
revulsion	anger	0.773	repulsione
retaliate	anger	0.773	ritruvà
scorn	anger	0.769	disprezzu
bomb	anger	0.766	bomba
deplorable	anger	0.766	deplorable
devastation	anger	0.765	devastazione
anarchist	anger	0.765	anarchicu
firestorm	anger	0.765	tempesta di focu
resent	anger	0.765	risentite
contemptible	anger	0.764	disprezzu
shittest	anger	0.760	merda
rant	anger	0.758	rant
cruel	anger	0.758	crudele
deadly	anger	0.758	mortali
smash	anger	0.758	smash
soangry	anger	0.758	in furia
outburst	anger	0.757	scoppiu
snarl	anger	0.754	strincà
profane	anger	0.750	prufanu
revolting	anger	0.750	rivultante
aggravating	anger	0.750	aggravante
horror	anger	0.750	orrore
despise	anger	0.750	disprezzu
offend	anger	0.750	offend
stfu	anger	0.750	stfu
vulgarity	anger	0.750	vulgarità
crazed	anger	0.750	pazza
douchebags	anger	0.750	scemi
growling	anger	0.750	ringhiannu
dontmesswithme	anger	0.750	ùn mischiate cun mè
screaming	anger	0.742	gridandu
threat	anger	0.742	minaccia
erupt	anger	0.742	erutta
horrible	anger	0.742	orribile
molestation	anger	0.742	molestazione
fuckedoff	anger	0.742	fottutu
violence	anger	0.742	viulenza
bastards	anger	0.741	bastardi
revenge	anger	0.738	vindetta
menacing	anger	0.735	minaccianti
crushing	anger	0.735	sfracicà
damn	anger	0.735	maledetta
catastrophe	anger	0.735	catastrophe
demon	anger	0.735	dimòniu
argue	anger	0.734	argumentà
persecute	anger	0.734	perseguite
deplore	anger	0.734	deplore
flog	anger	0.734	frusta
fedup	anger	0.734	una techja
riotous	anger	0.734	rivuluzione
vehement	anger	0.734	vehement
revolt	anger	0.734	rivolta
warfare	anger	0.734	guerra
thrash	anger	0.734	thrash
altercation	anger	0.729	altercazione
warlike	anger	0.728	guerrieru
shitday	anger	0.727	merda
mutiny	anger	0.727	ammutinamentu
castrate	anger	0.727	castrà
sabotage	anger	0.727	sabotage
malevolent	anger	0.721	malevolente
strike	anger	0.721	greva
disaster	anger	0.721	disastru
disastrous	anger	0.720	disastru
bastarding	anger	0.719	bastarda
treachery	anger	0.719	tradimentu
arseholes	anger	0.719	culosi
horseshit	anger	0.719	merda di cavallu
slay	anger	0.719	tumbà
disdain	anger	0.719	disprezzu
aggravates	anger	0.719	aggrava
brutal	anger	0.719	brutale
scorching	anger	0.719	bruciante
devil	anger	0.719	diavulu
madden	anger	0.719	impazzitu
spiteful	anger	0.719	disprezzu
scream	anger	0.719	urla
choke	anger	0.719	strozzare
vermin	anger	0.719	vermine
tumult	anger	0.719	tumultu
criminal	anger	0.714	criminali
mangle	anger	0.714	mangle
anarchism	anger	0.714	anarchismu
mutilation	anger	0.714	mutilazione
denunciation	anger	0.713	denunzia
punch	anger	0.713	punch
virulence	anger	0.712	virulenza
fatal	anger	0.712	fatali
hurting	anger	0.712	ferendu
crucifixion	anger	0.712	crucifixion
dontlikeyou	anger	0.712	ùn ti piace micca
blasphemous	anger	0.712	blasfemu
holocaust	anger	0.712	olucaustu
dumbasses	anger	0.712	stupidi
battled	anger	0.712	battutu
deranged	anger	0.706	sbulicatu
irritated	anger	0.706	irritatu
atrocious	anger	0.706	atroce
evil	anger	0.706	male
aggravated	anger	0.703	aggravatu
intimidation	anger	0.703	intimidazioni
dicks	anger	0.703	cazzi
assassin	anger	0.703	assassin
scolding	anger	0.703	rimproveru
persecution	anger	0.703	persecuzione
slayer	anger	0.703	uccisore
kidnap	anger	0.703	rapisce
aggression	anger	0.702	aggressione
armed	anger	0.700	armata
battle	anger	0.697	battaglia
poison	anger	0.697	velenu
snarling	anger	0.697	snarling
venom	anger	0.697	velenu
disgruntled	anger	0.693	scontenti
resentment	anger	0.691	risentimentu
assailant	anger	0.691	assaltante
insidious	anger	0.691	insidiosu
contemptuous	anger	0.690	disprezzu
lynch	anger	0.690	lynch
temper	anger	0.688	temper
terrible	anger	0.688	terribili
disparage	anger	0.688	disprezzu
lunatic	anger	0.688	lunaticu
bully	anger	0.688	bully
mad	anger	0.688	pazza
