English Word	Emotion	Emotion-Intensity-Score	Croatian Word
outraged	anger	0.964	ogorčen
brutality	anger	0.959	brutalnost
hatred	anger	0.953	mržnja
hateful	anger	0.940	mrski
terrorize	anger	0.939	terorizirati
violently	anger	0.938	žestoko
infuriated	anger	0.938	razbjesnio
furious	anger	0.929	žestok
furiously	anger	0.927	bijesno
enraged	anger	0.927	razjaren
screwyou	anger	0.924	jebi se
murderer	anger	0.922	ubojica
fury	anger	0.922	bijes
execution	anger	0.917	izvršenje
angered	anger	0.916	razljutio
savagery	anger	0.915	divljaštvo
slaughtering	anger	0.914	klanje
veryangry	anger	0.913	jako ljut
assassinate	anger	0.912	izvršiti atentat
annihilation	anger	0.912	uništenje
fuckoff	anger	0.912	jebote
rage	anger	0.911	bijes
loathe	anger	0.909	mrziti
fucktard	anger	0.906	jebote
roadrage	anger	0.906	bijes na cesti
damnation	anger	0.906	prokletstvo
homicidal	anger	0.906	ubilački
furor	anger	0.900	bijes
hostile	anger	0.898	neprijateljski
annihilate	anger	0.898	uništiti
murder	anger	0.897	ubiti
raging	anger	0.896	bijesan
sopissed	anger	0.894	sopissed
infuriates	anger	0.894	razbjesni
pissed	anger	0.894	popizdila
rape	anger	0.894	silovanje
ferocious	anger	0.894	divlji
vengeful	anger	0.894	osvetoljubiv
obliterated	anger	0.894	izbrisani
explosive	anger	0.894	Eksplozivno
killing	anger	0.893	ubijanje
combative	anger	0.891	ratoboran
vengeance	anger	0.886	osveta
gofuckyourself	anger	0.886	jebi se
torment	anger	0.885	mučiti
wrath	anger	0.885	gnjev
vicious	anger	0.884	pakostan
massacre	anger	0.882	masakr
threatening	anger	0.882	prijeteći
abhorrent	anger	0.875	odvratan
bloodthirsty	anger	0.875	krvoločan
pissoff	anger	0.875	odjebi
fighting	anger	0.868	boreći se
attacking	anger	0.865	napadački
annihilated	anger	0.865	poništen
angriest	anger	0.864	najljući
bloodshed	anger	0.864	krvoproliće
smite	anger	0.862	udariti
brawl	anger	0.861	svađa
malicious	anger	0.859	zlonamjeran
assassination	anger	0.859	atentat
strangle	anger	0.859	zadaviti
hostility	anger	0.859	neprijateljstvo
assault	anger	0.859	napad
explode	anger	0.859	eksplodirati
tirade	anger	0.859	tirada
loathsome	anger	0.857	odvratan
hell	anger	0.853	pakao
murderous	anger	0.853	ubilački
attack	anger	0.853	napad
malice	anger	0.852	zloba
terrorism	anger	0.851	terorizam
beating	anger	0.849	premlaćivanje
outrage	anger	0.848	bijes
desecration	anger	0.848	skrnavljenje
pissingmeoff	anger	0.848	popizditi me
destroying	anger	0.844	uništavajući
slaughter	anger	0.844	pokolj
irate	anger	0.844	bijesan
violent	anger	0.844	nasilan
stab	anger	0.844	ubosti
abomination	anger	0.844	odvratnost
tumultuous	anger	0.844	burno
infuriate	anger	0.844	razbjesniti
obliterate	anger	0.843	uništiti
belligerent	anger	0.841	ratoboran
dumbbitch	anger	0.841	glupana
detest	anger	0.838	mrziti
hostilities	anger	0.837	neprijateljstva
prick	anger	0.835	ubod
rampage	anger	0.833	divljanje
horrid	anger	0.833	užasan
cruelty	anger	0.833	okrutnost
torture	anger	0.833	mučenje
rabid	anger	0.833	bijesan
despicable	anger	0.828	vrijedan prezira
tyrannical	anger	0.828	tiranski
demonic	anger	0.828	demonski
satanic	anger	0.828	sotonski
hate	anger	0.828	mrziti
ragemode	anger	0.828	način bijesa
hating	anger	0.828	mrzeći
ruinous	anger	0.825	ruševna
condemn	anger	0.825	osuditi
riots	anger	0.824	neredi
demolish	anger	0.824	rušiti
angry	anger	0.824	ljut
extermination	anger	0.824	istrebljenje
dickhead	anger	0.824	kurvin sin
livid	anger	0.821	bijesan
madman	anger	0.820	luđak
vindictive	anger	0.819	osvetoljubiv
terrorist	anger	0.818	terorista
threaten	anger	0.818	ugroziti
venomous	anger	0.818	otrovna
hateyou	anger	0.818	mrzim te
ferocity	anger	0.818	žestina
effyou	anger	0.818	effyou
abhor	anger	0.816	gnušati se
carnage	anger	0.814	pokolj
savage	anger	0.814	divljak
atrocity	anger	0.814	grozota
fucksake	anger	0.812	jebote
abuse	anger	0.812	zlostavljanje
fierce	anger	0.812	žestoka
destroyer	anger	0.812	razarač
angrytweet	anger	0.812	ljutiti tweet
barbaric	anger	0.812	barbarski
vendetta	anger	0.812	osveta
pissesmeoff	anger	0.812	ljuti me
pissedoff	anger	0.812	ljut
tyrant	anger	0.812	tiranin
berserk	anger	0.812	mahnit
fuming	anger	0.812	dimeći se
anger	anger	0.811	bijes
pieceofshit	anger	0.810	sranje
punched	anger	0.803	udaren
punching	anger	0.803	probijanje
slam	anger	0.803	zalupiti
homicide	anger	0.803	umorstvo
bitch	anger	0.803	kuja
fights	anger	0.803	tuče se
ruthless	anger	0.797	nemilosrdan
villainous	anger	0.797	zlotvorski
destructive	anger	0.797	destruktivno
slap	anger	0.791	šamariti
riot	anger	0.788	pobuna
growthefuckup	anger	0.788	rastzajeb
punishing	anger	0.788	kažnjavajući
slaughterhouse	anger	0.788	klaonica
yelling	anger	0.788	vikanje
diabolical	anger	0.788	dijaboličan
destroyed	anger	0.788	uništeno
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	uzvratni
manslaughter	anger	0.783	ubojstvo iz nehata
clash	anger	0.783	sukob
quarrel	anger	0.781	svađa
bloody	anger	0.781	krvavi
hellish	anger	0.781	pakleni
sinister	anger	0.781	zlokoban
loath	anger	0.781	gađenje
detonation	anger	0.781	detonacija
accusing	anger	0.779	optužujući
fumin	anger	0.779	fumin
hateeee	anger	0.779	mrzimeee
treacherous	anger	0.779	podmukao
madder	anger	0.773	luđi
horrific	anger	0.773	užasan
revulsion	anger	0.773	odbojnost
retaliate	anger	0.773	uzvratiti
scorn	anger	0.769	prezir
bomb	anger	0.766	bomba
deplorable	anger	0.766	žalosno
devastation	anger	0.765	razaranja
anarchist	anger	0.765	anarhist
firestorm	anger	0.765	Vatrena oluja
resent	anger	0.765	vrijeđati
contemptible	anger	0.764	prezrivog
shittest	anger	0.760	najsranje
rant	anger	0.758	dreka
cruel	anger	0.758	okrutan
deadly	anger	0.758	smrtonosan
smash	anger	0.758	razbiti
