English Word	Emotion	Emotion-Intensity-Score	Czech Word
outraged	anger	0.964	pobouřen
brutality	anger	0.959	brutalita
hatred	anger	0.953	nenávist
hateful	anger	0.940	nenávistný
terrorize	anger	0.939	terorizovat
violently	anger	0.938	násilně
infuriated	anger	0.938	rozzuřený
furious	anger	0.929	zuřivý
furiously	anger	0.927	zuřivě
enraged	anger	0.927	rozzuřený
screwyou	anger	0.924	děs
murderer	anger	0.922	vrah
fury	anger	0.922	zuřivost
execution	anger	0.917	provedení
angered	anger	0.916	rozzlobený
savagery	anger	0.915	divokost
slaughtering	anger	0.914	porážení
veryangry	anger	0.913	velmi rozzlobený
assassinate	anger	0.912	zavraždit
annihilation	anger	0.912	zničení
fuckoff	anger	0.912	do prdele
rage	anger	0.911	vztek
loathe	anger	0.909	nenávidět
fucktard	anger	0.906	fucktard
roadrage	anger	0.906	silniční doprava
damnation	anger	0.906	zatracení
homicidal	anger	0.906	vražedný
furor	anger	0.900	zuřivost
hostile	anger	0.898	nepřátelský
annihilate	anger	0.898	zničit
murder	anger	0.897	vražda
raging	anger	0.896	zuřící
sopissed	anger	0.894	opisený
infuriates	anger	0.894	rozzuří
pissed	anger	0.894	naštvaný
rape	anger	0.894	znásilnění
ferocious	anger	0.894	divoký
vengeful	anger	0.894	pomstychtivý
obliterated	anger	0.894	vymazáno
explosive	anger	0.894	explozivní
killing	anger	0.893	zabíjení
combative	anger	0.891	bojovný
vengeance	anger	0.886	pomsta
gofuckyourself	anger	0.886	zbláznit se
torment	anger	0.885	trápení
wrath	anger	0.885	hněv
vicious	anger	0.884	zlý
massacre	anger	0.882	masakr
threatening	anger	0.882	hrozivý
abhorrent	anger	0.875	odporný
bloodthirsty	anger	0.875	krvežíznivý
pissoff	anger	0.875	nasrat
fighting	anger	0.868	bojování
attacking	anger	0.865	útočící
annihilated	anger	0.865	zničena
angriest	anger	0.864	nejrozzlobenější
bloodshed	anger	0.864	krveprolití
smite	anger	0.862	udeřit
brawl	anger	0.861	hádka
malicious	anger	0.859	zlomyslný
assassination	anger	0.859	atentát
strangle	anger	0.859	uškrtit
hostility	anger	0.859	nepřátelství
assault	anger	0.859	útok
explode	anger	0.859	explodovat
tirade	anger	0.859	tiráda
loathsome	anger	0.857	odporný
hell	anger	0.853	peklo
murderous	anger	0.853	vražedný
attack	anger	0.853	Záchvat
malice	anger	0.852	zlomyslnost
terrorism	anger	0.851	terorismus
beating	anger	0.849	porážka
outrage	anger	0.848	rozhořčení
desecration	anger	0.848	znesvěcení
pissingmeoff	anger	0.848	štve mě to
destroying	anger	0.844	ničící
slaughter	anger	0.844	porážka
irate	anger	0.844	rozzlobený
violent	anger	0.844	násilný
stab	anger	0.844	bodnout
abomination	anger	0.844	ohavnost
tumultuous	anger	0.844	bouřlivý
infuriate	anger	0.844	rozzuřit
obliterate	anger	0.843	vyhladit
belligerent	anger	0.841	agresivní
dumbbitch	anger	0.841	děvka
detest	anger	0.838	nenávidět
hostilities	anger	0.837	nepřátelské akce
prick	anger	0.835	bodnutí
rampage	anger	0.833	řádění
horrid	anger	0.833	příšerný
cruelty	anger	0.833	krutost
torture	anger	0.833	mučení
rabid	anger	0.833	vzteklý
despicable	anger	0.828	opovrženíhodný
tyrannical	anger	0.828	tyranský
demonic	anger	0.828	démonický
satanic	anger	0.828	satanský
hate	anger	0.828	nenávist
ragemode	anger	0.828	ragemode
hating	anger	0.828	nenávidět
ruinous	anger	0.825	ničivý
condemn	anger	0.825	odsoudit
riots	anger	0.824	nepokoje
demolish	anger	0.824	strhnout
angry	anger	0.824	rozzlobený
extermination	anger	0.824	vyhlazování
dickhead	anger	0.824	čurák
livid	anger	0.821	rozzuřený
madman	anger	0.820	šílenec
vindictive	anger	0.819	mstivý
terrorist	anger	0.818	terorista
threaten	anger	0.818	vyhrožovat
venomous	anger	0.818	jedovatý
hateyou	anger	0.818	nesnáším tě
ferocity	anger	0.818	divokost
effyou	anger	0.818	effyy
abhor	anger	0.816	hnusit si
carnage	anger	0.814	krveprolití
savage	anger	0.814	divoch
atrocity	anger	0.814	krutost
fucksake	anger	0.812	kurva
abuse	anger	0.812	zneužívání
fierce	anger	0.812	divoký
destroyer	anger	0.812	ničitel
angrytweet	anger	0.812	naštvaný tweet
barbaric	anger	0.812	barbarský
vendetta	anger	0.812	vendeta
pissesmeoff	anger	0.812	štve mě
pissedoff	anger	0.812	naštvaný
tyrant	anger	0.812	tyran
berserk	anger	0.812	šílený
fuming	anger	0.812	vztekat se
anger	anger	0.811	hněv
pieceofshit	anger	0.810	svinstvo
punched	anger	0.803	děrovaný
punching	anger	0.803	děrování
slam	anger	0.803	slam
homicide	anger	0.803	zabití
bitch	anger	0.803	fena
fights	anger	0.803	bojuje
ruthless	anger	0.797	nemilosrdný
villainous	anger	0.797	darebný
destructive	anger	0.797	destruktivní
slap	anger	0.791	políček
riot	anger	0.788	vzpoura
growthefuckup	anger	0.788	growthefuckup
punishing	anger	0.788	trestající
slaughterhouse	anger	0.788	jatky
yelling	anger	0.788	křičí
diabolical	anger	0.788	ďábelský
destroyed	anger	0.788	zničeno
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	odvetný
manslaughter	anger	0.783	zabití
clash	anger	0.783	střet
quarrel	anger	0.781	hádka
bloody	anger	0.781	krvavý
hellish	anger	0.781	pekelný
sinister	anger	0.781	zlověstný
loath	anger	0.781	nechuť
detonation	anger	0.781	detonace
accusing	anger	0.779	obviňující
fumin	anger	0.779	fumin
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	zrádný
madder	anger	0.773	šílenější
horrific	anger	0.773	hrůzný
revulsion	anger	0.773	odpor
retaliate	anger	0.773	odplatit
scorn	anger	0.769	opovržení
bomb	anger	0.766	bombardovat
deplorable	anger	0.766	žalostný
devastation	anger	0.765	devastace
anarchist	anger	0.765	anarchista
firestorm	anger	0.765	ohnivá bouře
resent	anger	0.765	mrzet
contemptible	anger	0.764	opovrženíhodný
shittest	anger	0.760	nejsranější
rant	anger	0.758	chvástat se
cruel	anger	0.758	krutý
deadly	anger	0.758	smrtící
smash	anger	0.758	rozbít
soangry	anger	0.758	tak naštvaný
outburst	anger	0.757	výbuch
snarl	anger	0.754	vrčet
profane	anger	0.750	rouhavý
revolting	anger	0.750	nechutný
aggravating	anger	0.750	přitěžující
horror	anger	0.750	hrůza
despise	anger	0.750	opovrhovat
offend	anger	0.750	urazit
stfu	anger	0.750	stfu
vulgarity	anger	0.750	vulgarita
crazed	anger	0.750	poblázněný
douchebags	anger	0.750	douchebags
growling	anger	0.750	vrčení
dontmesswithme	anger	0.750	nebav se se mnou
screaming	anger	0.742	ječící
threat	anger	0.742	ohrožení
erupt	anger	0.742	vybuchnout
horrible	anger	0.742	hrozný
molestation	anger	0.742	obtěžování
fuckedoff	anger	0.742	v prdeli
violence	anger	0.742	násilí
bastards	anger	0.741	bastardi
revenge	anger	0.738	pomsta
menacing	anger	0.735	hrozivý
crushing	anger	0.735	zdrcující
damn	anger	0.735	sakra
catastrophe	anger	0.735	katastrofa
demon	anger	0.735	démon
argue	anger	0.734	dohadovat se
persecute	anger	0.734	pronásledovat
deplore	anger	0.734	litovat
flog	anger	0.734	bičovat
fedup	anger	0.734	naštvaný
riotous	anger	0.734	hýřivý
vehement	anger	0.734	vehementně
revolt	anger	0.734	vzpoura
warfare	anger	0.734	válčení
thrash	anger	0.734	mlátit
altercation	anger	0.729	hádka
warlike	anger	0.728	bojovný
shitday	anger	0.727	shitday
mutiny	anger	0.727	vzpoura
castrate	anger	0.727	kastrovat
sabotage	anger	0.727	sabotovat
malevolent	anger	0.721	zlovolný
strike	anger	0.721	stávkovat
disaster	anger	0.721	katastrofa
disastrous	anger	0.720	katastrofální
bastarding	anger	0.719	bastardování
treachery	anger	0.719	zrada
arseholes	anger	0.719	prdelky
horseshit	anger	0.719	kravina
slay	anger	0.719	zabít
disdain	anger	0.719	pohrdání
aggravates	anger	0.719	zhoršuje
brutal	anger	0.719	brutální
scorching	anger	0.719	spalující
devil	anger	0.719	ďábel
madden	anger	0.719	šílený
spiteful	anger	0.719	zlomyslný
scream	anger	0.719	výkřik
choke	anger	0.719	dávit se
vermin	anger	0.719	havěť
tumult	anger	0.719	hluk
criminal	anger	0.714	zločinec
mangle	anger	0.714	mandl
anarchism	anger	0.714	anarchismus
mutilation	anger	0.714	zmrzačení
denunciation	anger	0.713	výpověď
punch	anger	0.713	rána pěstí
virulence	anger	0.712	virulence
fatal	anger	0.712	fatální
hurting	anger	0.712	bolí
crucifixion	anger	0.712	ukřižování
dontlikeyou	anger	0.712	nemám tě rád
blasphemous	anger	0.712	rouhačský
holocaust	anger	0.712	holocaust
dumbasses	anger	0.712	blbci
battled	anger	0.712	bojoval
deranged	anger	0.706	vyšinutý
irritated	anger	0.706	podrážděný
atrocious	anger	0.706	otřesný
evil	anger	0.706	zlo
aggravated	anger	0.703	zhoršené
intimidation	anger	0.703	zastrašování
dicks	anger	0.703	ptáky
assassin	anger	0.703	vrah
scolding	anger	0.703	plísnění
persecution	anger	0.703	pronásledování
slayer	anger	0.703	vrah
kidnap	anger	0.703	unést
aggression	anger	0.702	agrese
armed	anger	0.700	ozbrojený
battle	anger	0.697	bitva
poison	anger	0.697	jed
snarling	anger	0.697	vrčící
venom	anger	0.697	jed
disgruntled	anger	0.693	nespokojený
resentment	anger	0.691	odpor
assailant	anger	0.691	útočník
insidious	anger	0.691	zákeřný
contemptuous	anger	0.690	pohrdavý
lynch	anger	0.690	lynčovat
temper	anger	0.688	nálada
terrible	anger	0.688	hrozný
disparage	anger	0.688	znevažovat
lunatic	anger	0.688	blázen
bully	anger	0.688	tyran
mad	anger	0.688	šílený
makesmemad	anger	0.688	makememad
infanticide	anger	0.688	infanticida
domination	anger	0.688	nadvláda
peeved	anger	0.688	naštvaný
imprisonment	anger	0.688	odnětí svobody
curse	anger	0.688	kletba
volatility	anger	0.687	volatilita
eradication	anger	0.685	vymýcení
eradicate	anger	0.682	vymýtit
tantrum	anger	0.682	rapl
scoundrel	anger	0.682	ničema
devastate	anger	0.682	zpustošit
aggressively	anger	0.680	agresivně
agitation	anger	0.680	míchání
dictatorship	anger	0.676	diktatura
irritates	anger	0.676	dráždí
profanity	anger	0.673	rouhavost
shove	anger	0.672	strčit
nasty	anger	0.672	ošklivý
shot	anger	0.672	výstřel
cruelly	anger	0.672	krutě
shoot	anger	0.672	střílet
condemnation	anger	0.672	odsouzení
crushed	anger	0.672	rozdrcený
aggravation	anger	0.672	zhoršení
poisonous	anger	0.672	jedovatý
egregious	anger	0.672	křiklavý
crime	anger	0.672	zločin
corrupting	anger	0.672	korumpující
dastardly	anger	0.672	podlý
contempt	anger	0.672	opovržení
harmful	anger	0.672	škodlivý
expletive	anger	0.672	nadávka
wreak	anger	0.672	způsobit
maniac	anger	0.670	maniak
cutthroat	anger	0.667	bezohledný
enemy	anger	0.667	nepřítel
hit	anger	0.667	udeřil
hateeveryone	anger	0.667	nenávidět každého
eruption	anger	0.667	výbuch
irritable	anger	0.667	dráždivý
odious	anger	0.667	odporný
shooting	anger	0.667	Střílení
shout	anger	0.667	křičet
aggressive	anger	0.667	agresivní
kick	anger	0.667	kop
combat	anger	0.667	boj
fight	anger	0.667	boj
punished	anger	0.662	potrestán
yell	anger	0.661	výkřik
ambush	anger	0.661	přepadení
harass	anger	0.659	obtěžovat
malignant	anger	0.656	zhoubný
aggressor	anger	0.656	agresor
gore	anger	0.656	gore
destruction	anger	0.656	zničení
grudge	anger	0.656	zášť
antichrist	anger	0.656	antikrist
incense	anger	0.656	kadidlo
expel	anger	0.656	vyloučit
cranky	anger	0.653	výstřední
slave	anger	0.652	otrok
reprisal	anger	0.652	odveta
growl	anger	0.652	zavrčení
animosity	anger	0.652	nepřátelství
insurrection	anger	0.652	povstání
clashing	anger	0.652	střetávání
denounce	anger	0.652	vypovědět
offended	anger	0.652	uražený
spank	anger	0.652	naplácat na zadek
insulting	anger	0.652	urážející
growls	anger	0.649	vrčí
executioner	anger	0.644	kat
twat	anger	0.644	twat
doomsday	anger	0.643	soudný den
obscenity	anger	0.641	oplzlost
accused	anger	0.641	obžalovaný
feud	anger	0.641	svár
daemon	anger	0.641	démon
havoc	anger	0.641	spoušť
shackle	anger	0.641	spoutat
inexcusable	anger	0.641	neomluvitelné
indignant	anger	0.641	rozhořčený
grr	anger	0.641	grr
expulsion	anger	0.641	vyhoštění
bombard	anger	0.641	bombardovat
spat	anger	0.641	plivl
arson	anger	0.641	žhářství
reprimand	anger	0.641	důtka
somad	anger	0.637	tak šílený
