English Word	Emotion	Emotion-Intensity-Score	Danish Word
outraged	anger	0.964	forarget
brutality	anger	0.959	brutalitet
hatred	anger	0.953	had
hateful	anger	0.940	hadefulde
terrorize	anger	0.939	terrorisere
violently	anger	0.938	voldsomt
infuriated	anger	0.938	rasende
furious	anger	0.929	rasende
furiously	anger	0.927	rasende
enraged	anger	0.927	rasende
screwyou	anger	0.924	rend og hop
murderer	anger	0.922	morder
fury	anger	0.922	raseri
execution	anger	0.917	udførelse
angered	anger	0.916	vred
savagery	anger	0.915	vildskab
slaughtering	anger	0.914	slagtning
veryangry	anger	0.913	meget sur
assassinate	anger	0.912	myrde
annihilation	anger	0.912	tilintetgørelse
fuckoff	anger	0.912	for fanden
rage	anger	0.911	raseri
loathe	anger	0.909	afsky
fucktard	anger	0.906	fandenivoldsk
roadrage	anger	0.906	roadrage
damnation	anger	0.906	forbandelse
homicidal	anger	0.906	drabsagtig
furor	anger	0.900	furor
hostile	anger	0.898	fjendtlig
annihilate	anger	0.898	tilintetgøre
murder	anger	0.897	mord
raging	anger	0.896	raser
sopissed	anger	0.894	pysslet
infuriates	anger	0.894	gør rasende
pissed	anger	0.894	sur
rape	anger	0.894	voldtage
ferocious	anger	0.894	glubsk
vengeful	anger	0.894	hævngerrig
obliterated	anger	0.894	udslettet
explosive	anger	0.894	eksplosiv
killing	anger	0.893	drab
combative	anger	0.891	stridbar
vengeance	anger	0.886	hævn
gofuckyourself	anger	0.886	fuck dig selv
torment	anger	0.885	pine
wrath	anger	0.885	vrede
vicious	anger	0.884	ondskabsfuld
massacre	anger	0.882	massakre
threatening	anger	0.882	truende
abhorrent	anger	0.875	afskyeligt
bloodthirsty	anger	0.875	blodtørstig
pissoff	anger	0.875	pisse af
fighting	anger	0.868	kæmper
attacking	anger	0.865	angribende
annihilated	anger	0.865	udslettet
angriest	anger	0.864	vredste
bloodshed	anger	0.864	blodsudgydelse
smite	anger	0.862	slå
brawl	anger	0.861	slagsmål
malicious	anger	0.859	ondsindet
assassination	anger	0.859	snigmord
strangle	anger	0.859	kvæle
