English Word	Emotion	Emotion-Intensity-Score	Dutch Word
outraged	anger	0.964	verontwaardigd
brutality	anger	0.959	brutaliteit
hatred	anger	0.953	haat
hateful	anger	0.940	haatdragend
terrorize	anger	0.939	terroriseren
violently	anger	0.938	met geweld
infuriated	anger	0.938	woedend
furious	anger	0.929	woest
furiously	anger	0.927	woedend
enraged	anger	0.927	woedend
screwyou	anger	0.924	Bekijk het maar
murderer	anger	0.922	moordenaar
fury	anger	0.922	woede
execution	anger	0.917	uitvoering
angered	anger	0.916	boos
savagery	anger	0.915	wreedheid
slaughtering	anger	0.914	slachten
veryangry	anger	0.913	zeer boos
assassinate	anger	0.912	vermoorden
annihilation	anger	0.912	vernietiging
fuckoff	anger	0.912	rotzooi
rage	anger	0.911	woede
loathe	anger	0.909	verafschuwen
fucktard	anger	0.906	fucktard
roadrage	anger	0.906	verkeersagressie
damnation	anger	0.906	verdoemenis
homicidal	anger	0.906	moorddadige
furor	anger	0.900	furore
hostile	anger	0.898	gewelddadig
annihilate	anger	0.898	vernietigen
murder	anger	0.897	moord
raging	anger	0.896	woedend
sopissed	anger	0.894	zo kwaad
infuriates	anger	0.894	maakt woedend
pissed	anger	0.894	boos
rape	anger	0.894	verkrachting
ferocious	anger	0.894	woest
vengeful	anger	0.894	wraakzuchtig
obliterated	anger	0.894	uitgewist
explosive	anger	0.894	explosief
killing	anger	0.893	moorden
combative	anger	0.891	strijdlustig
vengeance	anger	0.886	wraak
gofuckyourself	anger	0.886	maak jezelf gek
torment	anger	0.885	kwelling
wrath	anger	0.885	toorn
vicious	anger	0.884	gemeen
massacre	anger	0.882	bloedbad
threatening	anger	0.882	dreigend
abhorrent	anger	0.875	weerzinwekkend
bloodthirsty	anger	0.875	bloeddorstig
pissoff	anger	0.875	donder op
fighting	anger	0.868	vechten
attacking	anger	0.865	aanvallend
annihilated	anger	0.865	vernietigd
angriest	anger	0.864	boosste
bloodshed	anger	0.864	bloedvergieten
smite	anger	0.862	slaan
brawl	anger	0.861	vechtpartij
malicious	anger	0.859	kwaadwillend
assassination	anger	0.859	moord
strangle	anger	0.859	wurgen
hostility	anger	0.859	vijandigheid
assault	anger	0.859	overval
