English Word	Emotion	Emotion-Intensity-Score	Esperanto Word
outraged	anger	0.964	indignigita
brutality	anger	0.959	brutaleco
hatred	anger	0.953	malamo
hateful	anger	0.940	malamindaj
terrorize	anger	0.939	teruradi
violently	anger	0.938	perforte
infuriated	anger	0.938	furioziĝis
furious	anger	0.929	furioza
furiously	anger	0.927	furioze
enraged	anger	0.927	kolerigis
screwyou	anger	0.924	Forfikiĝu
murderer	anger	0.922	murdisto
fury	anger	0.922	furiozo
execution	anger	0.917	ekzekuto
angered	anger	0.916	kolerigis
savagery	anger	0.915	sovaĝeco
slaughtering	anger	0.914	buĉado
veryangry	anger	0.913	tre kolera
assassinate	anger	0.912	murdi
annihilation	anger	0.912	neniigo
fuckoff	anger	0.912	fuckoff
rage	anger	0.911	kolerego
loathe	anger	0.909	abomenas
fucktard	anger	0.906	fucktard
roadrage	anger	0.906	roadrage
damnation	anger	0.906	damno
homicidal	anger	0.906	hommortiga
furor	anger	0.900	furoro
hostile	anger	0.898	malamika
annihilate	anger	0.898	neniigi
murder	anger	0.897	murdo
raging	anger	0.896	furiozanta
sopissed	anger	0.894	sopitis
infuriates	anger	0.894	indignigas
pissed	anger	0.894	koleris
rape	anger	0.894	seksperforto
ferocious	anger	0.894	feroca
vengeful	anger	0.894	venĝema
obliterated	anger	0.894	forigita
explosive	anger	0.894	eksplodema
killing	anger	0.893	mortigo
combative	anger	0.891	batalema
vengeance	anger	0.886	venĝo
gofuckyourself	anger	0.886	fuku vin mem
torment	anger	0.885	turmenti
wrath	anger	0.885	kolerego
vicious	anger	0.884	malvirta
massacre	anger	0.882	masakro
threatening	anger	0.882	minacante
abhorrent	anger	0.875	abomeninda
bloodthirsty	anger	0.875	sangavida
pissoff	anger	0.875	pisoff
fighting	anger	0.868	batalado
attacking	anger	0.865	atakante
annihilated	anger	0.865	neniigita
angriest	anger	0.864	plej kolera
bloodshed	anger	0.864	sangoverŝado
smite	anger	0.862	frapi
brawl	anger	0.861	kvereli
malicious	anger	0.859	malica
assassination	anger	0.859	murdo
strangle	anger	0.859	strangoli
hostility	anger	0.859	malamikeco
assault	anger	0.859	sturmo
explode	anger	0.859	eksplodi
tirade	anger	0.859	tirado
loathsome	anger	0.857	abomeninda
hell	anger	0.853	infero
murderous	anger	0.853	murdema
attack	anger	0.853	ataki
malice	anger	0.852	malico
terrorism	anger	0.851	terorismo
beating	anger	0.849	batante
outrage	anger	0.848	indigno
desecration	anger	0.848	profanigo
pissingmeoff	anger	0.848	pisingmeoff
destroying	anger	0.844	detruante
slaughter	anger	0.844	buĉado
irate	anger	0.844	kolerega
violent	anger	0.844	perforta
stab	anger	0.844	ponardi
abomination	anger	0.844	abomeno
tumultuous	anger	0.844	tumulta
infuriate	anger	0.844	indignigi
obliterate	anger	0.843	forigi
belligerent	anger	0.841	militema
dumbbitch	anger	0.841	stultulo
detest	anger	0.838	abomenas
hostilities	anger	0.837	malamikecoj
prick	anger	0.835	piki
rampage	anger	0.833	furiozado
horrid	anger	0.833	terura
cruelty	anger	0.833	krueleco
torture	anger	0.833	torturo
rabid	anger	0.833	rabia
despicable	anger	0.828	malestiminda
tyrannical	anger	0.828	tirana
demonic	anger	0.828	demona
satanic	anger	0.828	satana
hate	anger	0.828	malamo
ragemode	anger	0.828	ragemode
hating	anger	0.828	malamante
ruinous	anger	0.825	ruiniga
condemn	anger	0.825	kondamni
riots	anger	0.824	tumultoj
demolish	anger	0.824	malkonstrui
angry	anger	0.824	kolera
extermination	anger	0.824	ekstermado
dickhead	anger	0.824	dikokapo
livid	anger	0.821	livid
madman	anger	0.820	frenezulo
vindictive	anger	0.819	venĝema
terrorist	anger	0.818	teroristo
threaten	anger	0.818	minaci
venomous	anger	0.818	venenaj
hateyou	anger	0.818	malamas vin
ferocity	anger	0.818	sovaĝeco
effyou	anger	0.818	effyou
abhor	anger	0.816	abomeno
carnage	anger	0.814	buĉado
savage	anger	0.814	sovaĝa
atrocity	anger	0.814	abomenaĵo
fucksake	anger	0.812	fuckake
abuse	anger	0.812	misuzo
fierce	anger	0.812	feroca
destroyer	anger	0.812	detruanto
angrytweet	anger	0.812	angrytweet
barbaric	anger	0.812	barbara
vendetta	anger	0.812	vendetto
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	kolerigita
tyrant	anger	0.812	tirano
berserk	anger	0.812	freneza
fuming	anger	0.812	fumante
anger	anger	0.811	kolero
pieceofshit	anger	0.810	peco da merdo
punched	anger	0.803	pugnobatis
punching	anger	0.803	pugnobatado
slam	anger	0.803	slam
homicide	anger	0.803	hommortigo
bitch	anger	0.803	hundino
fights	anger	0.803	bataloj
ruthless	anger	0.797	senkompata
villainous	anger	0.797	fiulo
destructive	anger	0.797	detrua
