English Word	Emotion	Emotion-Intensity-Score	Estonian Word
outraged	anger	0.964	nördinud
brutality	anger	0.959	jõhkrus
hatred	anger	0.953	vihkamine
hateful	anger	0.940	vihkav
terrorize	anger	0.939	terroriseerida
violently	anger	0.938	vägivaldselt
infuriated	anger	0.938	raevunud
furious	anger	0.929	raevukas
furiously	anger	0.927	raevukalt
enraged	anger	0.927	raevunud
screwyou	anger	0.924	perse sind
murderer	anger	0.922	mõrvar
fury	anger	0.922	raev
execution	anger	0.917	hukkamine
angered	anger	0.916	vihastanud
savagery	anger	0.915	metsikus
slaughtering	anger	0.914	tapmine
veryangry	anger	0.913	väga vihane
assassinate	anger	0.912	mõrvata
annihilation	anger	0.912	hävitamine
fuckoff	anger	0.912	persse
rage	anger	0.911	raev
loathe	anger	0.909	jälestama
fucktard	anger	0.906	fucktard
roadrage	anger	0.906	maantee raev
damnation	anger	0.906	hukatus
homicidal	anger	0.906	mõrvarlik
furor	anger	0.900	furoori
hostile	anger	0.898	vaenulik
annihilate	anger	0.898	hävitama
murder	anger	0.897	mõrva
raging	anger	0.896	märatsev
sopissed	anger	0.894	sopistunud
infuriates	anger	0.894	ajab vihale
pissed	anger	0.894	vihane
rape	anger	0.894	vägistamine
ferocious	anger	0.894	raevukas
vengeful	anger	0.894	kättemaksuhimuline
obliterated	anger	0.894	kustutatud
explosive	anger	0.894	plahvatusohtlik
killing	anger	0.893	tapmine
combative	anger	0.891	võitluslik
vengeance	anger	0.886	kättemaksu
gofuckyourself	anger	0.886	aja ennast persse
torment	anger	0.885	piinata
wrath	anger	0.885	viha
vicious	anger	0.884	tige
massacre	anger	0.882	veresaun
threatening	anger	0.882	ähvardav
abhorrent	anger	0.875	vastik
bloodthirsty	anger	0.875	verejanuline
pissoff	anger	0.875	pissiks
fighting	anger	0.868	võitlevad
attacking	anger	0.865	rünnata
annihilated	anger	0.865	hävitatud
angriest	anger	0.864	kõige vihasem
bloodshed	anger	0.864	verevalamine
smite	anger	0.862	lööma
brawl	anger	0.861	kaklema
malicious	anger	0.859	pahatahtlik
assassination	anger	0.859	atentaat
strangle	anger	0.859	kägistama
hostility	anger	0.859	vaenulikkus
assault	anger	0.859	rünnak
explode	anger	0.859	plahvatada
tirade	anger	0.859	tiraadi
loathsome	anger	0.857	vastik
hell	anger	0.853	põrgu
murderous	anger	0.853	mõrvarlik
attack	anger	0.853	rünnak
malice	anger	0.852	pahatahtlikkus
terrorism	anger	0.851	terrorism
beating	anger	0.849	peksmine
outrage	anger	0.848	nördimust
desecration	anger	0.848	rüvetamine
pissingmeoff	anger	0.848	pissing meoff
destroying	anger	0.844	hävitades
slaughter	anger	0.844	tapmine
irate	anger	0.844	vihane
violent	anger	0.844	vägivaldne
stab	anger	0.844	torkima
abomination	anger	0.844	jälkus
tumultuous	anger	0.844	tormiline
infuriate	anger	0.844	vihastada
obliterate	anger	0.843	kustutama
belligerent	anger	0.841	sõjakas
dumbbitch	anger	0.841	loll
detest	anger	0.838	vihkama
hostilities	anger	0.837	vaenutegevus
prick	anger	0.835	torkima
rampage	anger	0.833	märatsema
horrid	anger	0.833	õudne
cruelty	anger	0.833	julmus
torture	anger	0.833	piinamine
rabid	anger	0.833	raevukas
despicable	anger	0.828	põlastusväärne
tyrannical	anger	0.828	türanniline
demonic	anger	0.828	deemonlik
satanic	anger	0.828	saatanlik
hate	anger	0.828	vihkama
ragemode	anger	0.828	ragemode
hating	anger	0.828	vihkamine
ruinous	anger	0.825	rusuv
condemn	anger	0.825	hukka mõista
riots	anger	0.824	rahutused
demolish	anger	0.824	lammutada
angry	anger	0.824	vihane
extermination	anger	0.824	hävitamine
dickhead	anger	0.824	riistapea
livid	anger	0.821	vihane
madman	anger	0.820	hull
vindictive	anger	0.819	kättemaksuhimuline
terrorist	anger	0.818	terrorist
threaten	anger	0.818	ähvardama
venomous	anger	0.818	mürgine
hateyou	anger	0.818	vihkan sind
ferocity	anger	0.818	raevukus
effyou	anger	0.818	effyou
abhor	anger	0.816	jälestus
carnage	anger	0.814	tapatalgud
savage	anger	0.814	metsik
atrocity	anger	0.814	julmus
fucksake	anger	0.812	kurat
abuse	anger	0.812	kuritarvitamine
fierce	anger	0.812	äge
destroyer	anger	0.812	hävitaja
angrytweet	anger	0.812	vihane säuts
barbaric	anger	0.812	barbaarne
vendetta	anger	0.812	vendetta
pissesmeoff	anger	0.812	vihane
pissedoff	anger	0.812	Vihane
tyrant	anger	0.812	türann
berserk	anger	0.812	pöörane
fuming	anger	0.812	suitseb
anger	anger	0.811	viha
pieceofshit	anger	0.810	pask
punched	anger	0.803	löödud
punching	anger	0.803	augustamine
slam	anger	0.803	slam
homicide	anger	0.803	tapmine
bitch	anger	0.803	lits
fights	anger	0.803	kakleb
ruthless	anger	0.797	halastamatu
villainous	anger	0.797	pahatahtlik
destructive	anger	0.797	hävitav
slap	anger	0.791	laks
riot	anger	0.788	mäss
growthefuckup	anger	0.788	kasvupekk
punishing	anger	0.788	karistades
slaughterhouse	anger	0.788	tapamaja
yelling	anger	0.788	karjudes
diabolical	anger	0.788	kuratlik
destroyed	anger	0.788	hävitatud
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	kättemaksuks
manslaughter	anger	0.783	tapmine
clash	anger	0.783	kokkupõrge
quarrel	anger	0.781	tüli
bloody	anger	0.781	verine
hellish	anger	0.781	põrgulik
sinister	anger	0.781	kurjakuulutav
loath	anger	0.781	vihkama
detonation	anger	0.781	detonatsioon
accusing	anger	0.779	süüdistades
fumin	anger	0.779	fumin
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	reetlik
madder	anger	0.773	hullumeelsem
horrific	anger	0.773	kohutav
revulsion	anger	0.773	vastumeelsus
retaliate	anger	0.773	kätte maksma
scorn	anger	0.769	põlgama
bomb	anger	0.766	pomm
deplorable	anger	0.766	kahetsusväärne
devastation	anger	0.765	laastamine
anarchist	anger	0.765	anarhist
firestorm	anger	0.765	tuletorm
resent	anger	0.765	pahaks panna
contemptible	anger	0.764	põlastusväärne
shittest	anger	0.760	kõige nõmedam
rant	anger	0.758	röökima
cruel	anger	0.758	julm
deadly	anger	0.758	surmav
smash	anger	0.758	purustada
soangry	anger	0.758	nii vihane
outburst	anger	0.757	puhang
snarl	anger	0.754	urisema
profane	anger	0.750	profaanne
revolting	anger	0.750	mässuline
aggravating	anger	0.750	raskendav
horror	anger	0.750	õudus
despise	anger	0.750	põlata
offend	anger	0.750	solvata
stfu	anger	0.750	stfu
vulgarity	anger	0.750	vulgaarsus
crazed	anger	0.750	hullunud
douchebags	anger	0.750	pätid
growling	anger	0.750	urisemine
dontmesswithme	anger	0.750	ära sega minuga
screaming	anger	0.742	karjudes
threat	anger	0.742	oht
erupt	anger	0.742	purskama
horrible	anger	0.742	kohutav
molestation	anger	0.742	ahistamine
fuckedoff	anger	0.742	persse läinud
violence	anger	0.742	vägivalda
bastards	anger	0.741	pätid
revenge	anger	0.738	kättemaks
menacing	anger	0.735	ähvardav
crushing	anger	0.735	purustamine
damn	anger	0.735	kurat
catastrophe	anger	0.735	katastroofi
demon	anger	0.735	deemon
argue	anger	0.734	vaidlema
persecute	anger	0.734	taga kiusama
deplore	anger	0.734	taunima
flog	anger	0.734	piitsutama
fedup	anger	0.734	kõrini
riotous	anger	0.734	märatsev
vehement	anger	0.734	kirglik
revolt	anger	0.734	vastuhakk
warfare	anger	0.734	sõjapidamine
thrash	anger	0.734	thrash
altercation	anger	0.729	tüli
warlike	anger	0.728	sõjakas
shitday	anger	0.727	kuradipäev
mutiny	anger	0.727	mäss
castrate	anger	0.727	kastreerida
sabotage	anger	0.727	sabotaaži
malevolent	anger	0.721	pahatahtlik
strike	anger	0.721	streikima
disaster	anger	0.721	katastroofi
disastrous	anger	0.720	hukatuslik
bastarding	anger	0.719	pätt
treachery	anger	0.719	reetmine
arseholes	anger	0.719	arseaugud
horseshit	anger	0.719	hobusepask
slay	anger	0.719	tapma
disdain	anger	0.719	põlgus
aggravates	anger	0.719	süvendab
brutal	anger	0.719	jõhker
scorching	anger	0.719	kõrvetav
devil	anger	0.719	kurat
madden	anger	0.719	hullunud
spiteful	anger	0.719	kiuslik
scream	anger	0.719	karjuda
choke	anger	0.719	lämbuma
vermin	anger	0.719	kahjurid
tumult	anger	0.719	möll
criminal	anger	0.714	kriminaalne
mangle	anger	0.714	mangel
anarchism	anger	0.714	anarhism
mutilation	anger	0.714	moonutamine
denunciation	anger	0.713	denonsseerimine
punch	anger	0.713	löök
virulence	anger	0.712	virulentsus
fatal	anger	0.712	Tappev
hurting	anger	0.712	valus
crucifixion	anger	0.712	ristilöömine
dontlikeyou	anger	0.712	sa ei meeldi
blasphemous	anger	0.712	jumalateotav
holocaust	anger	0.712	holokaust
dumbasses	anger	0.712	lollid
battled	anger	0.712	võidelnud
deranged	anger	0.706	segaduses
irritated	anger	0.706	ärritunud
atrocious	anger	0.706	julm
evil	anger	0.706	kurjast
aggravated	anger	0.703	süvenenud
intimidation	anger	0.703	hirmutamine
dicks	anger	0.703	riistad
assassin	anger	0.703	palgamõrvar
scolding	anger	0.703	noomimine
persecution	anger	0.703	tagakiusamine
slayer	anger	0.703	tapja
kidnap	anger	0.703	röövida
aggression	anger	0.702	agressioon
armed	anger	0.700	relvastatud
battle	anger	0.697	lahing
poison	anger	0.697	mürk
snarling	anger	0.697	nurrudes
venom	anger	0.697	mürk
disgruntled	anger	0.693	rahulolematu
resentment	anger	0.691	pahameelt
assailant	anger	0.691	ründaja
insidious	anger	0.691	salakaval
contemptuous	anger	0.690	halvustav
lynch	anger	0.690	lintšima
temper	anger	0.688	tuju
terrible	anger	0.688	kohutav
disparage	anger	0.688	halvustada
lunatic	anger	0.688	hull
bully	anger	0.688	kiusaja
mad	anger	0.688	hulluks
makesmemad	anger	0.688	teeb meeletuks
infanticide	anger	0.688	lapsetapp
domination	anger	0.688	domineerimine
peeved	anger	0.688	kiusas
imprisonment	anger	0.688	vangistus
curse	anger	0.688	needus
volatility	anger	0.687	volatiilsus
eradication	anger	0.685	likvideerimine
eradicate	anger	0.682	hävitama
tantrum	anger	0.682	raevuhoog
scoundrel	anger	0.682	lurjus
devastate	anger	0.682	laastavad
aggressively	anger	0.680	agressiivselt
agitation	anger	0.680	agitatsioon
dictatorship	anger	0.676	diktatuur
irritates	anger	0.676	ärritab
profanity	anger	0.673	roppused
shove	anger	0.672	lükkama
nasty	anger	0.672	vastik
shot	anger	0.672	tulistas
cruelly	anger	0.672	julmalt
shoot	anger	0.672	tulistada
condemnation	anger	0.672	hukkamõist
crushed	anger	0.672	purustatud
aggravation	anger	0.672	süvenemine
poisonous	anger	0.672	mürgine
egregious	anger	0.672	kohutav
crime	anger	0.672	kuritegevus
corrupting	anger	0.672	rikkuv
dastardly	anger	0.672	räpane
contempt	anger	0.672	põlgus
harmful	anger	0.672	kahjulikud
expletive	anger	0.672	ekslause
wreak	anger	0.672	hävitada
maniac	anger	0.670	maniakk
cutthroat	anger	0.667	kärpimine
enemy	anger	0.667	vaenlane
hit	anger	0.667	tabas
hateeveryone	anger	0.667	vihkan kõiki
eruption	anger	0.667	purse
irritable	anger	0.667	ärrituv
odious	anger	0.667	vastik
shooting	anger	0.667	tulistamist
shout	anger	0.667	karjuda
aggressive	anger	0.667	agressiivne
kick	anger	0.667	lööma
combat	anger	0.667	võidelda
fight	anger	0.667	võitlema
punished	anger	0.662	karistada
yell	anger	0.661	karjuda
ambush	anger	0.661	varitsus
harass	anger	0.659	ahistama
malignant	anger	0.656	pahaloomuline
aggressor	anger	0.656	agressor
gore	anger	0.656	gore
