English Word	Emotion	Emotion-Intensity-Score	Filipino Word
outraged	anger	0.964	nagagalit
brutality	anger	0.959	kalupitan
hatred	anger	0.953	poot
hateful	anger	0.940	mapoot
terrorize	anger	0.939	takutin
violently	anger	0.938	marahas
infuriated	anger	0.938	galit na galit
furious	anger	0.929	galit na galit
furiously	anger	0.927	galit na galit
enraged	anger	0.927	galit na galit
screwyou	anger	0.924	siraan ka
murderer	anger	0.922	mamamatay tao
fury	anger	0.922	galit
execution	anger	0.917	pagbitay
angered	anger	0.916	nagagalit
savagery	anger	0.915	kalupitan
slaughtering	anger	0.914	pagkatay
veryangry	anger	0.913	galit na galit
assassinate	anger	0.912	pumatay
annihilation	anger	0.912	pagkalipol
fuckoff	anger	0.912	fuckoff
rage	anger	0.911	galit
loathe	anger	0.909	kinasusuklaman
fucktard	anger	0.906	bastos
roadrage	anger	0.906	roadrage
damnation	anger	0.906	kapahamakan
homicidal	anger	0.906	nakapatay
furor	anger	0.900	galit
hostile	anger	0.898	pagalit
annihilate	anger	0.898	lipulin
murder	anger	0.897	pagpatay
raging	anger	0.896	nagngangalit
sopissed	anger	0.894	asar
infuriates	anger	0.894	nagagalit
pissed	anger	0.894	asar
rape	anger	0.894	panggagahasa
ferocious	anger	0.894	mabangis
vengeful	anger	0.894	mapaghiganti
obliterated	anger	0.894	napawi
explosive	anger	0.894	pampasabog
killing	anger	0.893	pagpatay
combative	anger	0.891	palaban
vengeance	anger	0.886	paghihiganti
gofuckyourself	anger	0.886	gofuckyourself
torment	anger	0.885	pahirapan
wrath	anger	0.885	galit
vicious	anger	0.884	mabisyo
massacre	anger	0.882	patayan
threatening	anger	0.882	pagbabanta
abhorrent	anger	0.875	kasuklam-suklam
bloodthirsty	anger	0.875	uhaw sa dugo
pissoff	anger	0.875	asar
fighting	anger	0.868	lumalaban
attacking	anger	0.865	umaatake
annihilated	anger	0.865	nilipol
angriest	anger	0.864	pinaka galit
bloodshed	anger	0.864	pagdanak ng dugo
smite	anger	0.862	hampasin
brawl	anger	0.861	awayan
malicious	anger	0.859	may masamang hangarin
assassination	anger	0.859	pagpatay
strangle	anger	0.859	sakalin
hostility	anger	0.859	poot
assault	anger	0.859	pag-atake
explode	anger	0.859	sumabog
tirade	anger	0.859	tirada
loathsome	anger	0.857	kasuklam-suklam
hell	anger	0.853	impiyerno
murderous	anger	0.853	mamamatay tao
attack	anger	0.853	atake
malice	anger	0.852	malisya
terrorism	anger	0.851	terorismo
beating	anger	0.849	pambubugbog
outrage	anger	0.848	pagkagalit
desecration	anger	0.848	paglapastangan
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	pagsira
slaughter	anger	0.844	patayan
irate	anger	0.844	magagalit
violent	anger	0.844	marahas
stab	anger	0.844	saksakin
abomination	anger	0.844	kasuklamsuklam
tumultuous	anger	0.844	magulo
infuriate	anger	0.844	magalit
obliterate	anger	0.843	pawiin
belligerent	anger	0.841	palaaway
dumbbitch	anger	0.841	tanga
