English Word	Emotion	Emotion-Intensity-Score	Finnish Word
outraged	anger	0.964	raivoissaan
brutality	anger	0.959	julmuutta
hatred	anger	0.953	vihaa
hateful	anger	0.940	vihamielinen
terrorize	anger	0.939	terrorisoida
violently	anger	0.938	väkivaltaisesti
infuriated	anger	0.938	raivoissaan
furious	anger	0.929	raivoissaan
furiously	anger	0.927	raivoissaan
enraged	anger	0.927	raivoissaan
screwyou	anger	0.924	haista paska
murderer	anger	0.922	murhaaja
fury	anger	0.922	raivoa
execution	anger	0.917	teloitus
angered	anger	0.916	suuttunut
savagery	anger	0.915	villiys
slaughtering	anger	0.914	teurastus
veryangry	anger	0.913	todella vihainen
assassinate	anger	0.912	murhata
annihilation	anger	0.912	tuhoaminen
fuckoff	anger	0.912	vittu
rage	anger	0.911	raivoa
loathe	anger	0.909	vihata
fucktard	anger	0.906	paskiainen
roadrage	anger	0.906	tie raivo
damnation	anger	0.906	kadotus
homicidal	anger	0.906	tappava
furor	anger	0.900	villitys
hostile	anger	0.898	vihamielinen
annihilate	anger	0.898	tuhota
murder	anger	0.897	murhata
raging	anger	0.896	raivoaa
sopissed	anger	0.894	nälkäinen
infuriates	anger	0.894	raivostuttaa
pissed	anger	0.894	kännissä
rape	anger	0.894	raiskata
ferocious	anger	0.894	hurja
vengeful	anger	0.894	kostonhimoinen
obliterated	anger	0.894	hävitetty
explosive	anger	0.894	räjähtävä
killing	anger	0.893	tappaminen
combative	anger	0.891	taistelunhaluinen
vengeance	anger	0.886	kosto
gofuckyourself	anger	0.886	vittu itseäsi
torment	anger	0.885	piinaa
wrath	anger	0.885	viha
vicious	anger	0.884	ilkeä
massacre	anger	0.882	verilöyly
threatening	anger	0.882	uhkaava
abhorrent	anger	0.875	vastenmielistä
bloodthirsty	anger	0.875	verenhimoinen
pissoff	anger	0.875	häivy
fighting	anger	0.868	taistelevat
attacking	anger	0.865	hyökkäämällä
annihilated	anger	0.865	tuhottu
angriest	anger	0.864	vihaisin
bloodshed	anger	0.864	verenvuodatusta
smite	anger	0.862	lyödä
brawl	anger	0.861	rähinä
malicious	anger	0.859	ilkeä
assassination	anger	0.859	salamurha
strangle	anger	0.859	kuristaa
hostility	anger	0.859	vihamielisyys
assault	anger	0.859	hyökkäys
explode	anger	0.859	räjähtää
tirade	anger	0.859	vuodatus
loathsome	anger	0.857	inhottava
hell	anger	0.853	helvetti
murderous	anger	0.853	murhaaja
attack	anger	0.853	hyökkäys
malice	anger	0.852	pahuus
terrorism	anger	0.851	terrorismia
beating	anger	0.849	hakkaaminen
outrage	anger	0.848	raivoa
desecration	anger	0.848	häpäiseminen
pissingmeoff	anger	0.848	vituttaa minua
destroying	anger	0.844	tuhoamalla
slaughter	anger	0.844	teurastus
irate	anger	0.844	raivostunut
violent	anger	0.844	väkivaltainen
stab	anger	0.844	puukottaa
abomination	anger	0.844	kauhistus
tumultuous	anger	0.844	myrskyisä
infuriate	anger	0.844	raivostuttaa
obliterate	anger	0.843	hävittää
belligerent	anger	0.841	sotaisa
dumbbitch	anger	0.841	tyhmä
detest	anger	0.838	inhota
hostilities	anger	0.837	vihollisuudet
prick	anger	0.835	ääliö
rampage	anger	0.833	riehua
horrid	anger	0.833	hirveä
cruelty	anger	0.833	julmuutta
torture	anger	0.833	kiduttaa
rabid	anger	0.833	yltiöpäinen
despicable	anger	0.828	halveksittava
tyrannical	anger	0.828	tyrannimainen
demonic	anger	0.828	demoninen
satanic	anger	0.828	saatanallinen
hate	anger	0.828	vihaa
ragemode	anger	0.828	ragemode
hating	anger	0.828	vihata
ruinous	anger	0.825	tuhoisa
condemn	anger	0.825	tuomitse
riots	anger	0.824	mellakoita
demolish	anger	0.824	purkaa
angry	anger	0.824	vihainen
extermination	anger	0.824	tuhoaminen
dickhead	anger	0.824	munapää
livid	anger	0.821	raivoissaan
madman	anger	0.820	hullu
vindictive	anger	0.819	kostonhimoinen
terrorist	anger	0.818	terroristi
threaten	anger	0.818	uhkailla
venomous	anger	0.818	myrkyllinen
hateyou	anger	0.818	vihaan sinua
ferocity	anger	0.818	julmuus
effyou	anger	0.818	effyou
abhor	anger	0.816	inhoaa
carnage	anger	0.814	verilöyly
savage	anger	0.814	villi
atrocity	anger	0.814	julmuutta
fucksake	anger	0.812	vittu
abuse	anger	0.812	väärinkäyttö
fierce	anger	0.812	kovaa
destroyer	anger	0.812	hävittäjä
angrytweet	anger	0.812	vihainen twiitti
barbaric	anger	0.812	barbaarinen
vendetta	anger	0.812	kosto
pissesmeoff	anger	0.812	ottaa päähän
pissedoff	anger	0.812	vihainen
tyrant	anger	0.812	tyranni
berserk	anger	0.812	hirveä
fuming	anger	0.812	savuava
anger	anger	0.811	suututtaa
pieceofshit	anger	0.810	paskaa
punched	anger	0.803	lyöty
punching	anger	0.803	lävistys
slam	anger	0.803	slam
homicide	anger	0.803	murha
bitch	anger	0.803	narttu
fights	anger	0.803	tappelee
ruthless	anger	0.797	häikäilemätön
villainous	anger	0.797	häijy
destructive	anger	0.797	tuhoisa
slap	anger	0.791	isku
riot	anger	0.788	mellakka
growthefuckup	anger	0.788	kasvun paska
punishing	anger	0.788	rankaisemalla
slaughterhouse	anger	0.788	teurastamo
yelling	anger	0.788	huutaa
diabolical	anger	0.788	pirullinen
destroyed	anger	0.788	tuhottu
ragetweet	anger	0.788	ragetweetti
retaliatory	anger	0.788	kostotoimia
manslaughter	anger	0.783	tappo
clash	anger	0.783	yhteentörmäys
quarrel	anger	0.781	riidellä
bloody	anger	0.781	verinen
hellish	anger	0.781	helvettiä
sinister	anger	0.781	synkkä
loath	anger	0.781	haluton
detonation	anger	0.781	räjähdys
accusing	anger	0.779	syyttävä
fumin	anger	0.779	fumin
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	petollinen
madder	anger	0.773	värimatara
horrific	anger	0.773	kauheaa
revulsion	anger	0.773	vastenmielisyyttä
retaliate	anger	0.773	kostaa
scorn	anger	0.769	halveksia
bomb	anger	0.766	pommi
deplorable	anger	0.766	valitettavaa
devastation	anger	0.765	tuhoa
anarchist	anger	0.765	anarkisti
firestorm	anger	0.765	tulimyrsky
resent	anger	0.765	paheksua
contemptible	anger	0.764	halveksittavaa
shittest	anger	0.760	paskaisin
rant	anger	0.758	huutaa
cruel	anger	0.758	julma
deadly	anger	0.758	tappava
smash	anger	0.758	murskata
soangry	anger	0.758	niin vihainen
outburst	anger	0.757	purkaus
snarl	anger	0.754	sotkea
profane	anger	0.750	hävytöntä
revolting	anger	0.750	vastenmielinen
aggravating	anger	0.750	raskauttava
horror	anger	0.750	kauhu
despise	anger	0.750	halveksia
offend	anger	0.750	loukata
stfu	anger	0.750	stfu
vulgarity	anger	0.750	mauttomuus
crazed	anger	0.750	hullu
douchebags	anger	0.750	höyhenpussit
growling	anger	0.750	murisee
dontmesswithme	anger	0.750	älä häiritse minua
screaming	anger	0.742	huutaa
threat	anger	0.742	uhka
