English Word	Emotion	Emotion-Intensity-Score	French Word
outraged	anger	0.964	indigné
brutality	anger	0.959	brutalité
hatred	anger	0.953	haine
hateful	anger	0.940	odieux
terrorize	anger	0.939	terroriser
violently	anger	0.938	violemment
infuriated	anger	0.938	furieux
furious	anger	0.929	furieux
furiously	anger	0.927	furieusement
enraged	anger	0.927	furieux
screwyou	anger	0.924	va te faire voir
murderer	anger	0.922	meurtrier
fury	anger	0.922	fureur
execution	anger	0.917	exécution
angered	anger	0.916	en colère
savagery	anger	0.915	sauvagerie
slaughtering	anger	0.914	abattage
veryangry	anger	0.913	très en colère
assassinate	anger	0.912	assassiner
annihilation	anger	0.912	annihilation
fuckoff	anger	0.912	putain
rage	anger	0.911	rage
loathe	anger	0.909	détester
fucktard	anger	0.906	connard
roadrage	anger	0.906	rage au volant
damnation	anger	0.906	damnation
homicidal	anger	0.906	homicide
furor	anger	0.900	scandale
hostile	anger	0.898	hostile
annihilate	anger	0.898	annihiler
murder	anger	0.897	meurtre
raging	anger	0.896	rage
sopissed	anger	0.894	tellement énervé
infuriates	anger	0.894	exaspère
pissed	anger	0.894	énervé
rape	anger	0.894	râpé
ferocious	anger	0.894	féroce
vengeful	anger	0.894	vengeur
obliterated	anger	0.894	effacé
explosive	anger	0.894	explosif
killing	anger	0.893	meurtre
combative	anger	0.891	combatif
vengeance	anger	0.886	vengeance
gofuckyourself	anger	0.886	allez vous faire foutre
torment	anger	0.885	tourmenter
wrath	anger	0.885	colère
vicious	anger	0.884	vicieux
massacre	anger	0.882	massacre
threatening	anger	0.882	menaçant
abhorrent	anger	0.875	odieux
bloodthirsty	anger	0.875	sanguinaire
pissoff	anger	0.875	faire chier
fighting	anger	0.868	lutte
attacking	anger	0.865	attaquer
annihilated	anger	0.865	anéanti
angriest	anger	0.864	le plus en colère
bloodshed	anger	0.864	effusion de sang
smite	anger	0.862	frapper
brawl	anger	0.861	bagarre
malicious	anger	0.859	mal intentionné
assassination	anger	0.859	assassinat
strangle	anger	0.859	étrangler
hostility	anger	0.859	hostilité
assault	anger	0.859	assaut
explode	anger	0.859	exploser
tirade	anger	0.859	tirade
loathsome	anger	0.857	détestable
hell	anger	0.853	enfer
murderous	anger	0.853	meurtrier
attack	anger	0.853	attaque
malice	anger	0.852	malice
terrorism	anger	0.851	terrorisme
beating	anger	0.849	battement
outrage	anger	0.848	outrage
desecration	anger	0.848	profanation
pissingmeoff	anger	0.848	me faire chier
destroying	anger	0.844	détruire
slaughter	anger	0.844	abattage
irate	anger	0.844	furieux
violent	anger	0.844	violent
stab	anger	0.844	coup de couteau
abomination	anger	0.844	abomination
tumultuous	anger	0.844	tumultueux
infuriate	anger	0.844	exaspérer
obliterate	anger	0.843	effacer
belligerent	anger	0.841	belligérant
dumbbitch	anger	0.841	abruti
detest	anger	0.838	détester
hostilities	anger	0.837	hostilités
prick	anger	0.835	piquer
rampage	anger	0.833	carnage
horrid	anger	0.833	affreux
cruelty	anger	0.833	cruauté
torture	anger	0.833	torture
rabid	anger	0.833	enragé
despicable	anger	0.828	méprisable
tyrannical	anger	0.828	tyrannique
demonic	anger	0.828	démoniaque
satanic	anger	0.828	satanique
hate	anger	0.828	détester
ragemode	anger	0.828	mode rage
hating	anger	0.828	haïr
ruinous	anger	0.825	ruineux
condemn	anger	0.825	condamner
riots	anger	0.824	émeutes
demolish	anger	0.824	démolir
angry	anger	0.824	fâché
extermination	anger	0.824	extermination
dickhead	anger	0.824	connard
livid	anger	0.821	livide
madman	anger	0.820	fou
vindictive	anger	0.819	vindicatif
terrorist	anger	0.818	terroriste
threaten	anger	0.818	menacer
venomous	anger	0.818	venimeux
hateyou	anger	0.818	vous déteste
ferocity	anger	0.818	férocité
effyou	anger	0.818	effyou
abhor	anger	0.816	abhorrer
carnage	anger	0.814	carnage
savage	anger	0.814	sauvage
atrocity	anger	0.814	atrocité
fucksake	anger	0.812	putain
abuse	anger	0.812	abuser de
fierce	anger	0.812	féroce
destroyer	anger	0.812	destructeur
angrytweet	anger	0.812	tweet en colère
barbaric	anger	0.812	barbare
vendetta	anger	0.812	Vendetta
pissesmeoff	anger	0.812	me fait chier
pissedoff	anger	0.812	énervé
tyrant	anger	0.812	tyran
berserk	anger	0.812	fou furieux
fuming	anger	0.812	fumant
anger	anger	0.811	colère
pieceofshit	anger	0.810	merde
punched	anger	0.803	poinçonné
punching	anger	0.803	perforation
slam	anger	0.803	claquer
homicide	anger	0.803	homicide
bitch	anger	0.803	chienne
fights	anger	0.803	combats
ruthless	anger	0.797	impitoyable
villainous	anger	0.797	infâme
destructive	anger	0.797	destructeur
slap	anger	0.791	gifler
riot	anger	0.788	émeute
growthefuckup	anger	0.788	putain de croissance
punishing	anger	0.788	punir
slaughterhouse	anger	0.788	abattoir
yelling	anger	0.788	cris
diabolical	anger	0.788	diabolique
destroyed	anger	0.788	détruit
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	de représailles
manslaughter	anger	0.783	homicide involontaire
clash	anger	0.783	choc
quarrel	anger	0.781	querelle
bloody	anger	0.781	sanglant
hellish	anger	0.781	atroce
sinister	anger	0.781	sinistre
loath	anger	0.781	dégoût
detonation	anger	0.781	détonation
accusing	anger	0.779	accuser
fumin	anger	0.779	fumine
hateeee	anger	0.779	détesté
treacherous	anger	0.779	perfide
madder	anger	0.773	garance
horrific	anger	0.773	horrible
revulsion	anger	0.773	dégoût
retaliate	anger	0.773	user de représailles
scorn	anger	0.769	mépris
bomb	anger	0.766	bombe
deplorable	anger	0.766	déplorable
devastation	anger	0.765	dévastation
anarchist	anger	0.765	anarchiste
firestorm	anger	0.765	tempête de feu
resent	anger	0.765	en vouloir
contemptible	anger	0.764	méprisable
shittest	anger	0.760	le plus merdique
rant	anger	0.758	diatribe
cruel	anger	0.758	cruel
deadly	anger	0.758	mortel
smash	anger	0.758	fracasser
soangry	anger	0.758	tellement en colère
outburst	anger	0.757	explosion
snarl	anger	0.754	gronder
profane	anger	0.750	profane
revolting	anger	0.750	révoltant
aggravating	anger	0.750	aggravant
horror	anger	0.750	horreur
despise	anger	0.750	mépriser
offend	anger	0.750	offenser
stfu	anger	0.750	truc
vulgarity	anger	0.750	la vulgarité
crazed	anger	0.750	fou
douchebags	anger	0.750	sac à dos
growling	anger	0.750	grondement
dontmesswithme	anger	0.750	ne m'embête pas
screaming	anger	0.742	en hurlant
threat	anger	0.742	menace
erupt	anger	0.742	éclater
horrible	anger	0.742	horrible
molestation	anger	0.742	attentat à la pudeur
fuckedoff	anger	0.742	foutu
violence	anger	0.742	la violence
bastards	anger	0.741	bâtards
revenge	anger	0.738	vengeance
menacing	anger	0.735	menaçant
crushing	anger	0.735	écrasement
damn	anger	0.735	Zut
catastrophe	anger	0.735	catastrophe
demon	anger	0.735	démon
argue	anger	0.734	se disputer
persecute	anger	0.734	persécuter
deplore	anger	0.734	déplorer
flog	anger	0.734	fouetter
fedup	anger	0.734	marre
riotous	anger	0.734	séditieux
vehement	anger	0.734	véhément
revolt	anger	0.734	révolte
warfare	anger	0.734	guerre
thrash	anger	0.734	débattre
altercation	anger	0.729	altercation
warlike	anger	0.728	guerrier
shitday	anger	0.727	jour de merde
mutiny	anger	0.727	mutinerie
castrate	anger	0.727	castrer
sabotage	anger	0.727	sabotage
malevolent	anger	0.721	malveillant
strike	anger	0.721	la grève
disaster	anger	0.721	un sinistre
disastrous	anger	0.720	catastrophique
bastarding	anger	0.719	bâtard
treachery	anger	0.719	traîtrise
arseholes	anger	0.719	trous du cul
horseshit	anger	0.719	crottin
slay	anger	0.719	tuer
disdain	anger	0.719	mépris
aggravates	anger	0.719	aggrave
brutal	anger	0.719	brutal
scorching	anger	0.719	brûlant
devil	anger	0.719	diable
madden	anger	0.719	fou
spiteful	anger	0.719	malveillant
scream	anger	0.719	pousser un cri
choke	anger	0.719	étouffer
vermin	anger	0.719	vermine
tumult	anger	0.719	tumulte
criminal	anger	0.714	criminel
mangle	anger	0.714	mutiler
anarchism	anger	0.714	anarchisme
mutilation	anger	0.714	mutilation
denunciation	anger	0.713	dénonciation
punch	anger	0.713	coup de poing
virulence	anger	0.712	virulence
fatal	anger	0.712	mortel
hurting	anger	0.712	blesser
crucifixion	anger	0.712	crucifixion
dontlikeyou	anger	0.712	ne t'aime pas
blasphemous	anger	0.712	blasphématoire
holocaust	anger	0.712	holocauste
dumbasses	anger	0.712	imbéciles
battled	anger	0.712	combattu
deranged	anger	0.706	dérangé
irritated	anger	0.706	irrité
atrocious	anger	0.706	atroce
evil	anger	0.706	mauvais
aggravated	anger	0.703	aggravé
intimidation	anger	0.703	intimidation
dicks	anger	0.703	bites
assassin	anger	0.703	assassin
scolding	anger	0.703	réprimande
persecution	anger	0.703	persécution
slayer	anger	0.703	tueur
kidnap	anger	0.703	kidnapper
aggression	anger	0.702	agression
armed	anger	0.700	armé
battle	anger	0.697	bataille
poison	anger	0.697	poison
snarling	anger	0.697	grogner
venom	anger	0.697	venin
disgruntled	anger	0.693	mécontent
resentment	anger	0.691	ressentiment
assailant	anger	0.691	agresseur
insidious	anger	0.691	insidieux
contemptuous	anger	0.690	méprisant
lynch	anger	0.690	lyncher
temper	anger	0.688	caractère
terrible	anger	0.688	terrible
disparage	anger	0.688	dénigrer
lunatic	anger	0.688	fou
bully	anger	0.688	intimidateur
mad	anger	0.688	fou
makesmemad	anger	0.688	me rend folle
infanticide	anger	0.688	infanticide
domination	anger	0.688	domination
peeved	anger	0.688	irrité
imprisonment	anger	0.688	emprisonnement
curse	anger	0.688	malédiction
volatility	anger	0.687	volatilité
eradication	anger	0.685	éradication
eradicate	anger	0.682	éradiquer
tantrum	anger	0.682	colère
scoundrel	anger	0.682	scélérat
devastate	anger	0.682	dévaster
aggressively	anger	0.680	agressivement
agitation	anger	0.680	agitation
dictatorship	anger	0.676	dictature
irritates	anger	0.676	irrite
profanity	anger	0.673	impiété
shove	anger	0.672	pousser
nasty	anger	0.672	méchant
shot	anger	0.672	tir
cruelly	anger	0.672	cruellement
shoot	anger	0.672	tirer
condemnation	anger	0.672	condamnation
crushed	anger	0.672	écrasé
aggravation	anger	0.672	aggravation
poisonous	anger	0.672	toxique
egregious	anger	0.672	odieux
crime	anger	0.672	la criminalité
corrupting	anger	0.672	corrompre
dastardly	anger	0.672	lâche
contempt	anger	0.672	mépris
harmful	anger	0.672	nuisible
expletive	anger	0.672	explétif
wreak	anger	0.672	assouvir
maniac	anger	0.670	maniaque
cutthroat	anger	0.667	coupe-gorge
enemy	anger	0.667	ennemi
hit	anger	0.667	succès
hateeveryone	anger	0.667	Haïr tout le monde
eruption	anger	0.667	éruption
irritable	anger	0.667	irritable
odious	anger	0.667	odieux
shooting	anger	0.667	tournage
shout	anger	0.667	cri
aggressive	anger	0.667	agressif
kick	anger	0.667	donner un coup
combat	anger	0.667	combat
fight	anger	0.667	lutte
punished	anger	0.662	puni
yell	anger	0.661	crier
ambush	anger	0.661	embuscade
harass	anger	0.659	harceler
malignant	anger	0.656	malin
aggressor	anger	0.656	agresseur
gore	anger	0.656	sang
destruction	anger	0.656	destruction
grudge	anger	0.656	rancune
antichrist	anger	0.656	Antéchrist
incense	anger	0.656	encens
expel	anger	0.656	expulser
cranky	anger	0.653	grincheux
slave	anger	0.652	trimer
reprisal	anger	0.652	représailles
growl	anger	0.652	grognement
animosity	anger	0.652	animosité
insurrection	anger	0.652	insurrection
clashing	anger	0.652	heurter
denounce	anger	0.652	dénoncer
offended	anger	0.652	offensé
spank	anger	0.652	donner une fessée à
insulting	anger	0.652	insultant
growls	anger	0.649	grogne
executioner	anger	0.644	bourreau
twat	anger	0.644	chatte
doomsday	anger	0.643	jour du Jugement dernier
obscenity	anger	0.641	obscénité
accused	anger	0.641	accusé
feud	anger	0.641	querelle
daemon	anger	0.641	démon
havoc	anger	0.641	ravage
shackle	anger	0.641	manille
inexcusable	anger	0.641	inexcusable
indignant	anger	0.641	indigné
grr	anger	0.641	grr
expulsion	anger	0.641	expulsion
bombard	anger	0.641	bombarder
spat	anger	0.641	prise de bec
arson	anger	0.641	incendie criminel
reprimand	anger	0.641	réprimande
somad	anger	0.637	si fou
frustrated	anger	0.636	frustré
batter	anger	0.636	Battre
kicking	anger	0.636	coups de pied
anarchy	anger	0.636	anarchie
spanking	anger	0.636	fessée
glaring	anger	0.636	flagrant
suicidal	anger	0.636	suicidaire
disgusting	anger	0.636	répugnant
wound	anger	0.636	plaie
hanging	anger	0.636	suspendu
poisoned	anger	0.636	empoisonné
combatant	anger	0.636	combattant
wrecked	anger	0.633	détruit
inflict	anger	0.633	infliger
grievous	anger	0.632	grave
prosecute	anger	0.630	poursuivre
agitated	anger	0.630	agité
cheat	anger	0.630	Tricher
swastika	anger	0.627	svastika
injure	anger	0.625	blesser
indict	anger	0.625	accuser
scourge	anger	0.625	fléau
provocation	anger	0.625	provocation
suffocation	anger	0.625	suffocation
strife	anger	0.625	conflit
raid	anger	0.625	raid
enslaved	anger	0.625	esclave
cursing	anger	0.625	maudire
defamatory	anger	0.625	diffamatoire
harassing	anger	0.625	harcèlement
thundering	anger	0.625	tonitruant
betray	anger	0.625	trahir
arsehole	anger	0.624	trou du cul
theft	anger	0.621	vol
insane	anger	0.621	fou
retaliation	anger	0.621	représailles
irritate	anger	0.621	irriter
deprivation	anger	0.621	privation
fiend	anger	0.621	démon
jerk	anger	0.621	secousse
convict	anger	0.621	condamné
cussed	anger	0.619	juré
turmoil	anger	0.618	la tourmente
smack	anger	0.615	claque
retribution	anger	0.614	châtiment
rebellion	anger	0.609	rébellion
oppressor	anger	0.609	oppresseur
gang	anger	0.609	gang
slavery	anger	0.609	esclavage
intolerable	anger	0.609	intolérable
adverse	anger	0.609	négatif
injurious	anger	0.609	préjudiciable
twats	anger	0.609	chattes
collision	anger	0.609	collision
battery	anger	0.609	la batterie
bitterly	anger	0.609	amèrement
antagonism	anger	0.609	antagonisme
irritability	anger	0.609	irritabilité
disgraced	anger	0.608	disgracié
diatribe	anger	0.606	diatribe
asshole	anger	0.606	Connard
blast	anger	0.606	explosion
bombardment	anger	0.606	bombardement
irks	anger	0.606	irrite
ranting	anger	0.606	déclamer
revolution	anger	0.606	révolution
thug	anger	0.606	voyou
antagonistic	anger	0.606	antagoniste
irritating	anger	0.606	irritant
sickening	anger	0.606	écœurant
discrimination	anger	0.606	discrimination
frustrate	anger	0.604	frustrer
insult	anger	0.603	insulte
hurtful	anger	0.603	nuisible
oppression	anger	0.603	oppression
manipulation	anger	0.603	manipulation
tiredofit	anger	0.603	en avoir assez
bigot	anger	0.603	bigot
tension	anger	0.603	tension
disgust	anger	0.602	dégoûter
spite	anger	0.600	dépit
intrusive	anger	0.598	intrusif
harshness	anger	0.597	dureté
slur	anger	0.596	liaison
tempest	anger	0.594	tempête
assail	anger	0.594	assaillir
bitterness	anger	0.594	amertume
morbidity	anger	0.594	morbidité
casualty	anger	0.594	victime
puncture	anger	0.594	crevaison
miserable	anger	0.594	misérable
inferno	anger	0.594	enfer
invasion	anger	0.594	invasion
storming	anger	0.594	assaut
wretch	anger	0.594	misérable
consternation	anger	0.592	consternation
raving	anger	0.591	délirant
forcibly	anger	0.591	de force
guillotine	anger	0.591	guillotine
guilty	anger	0.591	coupable
depraved	anger	0.591	dépravé
immoral	anger	0.591	immoral
overpowering	anger	0.591	irrésistible
scare	anger	0.588	effrayer
recalcitrant	anger	0.588	récalcitrant
screwed	anger	0.588	vissé
accursed	anger	0.588	maudit
soannoyed	anger	0.588	tellement contrarié
invader	anger	0.588	envahisseur
jealousy	anger	0.587	jalousie
indignation	anger	0.587	indignation
vexed	anger	0.586	fâché
confront	anger	0.582	affronter
brute	anger	0.581	brute
throttle	anger	0.579	Manette de Gaz
slut	anger	0.578	salope
coup	anger	0.578	coup
blaze	anger	0.578	flamber
pillage	anger	0.578	pillage
provoking	anger	0.578	provoquant
damage	anger	0.578	dégâts
criminality	anger	0.578	criminalité
shutup	anger	0.578	tais-toi
lash	anger	0.578	fouetter
conflict	anger	0.578	conflit
contentious	anger	0.578	litigieux
shutit	anger	0.578	fermer
wreck	anger	0.578	détruire
defiant	anger	0.578	de défi
butcher	anger	0.578	Boucher
incarceration	anger	0.578	incarcération
revolver	anger	0.578	revolver
bickering	anger	0.578	se chamailler
yousuck	anger	0.578	tu crains
cancer	anger	0.577	cancer
discriminate	anger	0.576	discriminer
gun	anger	0.576	pistolet
frustration	anger	0.576	frustration
gory	anger	0.576	sanglant
pernicious	anger	0.576	pernicieux
dontmess	anger	0.576	ne fais pas de bêtises
blasphemy	anger	0.576	blasphème
chaotic	anger	0.576	chaotique
grope	anger	0.576	tâtonner
alienation	anger	0.576	aliénation
disturbance	anger	0.576	perturbation
condescension	anger	0.576	condescendance
standoff	anger	0.576	impasse
discord	anger	0.576	discorde
friggen	anger	0.575	frigorifique
sneer	anger	0.574	ricanement
death	anger	0.574	décès
lunacy	anger	0.574	folie
scandalous	anger	0.574	scandaleux
oppressive	anger	0.574	oppressif
jab	anger	0.574	coup
cursed	anger	0.574	maudit
monstrosity	anger	0.574	monstruosité
shit	anger	0.573	merde
disparaging	anger	0.571	désobligeant
slash	anger	0.571	sabrer
unfair	anger	0.571	injuste
gallows	anger	0.570	potence
escalate	anger	0.569	intensifier
intolerant	anger	0.564	intolérant
lawlessness	anger	0.563	iniquité
beast	anger	0.562	la bête
torpedo	anger	0.562	torpille
malign	anger	0.562	calomnier
traitor	anger	0.562	traitre
frightful	anger	0.562	affreux
wrangling	anger	0.562	dispute
slander	anger	0.562	calomnie
bellows	anger	0.562	soufflet
retards	anger	0.562	retarde
grouchy	anger	0.562	grognon
derogatory	anger	0.562	péjoratif
bearish	anger	0.562	baissier
invade	anger	0.562	envahir
perdition	anger	0.562	perdition
arghh	anger	0.562	argh
dreadful	anger	0.562	horrible
bluddy	anger	0.562	bluddy
deceived	anger	0.562	trompé
glare	anger	0.562	éblouissement
taunt	anger	0.562	raillerie
dissension	anger	0.561	dissension
cross	anger	0.561	traverser
rave	anger	0.561	délirer
grating	anger	0.561	grille
devastating	anger	0.561	dévastateur
fits	anger	0.561	s'adapte
jeopardize	anger	0.561	compromettre
shatter	anger	0.561	briser
idiots	anger	0.561	idiots
hurt	anger	0.561	blesser
thief	anger	0.561	voleur
uncontrollable	anger	0.561	incontrôlable
conflagration	anger	0.561	incendie
betrayal	anger	0.561	trahison
banshee	anger	0.561	banshee
subjugation	anger	0.559	assujettissement
disturbed	anger	0.559	perturbé
stomped	anger	0.557	piétiné
grab	anger	0.557	saisir
grievance	anger	0.556	grief
ticked	anger	0.556	coché
masochism	anger	0.556	masochisme
defiance	anger	0.552	défi
blackmail	anger	0.550	chantage
offensive	anger	0.549	attaque
decry	anger	0.548	décrier
frustrates	anger	0.547	frustre
violation	anger	0.547	violation
confine	anger	0.547	confiner
misery	anger	0.547	misère
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	disparité
punishment	anger	0.547	Châtiment
rebel	anger	0.547	rebelle
preposterous	anger	0.547	absurde
disgraceful	anger	0.547	honteux
ire	anger	0.547	colère
deceive	anger	0.547	tromper
fustrated	anger	0.547	frustré
sin	anger	0.547	péché
shrill	anger	0.547	aigu
darkside	anger	0.547	côté obscur
overbearing	anger	0.547	autoritaire
firearms	anger	0.547	armes à feu
stolen	anger	0.546	volé
hadenough	anger	0.546	en avoir assez
prejudice	anger	0.545	préjudice
tackle	anger	0.545	s'attaquer à
resentful	anger	0.545	irrité
heated	anger	0.545	chauffé
callous	anger	0.545	insensible
conspirator	anger	0.545	conspirateur
ruined	anger	0.545	ruiné
antagonist	anger	0.545	antagoniste
skirmish	anger	0.545	escarmouche
menace	anger	0.545	menace
annoyin	anger	0.545	ennuyeux
foul	anger	0.545	faute
argument	anger	0.545	dispute
humiliate	anger	0.545	humilier
wanker	anger	0.545	branleur
adversary	anger	0.545	adversaire
sting	anger	0.544	piqûre
entangled	anger	0.544	empêtré
grumble	anger	0.544	plaindre
robbery	anger	0.544	vol
outcry	anger	0.544	tollé
resistance	anger	0.543	la résistance
irreconcilable	anger	0.543	irréconciliable
obstructive	anger	0.542	obstructif
dismay	anger	0.540	consternation
mob	anger	0.538	foule
juststop	anger	0.537	Arrête
badness	anger	0.536	méchanceté
ridicule	anger	0.534	ridicule
incendiary	anger	0.533	incendiaire
flares	anger	0.532	fusées éclairantes
twofaced	anger	0.531	à deux faces
reckless	anger	0.531	téméraire
communism	anger	0.531	communisme
allegation	anger	0.531	allégation
prejudicial	anger	0.531	préjudiciable
whip	anger	0.531	fouet
unbridled	anger	0.531	débridé
degeneracy	anger	0.531	dégénérescence
intruder	anger	0.531	intrus
belittle	anger	0.531	rabaisser
confinement	anger	0.531	confinement
dispute	anger	0.531	contestation
exacerbation	anger	0.531	exacerbation
uprising	anger	0.531	soulèvement
unjust	anger	0.530	injuste
unjustifiable	anger	0.530	injustifiable
perversion	anger	0.530	perversion
bigoted	anger	0.530	fanatique
fiesty	anger	0.530	fougueux
offender	anger	0.530	délinquant
dictatorial	anger	0.530	dictatorial
hassle	anger	0.530	problèmes
dissonance	anger	0.530	dissonance
tackled	anger	0.530	abordé
renegade	anger	0.529	renégat
cantstandit	anger	0.529	je ne supporte pas
trespass	anger	0.529	intrusion
hot	anger	0.529	chaud
prison	anger	0.529	prison
suicide	anger	0.521	suicide
annoy	anger	0.520	ennuyer
leavemealone	anger	0.517	Laisse-moi tranquille
cretins	anger	0.516	crétins
depravity	anger	0.516	dépravation
idiotic	anger	0.516	idiot
dishonest	anger	0.516	malhonnête
distrust	anger	0.516	méfiance
broil	anger	0.516	griller
grrr	anger	0.516	grrr
criticize	anger	0.516	critiquer
inimical	anger	0.516	hostile
tortious	anger	0.516	tortueux
prisoner	anger	0.516	prisonnier
treason	anger	0.516	trahison
divorce	anger	0.516	divorcer
venting	anger	0.516	ventilation
duress	anger	0.516	contrainte
disrespectful	anger	0.516	irrespectueux
poaching	anger	0.515	braconnage
scold	anger	0.515	gronder
poachers	anger	0.515	braconniers
pow	anger	0.515	pow
hangry	anger	0.515	affamé
argumentation	anger	0.515	argumentation
frustrating	anger	0.515	frustrant
unkind	anger	0.515	méchant
roar	anger	0.515	rugir
coercion	anger	0.515	coercition
unforgiving	anger	0.515	impitoyable
grump	anger	0.515	grincheux
bile	anger	0.515	bile
unleash	anger	0.515	libérer
chaos	anger	0.515	le chaos
victimized	anger	0.515	victime
jerks	anger	0.515	secousses
tussle	anger	0.514	lutte
bane	anger	0.511	fléau
accusation	anger	0.510	accusation
enmity	anger	0.510	hostilité
repudiation	anger	0.510	répudiation
banish	anger	0.509	bannir
disfigured	anger	0.508	défiguré
storm	anger	0.507	tempête
crazy	anger	0.500	fou
hammering	anger	0.500	martelage
defy	anger	0.500	defier
antithesis	anger	0.500	antithèse
scoff	anger	0.500	moquerie
anguish	anger	0.500	angoisse
confined	anger	0.500	confiné
fear	anger	0.500	craindre
bout	anger	0.500	combat
unruly	anger	0.500	indiscipliné
delusional	anger	0.500	délirant
obstruct	anger	0.500	obstruer
possessed	anger	0.500	possédé
injustice	anger	0.500	injustice
fervor	anger	0.500	ferveur
spear	anger	0.500	lance
derision	anger	0.500	dérision
intractable	anger	0.500	intraitable
reject	anger	0.500	rejeter
dominate	anger	0.500	dominer
ordeal	anger	0.500	supplice
banished	anger	0.500	banni
rejects	anger	0.500	rejette
shun	anger	0.500	éviter
brunt	anger	0.500	durement
derogation	anger	0.500	dérogation
frenzied	anger	0.500	frénétique
animus	anger	0.500	animus
suppression	anger	0.500	suppression
malpractice	anger	0.500	faute professionnelle
brazen	anger	0.500	effronté
foaming	anger	0.500	moussant
disrupting	anger	0.500	perturber
nobodycares	anger	0.500	tout le monde s'en fout
patronising	anger	0.500	condescendant
getoveryourself	anger	0.495	Se dépasser
toughness	anger	0.492	dureté
stupidpeople	anger	0.492	gens stupides
madness	anger	0.491	la démence
sinful	anger	0.491	coupable
avarice	anger	0.490	avarice
oppress	anger	0.490	opprimer
cutting	anger	0.485	Coupe
anathema	anger	0.485	anathème
annoyed	anger	0.485	ennuyé
dissident	anger	0.485	dissident
demand	anger	0.485	demande
usurp	anger	0.485	usurper
claw	anger	0.485	griffe
alienate	anger	0.485	aliéner
infraction	anger	0.485	infraction
avenger	anger	0.485	vengeur
revoke	anger	0.485	révoquer
smuggler	anger	0.485	contrebandier
abolish	anger	0.485	abolir
fricking	anger	0.485	putain
stayaway	anger	0.485	reste loin
pervert	anger	0.485	pervers
disservice	anger	0.485	mauvais service
disobedient	anger	0.485	désobéissant
incest	anger	0.485	inceste
complaint	anger	0.485	plainte
disapproved	anger	0.485	désapprouvé
inhuman	anger	0.485	inhumain
mocking	anger	0.484	railleur
penalty	anger	0.484	peine
renounce	anger	0.484	renoncer
restrain	anger	0.484	restreindre
upheaval	anger	0.484	bouleversement
deceit	anger	0.484	tromperie
obnoxious	anger	0.484	odieux
imprisoned	anger	0.484	détenu
strained	anger	0.484	tendu
blame	anger	0.484	faire des reproches
oust	anger	0.484	évincer
litigious	anger	0.484	litigieux
rivalry	anger	0.484	rivalité
sucker	anger	0.484	ventouse
opposed	anger	0.484	opposé
thresh	anger	0.484	battre
disgrace	anger	0.484	disgrâce
suspicious	anger	0.484	méfiant
turbulence	anger	0.483	turbulence
pound	anger	0.481	livre
coldness	anger	0.477	froideur
ungrateful	anger	0.472	ingrat
stoopid	anger	0.471	stupide
battalion	anger	0.471	bataillon
feudalism	anger	0.470	féodalisme
hostage	anger	0.470	otage
annoying	anger	0.470	énervant
dispossessed	anger	0.470	dépossédé
subversion	anger	0.470	subversion
friction	anger	0.470	friction
jealous	anger	0.470	jaloux
adversity	anger	0.470	adversité
infidel	anger	0.470	infidèle
gall	anger	0.470	fiel
accuser	anger	0.470	accusateur
ram	anger	0.470	RAM
armament	anger	0.470	armement
thump	anger	0.469	cogner
dislike	anger	0.469	Ne pas aimer
steal	anger	0.469	voler
backoff	anger	0.469	interruption
stifled	anger	0.469	étouffé
incite	anger	0.469	inciter
