English Word	Emotion	Emotion-Intensity-Score	Frisian Word
outraged	anger	0.964	fergriemd
brutality	anger	0.959	brutaliteit
hatred	anger	0.953	hate
hateful	anger	0.940	hateful
terrorize	anger	0.939	terrorisearje
violently	anger	0.938	mei geweld
infuriated	anger	0.938	lilkens
furious	anger	0.929	fûleindich
furiously	anger	0.927	fûleindich
enraged	anger	0.927	lilk
screwyou	anger	0.924	besjoch it mar
murderer	anger	0.922	moardner
fury	anger	0.922	grime
execution	anger	0.917	eksekúsje
angered	anger	0.916	lilkens
savagery	anger	0.915	wreedheid
slaughtering	anger	0.914	slachting
veryangry	anger	0.913	hiel lilk
assassinate	anger	0.912	fermoardzje
annihilation	anger	0.912	ferneatiging
fuckoff	anger	0.912	soademiter op
rage	anger	0.911	rage
loathe	anger	0.909	wearze
fucktard	anger	0.906	fokker
roadrage	anger	0.906	dyklilkens
damnation	anger	0.906	ferdomme
homicidal	anger	0.906	homicidal
furor	anger	0.900	furor
hostile	anger	0.898	fijannich
annihilate	anger	0.898	ferneatigje
murder	anger	0.897	moard
raging	anger	0.896	razende
sopissed	anger	0.894	sopissed
infuriates	anger	0.894	ynfuriates
pissed	anger	0.894	pissed
rape	anger	0.894	koalsied
ferocious	anger	0.894	fûleindich
vengeful	anger	0.894	wraaksuchtich
obliterated	anger	0.894	útwreide
explosive	anger	0.894	eksplosyf
killing	anger	0.893	killing
combative	anger	0.891	striidber
vengeance	anger	0.886	wraak
gofuckyourself	anger	0.886	besoademiterje dysels
torment	anger	0.885	pine
wrath	anger	0.885	grime
vicious	anger	0.884	wreed
massacre	anger	0.882	bloedbad
threatening	anger	0.882	driigjend
abhorrent	anger	0.875	ôfgryslik
bloodthirsty	anger	0.875	bloodthirsty
pissoff	anger	0.875	opsodemiterje
fighting	anger	0.868	fjochtsjen
attacking	anger	0.865	oanfallen
annihilated	anger	0.865	ferneatige
angriest	anger	0.864	lilkste
bloodshed	anger	0.864	bloedferjitten
smite	anger	0.862	smite
brawl	anger	0.861	brawl
malicious	anger	0.859	kwea-aardich
assassination	anger	0.859	moard
