English Word	Emotion	Emotion-Intensity-Score	Galician Word
outraged	anger	0.964	indignado
brutality	anger	0.959	brutalidade
hatred	anger	0.953	odio
hateful	anger	0.940	odiosa
terrorize	anger	0.939	aterrorizar
violently	anger	0.938	violentamente
infuriated	anger	0.938	enfurecido
furious	anger	0.929	furioso
furiously	anger	0.927	furiosamente
enraged	anger	0.927	enfurecido
screwyou	anger	0.924	foti
murderer	anger	0.922	asasino
fury	anger	0.922	furia
execution	anger	0.917	execución
angered	anger	0.916	enfadado
savagery	anger	0.915	salvaxismo
slaughtering	anger	0.914	matanza
veryangry	anger	0.913	moi enfadado
assassinate	anger	0.912	asasinar
annihilation	anger	0.912	aniquilación
fuckoff	anger	0.912	carallo
rage	anger	0.911	rabia
loathe	anger	0.909	aborrecer
fucktard	anger	0.906	carallo
roadrage	anger	0.906	rodaxe
damnation	anger	0.906	condenación
homicidal	anger	0.906	homicida
furor	anger	0.900	furor
hostile	anger	0.898	hostís
annihilate	anger	0.898	aniquilar
murder	anger	0.897	asasinato
raging	anger	0.896	furioso
sopissed	anger	0.894	sopado
infuriates	anger	0.894	enfurece
pissed	anger	0.894	cabreado
rape	anger	0.894	violación
ferocious	anger	0.894	feroz
vengeful	anger	0.894	vingativo
obliterated	anger	0.894	borrado
explosive	anger	0.894	explosivo
killing	anger	0.893	matando
combative	anger	0.891	combativa
vengeance	anger	0.886	vinganza
gofuckyourself	anger	0.886	fodite a ti mesmo
torment	anger	0.885	tormento
wrath	anger	0.885	ira
vicious	anger	0.884	vicioso
massacre	anger	0.882	masacre
threatening	anger	0.882	ameazante
abhorrent	anger	0.875	aborrecible
bloodthirsty	anger	0.875	sanguinario
pissoff	anger	0.875	molestar
fighting	anger	0.868	loitando
attacking	anger	0.865	atacando
annihilated	anger	0.865	aniquilado
angriest	anger	0.864	máis enfadado
bloodshed	anger	0.864	derramamento de sangue
smite	anger	0.862	ferir
brawl	anger	0.861	pelexa
malicious	anger	0.859	malicioso
assassination	anger	0.859	asasinato
strangle	anger	0.859	estrangular
hostility	anger	0.859	hostilidade
assault	anger	0.859	asalto
explode	anger	0.859	estoupar
tirade	anger	0.859	diatriba
loathsome	anger	0.857	repugnante
hell	anger	0.853	inferno
murderous	anger	0.853	asasino
attack	anger	0.853	ataque
malice	anger	0.852	malicia
terrorism	anger	0.851	terrorismo
beating	anger	0.849	bater
outrage	anger	0.848	indignación
desecration	anger	0.848	profanación
pissingmeoff	anger	0.848	cabreandome
destroying	anger	0.844	destruíndo
slaughter	anger	0.844	matanza
irate	anger	0.844	furioso
violent	anger	0.844	violento
stab	anger	0.844	puñalada
abomination	anger	0.844	abominación
tumultuous	anger	0.844	tumultuoso
infuriate	anger	0.844	enfurecido
obliterate	anger	0.843	borrar
belligerent	anger	0.841	belixerante
dumbbitch	anger	0.841	tonto
detest	anger	0.838	detestar
hostilities	anger	0.837	hostilidades
prick	anger	0.835	picar
rampage	anger	0.833	alboroto
horrid	anger	0.833	horrible
cruelty	anger	0.833	crueldade
torture	anger	0.833	tortura
rabid	anger	0.833	rabioso
despicable	anger	0.828	desprezable
tyrannical	anger	0.828	tiránico
demonic	anger	0.828	demoníaco
satanic	anger	0.828	satánico
hate	anger	0.828	odio
ragemode	anger	0.828	modo de rabia
hating	anger	0.828	odiando
ruinous	anger	0.825	ruinoso
condemn	anger	0.825	condenar
riots	anger	0.824	disturbios
demolish	anger	0.824	derrubar
angry	anger	0.824	enfadado
extermination	anger	0.824	exterminio
dickhead	anger	0.824	cabezón
livid	anger	0.821	lívido
madman	anger	0.820	tolo
vindictive	anger	0.819	reivindicativo
terrorist	anger	0.818	terrorista
threaten	anger	0.818	ameazar
venomous	anger	0.818	velenoso
hateyou	anger	0.818	ódiote
ferocity	anger	0.818	ferocidade
effyou	anger	0.818	effyou
abhor	anger	0.816	aborrecer
carnage	anger	0.814	carnicería
savage	anger	0.814	salvaxe
