English Word	Emotion	Emotion-Intensity-Score	Georgian Word
outraged	anger	0.964	აღშფოთებული
brutality	anger	0.959	სისასტიკე
hatred	anger	0.953	სიძულვილი
hateful	anger	0.940	საძულველი
terrorize	anger	0.939	ატერორებს
violently	anger	0.938	უხეშად
infuriated	anger	0.938	განრისხებული
furious	anger	0.929	აღშფოთებული
furiously	anger	0.927	გააფთრებით
enraged	anger	0.927	განრისხებული
screwyou	anger	0.924	ხარხარი შენ
murderer	anger	0.922	მკვლელი
fury	anger	0.922	მრისხანება
execution	anger	0.917	აღსრულება
angered	anger	0.916	გაბრაზდა
savagery	anger	0.915	ველურობა
slaughtering	anger	0.914	დაკვლა
veryangry	anger	0.913	ძალიან გაბრაზებული
assassinate	anger	0.912	მოკვლა
annihilation	anger	0.912	განადგურება
fuckoff	anger	0.912	გარყვნილება
rage	anger	0.911	გაბრაზება
loathe	anger	0.909	ეზიზღება
fucktard	anger	0.906	ფუქტარდი
roadrage	anger	0.906	ტრაგედია
damnation	anger	0.906	წყევლა
homicidal	anger	0.906	მკვლელობის
furor	anger	0.900	ფურორი
hostile	anger	0.898	მტრულად განწყობილი
annihilate	anger	0.898	მოსპობა
murder	anger	0.897	მკვლელობა
raging	anger	0.896	მძვინვარებს
sopissed	anger	0.894	გაწბილებული
infuriates	anger	0.894	აბრაზებს
pissed	anger	0.894	გაბრაზებული
rape	anger	0.894	გაუპატიურება
ferocious	anger	0.894	მრისხანე
vengeful	anger	0.894	შურისმაძიებელი
obliterated	anger	0.894	წაშლილი
explosive	anger	0.894	ასაფეთქებელი
killing	anger	0.893	მოკვლა
combative	anger	0.891	საბრძოლო
vengeance	anger	0.886	შურისძიება
gofuckyourself	anger	0.886	გაგიჟდი საკუთარ თავს
torment	anger	0.885	ტანჯვა
wrath	anger	0.885	რისხვა
vicious	anger	0.884	მანკიერი
massacre	anger	0.882	ხოცვა-ჟლეტა
threatening	anger	0.882	მუქარა
abhorrent	anger	0.875	საზიზღარი
bloodthirsty	anger	0.875	სისხლისმსმელი
pissoff	anger	0.875	პისოფი
fighting	anger	0.868	ბრძოლა
attacking	anger	0.865	თავდასხმა
annihilated	anger	0.865	განადგურდა
angriest	anger	0.864	ყველაზე გაბრაზებული
bloodshed	anger	0.864	სისხლისღვრა
smite	anger	0.862	დარტყმა
brawl	anger	0.861	ჩხუბი
malicious	anger	0.859	მავნე
assassination	anger	0.859	მკვლელობა
strangle	anger	0.859	დაახრჩო
hostility	anger	0.859	მტრობა
assault	anger	0.859	თავდასხმა
explode	anger	0.859	აფეთქდეს
tirade	anger	0.859	ტირადა
loathsome	anger	0.857	საზიზღარი
hell	anger	0.853	ჯოჯოხეთი
murderous	anger	0.853	მკვლელი
attack	anger	0.853	თავდასხმა
malice	anger	0.852	ბოროტება
terrorism	anger	0.851	ტერორიზმი
beating	anger	0.849	ცემის
outrage	anger	0.848	აღშფოთება
desecration	anger	0.848	შეურაცხყოფა
pissingmeoff	anger	0.848	პისინგმეოფი
destroying	anger	0.844	ანადგურებს
slaughter	anger	0.844	დაკვლა
irate	anger	0.844	გაბრაზებული
violent	anger	0.844	ძალადობრივი
stab	anger	0.844	დარტყმა
abomination	anger	0.844	საზიზღრობა
tumultuous	anger	0.844	მღელვარე
infuriate	anger	0.844	აღაშფოთა
obliterate	anger	0.843	მოსპობა
belligerent	anger	0.841	მეომარი
dumbbitch	anger	0.841	მუნჯი
detest	anger	0.838	ზიზღი
hostilities	anger	0.837	საომარი მოქმედებები
prick	anger	0.835	ჩხვლეტა
rampage	anger	0.833	მძვინვარება
horrid	anger	0.833	საშინელი
cruelty	anger	0.833	სისასტიკე
torture	anger	0.833	წამება
rabid	anger	0.833	გაცოფებული
despicable	anger	0.828	საზიზღარი
tyrannical	anger	0.828	ტირანული
demonic	anger	0.828	დემონური
satanic	anger	0.828	სატანური
hate	anger	0.828	სიძულვილი
ragemode	anger	0.828	ragemode
hating	anger	0.828	სიძულვილი
ruinous	anger	0.825	დამღუპველი
condemn	anger	0.825	დაგმო
riots	anger	0.824	არეულობები
demolish	anger	0.824	დანგრევა
angry	anger	0.824	გაბრაზებული
extermination	anger	0.824	განადგურება
dickhead	anger	0.824	დიქთადი
livid	anger	0.821	ცხარე
madman	anger	0.820	გიჟი
vindictive	anger	0.819	შურისმაძიებელი
terrorist	anger	0.818	ტერორისტი
threaten	anger	0.818	იმუქრებიან
venomous	anger	0.818	შხამიანი
hateyou	anger	0.818	მეზიზღები
ferocity	anger	0.818	სისასტიკე
effyou	anger	0.818	ეფი შენ
abhor	anger	0.816	ზიზღი
carnage	anger	0.814	ხოცვა-ჟლეტა
savage	anger	0.814	ველური
