English Word	Emotion	Emotion-Intensity-Score	Greek Word
outraged	anger	0.964	αγανακτισμένοι
brutality	anger	0.959	κτηνωδία
hatred	anger	0.953	έχθρα
hateful	anger	0.940	μισητός
terrorize	anger	0.939	τρομοκρατώ
violently	anger	0.938	βιαίως
infuriated	anger	0.938	εξαγριωμένος
furious	anger	0.929	έξαλλος
furiously	anger	0.927	με μανία
enraged	anger	0.927	εκτος εαυτου
screwyou	anger	0.924	αντε πνιξου
murderer	anger	0.922	δολοφόνος
fury	anger	0.922	μανία
execution	anger	0.917	εκτέλεση
angered	anger	0.916	θυμωμένος
savagery	anger	0.915	αγριότητα
slaughtering	anger	0.914	σφαγή
veryangry	anger	0.913	πολύ θυμωμένος
assassinate	anger	0.912	δολοφονώ
annihilation	anger	0.912	εκμηδένιση
fuckoff	anger	0.912	γαμώτο
rage	anger	0.911	οργή
loathe	anger	0.909	σιχαίνομαι
fucktard	anger	0.906	φούκταρντ
roadrage	anger	0.906	τραγωδία
damnation	anger	0.906	καταδίκη
homicidal	anger	0.906	ανθρωποκτόνος
furor	anger	0.900	παραφορά
hostile	anger	0.898	εχθρικός
annihilate	anger	0.898	εκμηδενίζω
murder	anger	0.897	δολοφονία
raging	anger	0.896	μαινόμενος
sopissed	anger	0.894	μπερδεμένος
infuriates	anger	0.894	εξοργίζει
pissed	anger	0.894	τσαντισμένος
rape	anger	0.894	βιασμός
ferocious	anger	0.894	άγριος
vengeful	anger	0.894	εκδικητικός
obliterated	anger	0.894	εξαλειφθεί
explosive	anger	0.894	εκρηκτικός
killing	anger	0.893	φόνος
combative	anger	0.891	μαχητικός
vengeance	anger	0.886	εκδίκηση
gofuckyourself	anger	0.886	γαμάς τον εαυτό σου
torment	anger	0.885	βασανιστήριο
wrath	anger	0.885	Οργή
vicious	anger	0.884	φαύλος
massacre	anger	0.882	σφαγή
threatening	anger	0.882	απειλητικές
abhorrent	anger	0.875	απεχθής
bloodthirsty	anger	0.875	αιμοδίψης
pissoff	anger	0.875	εκνευρίζω
fighting	anger	0.868	μαχητικός
attacking	anger	0.865	επιτίθεται
annihilated	anger	0.865	εκμηδενίστηκε
angriest	anger	0.864	πιο θυμωμένος
bloodshed	anger	0.864	αιματοχυσία
smite	anger	0.862	χτυπώ
brawl	anger	0.861	φιλονικία
malicious	anger	0.859	κακεντρεχής
assassination	anger	0.859	δολοφονία
strangle	anger	0.859	στραγγαλίζω
hostility	anger	0.859	εχθρότητα
assault	anger	0.859	προσβολή
explode	anger	0.859	εκραγεί
tirade	anger	0.859	υβρεολόγιο
loathsome	anger	0.857	απεχθής
hell	anger	0.853	κόλαση
murderous	anger	0.853	φονικό
attack	anger	0.853	επίθεση
malice	anger	0.852	κακία
terrorism	anger	0.851	τρομοκρατία
beating	anger	0.849	χτύπημα
outrage	anger	0.848	προσβολή
