English Word	Emotion	Emotion-Intensity-Score	Haitian-Creole Word
outraged	anger	0.964	imilye
brutality	anger	0.959	britalite
hatred	anger	0.953	rayisman
hateful	anger	0.940	rayisab
terrorize	anger	0.939	teworize
violently	anger	0.938	vyolans
infuriated	anger	0.938	fache
furious	anger	0.929	fache
furiously	anger	0.927	kòlè
enraged	anger	0.927	anraje
screwyou	anger	0.924	lanmed
murderer	anger	0.922	ansasen
fury	anger	0.922	kòlè
execution	anger	0.917	ekzekisyon
angered	anger	0.916	fache
savagery	anger	0.915	sovaj
slaughtering	anger	0.914	abataj
veryangry	anger	0.913	fache anpil
assassinate	anger	0.912	asasinen
annihilation	anger	0.912	aniilasyon
fuckoff	anger	0.912	fout
rage	anger	0.911	raj
loathe	anger	0.909	degoute
fucktard	anger	0.906	fucktard
roadrage	anger	0.906	roadrage
damnation	anger	0.906	kondanasyon
homicidal	anger	0.906	omisid
furor	anger	0.900	kòlè
hostile	anger	0.898	ostil
annihilate	anger	0.898	anile
murder	anger	0.897	touye moun
raging	anger	0.896	anraje
sopissed	anger	0.894	sopise
infuriates	anger	0.894	fache
pissed	anger	0.894	fache
rape	anger	0.894	vyòl
ferocious	anger	0.894	feròs
vengeful	anger	0.894	tire revanj
obliterated	anger	0.894	efase
explosive	anger	0.894	eksplozif
killing	anger	0.893	touye
combative	anger	0.891	konbatif
vengeance	anger	0.886	tire revanj
gofuckyourself	anger	0.886	gofuckyourself
torment	anger	0.885	touman
wrath	anger	0.885	kòlè
vicious	anger	0.884	visye
massacre	anger	0.882	Masak
threatening	anger	0.882	menase
abhorrent	anger	0.875	degoutan
bloodthirsty	anger	0.875	asasen
pissoff	anger	0.875	faché
fighting	anger	0.868	batay
attacking	anger	0.865	atake
annihilated	anger	0.865	anile
angriest	anger	0.864	pi fache
bloodshed	anger	0.864	san koule
smite	anger	0.862	frape
brawl	anger	0.861	tapaj
malicious	anger	0.859	move
assassination	anger	0.859	asasina
strangle	anger	0.859	trangle
hostility	anger	0.859	ostilite
assault	anger	0.859	atak
explode	anger	0.859	eksploze
tirade	anger	0.859	tirad
loathsome	anger	0.857	degoutan
hell	anger	0.853	lanfè
murderous	anger	0.853	ansasen
attack	anger	0.853	atak
malice	anger	0.852	malis
terrorism	anger	0.851	teworis
beating	anger	0.849	bat
outrage	anger	0.848	outraj
desecration	anger	0.848	profanasyon
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	detwi
slaughter	anger	0.844	labatwa
irate	anger	0.844	irate
violent	anger	0.844	vyolan
stab	anger	0.844	kout kouto
abomination	anger	0.844	abominasyon
tumultuous	anger	0.844	tumultueuse
infuriate	anger	0.844	fache
obliterate	anger	0.843	efase
belligerent	anger	0.841	belijeran
dumbbitch	anger	0.841	enbesil
detest	anger	0.838	deteste
hostilities	anger	0.837	ostilite yo
prick	anger	0.835	pike
rampage	anger	0.833	sakaje
horrid	anger	0.833	terib
cruelty	anger	0.833	mechanste
torture	anger	0.833	tòti
rabid	anger	0.833	anraje
despicable	anger	0.828	embesil
tyrannical	anger	0.828	tiranik
demonic	anger	0.828	dyabolik
satanic	anger	0.828	satanik
hate	anger	0.828	rayi
ragemode	anger	0.828	ragemode
hating	anger	0.828	rayi
ruinous	anger	0.825	kraze brize
condemn	anger	0.825	kondane
riots	anger	0.824	revòlt
demolish	anger	0.824	demoli
angry	anger	0.824	fache
extermination	anger	0.824	ekstèminasyon
dickhead	anger	0.824	dickhead
livid	anger	0.821	livid
madman	anger	0.820	moun fou
vindictive	anger	0.819	vanjans
terrorist	anger	0.818	teworis
threaten	anger	0.818	menase
venomous	anger	0.818	pwazon
hateyou	anger	0.818	rayi w
ferocity	anger	0.818	ferosite
effyou	anger	0.818	effyou
abhor	anger	0.816	degoute
carnage	anger	0.814	masnay
savage	anger	0.814	sovaj
atrocity	anger	0.814	atrosite
fucksake	anger	0.812	fout
abuse	anger	0.812	abi
fierce	anger	0.812	feròs
destroyer	anger	0.812	destriktè
angrytweet	anger	0.812	angrytweet
barbaric	anger	0.812	barbare
vendetta	anger	0.812	vandetta
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	fache
tyrant	anger	0.812	tiran
berserk	anger	0.812	fou
fuming	anger	0.812	fimen
anger	anger	0.811	kòlè
pieceofshit	anger	0.810	moso kaka
punched	anger	0.803	kout pwen
punching	anger	0.803	pwensonaj
slam	anger	0.803	slam
homicide	anger	0.803	omisid
bitch	anger	0.803	chen
fights	anger	0.803	batay
ruthless	anger	0.797	san pitye
villainous	anger	0.797	mechan
destructive	anger	0.797	destriktif
slap	anger	0.791	kalòt
riot	anger	0.788	revòlt
growthefuckup	anger	0.788	growefuckup
punishing	anger	0.788	pini
slaughterhouse	anger	0.788	labatwa
yelling	anger	0.788	kriye
diabolical	anger	0.788	dyabolik
destroyed	anger	0.788	detwi
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	vanjans
manslaughter	anger	0.783	touye moun
clash	anger	0.783	eklatman
quarrel	anger	0.781	diskisyon
bloody	anger	0.781	san
hellish	anger	0.781	infernal
sinister	anger	0.781	dezas
loath	anger	0.781	degoutans
detonation	anger	0.781	deksplozyon
accusing	anger	0.779	akize
fumin	anger	0.779	fumin
hateeee	anger	0.779	rayieee
treacherous	anger	0.779	trèt
madder	anger	0.773	fache
horrific	anger	0.773	terib
revulsion	anger	0.773	repiyans
retaliate	anger	0.773	vanjans
scorn	anger	0.769	meprize
bomb	anger	0.766	bonm
deplorable	anger	0.766	deplorab
devastation	anger	0.765	devastasyon
anarchist	anger	0.765	anachis
firestorm	anger	0.765	tanpèt dife
resent	anger	0.765	resanti
contemptible	anger	0.764	meprizab
shittest	anger	0.760	shittest
rant	anger	0.758	rant
cruel	anger	0.758	mechan
deadly	anger	0.758	mòtèl
smash	anger	0.758	kraze
soangry	anger	0.758	soangry
outburst	anger	0.757	eklate
snarl	anger	0.754	gronyen
profane	anger	0.750	profane
revolting	anger	0.750	revòlte
aggravating	anger	0.750	agrave
horror	anger	0.750	laterè
despise	anger	0.750	meprize
offend	anger	0.750	ofanse
stfu	anger	0.750	stfu
vulgarity	anger	0.750	vilgarite
crazed	anger	0.750	fou
douchebags	anger	0.750	douchbags
growling	anger	0.750	gwonde
dontmesswithme	anger	0.750	pa mele avèm
screaming	anger	0.742	kriyan
threat	anger	0.742	menas
erupt	anger	0.742	eklate
horrible	anger	0.742	terib
molestation	anger	0.742	molestasyon
fuckedoff	anger	0.742	foutu
violence	anger	0.742	vyolans
bastards	anger	0.741	salo
revenge	anger	0.738	revanj
menacing	anger	0.735	menasan
crushing	anger	0.735	kraze
damn	anger	0.735	modi
catastrophe	anger	0.735	katastwòf
demon	anger	0.735	demon
argue	anger	0.734	diskite
persecute	anger	0.734	pèsekite
deplore	anger	0.734	deplore
flog	anger	0.734	bate
fedup	anger	0.734	fedup
riotous	anger	0.734	dezòd
vehement	anger	0.734	veyement
revolt	anger	0.734	revòlt
warfare	anger	0.734	lagè
