English Word	Emotion	Emotion-Intensity-Score	Hausa Word
outraged	anger	0.964	ya fusata
brutality	anger	0.959	zalunci
hatred	anger	0.953	ƙiyayya
hateful	anger	0.940	m
terrorize	anger	0.939	ta'addanci
violently	anger	0.938	tashin hankali
infuriated	anger	0.938	ya fusata
furious	anger	0.929	fushi
furiously	anger	0.927	cikin fushi
enraged	anger	0.927	fusata
screwyou	anger	0.924	dunkule
murderer	anger	0.922	mai kisan kai
fury	anger	0.922	fushi
execution	anger	0.917	kisa
angered	anger	0.916	ya fusata
savagery	anger	0.915	zalunci
slaughtering	anger	0.914	yanka
veryangry	anger	0.913	cikin fushi
assassinate	anger	0.912	kashe shi
annihilation	anger	0.912	halaka
fuckoff	anger	0.912	fuckoff
rage	anger	0.911	fushi
loathe	anger	0.909	qyama
fucktard	anger	0.906	fucktard
roadrage	anger	0.906	hanya
damnation	anger	0.906	tsinewa
homicidal	anger	0.906	kisan kai
furor	anger	0.900	furuci
hostile	anger	0.898	m
annihilate	anger	0.898	halaka
murder	anger	0.897	kisan kai
raging	anger	0.896	fushi
sopissed	anger	0.894	m
infuriates	anger	0.894	ya fusata
pissed	anger	0.894	haushi
rape	anger	0.894	fyade
ferocious	anger	0.894	m
vengeful	anger	0.894	mai daukar fansa
obliterated	anger	0.894	shafe
explosive	anger	0.894	m
killing	anger	0.893	kisa
combative	anger	0.891	m
vengeance	anger	0.886	daukar fansa
gofuckyourself	anger	0.886	goshi da kanka
torment	anger	0.885	azaba
wrath	anger	0.885	fushi
vicious	anger	0.884	m
massacre	anger	0.882	kisan kiyashi
threatening	anger	0.882	barazana
abhorrent	anger	0.875	abin ƙyama
bloodthirsty	anger	0.875	masu zubar da jini
pissoff	anger	0.875	tashin hankali
fighting	anger	0.868	fada
attacking	anger	0.865	kai hari
annihilated	anger	0.865	halakar
angriest	anger	0.864	mai fushi
bloodshed	anger	0.864	zubar da jini
smite	anger	0.862	buge
brawl	anger	0.861	fada
malicious	anger	0.859	m
assassination	anger	0.859	kisa
strangle	anger	0.859	makare
hostility	anger	0.859	adawa
assault	anger	0.859	kai hari
explode	anger	0.859	fashe
tirade	anger	0.859	tirade
loathsome	anger	0.857	abin ƙyama
hell	anger	0.853	jahannama
murderous	anger	0.853	m
attack	anger	0.853	kai hari
malice	anger	0.852	mugunta
terrorism	anger	0.851	ta'addanci
beating	anger	0.849	duka
outrage	anger	0.848	bacin rai
desecration	anger	0.848	lalata
pissingmeoff	anger	0.848	ban haushi
destroying	anger	0.844	lalata
slaughter	anger	0.844	yanka
irate	anger	0.844	fushi
violent	anger	0.844	tashin hankali
stab	anger	0.844	soka
abomination	anger	0.844	abin ƙyama
tumultuous	anger	0.844	hargitsi
infuriate	anger	0.844	fushi
obliterate	anger	0.843	shafe
belligerent	anger	0.841	m
dumbbitch	anger	0.841	dumbitch
detest	anger	0.838	kyama
hostilities	anger	0.837	tashin hankali
prick	anger	0.835	soki
rampage	anger	0.833	tashin hankali
horrid	anger	0.833	tsoro
cruelty	anger	0.833	zalunci
torture	anger	0.833	azabtarwa
rabid	anger	0.833	rabid
despicable	anger	0.828	m
tyrannical	anger	0.828	azzalumi
demonic	anger	0.828	aljani
satanic	anger	0.828	shaidan
hate	anger	0.828	ƙiyayya
ragemode	anger	0.828	ragemode
hating	anger	0.828	ƙiyayya
ruinous	anger	0.825	m
condemn	anger	0.825	hukunta
riots	anger	0.824	tarzoma
demolish	anger	0.824	rusa
angry	anger	0.824	fushi
extermination	anger	0.824	halaka
dickhead	anger	0.824	dickhead
livid	anger	0.821	livid
madman	anger	0.820	mahaukaci
vindictive	anger	0.819	m
terrorist	anger	0.818	ta'addanci
threaten	anger	0.818	yi barazana
venomous	anger	0.818	m
hateyou	anger	0.818	ki jininka
ferocity	anger	0.818	rashin tsoro
effyou	anger	0.818	eff ku
abhor	anger	0.816	kyama
carnage	anger	0.814	kashe-kashe
savage	anger	0.814	saba
atrocity	anger	0.814	zalunci
fucksake	anger	0.812	fucksake
abuse	anger	0.812	zagi
fierce	anger	0.812	m
destroyer	anger	0.812	mai halakarwa
angrytweet	anger	0.812	fushi tweet
barbaric	anger	0.812	dabbanci
vendetta	anger	0.812	vendetta
pissesmeoff	anger	0.812	tashin hankali
pissedoff	anger	0.812	ji haushi
tyrant	anger	0.812	azzalumi
berserk	anger	0.812	cikas
fuming	anger	0.812	husuma
anger	anger	0.811	fushi
pieceofshit	anger	0.810	guntun tsaki
punched	anger	0.803	naushi
punching	anger	0.803	naushi
slam	anger	0.803	slam
homicide	anger	0.803	kisan kai
bitch	anger	0.803	mace
fights	anger	0.803	fada
ruthless	anger	0.797	m
villainous	anger	0.797	mugu
destructive	anger	0.797	m
slap	anger	0.791	mari
riot	anger	0.788	tarzoma
growthefuckup	anger	0.788	girma
punishing	anger	0.788	azabtarwa
slaughterhouse	anger	0.788	gidan yanka
yelling	anger	0.788	ihu
diabolical	anger	0.788	na diabolical
destroyed	anger	0.788	halaka
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	ramuwar gayya
manslaughter	anger	0.783	kisa
clash	anger	0.783	karo
quarrel	anger	0.781	jayayya
bloody	anger	0.781	mai jini
hellish	anger	0.781	jahannama
sinister	anger	0.781	m
loath	anger	0.781	zagi
detonation	anger	0.781	fashewa
accusing	anger	0.779	zargi
fumin	anger	0.779	fumin
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	mayaudara
madder	anger	0.773	mahaukaci
horrific	anger	0.773	m
revulsion	anger	0.773	revulsion
retaliate	anger	0.773	rama
scorn	anger	0.769	izgili
bomb	anger	0.766	bam
deplorable	anger	0.766	abin takaici
devastation	anger	0.765	lalacewa
anarchist	anger	0.765	anarchist
firestorm	anger	0.765	tashin gobara
resent	anger	0.765	haushi
contemptible	anger	0.764	m
shittest	anger	0.760	shirme
rant	anger	0.758	bacin rai
cruel	anger	0.758	m
deadly	anger	0.758	m
smash	anger	0.758	fasa
soangry	anger	0.758	m
outburst	anger	0.757	fashewa
snarl	anger	0.754	zage-zage
profane	anger	0.750	lalata
revolting	anger	0.750	tawaye
aggravating	anger	0.750	kara tsananta
horror	anger	0.750	tsoro
despise	anger	0.750	raina
offend	anger	0.750	laifi
stfu	anger	0.750	stfu
vulgarity	anger	0.750	rashin mutunci
crazed	anger	0.750	mahaukaci
douchebags	anger	0.750	douchebags
growling	anger	0.750	gunaguni
dontmesswithme	anger	0.750	kar ku manta da ni
screaming	anger	0.742	kururuwa
threat	anger	0.742	barazana
erupt	anger	0.742	fashewa
horrible	anger	0.742	m
molestation	anger	0.742	lalata
fuckedoff	anger	0.742	zagi
violence	anger	0.742	tashin hankali
bastards	anger	0.741	iskanci
revenge	anger	0.738	fansa
menacing	anger	0.735	m
crushing	anger	0.735	murkushewa
damn	anger	0.735	Tsine
catastrophe	anger	0.735	bala'i
demon	anger	0.735	aljani
argue	anger	0.734	jayayya
persecute	anger	0.734	tsananta
deplore	anger	0.734	takaici
flog	anger	0.734	bulala
fedup	anger	0.734	fedu
riotous	anger	0.734	m
vehement	anger	0.734	tashin hankali
revolt	anger	0.734	tawaye
warfare	anger	0.734	yaki
thrash	anger	0.734	bugu
altercation	anger	0.729	sabani
warlike	anger	0.728	son yaki
shitday	anger	0.727	shitday
mutiny	anger	0.727	mutin
castrate	anger	0.727	jefar da shi
sabotage	anger	0.727	sabotage
malevolent	anger	0.721	m
strike	anger	0.721	yajin aiki
disaster	anger	0.721	bala'i
disastrous	anger	0.720	m
bastarding	anger	0.719	ban tsoro
treachery	anger	0.719	yaudara
arseholes	anger	0.719	rijiyoyin ruwa
horseshit	anger	0.719	doki
slay	anger	0.719	kashe
disdain	anger	0.719	raini
aggravates	anger	0.719	yana kara tsananta
brutal	anger	0.719	m
scorching	anger	0.719	zafi
devil	anger	0.719	shaidan
madden	anger	0.719	hauka
spiteful	anger	0.719	m
scream	anger	0.719	kururuwa
choke	anger	0.719	shake
vermin	anger	0.719	kwari
tumult	anger	0.719	hargitsi
criminal	anger	0.714	mai laifi
mangle	anger	0.714	mangwaro
anarchism	anger	0.714	anarchism
mutilation	anger	0.714	kaciya
denunciation	anger	0.713	zargi
punch	anger	0.713	naushi
virulence	anger	0.712	kamuwa da cuta
fatal	anger	0.712	m
hurting	anger	0.712	ciwo
crucifixion	anger	0.712	giciye
dontlikeyou	anger	0.712	ban son ku
blasphemous	anger	0.712	sabo
holocaust	anger	0.712	Holocaust
dumbasses	anger	0.712	dumbasses
battled	anger	0.712	fada
deranged	anger	0.706	ɓatacce
irritated	anger	0.706	haushi
atrocious	anger	0.706	m
evil	anger	0.706	mugunta
aggravated	anger	0.703	ya tsananta
intimidation	anger	0.703	tsoratarwa
dicks	anger	0.703	dikkoki
assassin	anger	0.703	kisa
scolding	anger	0.703	zagi
persecution	anger	0.703	zalunci
slayer	anger	0.703	kisa
kidnap	anger	0.703	sace
aggression	anger	0.702	zalunci
armed	anger	0.700	dauke da makamai
battle	anger	0.697	yaƙi
poison	anger	0.697	guba
snarling	anger	0.697	zage-zage
venom	anger	0.697	dafin
disgruntled	anger	0.693	takaici
resentment	anger	0.691	bacin rai
assailant	anger	0.691	maharan
insidious	anger	0.691	m
contemptuous	anger	0.690	m
lynch	anger	0.690	lynch
temper	anger	0.688	fushi
terrible	anger	0.688	m
disparage	anger	0.688	rashin mutunci
lunatic	anger	0.688	mahaukaci
bully	anger	0.688	zalunci
mad	anger	0.688	mahaukaci
makesmemad	anger	0.688	mai ban tsoro
infanticide	anger	0.688	kisan gilla
domination	anger	0.688	mulki
peeved	anger	0.688	peved
imprisonment	anger	0.688	dauri
curse	anger	0.688	tsinewa
volatility	anger	0.687	rashin daidaituwa
eradication	anger	0.685	shafewa
eradicate	anger	0.682	kawar da
tantrum	anger	0.682	bacin rai
scoundrel	anger	0.682	zagi
devastate	anger	0.682	barna
aggressively	anger	0.680	m
agitation	anger	0.680	tashin hankali
dictatorship	anger	0.676	mulkin kama-karya
irritates	anger	0.676	haushi
profanity	anger	0.673	lalata
shove	anger	0.672	tura
nasty	anger	0.672	m
shot	anger	0.672	harbi
