English Word	Emotion	Emotion-Intensity-Score	Hawaiian Word
outraged	anger	0.964	ukiuki
brutality	anger	0.959	hana ino
hatred	anger	0.953	inaina
hateful	anger	0.940	inaina
terrorize	anger	0.939	hooweliweli
violently	anger	0.938	hana ino
infuriated	anger	0.938	huhu
furious	anger	0.929	huhu
furiously	anger	0.927	huhu loa
enraged	anger	0.927	huhu
screwyou	anger	0.924	hoʻopaʻapaʻa
murderer	anger	0.922	pepehi kanaka
fury	anger	0.922	huhu
execution	anger	0.917	ka hoʻokō ʻana
angered	anger	0.916	huhu
savagery	anger	0.915	hana ʻino
slaughtering	anger	0.914	ka pepehi ana
veryangry	anger	0.913	huhu loa
assassinate	anger	0.912	pepehi kanaka
annihilation	anger	0.912	hoopau ana
fuckoff	anger	0.912	hoʻopaʻapaʻa
rage	anger	0.911	huhu
loathe	anger	0.909	inaina
fucktard	anger	0.906	hoʻopaʻapaʻa
roadrage	anger	0.906	ʻaoʻao
damnation	anger	0.906	poino
homicidal	anger	0.906	pepehi kanaka
furor	anger	0.900	huhu
hostile	anger	0.898	inaina
annihilate	anger	0.898	e hoopau
murder	anger	0.897	pepehi kanaka
raging	anger	0.896	e huhū ana
sopissed	anger	0.894	hauʻoli
infuriates	anger	0.894	hoonaukiuki
pissed	anger	0.894	huhu
rape	anger	0.894	hoopalau
ferocious	anger	0.894	ʻinoʻino
vengeful	anger	0.894	hoʻopaʻi
obliterated	anger	0.894	hoʻopau ʻia
explosive	anger	0.894	pahū
killing	anger	0.893	pepehi kanaka
combative	anger	0.891	paio
vengeance	anger	0.886	ka hoopai ana
gofuckyourself	anger	0.886	hoʻokaʻawale iā ʻoe iho
torment	anger	0.885	ehaeha
wrath	anger	0.885	inaina
vicious	anger	0.884	ino
massacre	anger	0.882	pepehi kanaka
threatening	anger	0.882	hooweliweli
abhorrent	anger	0.875	hoʻopailua
bloodthirsty	anger	0.875	hookahe koko
pissoff	anger	0.875	hoʻohuhū
fighting	anger	0.868	hakaka ana
attacking	anger	0.865	hoouka kaua
annihilated	anger	0.865	hoopauia
angriest	anger	0.864	huhu loa
bloodshed	anger	0.864	hookahe koko
smite	anger	0.862	hahau
brawl	anger	0.861	hakaka
malicious	anger	0.859	ino
assassination	anger	0.859	pepehi kanaka
strangle	anger	0.859	ʻumi ʻumi
hostility	anger	0.859	ka inaina
assault	anger	0.859	Limanui
explode	anger	0.859	pahū
tirade	anger	0.859	hōʻino
loathsome	anger	0.857	hoʻopailua
hell	anger	0.853	Gehena
murderous	anger	0.853	pepehi kanaka
attack	anger	0.853	hoouka kaua
malice	anger	0.852	ʻinoʻino
terrorism	anger	0.851	hooweliweli
beating	anger	0.849	hahau ana
outrage	anger	0.848	huhu
desecration	anger	0.848	hoʻohaumia
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	e luku ana
slaughter	anger	0.844	pepehi kanaka
irate	anger	0.844	huhū
violent	anger	0.844	hana ino
stab	anger	0.844	houʻa
abomination	anger	0.844	hoʻopailua
tumultuous	anger	0.844	haunaele
infuriate	anger	0.844	hoonaukiuki
obliterate	anger	0.843	e hoopau
belligerent	anger	0.841	paio
dumbbitch	anger	0.841	pupule
detest	anger	0.838	hoowahawaha
hostilities	anger	0.837	hoouka kaua
prick	anger	0.835	kuʻi
rampage	anger	0.833	hoʻohalahala
horrid	anger	0.833	weliweli
cruelty	anger	0.833	lokoino
torture	anger	0.833	hoehaeha
rabid	anger	0.833	huhū
despicable	anger	0.828	hoowahawaha
tyrannical	anger	0.828	lokoino
demonic	anger	0.828	daimonio
satanic	anger	0.828	satanika
hate	anger	0.828	inaina
ragemode	anger	0.828	hoʻohuoi
hating	anger	0.828	inaina
ruinous	anger	0.825	poino
condemn	anger	0.825	hoohewa
riots	anger	0.824	haunaele
demolish	anger	0.824	wawahi
angry	anger	0.824	huhu
extermination	anger	0.824	hoopau ana
dickhead	anger	0.824	dickhead
livid	anger	0.821	ʻinoʻino
madman	anger	0.820	pupule
vindictive	anger	0.819	hoʻopaʻi
terrorist	anger	0.818	mea hooweliweli
threaten	anger	0.818	hooweliweli
venomous	anger	0.818	mea ʻawaʻawa
hateyou	anger	0.818	inaina oe
ferocity	anger	0.818	ʻinoʻino
effyou	anger	0.818	effyou
abhor	anger	0.816	hoʻopailua
carnage	anger	0.814	pepehi kanaka
savage	anger	0.814	ʻinoʻino
atrocity	anger	0.814	hana ʻino
fucksake	anger	0.812	ʻakaʻaka
abuse	anger	0.812	hana ino
fierce	anger	0.812	ʻinoʻino
destroyer	anger	0.812	mea luku
angrytweet	anger	0.812	angrytweet
barbaric	anger	0.812	pāʻani
vendetta	anger	0.812	hoʻopaʻapaʻa
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	inaina
tyrant	anger	0.812	lokoino
berserk	anger	0.812	hoʻohenehene
fuming	anger	0.812	huhu
anger	anger	0.811	huhu
pieceofshit	anger	0.810	pieceofshit
punched	anger	0.803	kuʻi ʻia
punching	anger	0.803	kuʻi ʻana
slam	anger	0.803	slam
homicide	anger	0.803	pepehi kanaka
bitch	anger	0.803	ʻūhā
fights	anger	0.803	hakaka
ruthless	anger	0.797	lokoino
villainous	anger	0.797	kolohe
destructive	anger	0.797	mea luku
slap	anger	0.791	paʻi
riot	anger	0.788	haunaele
growthefuckup	anger	0.788	growthfuckup
punishing	anger	0.788	ka hoopai ana
slaughterhouse	anger	0.788	hale pepehi kanaka
yelling	anger	0.788	uē ʻana
diabolical	anger	0.788	diabolo
destroyed	anger	0.788	luku ʻia
ragetweet	anger	0.788	hoʻopaʻapaʻa
retaliatory	anger	0.788	hoʻopaʻi
manslaughter	anger	0.783	pepehi kanaka
clash	anger	0.783	paio
quarrel	anger	0.781	hakaka
bloody	anger	0.781	koko
hellish	anger	0.781	pōʻino
sinister	anger	0.781	hewa
loath	anger	0.781	inaina
detonation	anger	0.781	pahū
accusing	anger	0.779	hoʻopiʻi
fumin	anger	0.779	huʻihuʻi
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	hoopunipuni
madder	anger	0.773	hehena
horrific	anger	0.773	weliweli
revulsion	anger	0.773	hoohuoi
retaliate	anger	0.773	hoʻopaʻi
scorn	anger	0.769	hoowahawaha
bomb	anger	0.766	pahū
deplorable	anger	0.766	poino
devastation	anger	0.765	pōʻino
anarchist	anger	0.765	anarchist
firestorm	anger	0.765	ʻino ahi
resent	anger	0.765	inaina
contemptible	anger	0.764	hoowahawaha
shittest	anger	0.760	ʻino loa
rant	anger	0.758	ʻōlelo hōʻino
cruel	anger	0.758	lokoino
deadly	anger	0.758	mea make
smash	anger	0.758	wawahi
soangry	anger	0.758	hauʻoli
outburst	anger	0.757	ʻāhuehue
snarl	anger	0.754	ʻūhū
profane	anger	0.750	haumia
revolting	anger	0.750	kipi
aggravating	anger	0.750	hoehaeha
horror	anger	0.750	weliweli
despise	anger	0.750	hoowahawaha
offend	anger	0.750	hana hewa
stfu	anger	0.750	stfu
vulgarity	anger	0.750	hoʻomāʻewaʻewa
crazed	anger	0.750	pupule
douchebags	anger	0.750	ʻeke ʻeke
growling	anger	0.750	uwo ana
dontmesswithme	anger	0.750	mai hana ino ia'u
screaming	anger	0.742	uwauwa
threat	anger	0.742	hooweliweli
erupt	anger	0.742	hū
horrible	anger	0.742	weliweli
molestation	anger	0.742	hoʻomāinoino
fuckedoff	anger	0.742	hoʻopaʻapaʻa
violence	anger	0.742	hana ino
bastards	anger	0.741	ʻo nā mea ʻino
revenge	anger	0.738	hoʻopaʻi
menacing	anger	0.735	hooweliweli
crushing	anger	0.735	e uhai ana
damn	anger	0.735	poino
catastrophe	anger	0.735	pōʻino
demon	anger	0.735	daimonio
argue	anger	0.734	hoʻopaʻapaʻa
persecute	anger	0.734	hoomaau
deplore	anger	0.734	minamina
flog	anger	0.734	hahau
fedup	anger	0.734	huhū
riotous	anger	0.734	haunaele
vehement	anger	0.734	ikaika loa
revolt	anger	0.734	kipi
warfare	anger	0.734	kaua
thrash	anger	0.734	kāʻili
altercation	anger	0.729	hoʻopaʻapaʻa
warlike	anger	0.728	ʻano kaua
shitday	anger	0.727	lā ʻino
mutiny	anger	0.727	kipi
castrate	anger	0.727	kāpala
sabotage	anger	0.727	kāʻili ʻana
malevolent	anger	0.721	kolohe
strike	anger	0.721	hahau
disaster	anger	0.721	pōʻino
disastrous	anger	0.720	pōʻino
bastarding	anger	0.719	hoʻopaʻapaʻa
treachery	anger	0.719	hoopunipuni
arseholes	anger	0.719	nā mea kaua
horseshit	anger	0.719	lio
slay	anger	0.719	pepehi
disdain	anger	0.719	hoowahawaha
aggravates	anger	0.719	hōʻeha
brutal	anger	0.719	lokoino
scorching	anger	0.719	e wela ana
devil	anger	0.719	diabolo
madden	anger	0.719	huhu
spiteful	anger	0.719	inaina
scream	anger	0.719	walaau
choke	anger	0.719	ʻōʻō
vermin	anger	0.719	ʻinoʻino
tumult	anger	0.719	haunaele
criminal	anger	0.714	lawehala
mangle	anger	0.714	mangle
anarchism	anger	0.714	anarchism
mutilation	anger	0.714	ʻoki ʻana
denunciation	anger	0.713	ka hoohewa ana
punch	anger	0.713	kuʻi
virulence	anger	0.712	ʻinoʻino
fatal	anger	0.712	mea make
hurting	anger	0.712	ʻehaʻeha
crucifixion	anger	0.712	kau ma ke kea
dontlikeyou	anger	0.712	ʻaʻole makemake iā ʻoe
blasphemous	anger	0.712	olelo hoino
holocaust	anger	0.712	holocaust
dumbasses	anger	0.712	nā mea lapuwale
battled	anger	0.712	kaua
deranged	anger	0.706	pupule
irritated	anger	0.706	ukiuki
atrocious	anger	0.706	ʻinoʻino
evil	anger	0.706	ino
aggravated	anger	0.703	hoehaeha
intimidation	anger	0.703	hooweliweli
dicks	anger	0.703	dicks
assassin	anger	0.703	pepehi kanaka
scolding	anger	0.703	ʻōlelo ʻino
persecution	anger	0.703	ka hoomaau ana
slayer	anger	0.703	pepehi kanaka
kidnap	anger	0.703	ʻaihue
aggression	anger	0.702	hoehae
armed	anger	0.700	mea kaua
battle	anger	0.697	kaua
poison	anger	0.697	ʻawaʻawa
snarling	anger	0.697	ʻūhū
venom	anger	0.697	mea ʻawaʻawa
disgruntled	anger	0.693	hauʻoli
resentment	anger	0.691	ka inaina
assailant	anger	0.691	mea pepehi kanaka
insidious	anger	0.691	hoopunipuni
contemptuous	anger	0.690	hoowahawaha
lynch	anger	0.690	lynch
temper	anger	0.688	huhū
terrible	anger	0.688	weliweli
disparage	anger	0.688	hoʻomāʻewaʻewa
lunatic	anger	0.688	pupule
bully	anger	0.688	hooweliweli
mad	anger	0.688	huhū
makesmemad	anger	0.688	makesmemad
infanticide	anger	0.688	pepehi keiki
domination	anger	0.688	noho aupuni
peeved	anger	0.688	ukiuki
imprisonment	anger	0.688	paʻahao
curse	anger	0.688	hōʻino
volatility	anger	0.687	volatility
eradication	anger	0.685	hoopau ana
eradicate	anger	0.682	e hoopau
tantrum	anger	0.682	hoʻohalahala
scoundrel	anger	0.682	mea ʻinoʻino
devastate	anger	0.682	hoopoino
aggressively	anger	0.680	me ka hoohuoi
agitation	anger	0.680	haunaele
dictatorship	anger	0.676	aupuni diktaturia
irritates	anger	0.676	hoonaukiuki
profanity	anger	0.673	olelo ino
shove	anger	0.672	hookui
nasty	anger	0.672	ʻinoʻino
