English Word	Emotion	Emotion-Intensity-Score	Hindi Word
outraged	anger	0.964	गुस्सा
brutality	anger	0.959	निर्दयता
hatred	anger	0.953	घृणा
hateful	anger	0.940	घृणित
terrorize	anger	0.939	आतंकित करना
violently	anger	0.938	बलपूर्वक
infuriated	anger	0.938	व्यथित
furious	anger	0.929	आगबबूला
furiously	anger	0.927	जिस
enraged	anger	0.927	ख़फ़ा
screwyou	anger	0.924	जा मर
murderer	anger	0.922	मार डालनेवाला
fury	anger	0.922	रोष
execution	anger	0.917	कार्यान्वयन
angered	anger	0.916	नाराज
savagery	anger	0.915	क्रूरता
slaughtering	anger	0.914	नरसंहार
veryangry	anger	0.913	लाल पिला
assassinate	anger	0.912	हत्या
annihilation	anger	0.912	विनाश
fuckoff	anger	0.912	भाड़ में जाओ
rage	anger	0.911	तेज़ी
loathe	anger	0.909	घृणा करना
fucktard	anger	0.906	भाड़ में जाओ
roadrage	anger	0.906	यातायात में सड़क पर चालकों द्वारा हिंसक रोष व्यक्त करना
damnation	anger	0.906	फटकार
homicidal	anger	0.906	मनुष्य वघ-संबंधी
furor	anger	0.900	उत्तेजना
hostile	anger	0.898	विरोधी
annihilate	anger	0.898	संहार करना
murder	anger	0.897	हत्या
raging	anger	0.896	प्रकोप
sopissed	anger	0.894	इतना गुस्से में
infuriates	anger	0.894	क्रुद्ध करना
pissed	anger	0.894	बहुत मदहोश
rape	anger	0.894	बलात्कार
ferocious	anger	0.894	क्रूर
vengeful	anger	0.894	तामसिक
obliterated	anger	0.894	का नामोनिशान
explosive	anger	0.894	विस्फोटक
killing	anger	0.893	मारना
combative	anger	0.891	जुझारू
vengeance	anger	0.886	प्रतिशोध
gofuckyourself	anger	0.886	अपने आप को बकवास
torment	anger	0.885	यातना
wrath	anger	0.885	क्रोध
vicious	anger	0.884	दुष्ट
massacre	anger	0.882	हत्याकांड
threatening	anger	0.882	धमकी
abhorrent	anger	0.875	घिनौना
bloodthirsty	anger	0.875	bloodthirsty
pissoff	anger	0.875	दूर जाने का अभद्र संकेत देना
fighting	anger	0.868	लड़ाई करना
attacking	anger	0.865	पर हमला
annihilated	anger	0.865	सत्यानाश
angriest	anger	0.864	एंग्रीएस्ट
bloodshed	anger	0.864	रक्तपात
smite	anger	0.862	हराना
brawl	anger	0.861	विवाद
malicious	anger	0.859	दुर्भावनापूर्ण
assassination	anger	0.859	हत्या
strangle	anger	0.859	दबाना
hostility	anger	0.859	शत्रुता
assault	anger	0.859	हमला
explode	anger	0.859	विस्फोट
tirade	anger	0.859	टाइरैड
loathsome	anger	0.857	वीभत्स
hell	anger	0.853	नरक
murderous	anger	0.853	घातक
attack	anger	0.853	हमला
