English Word	Emotion	Emotion-Intensity-Score	Hmong Word
outraged	anger	0.964	npau taws
brutality	anger	0.959	kev ua phem
hatred	anger	0.953	kev ntxub ntxaug
hateful	anger	0.940	ntxub
terrorize	anger	0.939	ntshai
violently	anger	0.938	ua nruj ua tsiv
infuriated	anger	0.938	npau taws
furious	anger	0.929	npau taws
furiously	anger	0.927	npau taws heev
enraged	anger	0.927	chim siab
screwyou	anger	0.924	koj
murderer	anger	0.922	neeg tua neeg
fury	anger	0.922	npau taws
execution	anger	0.917	kev ua
angered	anger	0.916	npau taws
savagery	anger	0.915	savagery
slaughtering	anger	0.914	kev tua tsiaj
veryangry	anger	0.913	npau taws heev
assassinate	anger	0.912	tua neeg
annihilation	anger	0.912	kev puas tsuaj
fuckoff	anger	0.912	fuckoff
rage	anger	0.911	npau taws
loathe	anger	0.909	ntxub
fucktard	anger	0.906	fucktard
roadrage	anger	0.906	kev npau taws
damnation	anger	0.906	kev tsim txom
homicidal	anger	0.906	kev tua neeg
furor	anger	0.900	npau taws
hostile	anger	0.898	ua phem
annihilate	anger	0.898	rhuav tshem
murder	anger	0.897	kev tua neeg
raging	anger	0.896	npau taws
sopissed	anger	0.894	ua tsaug
infuriates	anger	0.894	infuriates
pissed	anger	0.894	pissed
rape	anger	0.894	rape
ferocious	anger	0.894	siab phem
vengeful	anger	0.894	ua pauj
obliterated	anger	0.894	obliterated
explosive	anger	0.894	tawg
killing	anger	0.893	tua
combative	anger	0.891	sib ntaus sib tua
vengeance	anger	0.886	kev ua pauj
gofuckyourself	anger	0.886	gofuck koj tus kheej
torment	anger	0.885	kev tsim txom
wrath	anger	0.885	kev npau taws
vicious	anger	0.884	siab phem
massacre	anger	0.882	tua neeg
threatening	anger	0.882	hem
abhorrent	anger	0.875	ntxub
bloodthirsty	anger	0.875	nqhis dej
pissoff	anger	0.875	pissoff
fighting	anger	0.868	sib ntaus sib tua
attacking	anger	0.865	ntaus
annihilated	anger	0.865	puas tsuaj
angriest	anger	0.864	npau taws tshaj
bloodshed	anger	0.864	ntshav
smite	anger	0.862	smite
brawl	anger	0.861	kev sib cav
malicious	anger	0.859	siab phem
assassination	anger	0.859	kev tua neeg
strangle	anger	0.859	tshum
hostility	anger	0.859	kev ua phem
assault	anger	0.859	kev ua phem
explode	anger	0.859	tawg
tirade	anger	0.859	xav
loathsome	anger	0.857	mob siab
hell	anger	0.853	ntuj raug txim
murderous	anger	0.853	tua neeg
attack	anger	0.853	nres
malice	anger	0.852	siab phem
terrorism	anger	0.851	kev ua phem
beating	anger	0.849	ntaus
outrage	anger	0.848	npau taws
desecration	anger	0.848	kev desecration
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	rhuav tshem
slaughter	anger	0.844	kev tua
irate	anger	0.844	npau taws
violent	anger	0.844	nruj
stab	anger	0.844	stab
abomination	anger	0.844	kev qias
tumultuous	anger	0.844	ntxhov siab
infuriate	anger	0.844	npau taws
obliterate	anger	0.843	obliterate
belligerent	anger	0.841	siab phem
dumbbitch	anger	0.841	ruam
detest	anger	0.838	ntxub
hostilities	anger	0.837	kev ua phem
prick	anger	0.835	prick
rampage	anger	0.833	kev ua phem
horrid	anger	0.833	txaus ntshai
cruelty	anger	0.833	kev ua phem
torture	anger	0.833	tsim txom
rabid	anger	0.833	vwm
despicable	anger	0.828	saib tsis taus
tyrannical	anger	0.828	kev ua phem
demonic	anger	0.828	dab phem
satanic	anger	0.828	Dab ntxwg nyoog
hate	anger	0.828	ntxub
ragemode	anger	0.828	ragemode
hating	anger	0.828	ntxub
ruinous	anger	0.825	kev puas tsuaj
condemn	anger	0.825	rau txim
riots	anger	0.824	kev tawm tsam
demolish	anger	0.824	rhuav tshem
angry	anger	0.824	npau taws
extermination	anger	0.824	kev tshem tawm
dickhead	anger	0.824	taub hau
livid	anger	0.821	livid
madman	anger	0.820	neeg vwm
vindictive	anger	0.819	kev ua phem
terrorist	anger	0.818	neeg phem
threaten	anger	0.818	hem
venomous	anger	0.818	venom
hateyou	anger	0.818	ntxub koj
ferocity	anger	0.818	siab phem
effyou	anger	0.818	eff koj
abhor	anger	0.816	ntxub
carnage	anger	0.814	kev tua neeg
savage	anger	0.814	siab phem
atrocity	anger	0.814	kev ua phem
fucksake	anger	0.812	fucksake
abuse	anger	0.812	tsim txom
fierce	anger	0.812	nruj
destroyer	anger	0.812	tus rhuav tshem
angrytweet	anger	0.812	npau taws tweet
barbaric	anger	0.812	barbaric
vendetta	anger	0.812	vendetta
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	piss ua
tyrant	anger	0.812	tyrant
berserk	anger	0.812	ua berserk
fuming	anger	0.812	fuming
anger	anger	0.811	npau taws
pieceofshit	anger	0.810	ib pieceofshit
punched	anger	0.803	xuas nrig ntaus
punching	anger	0.803	xuas nrig ntaus
slam	anger	0.803	slam
homicide	anger	0.803	kev tua neeg
bitch	anger	0.803	qev
fights	anger	0.803	sib ntaus
ruthless	anger	0.797	siab tsis ncaj
villainous	anger	0.797	neeg phem
destructive	anger	0.797	puas tsuaj
slap	anger	0.791	npuaj
riot	anger	0.788	kev kub ntxhov
growthefuckup	anger	0.788	kev loj hlob
punishing	anger	0.788	rau txim
slaughterhouse	anger	0.788	tsev tua tsiaj
yelling	anger	0.788	qw
diabolical	anger	0.788	diabolical
destroyed	anger	0.788	puas lawm
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	ua pauj
manslaughter	anger	0.783	kev tua neeg
clash	anger	0.783	sib tsoo
quarrel	anger	0.781	kev sib cav
bloody	anger	0.781	ntshav
hellish	anger	0.781	ntuj raug txim
sinister	anger	0.781	siab phem
loath	anger	0.781	siab
detonation	anger	0.781	detonation
accusing	anger	0.779	liam
fumin	anger	0.779	ua fumin
hateeee	anger	0.779	ntxub
treacherous	anger	0.779	neeg ntxeev siab
madder	anger	0.773	madder
horrific	anger	0.773	txaus ntshai
revulsion	anger	0.773	kev ntxeev siab
retaliate	anger	0.773	ua pauj
scorn	anger	0.769	thuam
bomb	anger	0.766	foob pob
deplorable	anger	0.766	zoo siab
devastation	anger	0.765	kev puas tsuaj
anarchist	anger	0.765	anarchist
firestorm	anger	0.765	hluav taws kub
resent	anger	0.765	chim siab
contemptible	anger	0.764	saib tsis taus
shittest	anger	0.760	shittest
rant	anger	0.758	lus rhais
cruel	anger	0.758	siab phem
deadly	anger	0.758	tuag taus
smash	anger	0.758	tsoo
soangry	anger	0.758	siab heev
outburst	anger	0.757	tawg tawm
