English Word	Emotion	Emotion-Intensity-Score	Hungarian Word
outraged	anger	0.964	felháborodott
brutality	anger	0.959	durvaság
hatred	anger	0.953	gyűlölet
hateful	anger	0.940	utálatos
terrorize	anger	0.939	terrorizálni
violently	anger	0.938	erőszakosan
infuriated	anger	0.938	feldühödött
furious	anger	0.929	dühös
furiously	anger	0.927	dühösen
enraged	anger	0.927	feldühített
screwyou	anger	0.924	Cseszd meg
murderer	anger	0.922	gyilkos
fury	anger	0.922	düh
execution	anger	0.917	végrehajtás
angered	anger	0.916	feldühödött
savagery	anger	0.915	vadság
slaughtering	anger	0.914	vágás
veryangry	anger	0.913	nagyon dühös
assassinate	anger	0.912	meggyilkolni
annihilation	anger	0.912	megsemmisítés
fuckoff	anger	0.912	baszd meg
rage	anger	0.911	düh
loathe	anger	0.909	gyűlöl
fucktard	anger	0.906	faszos
roadrage	anger	0.906	roadrage
damnation	anger	0.906	kárhozat
homicidal	anger	0.906	gyilkos
furor	anger	0.900	ihlet
hostile	anger	0.898	ellenséges
annihilate	anger	0.898	megsemmisíteni
murder	anger	0.897	gyilkosság
raging	anger	0.896	tomboló
sopissed	anger	0.894	szopott
infuriates	anger	0.894	feldühít
pissed	anger	0.894	részeg
rape	anger	0.894	erőszak
ferocious	anger	0.894	kegyetlen
vengeful	anger	0.894	bosszúálló
obliterated	anger	0.894	eltüntetett
explosive	anger	0.894	robbanó
killing	anger	0.893	gyilkolás
combative	anger	0.891	harcias
vengeance	anger	0.886	bosszú
gofuckyourself	anger	0.886	baszd meg magad
torment	anger	0.885	kín
wrath	anger	0.885	harag
vicious	anger	0.884	gonosz
massacre	anger	0.882	mészárlás
threatening	anger	0.882	fenyegető
abhorrent	anger	0.875	utálatos
bloodthirsty	anger	0.875	vérszomjas
pissoff	anger	0.875	piszkálni
fighting	anger	0.868	verekedés
attacking	anger	0.865	támadó
annihilated	anger	0.865	megsemmisült
angriest	anger	0.864	legdühösebb
bloodshed	anger	0.864	vérontás
smite	anger	0.862	ütni
brawl	anger	0.861	bunyó
malicious	anger	0.859	rosszindulatú
assassination	anger	0.859	merényletet
strangle	anger	0.859	megfojtani
hostility	anger	0.859	ellenségeskedés
assault	anger	0.859	támadás
explode	anger	0.859	felrobban
tirade	anger	0.859	beszéd
loathsome	anger	0.857	utálatos
hell	anger	0.853	pokol
murderous	anger	0.853	gyilkos
attack	anger	0.853	támadás
malice	anger	0.852	rosszindulat
terrorism	anger	0.851	terrorizmus
beating	anger	0.849	verés
outrage	anger	0.848	merénylet
desecration	anger	0.848	megszentségtelenítés
pissingmeoff	anger	0.848	pissing meoff
destroying	anger	0.844	pusztító
slaughter	anger	0.844	levágás
irate	anger	0.844	dühös
violent	anger	0.844	erőszakos
stab	anger	0.844	szúr
abomination	anger	0.844	utálatos
