English Word	Emotion	Emotion-Intensity-Score	Icelandic Word
outraged	anger	0.964	hneykslaður
brutality	anger	0.959	grimmd
hatred	anger	0.953	hatri
hateful	anger	0.940	hatursfullur
terrorize	anger	0.939	hryðjuverka
violently	anger	0.938	ofbeldisfullt
infuriated	anger	0.938	reiður
furious	anger	0.929	trylltur
furiously	anger	0.927	trylltur
enraged	anger	0.927	reiður
screwyou	anger	0.924	brjáluð þér
murderer	anger	0.922	morðingja
fury	anger	0.922	heift
execution	anger	0.917	framkvæmd
angered	anger	0.916	reiður
savagery	anger	0.915	villimennsku
slaughtering	anger	0.914	slátrun
veryangry	anger	0.913	mjög reiður
assassinate	anger	0.912	myrða
annihilation	anger	0.912	tortímingu
fuckoff	anger	0.912	fjandinn
rage	anger	0.911	reiði
loathe	anger	0.909	hata
fucktard	anger	0.906	fjandinn
roadrage	anger	0.906	roadrage
damnation	anger	0.906	fordæming
homicidal	anger	0.906	manndráp
furor	anger	0.900	furor
hostile	anger	0.898	fjandsamlegur
annihilate	anger	0.898	tortíma
murder	anger	0.897	morð
raging	anger	0.896	ofsafenginn
sopissed	anger	0.894	svekktur
infuriates	anger	0.894	pirrar
pissed	anger	0.894	reiður
rape	anger	0.894	nauðgun
ferocious	anger	0.894	grimmur
vengeful	anger	0.894	hefnandi
obliterated	anger	0.894	afmáð
explosive	anger	0.894	sprengiefni
killing	anger	0.893	dráp
combative	anger	0.891	baráttuglaður
vengeance	anger	0.886	hefnd
gofuckyourself	anger	0.886	fokkaðu þér
torment	anger	0.885	kvöl
wrath	anger	0.885	reiði
vicious	anger	0.884	grimmur
massacre	anger	0.882	fjöldamorð
threatening	anger	0.882	ógnandi
abhorrent	anger	0.875	viðbjóðslegur
bloodthirsty	anger	0.875	blóðþyrsta
pissoff	anger	0.875	pissa
fighting	anger	0.868	berjast
attacking	anger	0.865	ráðast á
annihilated	anger	0.865	útrýmt
angriest	anger	0.864	reiðast
bloodshed	anger	0.864	blóðsúthellingar
smite	anger	0.862	slá
brawl	anger	0.861	slagsmál
malicious	anger	0.859	illgjarn
assassination	anger	0.859	morð
strangle	anger	0.859	kyrkja
hostility	anger	0.859	fjandskapur
assault	anger	0.859	árás
explode	anger	0.859	springa
tirade	anger	0.859	tirade
loathsome	anger	0.857	ömurlegt
hell	anger	0.853	helvíti
murderous	anger	0.853	morðrænt
attack	anger	0.853	árás
malice	anger	0.852	illgirni
terrorism	anger	0.851	hryðjuverk
beating	anger	0.849	berja
outrage	anger	0.848	hneykslan
desecration	anger	0.848	afhelgun
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	eyðileggjandi
slaughter	anger	0.844	slátrun
irate	anger	0.844	reiður
violent	anger	0.844	ofbeldisfullur
stab	anger	0.844	stinga
abomination	anger	0.844	viðurstyggð
tumultuous	anger	0.844	ólgusöm
infuriate	anger	0.844	reiði
obliterate	anger	0.843	afmá
belligerent	anger	0.841	herskár
dumbbitch	anger	0.841	heimsk
detest	anger	0.838	hata
hostilities	anger	0.837	ófriði
prick	anger	0.835	stinga
rampage	anger	0.833	hroki
horrid	anger	0.833	hræðilegt
cruelty	anger	0.833	grimmd
torture	anger	0.833	pyntingar
rabid	anger	0.833	ofsafenginn
despicable	anger	0.828	fyrirlitlegur
tyrannical	anger	0.828	harðstjórnandi
demonic	anger	0.828	djöfullegur
satanic	anger	0.828	satanískt
hate	anger	0.828	hata
ragemode	anger	0.828	ragemode
hating	anger	0.828	hata
ruinous	anger	0.825	eyðileggjandi
condemn	anger	0.825	fordæma
riots	anger	0.824	óeirðir
demolish	anger	0.824	rífa niður
angry	anger	0.824	reiður
extermination	anger	0.824	útrýmingu
dickhead	anger	0.824	skíthæll
livid	anger	0.821	hræddur
madman	anger	0.820	brjálæðingur
vindictive	anger	0.819	hefndarlaus
terrorist	anger	0.818	hryðjuverkamaður
threaten	anger	0.818	hóta
venomous	anger	0.818	eitrað
hateyou	anger	0.818	hata þig
ferocity	anger	0.818	grimmd
effyou	anger	0.818	effy þú
abhor	anger	0.816	andstyggð
carnage	anger	0.814	blóðbað
savage	anger	0.814	villimaður
atrocity	anger	0.814	voðaverk
fucksake	anger	0.812	fjandans
abuse	anger	0.812	misnotkun
fierce	anger	0.812	grimmur
destroyer	anger	0.812	eyðileggjandi
angrytweet	anger	0.812	angrytweet
barbaric	anger	0.812	villimannlegur
vendetta	anger	0.812	vendetta
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	pirraður
tyrant	anger	0.812	harðstjóri
berserk	anger	0.812	berserksgangur
fuming	anger	0.812	rjúkandi
anger	anger	0.811	reiði
pieceofshit	anger	0.810	skítkast
punched	anger	0.803	kýldur
punching	anger	0.803	gata
slam	anger	0.803	skella
homicide	anger	0.803	manndráp
bitch	anger	0.803	tík
fights	anger	0.803	slagsmál
ruthless	anger	0.797	miskunnarlaus
villainous	anger	0.797	illmenni
destructive	anger	0.797	eyðileggjandi
slap	anger	0.791	skella
riot	anger	0.788	uppþot
growthefuckup	anger	0.788	vaxtarbroddur
punishing	anger	0.788	refsa
