English Word	Emotion	Emotion-Intensity-Score	Igbo Word
outraged	anger	0.964	were iwe
brutality	anger	0.959	obi ọjọọ
hatred	anger	0.953	ịkpọasị
hateful	anger	0.940	asị
terrorize	anger	0.939	ịtụ ụjọ
violently	anger	0.938	n'ike
infuriated	anger	0.938	iwe iwe
furious	anger	0.929	iwe
furiously	anger	0.927	nke ukwuu
enraged	anger	0.927	were iwe
screwyou	anger	0.924	zuzupụọ
murderer	anger	0.922	ogbugbu
fury	anger	0.922	iwe
execution	anger	0.917	ogbugbu
angered	anger	0.916	were iwe
savagery	anger	0.915	obi ọjọọ
slaughtering	anger	0.914	na-egbu anụ
veryangry	anger	0.913	oke iwe
assassinate	anger	0.912	gbuo
annihilation	anger	0.912	ikpochapu
fuckoff	anger	0.912	fuckoff
rage	anger	0.911	ọnụma
loathe	anger	0.909	kpọrọ asị
fucktard	anger	0.906	fucktard
roadrage	anger	0.906	okporo ụzọ
damnation	anger	0.906	ikpe
homicidal	anger	0.906	igbu mmadu
furor	anger	0.900	ngwa ngwa
hostile	anger	0.898	iro
annihilate	anger	0.898	kpochapu
murder	anger	0.897	igbu mmadụ
raging	anger	0.896	iwe iwe
sopissed	anger	0.894	ọkaibe
infuriates	anger	0.894	na-ewe iwe
pissed	anger	0.894	were iwe
rape	anger	0.894	idina mmadụ n'ike
ferocious	anger	0.894	dị egwu
vengeful	anger	0.894	na-abọ ọbọ
obliterated	anger	0.894	kpochapuru
explosive	anger	0.894	mgbawa
killing	anger	0.893	igbu mmadụ
combative	anger	0.891	ọgụ
vengeance	anger	0.886	ịbọ ọbọ
gofuckyourself	anger	0.886	gbuo onwe gi
torment	anger	0.885	ahụhụ
wrath	anger	0.885	iwe
vicious	anger	0.884	obi ojoo
massacre	anger	0.882	ogbugbu
threatening	anger	0.882	na-eyi egwu
abhorrent	anger	0.875	na-asọ oyi
bloodthirsty	anger	0.875	ọbara-ọbara
pissoff	anger	0.875	iwe iwe
fighting	anger	0.868	ọgụ
attacking	anger	0.865	na-awakpo
annihilated	anger	0.865	kpochapuru
angriest	anger	0.864	iwe iwe
bloodshed	anger	0.864	mkwafu ọbara
smite	anger	0.862	tie
brawl	anger	0.861	ọgụ
malicious	anger	0.859	obi ojoo
assassination	anger	0.859	ogbugbu
strangle	anger	0.859	nyagburu
hostility	anger	0.859	iro
assault	anger	0.859	mbuso agha
explode	anger	0.859	igbawa
tirade	anger	0.859	tirade
loathsome	anger	0.857	na-asọ oyi
hell	anger	0.853	hell
murderous	anger	0.853	egbu egbu
attack	anger	0.853	mbuso agha
malice	anger	0.852	obi ojoo
terrorism	anger	0.851	iyi ọha egwu
beating	anger	0.849	iti
outrage	anger	0.848	iwe
desecration	anger	0.848	mmetọ
pissingmeoff	anger	0.848	iwe iwe
destroying	anger	0.844	na-ebibi
slaughter	anger	0.844	igbummadu
irate	anger	0.844	iwe iwe
violent	anger	0.844	ime ihe ike
stab	anger	0.844	ndumodu
abomination	anger	0.844	ihe arụ
tumultuous	anger	0.844	ọgba aghara
infuriate	anger	0.844	iwe iwe
obliterate	anger	0.843	kpochapuru
belligerent	anger	0.841	na-alụ ọgụ
dumbbitch	anger	0.841	dumbitch
detest	anger	0.838	ịkpọasị
hostilities	anger	0.837	ibu agha
prick	anger	0.835	tuo
rampage	anger	0.833	mbuso agha
horrid	anger	0.833	egwu
cruelty	anger	0.833	obi ọjọọ
torture	anger	0.833	ịta ahụhụ
rabid	anger	0.833	obi ojoo
despicable	anger	0.828	ihe nleda anya
tyrannical	anger	0.828	aka ike
demonic	anger	0.828	mmụọ ọjọọ
satanic	anger	0.828	satan
hate	anger	0.828	ịkpọ asị
ragemode	anger	0.828	ragemode
hating	anger	0.828	ịkpọ asị
ruinous	anger	0.825	na-emebi emebi
condemn	anger	0.825	ikpe
riots	anger	0.824	ọgbaghara
demolish	anger	0.824	kwatuo
angry	anger	0.824	iwe
extermination	anger	0.824	ikpochapu
dickhead	anger	0.824	isi isi
livid	anger	0.821	livid
madman	anger	0.820	onye ara
vindictive	anger	0.819	na-abọ ọbọ
terrorist	anger	0.818	onye na-eyi ọha egwu
threaten	anger	0.818	iyi egwu
venomous	anger	0.818	nsi
hateyou	anger	0.818	kpọrọ gị asị
ferocity	anger	0.818	obi ike
effyou	anger	0.818	ffị
abhor	anger	0.816	ịkpọ asị
carnage	anger	0.814	igbu egbu
savage	anger	0.814	obi tara mmiri
atrocity	anger	0.814	arụrụ arụ
fucksake	anger	0.812	fucksake
abuse	anger	0.812	mmegbu
fierce	anger	0.812	dị egwu
destroyer	anger	0.812	onye nbibi
angrytweet	anger	0.812	iwe tweet
barbaric	anger	0.812	onye obi ebere
vendetta	anger	0.812	vendetta
pissesmeoff	anger	0.812	iwe iwe
pissedoff	anger	0.812	were ya iwe
tyrant	anger	0.812	onye ọchịchị aka ike
berserk	anger	0.812	ihe efu
fuming	anger	0.812	na-ekpo ọkụ
anger	anger	0.811	iwe
pieceofshit	anger	0.810	iberibe
punched	anger	0.803	akụ
punching	anger	0.803	ịkụ ọkpọ
slam	anger	0.803	slam
homicide	anger	0.803	igbu mmadụ
bitch	anger	0.803	Anụ ọhịa
fights	anger	0.803	ọgụ
ruthless	anger	0.797	enweghị obi ebere
villainous	anger	0.797	ajọ omume
destructive	anger	0.797	na-ebibi ihe
slap	anger	0.791	tie aka
riot	anger	0.788	ọgbaghara
growthefuckup	anger	0.788	ito eto
punishing	anger	0.788	na-ata ahụhụ
slaughterhouse	anger	0.788	ụlọ anụ ọhịa
yelling	anger	0.788	na-eti mkpu
diabolical	anger	0.788	diabolical
destroyed	anger	0.788	ebibie
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	imegwara
manslaughter	anger	0.783	ogbugbu
clash	anger	0.783	esemokwu
quarrel	anger	0.781	esemokwu
bloody	anger	0.781	ọbara
hellish	anger	0.781	hell
sinister	anger	0.781	ajọ omume
loath	anger	0.781	ịkpọasị
detonation	anger	0.781	mgbawa
accusing	anger	0.779	na-ebo ebubo
fumin	anger	0.779	fumin
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	aghụghọ
madder	anger	0.773	ara ara
horrific	anger	0.773	egwu
revulsion	anger	0.773	mkparị
retaliate	anger	0.773	megwara
scorn	anger	0.769	nlelị
bomb	anger	0.766	bọmbụ
deplorable	anger	0.766	dị mwute
devastation	anger	0.765	mbibi
anarchist	anger	0.765	onye anarchist
firestorm	anger	0.765	oké ifufe
resent	anger	0.765	iwe
contemptible	anger	0.764	ihe nleda anya
shittest	anger	0.760	shitst
rant	anger	0.758	mgbawa
cruel	anger	0.758	obi ọjọọ
deadly	anger	0.758	na-egbu egbu
smash	anger	0.758	tipia
soangry	anger	0.758	iwe iwe
outburst	anger	0.757	ntiwa
snarl	anger	0.754	njakịrị
profane	anger	0.750	rụrụ arụ
revolting	anger	0.750	na-enupụ isi
aggravating	anger	0.750	na-akawanye njọ
horror	anger	0.750	egwu
despise	anger	0.750	lelịa
offend	anger	0.750	imejọ
stfu	anger	0.750	stfu
vulgarity	anger	0.750	okwu rụrụ arụ
crazed	anger	0.750	ara ara
douchebags	anger	0.750	douchebags
growling	anger	0.750	na-eti mkpu
dontmesswithme	anger	0.750	ekwetaghị m
screaming	anger	0.742	na-eti mkpu
threat	anger	0.742	iyi egwu
erupt	anger	0.742	gbawara
horrible	anger	0.742	jọgburu onwe ya
molestation	anger	0.742	mmetọ
fuckedoff	anger	0.742	iberibe
violence	anger	0.742	ime ihe ike
bastards	anger	0.741	ndigbo
revenge	anger	0.738	ịbọ ọbọ
menacing	anger	0.735	egwu
crushing	anger	0.735	na-etipịa
damn	anger	0.735	Ụchụ
catastrophe	anger	0.735	ọdachi
demon	anger	0.735	mmụọ ọjọọ
argue	anger	0.734	na-arụ ụka
persecute	anger	0.734	kpagbuo
deplore	anger	0.734	gbaghara
flog	anger	0.734	ụtarị
fedup	anger	0.734	o JULA m
riotous	anger	0.734	ọgba aghara
vehement	anger	0.734	iwe ọkụ
revolt	anger	0.734	nnupụisi
warfare	anger	0.734	agha
thrash	anger	0.734	ogwugwu
altercation	anger	0.729	esemokwu
warlike	anger	0.728	agha
shitday	anger	0.727	ụbọchị
mutiny	anger	0.727	igbu egbu
castrate	anger	0.727	nkedo
sabotage	anger	0.727	sabotaji
malevolent	anger	0.721	obi ọjọọ
strike	anger	0.721	iku
disaster	anger	0.721	ọdachi
disastrous	anger	0.720	ọdachi
bastarding	anger	0.719	na-akparị mmadụ
treachery	anger	0.719	aghụghọ
arseholes	anger	0.719	olulu mmiri
horseshit	anger	0.719	ịnyịnya ibu
slay	anger	0.719	gbuo
disdain	anger	0.719	nlelị
aggravates	anger	0.719	na-akawanye njọ
brutal	anger	0.719	obi ọjọọ
scorching	anger	0.719	na-ekpo ọkụ
devil	anger	0.719	ekwensu
madden	anger	0.719	ara ara
spiteful	anger	0.719	njo
