English Word	Emotion	Emotion-Intensity-Score	Irish Word
outraged	anger	0.964	outraged
brutality	anger	0.959	brúidiúlacht
hatred	anger	0.953	fuath
hateful	anger	0.940	fuathmhar
terrorize	anger	0.939	sceimhle
violently	anger	0.938	go foréigneach
infuriated	anger	0.938	bréige
furious	anger	0.929	ar buile
furiously	anger	0.927	go buile
enraged	anger	0.927	feargach
screwyou	anger	0.924	Gabh suas ort féin
murderer	anger	0.922	dúnmharfóir
fury	anger	0.922	feall
execution	anger	0.917	forghníomhú
angered	anger	0.916	fearg
savagery	anger	0.915	savagery
slaughtering	anger	0.914	marú
veryangry	anger	0.913	an-feargach
assassinate	anger	0.912	feallmhar
annihilation	anger	0.912	díothú
fuckoff	anger	0.912	cnag
rage	anger	0.911	buile
loathe	anger	0.909	fuath
fucktard	anger	0.906	fíochmhar
roadrage	anger	0.906	buile bhóthair
damnation	anger	0.906	damanta
homicidal	anger	0.906	dúnmharaithe
furor	anger	0.900	fionnadh
hostile	anger	0.898	naimhdeach
annihilate	anger	0.898	díothú
murder	anger	0.897	dúnmharú
raging	anger	0.896	raging
sopissed	anger	0.894	sopissed
infuriates	anger	0.894	infuriates
pissed	anger	0.894	pissed
rape	anger	0.894	éigniú
ferocious	anger	0.894	fíochmhar
vengeful	anger	0.894	dioghaltach
obliterated	anger	0.894	scriosta
explosive	anger	0.894	pléascach
killing	anger	0.893	marú
combative	anger	0.891	comhraic
vengeance	anger	0.886	bhfeice
gofuckyourself	anger	0.886	gofuck tú féin
torment	anger	0.885	crá
wrath	anger	0.885	feirge
vicious	anger	0.884	fí
massacre	anger	0.882	masla
threatening	anger	0.882	ag bagairt
abhorrent	anger	0.875	uaigneach
bloodthirsty	anger	0.875	tart fola
pissoff	anger	0.875	Gabh suas ort féin
fighting	anger	0.868	troid
attacking	anger	0.865	ionsaí
annihilated	anger	0.865	díothaithe
angriest	anger	0.864	feargach
bloodshed	anger	0.864	doirteadh fola
smite	anger	0.862	smideadh
brawl	anger	0.861	brawl
malicious	anger	0.859	mailíseach
assassination	anger	0.859	feallmharú
strangle	anger	0.859	stríoc
hostility	anger	0.859	naimhdeas
assault	anger	0.859	ionsaí
explode	anger	0.859	pléascadh
tirade	anger	0.859	tirade
loathsome	anger	0.857	loathsome
hell	anger	0.853	ifreann
murderous	anger	0.853	dúnmharfach
attack	anger	0.853	ionsaí
malice	anger	0.852	mailís
terrorism	anger	0.851	sceimhlitheoireacht
beating	anger	0.849	ag bualadh
outrage	anger	0.848	feall
desecration	anger	0.848	desecration
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	ag milleadh
slaughter	anger	0.844	maraithe
irate	anger	0.844	irate
violent	anger	0.844	foréigneach
stab	anger	0.844	stab
abomination	anger	0.844	abomination
tumultuous	anger	0.844	suarach
infuriate	anger	0.844	infuriate
obliterate	anger	0.843	scriosta
belligerent	anger	0.841	belligerent
dumbbitch	anger	0.841	dumbitch
detest	anger	0.838	truaigh
hostilities	anger	0.837	naimhdeas
prick	anger	0.835	faobhar
rampage	anger	0.833	rampa
horrid	anger	0.833	uafás
cruelty	anger	0.833	cruálacht
torture	anger	0.833	chéasadh
rabid	anger	0.833	rabid
despicable	anger	0.828	suarach
tyrannical	anger	0.828	tíoránta
demonic	anger	0.828	diamhanach
satanic	anger	0.828	satanach
hate	anger	0.828	fuath
ragemode	anger	0.828	ragúd
hating	anger	0.828	fuath
ruinous	anger	0.825	fothrach
condemn	anger	0.825	cáineadh
riots	anger	0.824	círéibeacha
demolish	anger	0.824	scartáil
angry	anger	0.824	feargach
extermination	anger	0.824	díothú
dickhead	anger	0.824	dickhead
livid	anger	0.821	livid
madman	anger	0.820	madman
vindictive	anger	0.819	díchreidmheach
terrorist	anger	0.818	sceimhlitheoir
threaten	anger	0.818	bagairt
venomous	anger	0.818	venomous
hateyou	anger	0.818	fuath liom thú
ferocity	anger	0.818	ferocity
effyou	anger	0.818	éifeach
abhor	anger	0.816	fuath
carnage	anger	0.814	carnage
savage	anger	0.814	fiánta
atrocity	anger	0.814	achrann
fucksake	anger	0.812	fócais
abuse	anger	0.812	mí-úsáid
fierce	anger	0.812	fíochmhar
destroyer	anger	0.812	scriosta
angrytweet	anger	0.812	feargachtweet
barbaric	anger	0.812	barbarach
vendetta	anger	0.812	vendetta
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	pissedoff
tyrant	anger	0.812	anfhlaith
berserk	anger	0.812	berserk
fuming	anger	0.812	múchadh
anger	anger	0.811	fearg
pieceofshit	anger	0.810	píosa sciota
punched	anger	0.803	pollta
punching	anger	0.803	polladh
slam	anger	0.803	slam
homicide	anger	0.803	dúnmharú
bitch	anger	0.803	soith
fights	anger	0.803	troideanna
