English Word	Emotion	Emotion-Intensity-Score	Japanese Word
outraged	anger	0.964	激怒した
brutality	anger	0.959	残忍
hatred	anger	0.953	憎しみ
hateful	anger	0.940	嫌な
terrorize	anger	0.939	恐怖に陥れる
violently	anger	0.938	激しく
infuriated	anger	0.938	激怒した
furious	anger	0.929	激怒
furiously	anger	0.927	猛烈に
enraged	anger	0.927	激怒した
screwyou	anger	0.924	くそくらえ
murderer	anger	0.922	殺人者
fury	anger	0.922	怒り
execution	anger	0.917	実行
angered	anger	0.916	怒った
savagery	anger	0.915	野蛮人
slaughtering	anger	0.914	屠殺
veryangry	anger	0.913	非常に怒っている
assassinate	anger	0.912	暗殺する
annihilation	anger	0.912	消滅
fuckoff	anger	0.912	ファックオフ
rage	anger	0.911	怒り
loathe	anger	0.909	嫌い
fucktard	anger	0.906	くそったれ
roadrage	anger	0.906	ロードレイジ
damnation	anger	0.906	天罰
homicidal	anger	0.906	殺人的な
furor	anger	0.900	激怒
hostile	anger	0.898	敵対的
annihilate	anger	0.898	全滅させる
murder	anger	0.897	殺人
raging	anger	0.896	荒れ狂う
sopissed	anger	0.894	うんざりした
infuriates	anger	0.894	激怒する
pissed	anger	0.894	腹を立てた
rape	anger	0.894	レイプ
ferocious	anger	0.894	猛烈な
vengeful	anger	0.894	復讐心
obliterated	anger	0.894	抹消された
explosive	anger	0.894	爆発物
killing	anger	0.893	殺す
combative	anger	0.891	好戦的な
vengeance	anger	0.886	復讐
gofuckyourself	anger	0.886	gofuckyourself
torment	anger	0.885	苦しめる
wrath	anger	0.885	怒り
vicious	anger	0.884	悪質な
massacre	anger	0.882	虐殺
threatening	anger	0.882	脅迫
abhorrent	anger	0.875	忌まわしい
bloodthirsty	anger	0.875	血に飢えた
pissoff	anger	0.875	怒らせる
fighting	anger	0.868	ファインティング
attacking	anger	0.865	攻撃
annihilated	anger	0.865	全滅した
angriest	anger	0.864	最も怒っている
bloodshed	anger	0.864	流血
smite	anger	0.862	スマイト
brawl	anger	0.861	喧嘩
malicious	anger	0.859	悪意のある
assassination	anger	0.859	暗殺
strangle	anger	0.859	絞め殺す
hostility	anger	0.859	敵意
assault	anger	0.859	暴行
explode	anger	0.859	爆発する
tirade	anger	0.859	ティレード
loathsome	anger	0.857	忌まわしい
hell	anger	0.853	地獄
murderous	anger	0.853	殺人的な
attack	anger	0.853	攻撃
malice	anger	0.852	悪意
terrorism	anger	0.851	テロ
beating	anger	0.849	殴る
outrage	anger	0.848	怒り
desecration	anger	0.848	冒涜
pissingmeoff	anger	0.848	おしっこ
destroying	anger	0.844	破壊
slaughter	anger	0.844	虐殺
irate	anger	0.844	怒る
violent	anger	0.844	暴力的な
stab	anger	0.844	刺す
abomination	anger	0.844	憎悪
tumultuous	anger	0.844	激動の
infuriate	anger	0.844	激怒する
obliterate	anger	0.843	消し去る
belligerent	anger	0.841	好戦的な
dumbbitch	anger	0.841	馬鹿げた
detest	anger	0.838	忌み嫌う
hostilities	anger	0.837	敵対行為
prick	anger	0.835	刺します
rampage	anger	0.833	大暴れ
horrid	anger	0.833	恐ろしい
cruelty	anger	0.833	残酷さ
torture	anger	0.833	拷問
rabid	anger	0.833	猛烈な
despicable	anger	0.828	卑劣な
tyrannical	anger	0.828	横暴な
demonic	anger	0.828	悪魔的な
satanic	anger	0.828	悪魔的な
hate	anger	0.828	嫌い
ragemode	anger	0.828	レイジモード
hating	anger	0.828	嫌い
ruinous	anger	0.825	破滅的な
condemn	anger	0.825	非難する
riots	anger	0.824	暴動
demolish	anger	0.824	取り壊す
angry	anger	0.824	怒り
extermination	anger	0.824	絶滅
dickhead	anger	0.824	ディックヘッド
livid	anger	0.821	激怒
madman	anger	0.820	狂人
vindictive	anger	0.819	執念深い
terrorist	anger	0.818	テロリスト
threaten	anger	0.818	脅かす
venomous	anger	0.818	有毒な
hateyou	anger	0.818	あなたが嫌い
ferocity	anger	0.818	獰猛
effyou	anger	0.818	エフユー
abhor	anger	0.816	嫌う
carnage	anger	0.814	大虐殺
savage	anger	0.814	野蛮
atrocity	anger	0.814	残虐行為
fucksake	anger	0.812	ファックサケ
abuse	anger	0.812	乱用
fierce	anger	0.812	激しい
destroyer	anger	0.812	駆逐艦
angrytweet	anger	0.812	怒りのつぶやき
barbaric	anger	0.812	野蛮な
vendetta	anger	0.812	復讐
pissesmeoff	anger	0.812	怒る
pissedoff	anger	0.812	腹を立てて
tyrant	anger	0.812	暴君
berserk	anger	0.812	凶暴
fuming	anger	0.812	発煙
anger	anger	0.811	怒り
pieceofshit	anger	0.810	たわごと
punched	anger	0.803	パンチした
punching	anger	0.803	パンチング
slam	anger	0.803	スラム
homicide	anger	0.803	殺人
bitch	anger	0.803	雌犬
fights	anger	0.803	戦う
ruthless	anger	0.797	無慈悲な
villainous	anger	0.797	極悪
