English Word	Emotion	Emotion-Intensity-Score	Javanese Word
outraged	anger	0.964	ngamuk
brutality	anger	0.959	brutalitas
hatred	anger	0.953	gething
hateful	anger	0.940	sengit
terrorize	anger	0.939	nggegirisi
violently	anger	0.938	kanthi kasar
infuriated	anger	0.938	nesu
furious	anger	0.929	ngamuk
furiously	anger	0.927	ngamuk
enraged	anger	0.927	ngamuk
screwyou	anger	0.924	ngaco kowe
murderer	anger	0.922	tukang mateni
fury	anger	0.922	ngamuk
execution	anger	0.917	eksekusi
angered	anger	0.916	nesu
savagery	anger	0.915	savagery
slaughtering	anger	0.914	nyembelih
veryangry	anger	0.913	nesu banget
assassinate	anger	0.912	mateni
annihilation	anger	0.912	ngrusak
fuckoff	anger	0.912	jebule
rage	anger	0.911	ngamuk
loathe	anger	0.909	kangen
fucktard	anger	0.906	bajingan
roadrage	anger	0.906	ribut nang ndalan
damnation	anger	0.906	kutukan
homicidal	anger	0.906	mateni
furor	anger	0.900	ngamuk
hostile	anger	0.898	musuhan
annihilate	anger	0.898	nyirnakake
murder	anger	0.897	rajapati
raging	anger	0.896	ngamuk
sopissed	anger	0.894	kangen
infuriates	anger	0.894	nesu
pissed	anger	0.894	ngamuk
rape	anger	0.894	rudo pekso
ferocious	anger	0.894	galak
vengeful	anger	0.894	dendam
obliterated	anger	0.894	diilangi
explosive	anger	0.894	mbledhos
killing	anger	0.893	mateni
combative	anger	0.891	combative
vengeance	anger	0.886	dendam
gofuckyourself	anger	0.886	gofucky dhewe
torment	anger	0.885	nyiksa
wrath	anger	0.885	murka
vicious	anger	0.884	ganas
massacre	anger	0.882	ontran-ontran
threatening	anger	0.882	ngancam
abhorrent	anger	0.875	nistha
bloodthirsty	anger	0.875	ngelak getih
pissoff	anger	0.875	ngamuk
fighting	anger	0.868	gelut
attacking	anger	0.865	nyerang
annihilated	anger	0.865	dirusak
angriest	anger	0.864	paling nesu
bloodshed	anger	0.864	getihen
smite	anger	0.862	nggepok
brawl	anger	0.861	tawuran
malicious	anger	0.859	angkoro
assassination	anger	0.859	rajapati
strangle	anger	0.859	nyekek
hostility	anger	0.859	memungsuhan
assault	anger	0.859	serangan
explode	anger	0.859	njeblug
tirade	anger	0.859	ngguyu
loathsome	anger	0.857	njijiki
hell	anger	0.853	neraka
murderous	anger	0.853	mateni
attack	anger	0.853	nyerang
malice	anger	0.852	ala
terrorism	anger	0.851	terorisme
beating	anger	0.849	ngantem
outrage	anger	0.848	ngamuk
desecration	anger	0.848	najisake
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	ngrusak
slaughter	anger	0.844	nyembelih
irate	anger	0.844	nesu
violent	anger	0.844	kasar
stab	anger	0.844	nusuk
abomination	anger	0.844	nistha
tumultuous	anger	0.844	geger
infuriate	anger	0.844	nesu
obliterate	anger	0.843	ngilangake
belligerent	anger	0.841	nglawan
