English Word	Emotion	Emotion-Intensity-Score	Kannada Word
outraged	anger	0.964	ಆಕ್ರೋಶ ವ್ಯಕ್ತಪಡಿಸಿದರು
brutality	anger	0.959	ಕ್ರೂರತೆ
hatred	anger	0.953	ದ್ವೇಷ
hateful	anger	0.940	ದ್ವೇಷಪೂರಿತ
terrorize	anger	0.939	ಭಯಭೀತಗೊಳಿಸು
violently	anger	0.938	ಹಿಂಸಾತ್ಮಕವಾಗಿ
infuriated	anger	0.938	ಕೆರಳಿದ
furious	anger	0.929	ಉಗ್ರ
furiously	anger	0.927	ಉಗ್ರವಾಗಿ
enraged	anger	0.927	ಕೆರಳಿದ
screwyou	anger	0.924	ನಿನ್ನನ್ನು ಕೆಡಿಸು
murderer	anger	0.922	ಕೊಲೆಗಾರ
fury	anger	0.922	ಕೋಪ
execution	anger	0.917	ಮರಣದಂಡನೆ
angered	anger	0.916	ಕೋಪಗೊಂಡ
savagery	anger	0.915	ಅನಾಗರಿಕತೆ
slaughtering	anger	0.914	ವಧೆ
veryangry	anger	0.913	ತುಂಬಾ ಕೋಪಗೊಂಡ
assassinate	anger	0.912	ಹತ್ಯೆ ಮಾಡು
annihilation	anger	0.912	ಸರ್ವನಾಶ
fuckoff	anger	0.912	ಫಕ್ಆಫ್
rage	anger	0.911	ಕ್ರೋಧ
loathe	anger	0.909	ಅಸಹ್ಯಪಡುತ್ತಾರೆ
fucktard	anger	0.906	ಫಕ್ಟಾರ್ಡ್
roadrage	anger	0.906	ರೋಡ್ರೇಜ್
damnation	anger	0.906	ಖಂಡನೆ
homicidal	anger	0.906	ನರಹಂತಕ
furor	anger	0.900	ಕೋಲಾಹಲ
hostile	anger	0.898	ಪ್ರತಿಕೂಲ
annihilate	anger	0.898	ನಾಶಮಾಡು
murder	anger	0.897	ಕೊಲೆ
raging	anger	0.896	ಕೆರಳಿದ
sopissed	anger	0.894	ವಿಷಾದಿಸಿದರು
infuriates	anger	0.894	ಕೆರಳಿಸುತ್ತದೆ
pissed	anger	0.894	ಸಿಟ್ಟಿಗೆದ್ದ
rape	anger	0.894	ಅತ್ಯಾಚಾರ
ferocious	anger	0.894	ಉಗ್ರವಾದ
vengeful	anger	0.894	ಪ್ರತೀಕಾರದ
obliterated	anger	0.894	ಅಳಿಸಿಹಾಕಿತು
explosive	anger	0.894	ಸ್ಫೋಟಕ
killing	anger	0.893	ಕೊಲ್ಲುವುದು
combative	anger	0.891	ಹೋರಾಟಗಾರ
vengeance	anger	0.886	ಪ್ರತೀಕಾರ
