English Word	Emotion	Emotion-Intensity-Score	Kazakh Word
outraged	anger	0.964	ашуланды
brutality	anger	0.959	қатыгездік
hatred	anger	0.953	өшпенділік
hateful	anger	0.940	жек көретін
terrorize	anger	0.939	қорқыту
violently	anger	0.938	зорлықпен
infuriated	anger	0.938	ашуланды
furious	anger	0.929	ашулы
furiously	anger	0.927	ашулы
enraged	anger	0.927	ашулы
screwyou	anger	0.924	шайтан алсын
murderer	anger	0.922	қанішер
fury	anger	0.922	ашу
execution	anger	0.917	орындау
angered	anger	0.916	ашуланды
savagery	anger	0.915	жабайылық
slaughtering	anger	0.914	сою
veryangry	anger	0.913	өте ашулы
assassinate	anger	0.912	өлтіру
annihilation	anger	0.912	жойылу
fuckoff	anger	0.912	блять
rage	anger	0.911	ашу
loathe	anger	0.909	жек көру
fucktard	anger	0.906	ақымақ
roadrage	anger	0.906	жол қозғалысы
damnation	anger	0.906	қарғыс
homicidal	anger	0.906	кісі өлтіру
furor	anger	0.900	қаһар
hostile	anger	0.898	дұшпандық
annihilate	anger	0.898	жою
murder	anger	0.897	кісі өлтіру
raging	anger	0.896	қаһарлы
sopissed	anger	0.894	ашуланды
infuriates	anger	0.894	ашуландырады
pissed	anger	0.894	ашуланды
rape	anger	0.894	зорлау
ferocious	anger	0.894	қатыгез
vengeful	anger	0.894	кекшіл
obliterated	anger	0.894	жойылған
explosive	anger	0.894	жарылғыш
killing	anger	0.893	өлтіру
combative	anger	0.891	жауынгерлік
vengeance	anger	0.886	кек
gofuckyourself	anger	0.886	өзіңді ренжіт
torment	anger	0.885	азаптау
wrath	anger	0.885	қаһар
vicious	anger	0.884	жауыз
massacre	anger	0.882	қырғын
threatening	anger	0.882	қорқыту
abhorrent	anger	0.875	жиренішті
bloodthirsty	anger	0.875	қанішер
pissoff	anger	0.875	ашу
fighting	anger	0.868	ұрыс
attacking	anger	0.865	шабуыл жасау
annihilated	anger	0.865	жойылды
angriest	anger	0.864	ең ашулы
bloodshed	anger	0.864	қантөгіс
smite	anger	0.862	ұру
brawl	anger	0.861	төбелес
malicious	anger	0.859	зиянды
assassination	anger	0.859	қастандық
strangle	anger	0.859	тұншықтырып өлтіру
hostility	anger	0.859	дұшпандық
assault	anger	0.859	шабуыл
explode	anger	0.859	жарылуы
tirade	anger	0.859	реніш
loathsome	anger	0.857	жексұрын
hell	anger	0.853	тозақ
murderous	anger	0.853	қанішер
attack	anger	0.853	шабуыл
malice	anger	0.852	зұлымдық
