English Word	Emotion	Emotion-Intensity-Score	Kinyarwanda Word
outraged	anger	0.964	arakaye
brutality	anger	0.959	ubugome
hatred	anger	0.953	inzangano
hateful	anger	0.940	urwango
terrorize	anger	0.939	iterabwoba
violently	anger	0.938	ku buryo bukabije
infuriated	anger	0.938	ararakara
furious	anger	0.929	arakaye
furiously	anger	0.927	n'uburakari
enraged	anger	0.927	ararakara
screwyou	anger	0.924	screwyou
murderer	anger	0.922	umwicanyi
fury	anger	0.922	uburakari
execution	anger	0.917	kwicwa
angered	anger	0.916	ararakaye
savagery	anger	0.915	ubugome
slaughtering	anger	0.914	kubaga
veryangry	anger	0.913	cyane
assassinate	anger	0.912	umwicanyi
annihilation	anger	0.912	kurimbuka
fuckoff	anger	0.912	guswera
rage	anger	0.911	umujinya
loathe	anger	0.909	urwango
fucktard	anger	0.906	fucktard
roadrage	anger	0.906	umuhanda
damnation	anger	0.906	gucirwaho iteka
homicidal	anger	0.906	ubwicanyi
furor	anger	0.900	ubwoya
hostile	anger	0.898	umwanzi
annihilate	anger	0.898	kurimbura
murder	anger	0.897	ubwicanyi
raging	anger	0.896	uburakari
sopissed	anger	0.894	sopissed
infuriates	anger	0.894	kurakara
pissed	anger	0.894	byarakaye
rape	anger	0.894	gufata ku ngufu
ferocious	anger	0.894	ubugome
vengeful	anger	0.894	kwihorera
obliterated	anger	0.894	yahanaguwe
explosive	anger	0.894	iturika
killing	anger	0.893	kwica
combative	anger	0.891	kurwana
vengeance	anger	0.886	kwihorera
gofuckyourself	anger	0.886	gofuckyourself
torment	anger	0.885	kubabazwa
wrath	anger	0.885	uburakari
vicious	anger	0.884	mubi
massacre	anger	0.882	ubwicanyi
threatening	anger	0.882	iterabwoba
abhorrent	anger	0.875	ikizira
bloodthirsty	anger	0.875	kumena amaraso
pissoff	anger	0.875	pissoff
fighting	anger	0.868	kurwana
attacking	anger	0.865	gutera
annihilated	anger	0.865	kurimburwa
angriest	anger	0.864	uburakari
bloodshed	anger	0.864	kumena amaraso
smite	anger	0.862	gukubita
brawl	anger	0.861	guterana amagambo
malicious	anger	0.859	mubi
assassination	anger	0.859	ubwicanyi
strangle	anger	0.859	kuniga
hostility	anger	0.859	urwango
assault	anger	0.859	gukubita
explode	anger	0.859	guturika
tirade	anger	0.859	tirade
loathsome	anger	0.857	biteye ishozi
hell	anger	0.853	ikuzimu
murderous	anger	0.853	umwicanyi
attack	anger	0.853	igitero
malice	anger	0.852	ubugome
terrorism	anger	0.851	iterabwoba
beating	anger	0.849	gukubita
outrage	anger	0.848	umujinya
desecration	anger	0.848	gutukwa
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	gusenya
slaughter	anger	0.844	kubaga
irate	anger	0.844	kurakara
violent	anger	0.844	urugomo
stab	anger	0.844	icyuma
abomination	anger	0.844	ikizira
tumultuous	anger	0.844	umuvurungano
infuriate	anger	0.844	kurakara
obliterate	anger	0.843	kurimbuka
belligerent	anger	0.841	Intambara
dumbbitch	anger	0.841	dumbbitch
detest	anger	0.838	urwango
hostilities	anger	0.837	imirwano
prick	anger	0.835	prick
rampage	anger	0.833	ubwicanyi
horrid	anger	0.833	biteye ubwoba
cruelty	anger	0.833	ubugome
torture	anger	0.833	iyicarubozo
rabid	anger	0.833	rabid
despicable	anger	0.828	agasuzuguro
tyrannical	anger	0.828	igitugu
demonic	anger	0.828	abadayimoni
satanic	anger	0.828	satani
hate	anger	0.828	urwango
ragemode	anger	0.828	ragemode
hating	anger	0.828	kwanga
ruinous	anger	0.825	Kurimbuka
condemn	anger	0.825	kwamaganwa
riots	anger	0.824	imvururu
demolish	anger	0.824	gusenya
angry	anger	0.824	arakaye
extermination	anger	0.824	gutsemba
dickhead	anger	0.824	dickhead
livid	anger	0.821	Kubaho
madman	anger	0.820	umusazi
vindictive	anger	0.819	kwihorera
terrorist	anger	0.818	iterabwoba
threaten	anger	0.818	iterabwoba
venomous	anger	0.818	uburozi
hateyou	anger	0.818	yanga
ferocity	anger	0.818	ubugome
effyou	anger	0.818	effyou
abhor	anger	0.816	urunuka
carnage	anger	0.814	ubwicanyi
savage	anger	0.814	ubugome
atrocity	anger	0.814	amarorerwa
fucksake	anger	0.812	fucksake
abuse	anger	0.812	guhohoterwa
fierce	anger	0.812	gikaze
destroyer	anger	0.812	gusenya
angrytweet	anger	0.812	kurakara
barbaric	anger	0.812	ubugome
vendetta	anger	0.812	vendetta
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	pissedoff
tyrant	anger	0.812	umunyagitugu
berserk	anger	0.812	berserk
fuming	anger	0.812	fuming
anger	anger	0.811	uburakari
pieceofshit	anger	0.810	Yamazaki
punched	anger	0.803	yakubiswe
punching	anger	0.803	gukubita
slam	anger	0.803	slam
homicide	anger	0.803	ubwicanyi
