English Word	Emotion	Emotion-Intensity-Score	Korean Word
outraged	anger	0.964	화난
brutality	anger	0.959	야만성
hatred	anger	0.953	증오
hateful	anger	0.940	혐오스러운
terrorize	anger	0.939	테러하다
violently	anger	0.938	맹렬히
infuriated	anger	0.938	화난
furious	anger	0.929	맹렬한
furiously	anger	0.927	맹렬히
enraged	anger	0.927	성나게 하는
screwyou	anger	0.924	망할
murderer	anger	0.922	살인자
fury	anger	0.922	격노
execution	anger	0.917	실행
angered	anger	0.916	화난
savagery	anger	0.915	야만 상태
slaughtering	anger	0.914	도살
veryangry	anger	0.913	매우 화난
assassinate	anger	0.912	암살하다
annihilation	anger	0.912	전멸
fuckoff	anger	0.912	씨발
rage	anger	0.911	격노
loathe	anger	0.909	싫다
fucktard	anger	0.906	씨발
roadrage	anger	0.906	로드레이지
damnation	anger	0.906	저주
homicidal	anger	0.906	살인적인
furor	anger	0.900	격렬한 감격
hostile	anger	0.898	적의
annihilate	anger	0.898	억누르다
murder	anger	0.897	살인
raging	anger	0.896	성난
sopissed	anger	0.894	화난
infuriates	anger	0.894	화나게 하다
pissed	anger	0.894	성난
rape	anger	0.894	강간
ferocious	anger	0.894	사나운
vengeful	anger	0.894	복수심에 불타는
obliterated	anger	0.894	말살
explosive	anger	0.894	폭발물
killing	anger	0.893	죽이는
combative	anger	0.891	전투적인
vengeance	anger	0.886	복수
gofuckyourself	anger	0.886	씨발 너자신
torment	anger	0.885	고통
wrath	anger	0.885	격노
vicious	anger	0.884	나쁜
massacre	anger	0.882	대학살
threatening	anger	0.882	험악한
abhorrent	anger	0.875	혐오스러운
bloodthirsty	anger	0.875	피에 굶주린
pissoff	anger	0.875	화나게
fighting	anger	0.868	화이팅
attacking	anger	0.865	공격
annihilated	anger	0.865	전멸
angriest	anger	0.864	가장 화가 난
bloodshed	anger	0.864	유혈
smite	anger	0.862	강타
brawl	anger	0.861	말다툼
malicious	anger	0.859	악의 있는
assassination	anger	0.859	암살
strangle	anger	0.859	교살
hostility	anger	0.859	적의
assault	anger	0.859	폭행
explode	anger	0.859	터지다
tirade	anger	0.859	장황한 연설
loathsome	anger	0.857	기분 나쁜
hell	anger	0.853	지옥
murderous	anger	0.853	살인적인
attack	anger	0.853	공격
malice	anger	0.852	악의
terrorism	anger	0.851	테러
beating	anger	0.849	고동
outrage	anger	0.848	격분
desecration	anger	0.848	신성 모독
pissingmeoff	anger	0.848	짜증나게 군다
destroying	anger	0.844	파괴
slaughter	anger	0.844	학살
irate	anger	0.844	화를 내다
violent	anger	0.844	폭력적인
stab	anger	0.844	찌르다
abomination	anger	0.844	질색
tumultuous	anger	0.844	떠들썩한
infuriate	anger	0.844	화나게
obliterate	anger	0.843	말살
belligerent	anger	0.841	교전국
dumbbitch	anger	0.841	멍청이
detest	anger	0.838	싫어하다
hostilities	anger	0.837	반항
prick	anger	0.835	찌르기
rampage	anger	0.833	날뛰다
horrid	anger	0.833	무서운
cruelty	anger	0.833	잔학
torture	anger	0.833	고문
rabid	anger	0.833	맹렬한
despicable	anger	0.828	비열한
tyrannical	anger	0.828	폭군
demonic	anger	0.828	악마 같은
satanic	anger	0.828	악마 같은
hate	anger	0.828	싫어하다
ragemode	anger	0.828	분노 모드
hating	anger	0.828	증오
ruinous	anger	0.825	파멸적인
condemn	anger	0.825	비난하다
riots	anger	0.824	폭동
demolish	anger	0.824	헐다
angry	anger	0.824	화난
extermination	anger	0.824	대량 학살
dickhead	anger	0.824	딕헤드
livid	anger	0.821	생생한
madman	anger	0.820	광인
vindictive	anger	0.819	복수심 있는
terrorist	anger	0.818	테러리스트
threaten	anger	0.818	위협하다
venomous	anger	0.818	역겨운
hateyou	anger	0.818	싫어
ferocity	anger	0.818	사나움
effyou	anger	0.818	에피
abhor	anger	0.816	혐오하다
carnage	anger	0.814	대학살
savage	anger	0.814	야만적인
atrocity	anger	0.814	포악
fucksake	anger	0.812	젠장
abuse	anger	0.812	남용
fierce	anger	0.812	사나운
destroyer	anger	0.812	파괴자
angrytweet	anger	0.812	화난 트윗
barbaric	anger	0.812	야만인 같은
vendetta	anger	0.812	상호 복수
pissesmeoff	anger	0.812	오줌싸개
pissedoff	anger	0.812	화난
tyrant	anger	0.812	폭군
berserk	anger	0.812	맹렬한
fuming	anger	0.812	발연
anger	anger	0.811	화
pieceofshit	anger	0.810	젠장
punched	anger	0.803	펀칭
punching	anger	0.803	펀칭
slam	anger	0.803	쾅
homicide	anger	0.803	살인
bitch	anger	0.803	암캐
fights	anger	0.803	싸움
ruthless	anger	0.797	무자비한
villainous	anger	0.797	악한 같은
destructive	anger	0.797	파괴적인
slap	anger	0.791	찰싹
riot	anger	0.788	폭동
growthefuckup	anger	0.788	성장 젠장
punishing	anger	0.788	처벌
slaughterhouse	anger	0.788	도살장
yelling	anger	0.788	고함
diabolical	anger	0.788	악마 같은
destroyed	anger	0.788	파괴됨
ragetweet	anger	0.788	라겟트윗
retaliatory	anger	0.788	보복
manslaughter	anger	0.783	살인
clash	anger	0.783	충돌
quarrel	anger	0.781	싸움
bloody	anger	0.781	피의
hellish	anger	0.781	지옥 같은
sinister	anger	0.781	불길한
loath	anger	0.781	싫은
detonation	anger	0.781	폭발
accusing	anger	0.779	고발
fumin	anger	0.779	후민
hateeee	anger	0.779	싫어
treacherous	anger	0.779	믿을 수 없는
madder	anger	0.773	미친
horrific	anger	0.773	무서운
revulsion	anger	0.773	격변
retaliate	anger	0.773	보복하다
scorn	anger	0.769	경멸
bomb	anger	0.766	폭탄
deplorable	anger	0.766	통탄 할
devastation	anger	0.765	황폐
anarchist	anger	0.765	무정부주의자
firestorm	anger	0.765	화염 폭풍
resent	anger	0.765	화내다
contemptible	anger	0.764	경멸하는
shittest	anger	0.760	젠장
rant	anger	0.758	호언장담
cruel	anger	0.758	잔혹한
deadly	anger	0.758	치명적인
smash	anger	0.758	스매시
soangry	anger	0.758	화난
outburst	anger	0.757	폭발
snarl	anger	0.754	혼란
profane	anger	0.750	모독
revolting	anger	0.750	역겨운
aggravating	anger	0.750	악화
horror	anger	0.750	공포
despise	anger	0.750	경멸하다
offend	anger	0.750	공격하다
stfu	anger	0.750	stfu
vulgarity	anger	0.750	속악
crazed	anger	0.750	미친
douchebags	anger	0.750	멍청이들
growling	anger	0.750	으르렁
dontmesswithme	anger	0.750	장난치지 마
screaming	anger	0.742	외침
threat	anger	0.742	위협
erupt	anger	0.742	폭발하다
horrible	anger	0.742	끔찍한
molestation	anger	0.742	방해
fuckedoff	anger	0.742	엿
violence	anger	0.742	폭행
bastards	anger	0.741	개자식들
revenge	anger	0.738	복수
menacing	anger	0.735	위협적인
crushing	anger	0.735	눌러 터뜨리는
damn	anger	0.735	젠장
catastrophe	anger	0.735	대단원
demon	anger	0.735	악마
argue	anger	0.734	다투다
persecute	anger	0.734	박해하다
deplore	anger	0.734	개탄하다
flog	anger	0.734	팔다
fedup	anger	0.734	지겹다
riotous	anger	0.734	난폭한
vehement	anger	0.734	격렬한
revolt	anger	0.734	반란
warfare	anger	0.734	전쟁
thrash	anger	0.734	뒹굴다
altercation	anger	0.729	언쟁
warlike	anger	0.728	호전적인
shitday	anger	0.727	젠장
mutiny	anger	0.727	폭동
castrate	anger	0.727	거세
sabotage	anger	0.727	사보타주
malevolent	anger	0.721	악의 있는
strike	anger	0.721	스트라이크
disaster	anger	0.721	재해
disastrous	anger	0.720	비참한
bastarding	anger	0.719	사생아
treachery	anger	0.719	배반
arseholes	anger	0.719	똥구멍
horseshit	anger	0.719	말똥
slay	anger	0.719	몹시 웃기다
disdain	anger	0.719	경멸감
aggravates	anger	0.719	악화
brutal	anger	0.719	잔인한
scorching	anger	0.719	맹렬한
devil	anger	0.719	악마
madden	anger	0.719	미치게 하다
spiteful	anger	0.719	짓궂은
scream	anger	0.719	비명
choke	anger	0.719	초크
vermin	anger	0.719	해충
tumult	anger	0.719	소란
criminal	anger	0.714	범인
mangle	anger	0.714	압착 롤러
anarchism	anger	0.714	무정부주의
mutilation	anger	0.714	절단
denunciation	anger	0.713	비난
punch	anger	0.713	펀치
virulence	anger	0.712	독성
fatal	anger	0.712	치명적인
hurting	anger	0.712	아프다
crucifixion	anger	0.712	큰 시련
dontlikeyou	anger	0.712	싫어
blasphemous	anger	0.712	신성모독
holocaust	anger	0.712	대학살
dumbasses	anger	0.712	멍청이들
battled	anger	0.712	전투
deranged	anger	0.706	미친
irritated	anger	0.706	짜증
atrocious	anger	0.706	극악한
evil	anger	0.706	사악한
aggravated	anger	0.703	악화
intimidation	anger	0.703	위협
dicks	anger	0.703	자지
assassin	anger	0.703	암살자
scolding	anger	0.703	꾸지람
persecution	anger	0.703	박해
slayer	anger	0.703	살해자
kidnap	anger	0.703	채가다
aggression	anger	0.702	침략
armed	anger	0.700	무장
battle	anger	0.697	전투
poison	anger	0.697	독
snarling	anger	0.697	으르렁
venom	anger	0.697	독액
disgruntled	anger	0.693	불만
resentment	anger	0.691	원한
assailant	anger	0.691	공격자
insidious	anger	0.691	교활한
contemptuous	anger	0.690	경멸하는
lynch	anger	0.690	사형
temper	anger	0.688	성질
terrible	anger	0.688	끔찍한
disparage	anger	0.688	얕보다
lunatic	anger	0.688	미치광이
bully	anger	0.688	괴롭히는 사람
mad	anger	0.688	미친
makesmemad	anger	0.688	메이즈메드
infanticide	anger	0.688	영아 살해
domination	anger	0.688	지배
peeved	anger	0.688	짜증
imprisonment	anger	0.688	투옥
curse	anger	0.688	저주
volatility	anger	0.687	휘발성
eradication	anger	0.685	근절
eradicate	anger	0.682	근절하다
tantrum	anger	0.682	언짢은 기분
scoundrel	anger	0.682	악당
devastate	anger	0.682	황폐화하다
aggressively	anger	0.680	공격적으로
agitation	anger	0.680	동요
dictatorship	anger	0.676	절대권
irritates	anger	0.676	짜증
profanity	anger	0.673	욕설
shove	anger	0.672	지지
nasty	anger	0.672	끔찍한
shot	anger	0.672	발사
cruelly	anger	0.672	잔인하게
shoot	anger	0.672	사격
condemnation	anger	0.672	비난
crushed	anger	0.672	밀어 넣는
aggravation	anger	0.672	악화
poisonous	anger	0.672	유해한
egregious	anger	0.672	악명 높은
crime	anger	0.672	범죄
corrupting	anger	0.672	부패
