English Word	Emotion	Emotion-Intensity-Score	Latin Word
outraged	anger	0.964	temerata
brutality	anger	0.959	immanitas
hatred	anger	0.953	odium
hateful	anger	0.940	detestabilis
terrorize	anger	0.939	terrere
violently	anger	0.938	vi
infuriated	anger	0.938	furiatus
furious	anger	0.929	furens
furiously	anger	0.927	furibundus
enraged	anger	0.927	iratus est
screwyou	anger	0.924	screwyou
murderer	anger	0.922	homicida
fury	anger	0.922	furorem
execution	anger	0.917	supplicium
angered	anger	0.916	Iratus
savagery	anger	0.915	feritas
slaughtering	anger	0.914	mactatio
veryangry	anger	0.913	veryangry
assassinate	anger	0.912	insurgere
annihilation	anger	0.912	annihilatio
fuckoff	anger	0.912	fuckoff
rage	anger	0.911	ira
loathe	anger	0.909	fastidire
fucktard	anger	0.906	fucktard
roadrage	anger	0.906	ira via
damnation	anger	0.906	damnatio
homicidal	anger	0.906	homicidium
furor	anger	0.900	furor
hostile	anger	0.898	hostilis
annihilate	anger	0.898	annihilare
murder	anger	0.897	caedes
raging	anger	0.896	furentes
sopissed	anger	0.894	sopissed
infuriates	anger	0.894	exagitat
pissed	anger	0.894	pissed
rape	anger	0.894	rapere
ferocious	anger	0.894	feroces
vengeful	anger	0.894	vindice
obliterated	anger	0.894	exstinguitur
explosive	anger	0.894	explosive
killing	anger	0.893	occisio
combative	anger	0.891	pugnax
vengeance	anger	0.886	vindicta
gofuckyourself	anger	0.886	gofuckyourself
torment	anger	0.885	tormentum
wrath	anger	0.885	ira
vicious	anger	0.884	vitiosus
massacre	anger	0.882	caedes
threatening	anger	0.882	minabatur
abhorrent	anger	0.875	abominabilis
bloodthirsty	anger	0.875	sanguinarius
pissoff	anger	0.875	pissoff
fighting	anger	0.868	pugnatum
attacking	anger	0.865	oppugnare
annihilated	anger	0.865	exstinguitur
angriest	anger	0.864	angiosus
bloodshed	anger	0.864	sanguis
smite	anger	0.862	percutite
brawl	anger	0.861	rixa
malicious	anger	0.859	malignis
assassination	anger	0.859	caedes
strangle	anger	0.859	suffocare
hostility	anger	0.859	inimicitiae
assault	anger	0.859	impetum
explode	anger	0.859	explodere
tirade	anger	0.859	tirade
loathsome	anger	0.857	fedum
hell	anger	0.853	gehenna
murderous	anger	0.853	parricidalis
attack	anger	0.853	impetum
malice	anger	0.852	malitia
terrorism	anger	0.851	terrorism
beating	anger	0.849	verberans
outrage	anger	0.848	iniuria
desecration	anger	0.848	pollutio
pissingmeoff	anger	0.848	pissingmeoff 
destroying	anger	0.844	exitio
slaughter	anger	0.844	caedes
irate	anger	0.844	irato
violent	anger	0.844	vehemens
stab	anger	0.844	confodere
abomination	anger	0.844	abominatio
tumultuous	anger	0.844	tumultuosa
infuriate	anger	0.844	furere
obliterate	anger	0.843	delere
belligerent	anger	0.841	belligerantium
dumbbitch	anger	0.841	dumbbitch
detest	anger	0.838	detestor
hostilities	anger	0.837	bellum
prick	anger	0.835	punctum
rampage	anger	0.833	rampage
horrid	anger	0.833	horrida
cruelty	anger	0.833	crudelitas
torture	anger	0.833	tormentum
rabid	anger	0.833	rabidi
despicable	anger	0.828	despectus
tyrannical	anger	0.828	tyrannice
demonic	anger	0.828	daemonium
satanic	anger	0.828	satanica
hate	anger	0.828	odium
ragemode	anger	0.828	ragemode
hating	anger	0.828	odium
ruinous	anger	0.825	perniciosus
condemn	anger	0.825	damnare
riots	anger	0.824	tumultus
demolish	anger	0.824	demoliri
angry	anger	0.824	Iratus
extermination	anger	0.824	interitus
dickhead	anger	0.824	dickhead
livid	anger	0.821	livida
madman	anger	0.820	insanus
vindictive	anger	0.819	vindicativa
terrorist	anger	0.818	terroristis
threaten	anger	0.818	comminatur
venomous	anger	0.818	venenatus
hateyou	anger	0.818	hateyou
ferocity	anger	0.818	saevitia
effyou	anger	0.818	effyou
abhor	anger	0.816	abominari
carnage	anger	0.814	caedes
savage	anger	0.814	truculentus
atrocity	anger	0.814	atrocitas
fucksake	anger	0.812	fucksake
abuse	anger	0.812	abusu
fierce	anger	0.812	ferox
destroyer	anger	0.812	eversor
angrytweet	anger	0.812	angrytweet
barbaric	anger	0.812	barbarica
vendetta	anger	0.812	vendetta
pissesmeoff	anger	0.812	pissesmeoff 
pissedoff	anger	0.812	pissedoff 
tyrant	anger	0.812	tyrannus
berserk	anger	0.812	berserk
fuming	anger	0.812	fuming
anger	anger	0.811	ira
pieceofshit	anger	0.810	pieceofshit
punched	anger	0.803	impugnamur
punching	anger	0.803	punching
slam	anger	0.803	slam
homicide	anger	0.803	homicidium
bitch	anger	0.803	bitch
fights	anger	0.803	pugnat
ruthless	anger	0.797	immitis
villainous	anger	0.797	scelestus
destructive	anger	0.797	perniciosius
slap	anger	0.791	alapam
riot	anger	0.788	tumultus
