English Word	Emotion	Emotion-Intensity-Score	Latvian Word
outraged	anger	0.964	sašutis
brutality	anger	0.959	brutalitāte
hatred	anger	0.953	naidu
hateful	anger	0.940	naidīgs
terrorize	anger	0.939	terorizēt
violently	anger	0.938	vardarbīgi
infuriated	anger	0.938	satracināts
furious	anger	0.929	niknās
furiously	anger	0.927	nikni
enraged	anger	0.927	saniknots
screwyou	anger	0.924	piekāst tevi
murderer	anger	0.922	slepkava
fury	anger	0.922	niknums
execution	anger	0.917	izpildi
angered	anger	0.916	sašutis
savagery	anger	0.915	mežonība
slaughtering	anger	0.914	kaušana
veryangry	anger	0.913	ļoti dusmīgs
assassinate	anger	0.912	noslepkavot
annihilation	anger	0.912	iznīcināšana
fuckoff	anger	0.912	bāc
rage	anger	0.911	niknums
loathe	anger	0.909	riebjas
fucktard	anger	0.906	fucktard
roadrage	anger	0.906	ceļu dusmas
damnation	anger	0.906	nolādēts
homicidal	anger	0.906	slepkavība
furor	anger	0.900	furor
hostile	anger	0.898	naidīgs
annihilate	anger	0.898	iznīcināt
murder	anger	0.897	slepkavība
raging	anger	0.896	nikns
sopissed	anger	0.894	izsmalcināts
infuriates	anger	0.894	sanikno
pissed	anger	0.894	sašutis
rape	anger	0.894	izvarošanu
ferocious	anger	0.894	mežonīgs
vengeful	anger	0.894	atriebīgs
obliterated	anger	0.894	dzēsts
explosive	anger	0.894	sprādzienbīstams
killing	anger	0.893	nogalināšanu
combative	anger	0.891	kaujiniecisks
vengeance	anger	0.886	atriebība
gofuckyourself	anger	0.886	izbāž sevi
torment	anger	0.885	mocīties
wrath	anger	0.885	dusmas
vicious	anger	0.884	ļauns
massacre	anger	0.882	slaktiņš
threatening	anger	0.882	draudošs
abhorrent	anger	0.875	pretīgs
bloodthirsty	anger	0.875	asinskārs
pissoff	anger	0.875	atšujies
fighting	anger	0.868	cīnās
attacking	anger	0.865	uzbrūkot
annihilated	anger	0.865	iznīcināts
angriest	anger	0.864	dusmīgākais
bloodshed	anger	0.864	asinsizliešana
smite	anger	0.862	sist
brawl	anger	0.861	kautiņš
malicious	anger	0.859	ļaunprātīga
assassination	anger	0.859	slepkavība
strangle	anger	0.859	nožņaugt
hostility	anger	0.859	naidīgums
assault	anger	0.859	uzbrukums
explode	anger	0.859	eksplodēt
tirade	anger	0.859	tirāde
loathsome	anger	0.857	riebīgs
hell	anger	0.853	elle
murderous	anger	0.853	slepkavniecisks
attack	anger	0.853	uzbrukums
malice	anger	0.852	ļaunprātība
terrorism	anger	0.851	terorisms
beating	anger	0.849	sišana
outrage	anger	0.848	sašutumu
desecration	anger	0.848	apgānīšana
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	iznīcinot
slaughter	anger	0.844	nokaušana
irate	anger	0.844	nikns
violent	anger	0.844	vardarbīgs
stab	anger	0.844	durt
abomination	anger	0.844	negantība
tumultuous	anger	0.844	nemierīgs
infuriate	anger	0.844	saniknot
obliterate	anger	0.843	iznīcināt
belligerent	anger	0.841	karojošs
dumbbitch	anger	0.841	stulbs
detest	anger	0.838	ienīst
hostilities	anger	0.837	karadarbība
prick	anger	0.835	iedurt
rampage	anger	0.833	trakot
horrid	anger	0.833	šausmīgi
cruelty	anger	0.833	cietsirdība
torture	anger	0.833	spīdzināšanu
rabid	anger	0.833	nikns
despicable	anger	0.828	nicināms
tyrannical	anger	0.828	tirānisks
demonic	anger	0.828	dēmonisks
satanic	anger	0.828	sātanisks
hate	anger	0.828	ienīst
ragemode	anger	0.828	ragemode
hating	anger	0.828	ienīst
ruinous	anger	0.825	postošs
condemn	anger	0.825	nosodīt
riots	anger	0.824	nemieriem
demolish	anger	0.824	nojaukt
angry	anger	0.824	dusmīgs
extermination	anger	0.824	iznīcināšana
dickhead	anger	0.824	dickhead
livid	anger	0.821	nikns
madman	anger	0.820	trakais
vindictive	anger	0.819	atriebīgs
terrorist	anger	0.818	terorists
threaten	anger	0.818	draudēt
venomous	anger	0.818	indīgs
hateyou	anger	0.818	ienīstu tevi
