English Word	Emotion	Emotion-Intensity-Score	Lithuanian Word
outraged	anger	0.964	pasipiktinęs
brutality	anger	0.959	brutalumas
hatred	anger	0.953	neapykanta
hateful	anger	0.940	neapykantos
terrorize	anger	0.939	terorizuoti
violently	anger	0.938	žiauriai
infuriated	anger	0.938	įsiutęs
furious	anger	0.929	įsiutęs
furiously	anger	0.927	įnirtingai
enraged	anger	0.927	įsiutę
screwyou	anger	0.924	apgaudinėja tave
murderer	anger	0.922	žudikas
fury	anger	0.922	įniršis
execution	anger	0.917	egzekucija
angered	anger	0.916	supykęs
savagery	anger	0.915	žiaurumas
slaughtering	anger	0.914	skerdimas
veryangry	anger	0.913	labai piktas
assassinate	anger	0.912	nužudyti
annihilation	anger	0.912	susinaikinimas
fuckoff	anger	0.912	nusišik
rage	anger	0.911	pyktis
loathe	anger	0.909	bjaurėtis
fucktard	anger	0.906	fucktars
roadrage	anger	0.906	kelyje
damnation	anger	0.906	pasmerkimas
homicidal	anger	0.906	žmogžudiškas
furor	anger	0.900	furoras
hostile	anger	0.898	priešiškas
annihilate	anger	0.898	sunaikinti
murder	anger	0.897	nužudymas
raging	anger	0.896	siautėjantis
sopissed	anger	0.894	išsiblaškęs
infuriates	anger	0.894	siutina
pissed	anger	0.894	supykęs
rape	anger	0.894	išprievartavimas
ferocious	anger	0.894	žiaurus
vengeful	anger	0.894	kerštingas
obliterated	anger	0.894	sunaikinti
explosive	anger	0.894	sprogstamasis
killing	anger	0.893	žudymas
combative	anger	0.891	kovingas
vengeance	anger	0.886	kerštas
gofuckyourself	anger	0.886	dulkinkis
torment	anger	0.885	kankintis
wrath	anger	0.885	rūstybė
vicious	anger	0.884	žiaurus
massacre	anger	0.882	žudynės
threatening	anger	0.882	grėsmingas
abhorrent	anger	0.875	pasibjaurėtina
bloodthirsty	anger	0.875	kraujo ištroškęs
pissoff	anger	0.875	atsiknisk
fighting	anger	0.868	kovojantys
attacking	anger	0.865	puola
annihilated	anger	0.865	sunaikinta
angriest	anger	0.864	piktiausias
bloodshed	anger	0.864	kraujo praliejimas
smite	anger	0.862	smogti
brawl	anger	0.861	muštynės
malicious	anger	0.859	piktybinis
assassination	anger	0.859	žmogžudystė
strangle	anger	0.859	pasmaugti
hostility	anger	0.859	priešiškumas
assault	anger	0.859	užpuolimas
explode	anger	0.859	sprogti
tirade	anger	0.859	tirada
loathsome	anger	0.857	bjaurus
hell	anger	0.853	pragaras
murderous	anger	0.853	žudikiškas
attack	anger	0.853	puolimas
malice	anger	0.852	piktumas
terrorism	anger	0.851	terorizmas
beating	anger	0.849	mušimas
outrage	anger	0.848	pasipiktinimas
desecration	anger	0.848	išniekinimas
pissingmeoff	anger	0.848	pyksta mane
destroying	anger	0.844	naikinantis
slaughter	anger	0.844	skerdimas
irate	anger	0.844	piktas
violent	anger	0.844	smurtinis
stab	anger	0.844	dūris
abomination	anger	0.844	bjaurybė
tumultuous	anger	0.844	audringas
infuriate	anger	0.844	supykdyti
obliterate	anger	0.843	išnaikinti
belligerent	anger	0.841	karingas
dumbbitch	anger	0.841	kvailys
detest	anger	0.838	nekenčia
hostilities	anger	0.837	karo veiksmai
prick	anger	0.835	dūrio
rampage	anger	0.833	siautėti
horrid	anger	0.833	baisu
cruelty	anger	0.833	žiaurumas
torture	anger	0.833	kankinimas
rabid	anger	0.833	pasiutęs
despicable	anger	0.828	niekingas
tyrannical	anger	0.828	tironiškas
demonic	anger	0.828	demoniškas
satanic	anger	0.828	šėtoniškas
hate	anger	0.828	neapykanta
ragemode	anger	0.828	ragemode
hating	anger	0.828	neapykantą
ruinous	anger	0.825	pražūtingas
condemn	anger	0.825	pasmerkti
riots	anger	0.824	riaušės
demolish	anger	0.824	nugriauti
angry	anger	0.824	piktas
extermination	anger	0.824	naikinimas
dickhead	anger	0.824	dickhead
livid	anger	0.821	liūdnas
madman	anger	0.820	beprotis
vindictive	anger	0.819	kerštingas
terrorist	anger	0.818	teroristas
threaten	anger	0.818	grasinti
venomous	anger	0.818	nuodingas
hateyou	anger	0.818	nekenčiu tavęs
ferocity	anger	0.818	žiaurumas
effyou	anger	0.818	effyou
abhor	anger	0.816	bjaurėtis
carnage	anger	0.814	skerdynės
savage	anger	0.814	laukinis
atrocity	anger	0.814	žiaurumas
fucksake	anger	0.812	sušiktas
abuse	anger	0.812	piktnaudžiavimas
fierce	anger	0.812	nuožmus
destroyer	anger	0.812	naikintojas
angrytweet	anger	0.812	piktas Twitter
barbaric	anger	0.812	barbariškas
vendetta	anger	0.812	vendeta
pissesmeoff	anger	0.812	nervina
pissedoff	anger	0.812	supykęs
tyrant	anger	0.812	tironas
berserk	anger	0.812	beprotis
fuming	anger	0.812	rūkantis
anger	anger	0.811	pyktis
pieceofshit	anger	0.810	šūdas
punched	anger	0.803	sumuštas
punching	anger	0.803	perforavimas
slam	anger	0.803	slemas
homicide	anger	0.803	žmogžudystė
bitch	anger	0.803	kalyte
fights	anger	0.803	muštynės
ruthless	anger	0.797	negailestingas
villainous	anger	0.797	piktadaris
destructive	anger	0.797	destruktyvus
slap	anger	0.791	pliaukštelėti
riot	anger	0.788	riaušės
growthefuckup	anger	0.788	augimas pasileidimas
punishing	anger	0.788	bausti
slaughterhouse	anger	0.788	skerdykla
yelling	anger	0.788	šaukdamas
diabolical	anger	0.788	velniškas
destroyed	anger	0.788	sunaikinti
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	atsakomoji
manslaughter	anger	0.783	žmogžudystė
clash	anger	0.783	susidūrimas
quarrel	anger	0.781	kivirčytis
bloody	anger	0.781	kruvinas
hellish	anger	0.781	pragariškas
sinister	anger	0.781	grėsmingas
loath	anger	0.781	bjaurėtis
detonation	anger	0.781	detonacija
accusing	anger	0.779	kaltinantis
fumin	anger	0.779	fuminas
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	klastingas
madder	anger	0.773	beprotiškesnis
horrific	anger	0.773	siaubinga
revulsion	anger	0.773	pasibjaurėjimas
retaliate	anger	0.773	atsipeikėti
scorn	anger	0.769	paniekos
bomb	anger	0.766	bomba
deplorable	anger	0.766	apgailėtinas
devastation	anger	0.765	niokojimas
anarchist	anger	0.765	anarchistas
firestorm	anger	0.765	ugnies audra
resent	anger	0.765	piktintis
contemptible	anger	0.764	niekingas
shittest	anger	0.760	siaubingiausias
rant	anger	0.758	riaumoti
cruel	anger	0.758	žiaurus
deadly	anger	0.758	mirtinas
smash	anger	0.758	sutriuškinti
soangry	anger	0.758	toks piktas
outburst	anger	0.757	protrūkis
snarl	anger	0.754	niurzgėti
profane	anger	0.750	profaniškas
revolting	anger	0.750	maištaujantis
aggravating	anger	0.750	sunkinantis
horror	anger	0.750	siaubas
despise	anger	0.750	niekinti
offend	anger	0.750	įžeisti
stfu	anger	0.750	stfu
vulgarity	anger	0.750	vulgarumas
crazed	anger	0.750	išprotėjęs
douchebags	anger	0.750	dumbliukai
growling	anger	0.750	urzgdamas
dontmesswithme	anger	0.750	nesijaudink su manimi
screaming	anger	0.742	rėkdamas
threat	anger	0.742	grėsmė
erupt	anger	0.742	išsiveržti
horrible	anger	0.742	siaubinga
molestation	anger	0.742	tvirkinimą
fuckedoff	anger	0.742	pakliuvom
violence	anger	0.742	smurtas
bastards	anger	0.741	niekšai
revenge	anger	0.738	kerštas
menacing	anger	0.735	grėsmingas
crushing	anger	0.735	gniuždymas
damn	anger	0.735	prakeiktas
catastrophe	anger	0.735	katastrofa
demon	anger	0.735	demonas
argue	anger	0.734	ginčytis
