English Word	Emotion	Emotion-Intensity-Score	Luxembourgish Word
outraged	anger	0.964	entsat
brutality	anger	0.959	Brutalitéit
hatred	anger	0.953	haassen
hateful	anger	0.940	haass
terrorize	anger	0.939	terroriséieren
violently	anger	0.938	gewalteg
infuriated	anger	0.938	rosen
furious	anger	0.929	furious
furiously	anger	0.927	rosen
enraged	anger	0.927	rosen
screwyou	anger	0.924	fëck dech
murderer	anger	0.922	Mäerder
fury	anger	0.922	Roserei
execution	anger	0.917	Ausféierung
angered	anger	0.916	rosen
savagery	anger	0.915	Wëllen
slaughtering	anger	0.914	Schluechten
veryangry	anger	0.913	ganz rosen
assassinate	anger	0.912	ëmbréngen
annihilation	anger	0.912	annihilation
fuckoff	anger	0.912	feck
rage	anger	0.911	Roserei
loathe	anger	0.909	leeden
fucktard	anger	0.906	feck
roadrage	anger	0.906	roadrage
damnation	anger	0.906	Verdammt
homicidal	anger	0.906	homicidal
furor	anger	0.900	fuhr
hostile	anger	0.898	feindlech
annihilate	anger	0.898	zerstéieren
murder	anger	0.897	Mord
raging	anger	0.896	rëselen
sopissed	anger	0.894	gesoot
infuriates	anger	0.894	infuriates
pissed	anger	0.894	gepiss
rape	anger	0.894	vergewaltegt
ferocious	anger	0.894	ferocious
vengeful	anger	0.894	rächen
obliterated	anger	0.894	geläscht
explosive	anger	0.894	explosive
killing	anger	0.893	ëmbréngen
combative	anger	0.891	kämpfend
vengeance	anger	0.886	rächen
gofuckyourself	anger	0.886	Gei féck dech
torment	anger	0.885	Péng
wrath	anger	0.885	rosen
vicious	anger	0.884	béis
massacre	anger	0.882	Massaker
threatening	anger	0.882	menacéiert
abhorrent	anger	0.875	abschreckend
bloodthirsty	anger	0.875	bluddeg
pissoff	anger	0.875	verpiss dech
fighting	anger	0.868	kämpfen
attacking	anger	0.865	attackéieren
annihilated	anger	0.865	annihiléiert
angriest	anger	0.864	rosenste
bloodshed	anger	0.864	bluddeg
smite	anger	0.862	schmieren
brawl	anger	0.861	kräischen
malicious	anger	0.859	béiswëlleg
assassination	anger	0.859	Ermuerdung
strangle	anger	0.859	erstécken
hostility	anger	0.859	Feindlechkeet
assault	anger	0.859	iwwerfalen
explode	anger	0.859	explodéieren
tirade	anger	0.859	tirade
loathsome	anger	0.857	schrecklech
hell	anger	0.853	hell
murderous	anger	0.853	mäerderesch
attack	anger	0.853	attackéieren
malice	anger	0.852	béiswëlleg
terrorism	anger	0.851	Terrorismus
beating	anger	0.849	schloen
outrage	anger	0.848	Verontreiung
desecration	anger	0.848	Verweigerung
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	zerstéieren
slaughter	anger	0.844	Schluechten
irate	anger	0.844	irate
violent	anger	0.844	gewaltsam
stab	anger	0.844	stieche
abomination	anger	0.844	abomination
tumultuous	anger	0.844	tumultuous
infuriate	anger	0.844	rosen
obliterate	anger	0.843	ofschafen
belligerent	anger	0.841	kämpferesch
dumbbitch	anger	0.841	domm
detest	anger	0.838	veruechten
hostilities	anger	0.837	Feindlechkeeten
prick	anger	0.835	prick
rampage	anger	0.833	Rampage
horrid	anger	0.833	schrecklech
cruelty	anger	0.833	Grausamkeet
torture	anger	0.833	Folter
rabid	anger	0.833	rabid
despicable	anger	0.828	veruechtend
tyrannical	anger	0.828	tyrannesch
demonic	anger	0.828	demonesch
satanic	anger	0.828	satanesch
hate	anger	0.828	haassen
ragemode	anger	0.828	ragemode
hating	anger	0.828	haassen
ruinous	anger	0.825	ruinös
condemn	anger	0.825	veruerteelen
riots	anger	0.824	Onrouen
demolish	anger	0.824	ofbauen
angry	anger	0.824	rosen
extermination	anger	0.824	Ausstierwen
dickhead	anger	0.824	décke Kapp
livid	anger	0.821	lieweg
madman	anger	0.820	verréckt
vindictive	anger	0.819	vindictive
terrorist	anger	0.818	terroristesch
threaten	anger	0.818	menacéieren
venomous	anger	0.818	gëfteg
hateyou	anger	0.818	haassen dech
ferocity	anger	0.818	heftegkeet
effyou	anger	0.818	effi
abhor	anger	0.816	ofzeschafen
carnage	anger	0.814	bluddeg
savage	anger	0.814	wilde
atrocity	anger	0.814	grujeleg
fucksake	anger	0.812	fucksak
abuse	anger	0.812	Mëssbrauch
fierce	anger	0.812	heftig
destroyer	anger	0.812	Zerstéierer
angrytweet	anger	0.812	angrytweet
barbaric	anger	0.812	barbaresch
vendetta	anger	0.812	vendetta
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	ugepisst
tyrant	anger	0.812	Tyrann
berserk	anger	0.812	berserk
fuming	anger	0.812	fummeln
anger	anger	0.811	rosen
pieceofshit	anger	0.810	Stéck Schäiss
punched	anger	0.803	gepanzert
punching	anger	0.803	punchen
slam	anger	0.803	schloe
homicide	anger	0.803	Mord
bitch	anger	0.803	béis
fights	anger	0.803	kämpft
ruthless	anger	0.797	routlos
villainous	anger	0.797	béiswëlleg
destructive	anger	0.797	destruktiv
slap	anger	0.791	schlapp
riot	anger	0.788	riot
growthefuckup	anger	0.788	Wuesstemfuckup
punishing	anger	0.788	bestrofen
slaughterhouse	anger	0.788	Schluechthaus
yelling	anger	0.788	gejaut
diabolical	anger	0.788	diabolesch
destroyed	anger	0.788	zerstéiert
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	retaliative
manslaughter	anger	0.783	Mord
clash	anger	0.783	clash
quarrel	anger	0.781	streiden
bloody	anger	0.781	bluddeg
hellish	anger	0.781	hellesch
sinister	anger	0.781	béis
loath	anger	0.781	leeden
detonation	anger	0.781	Detonatioun
accusing	anger	0.779	beschëllegt
fumin	anger	0.779	fumm
hateeee	anger	0.779	hateee
treacherous	anger	0.779	verrot
madder	anger	0.773	madder
horrific	anger	0.773	schrecklech
revulsion	anger	0.773	Revulsioun
retaliate	anger	0.773	widderhuelen
scorn	anger	0.769	veruechten
bomb	anger	0.766	bomb
deplorable	anger	0.766	bedauerlech
devastation	anger	0.765	Zerstéierung
anarchist	anger	0.765	anarchist
firestorm	anger	0.765	Feierstuerm
resent	anger	0.765	rezent
contemptible	anger	0.764	verachtlech
shittest	anger	0.760	scheisssten
rant	anger	0.758	räissen
