English Word	Emotion	Emotion-Intensity-Score	Macedonian Word
outraged	anger	0.964	навреден
brutality	anger	0.959	бруталност
hatred	anger	0.953	омраза
hateful	anger	0.940	омразен
terrorize	anger	0.939	тероризираат
violently	anger	0.938	насилно
infuriated	anger	0.938	разгневен
furious	anger	0.929	бесен
furiously	anger	0.927	бесно
enraged	anger	0.927	разбеснета
screwyou	anger	0.924	Еби се
murderer	anger	0.922	убиец
fury	anger	0.922	бес
execution	anger	0.917	извршување
angered	anger	0.916	налутен
savagery	anger	0.915	дивјаштво
slaughtering	anger	0.914	колење
veryangry	anger	0.913	многу лут
assassinate	anger	0.912	изврши атентат
annihilation	anger	0.912	уништување
fuckoff	anger	0.912	ебам
rage	anger	0.911	бес
loathe	anger	0.909	омрази
fucktard	anger	0.906	фуктард
roadrage	anger	0.906	патемост
damnation	anger	0.906	проклетство
homicidal	anger	0.906	убиствен
furor	anger	0.900	бес
hostile	anger	0.898	непријателски
annihilate	anger	0.898	уништи
murder	anger	0.897	убиство
raging	anger	0.896	беснее
sopissed	anger	0.894	изневерен
infuriates	anger	0.894	разбеснува
pissed	anger	0.894	изнервиран
rape	anger	0.894	силување
ferocious	anger	0.894	жесток
vengeful	anger	0.894	одмазднички
obliterated	anger	0.894	избришани
explosive	anger	0.894	експлозив
killing	anger	0.893	убивање
combative	anger	0.891	борбен
vengeance	anger	0.886	одмазда
gofuckyourself	anger	0.886	се заебаваш
torment	anger	0.885	мачење
wrath	anger	0.885	гневот
vicious	anger	0.884	злобни
massacre	anger	0.882	масакр
threatening	anger	0.882	заканувачки
abhorrent	anger	0.875	одвратен
bloodthirsty	anger	0.875	крвожеден
pissoff	anger	0.875	писоф
fighting	anger	0.868	борејќи се
attacking	anger	0.865	напаѓајќи
annihilated	anger	0.865	уништени
angriest	anger	0.864	најлут
bloodshed	anger	0.864	крвопролевање
smite	anger	0.862	удри
brawl	anger	0.861	тепачка
malicious	anger	0.859	злонамерен
assassination	anger	0.859	атентат
strangle	anger	0.859	задави
hostility	anger	0.859	непријателство
assault	anger	0.859	напад
explode	anger	0.859	експлодираат
tirade	anger	0.859	тирада
loathsome	anger	0.857	одвратно
hell	anger	0.853	пеколот
murderous	anger	0.853	убиствен
attack	anger	0.853	напад
malice	anger	0.852	злоба
