English Word	Emotion	Emotion-Intensity-Score	Malagasy Word
outraged	anger	0.964	nahatezitra
brutality	anger	0.959	ny herisetra ataon'ny
hatred	anger	0.953	ny fankahalana
hateful	anger	0.940	feno fankahalana
terrorize	anger	0.939	hampihorohoroana
violently	anger	0.938	-keriny
infuriated	anger	0.938	tezitra
furious	anger	0.929	tezitra
furiously	anger	0.927	adala
enraged	anger	0.927	TEZITRA
screwyou	anger	0.924	Mandehana ho faty any 'ty
murderer	anger	0.922	mpamono olona
fury	anger	0.922	fahatezerana
execution	anger	0.917	famonoana
angered	anger	0.916	nahatezitra
savagery	anger	0.915	habibiana
slaughtering	anger	0.914	famonoana
veryangry	anger	0.913	tezitra be
assassinate	anger	0.912	hamono
annihilation	anger	0.912	fandringanana
fuckoff	anger	0.912	fuckoff
rage	anger	0.911	fahatezerana
loathe	anger	0.909	Maharikoriko
fucktard	anger	0.906	fucktard
roadrage	anger	0.906	roadrage
damnation	anger	0.906	ny fanamelohana
homicidal	anger	0.906	mamono olona
furor	anger	0.900	nahatezitra
hostile	anger	0.898	feno fankahalana
annihilate	anger	0.898	handringana
murder	anger	0.897	vonoan-olona
raging	anger	0.896	nisamboaravoara
sopissed	anger	0.894	sopissed
infuriates	anger	0.894	mahatezitra
pissed	anger	0.894	tezitra
rape	anger	0.894	fanolanana
ferocious	anger	0.894	masiaka
vengeful	anger	0.894	valifaty
obliterated	anger	0.894	voafafa mandrakizay
explosive	anger	0.894	baomba
killing	anger	0.893	famonoana
combative	anger	0.891	miady
vengeance	anger	0.886	ny famaliana
gofuckyourself	anger	0.886	gofuckyourself
torment	anger	0.885	fampijaliana
wrath	anger	0.885	fahatezerana
vicious	anger	0.884	masiaka
massacre	anger	0.882	fandripahana
threatening	anger	0.882	mandrahona
abhorrent	anger	0.875	maharikoriko
bloodthirsty	anger	0.875	mpandatsa-drà
pissoff	anger	0.875	pissoff
fighting	anger	0.868	ady
attacking	anger	0.865	manafika
annihilated	anger	0.865	ringana
angriest	anger	0.864	tezitra indrindra
bloodshed	anger	0.864	fandatsahan-drà
smite	anger	0.862	hamelezanao ny
brawl	anger	0.861	ady
malicious	anger	0.859	ratsy toetra
assassination	anger	0.859	famonoana
strangle	anger	0.859	hahasempotra
hostility	anger	0.859	fankahalana
assault	anger	0.859	fanafihana
explode	anger	0.859	nipoaka
tirade	anger	0.859	manaratsy
loathsome	anger	0.857	maharikoriko
hell	anger	0.853	helo
murderous	anger	0.853	mpamono olona
attack	anger	0.853	fanafihana
malice	anger	0.852	lolompo
terrorism	anger	0.851	ASA fampihorohoroana
beating	anger	0.849	daroka
outrage	anger	0.848	hatezerana
desecration	anger	0.848	fanimbazimbana
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	mandringana
slaughter	anger	0.844	hamonoana
irate	anger	0.844	tezitra
