English Word	Emotion	Emotion-Intensity-Score	Maltese Word
outraged	anger	0.964	imriegħex
brutality	anger	0.959	brutalità
hatred	anger	0.953	mibegħda
hateful	anger	0.940	mibegħda
terrorize	anger	0.939	terrorize
violently	anger	0.938	vjolenti
infuriated	anger	0.938	irrabjat
furious	anger	0.929	furjuż
furiously	anger	0.927	furiously
enraged	anger	0.927	irrabjat
screwyou	anger	0.924	Mur tnejjek
murderer	anger	0.922	qattiel
fury	anger	0.922	fury
execution	anger	0.917	eżekuzzjoni
angered	anger	0.916	irrabjat
savagery	anger	0.915	savagery
slaughtering	anger	0.914	qtil
veryangry	anger	0.913	irrabjat ħafna
assassinate	anger	0.912	joqtol
annihilation	anger	0.912	annihilation
fuckoff	anger	0.912	fuckoff
rage	anger	0.911	rabja
loathe	anger	0.909	iddejjaq
fucktard	anger	0.906	fucktard
roadrage	anger	0.906	roadrage
damnation	anger	0.906	damnazzjoni
homicidal	anger	0.906	omiċidju
furor	anger	0.900	furur
hostile	anger	0.898	ostili
annihilate	anger	0.898	annihilate
murder	anger	0.897	qtil
raging	anger	0.896	raging
sopissed	anger	0.894	sopissed
infuriates	anger	0.894	tferraħ
pissed	anger	0.894	pissed
rape	anger	0.894	stupru
ferocious	anger	0.894	feroċi
vengeful	anger	0.894	vendikattiv
obliterated	anger	0.894	imħassar
explosive	anger	0.894	splussiv
killing	anger	0.893	qtil
combative	anger	0.891	ġlieda
vengeance	anger	0.886	vendetta
gofuckyourself	anger	0.886	gofuckyourself
torment	anger	0.885	turment
wrath	anger	0.885	rabja
vicious	anger	0.884	vizzjuż
massacre	anger	0.882	massakru
threatening	anger	0.882	thedded
abhorrent	anger	0.875	mistkerr
bloodthirsty	anger	0.875	għatxan tad-demm
pissoff	anger	0.875	pissoff
fighting	anger	0.868	ġlied
attacking	anger	0.865	jattakkaw
annihilated	anger	0.865	annihilat
angriest	anger	0.864	l-aktar irrabjata
bloodshed	anger	0.864	tixrid tad-demm
smite	anger	0.862	smite
brawl	anger	0.861	ġlied
malicious	anger	0.859	malizzjuż
assassination	anger	0.859	qtil
strangle	anger	0.859	strangle
hostility	anger	0.859	ostilità
assault	anger	0.859	attakk
explode	anger	0.859	tisplodi
tirade	anger	0.859	tirata
loathsome	anger	0.857	mimli
hell	anger	0.853	infern
murderous	anger	0.853	qattiel
attack	anger	0.853	attakk
malice	anger	0.852	malizzja
terrorism	anger	0.851	terroriżmu
beating	anger	0.849	swat
outrage	anger	0.848	għajb
desecration	anger	0.848	profanazzjoni
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	jeqirdu
slaughter	anger	0.844	qatla
irate	anger	0.844	irate
violent	anger	0.844	vjolenti
stab	anger	0.844	sikkina
abomination	anger	0.844	abominazzjoni
tumultuous	anger	0.844	tumultuous
infuriate	anger	0.844	irrabja
obliterate	anger	0.843	iħassar
belligerent	anger	0.841	belliġerant
dumbbitch	anger	0.841	dumbbitch
detest	anger	0.838	iddetesta
hostilities	anger	0.837	ostilitajiet
prick	anger	0.835	prick
rampage	anger	0.833	sfawra
horrid	anger	0.833	orribbli
cruelty	anger	0.833	moħqrija
torture	anger	0.833	tortura
rabid	anger	0.833	rabid
despicable	anger	0.828	jistmellu
tyrannical	anger	0.828	tiraniku
demonic	anger	0.828	demoniku
satanic	anger	0.828	sataniku
hate	anger	0.828	mibegħda
ragemode	anger	0.828	ragemode
hating	anger	0.828	mibegħda
ruinous	anger	0.825	ruinous
condemn	anger	0.825	tikkundanna
riots	anger	0.824	irvellijiet
demolish	anger	0.824	twaqqa’
angry	anger	0.824	rrabjata
extermination	anger	0.824	sterminazzjoni
dickhead	anger	0.824	dickhead
livid	anger	0.821	livid
madman	anger	0.820	ġenn
vindictive	anger	0.819	vendikattiv
terrorist	anger	0.818	terroristiku
threaten	anger	0.818	jheddu
venomous	anger	0.818	velenuż
hateyou	anger	0.818	nobogħdok
ferocity	anger	0.818	feroċità
effyou	anger	0.818	effyou
