English Word	Emotion	Emotion-Intensity-Score	Maori Word
outraged	anger	0.964	riri
brutality	anger	0.959	nanakia
hatred	anger	0.953	mauahara
hateful	anger	0.940	mauahara
terrorize	anger	0.939	whakawetiweti
violently	anger	0.938	tutu
infuriated	anger	0.938	riri
furious	anger	0.929	riri
furiously	anger	0.927	riri rawa
enraged	anger	0.927	riri
screwyou	anger	0.924	whakapouri koe
murderer	anger	0.922	kohuru
fury	anger	0.922	riri
execution	anger	0.917	te whakamatenga
angered	anger	0.916	riri
savagery	anger	0.915	mohoao
slaughtering	anger	0.914	patupatu
veryangry	anger	0.913	tino riri
assassinate	anger	0.912	kohuru
annihilation	anger	0.912	whakamomori
fuckoff	anger	0.912	tangata
rage	anger	0.911	riri
loathe	anger	0.909	whakarihariha
fucktard	anger	0.906	poauau
roadrage	anger	0.906	roadrage
damnation	anger	0.906	whakatara
homicidal	anger	0.906	kohuru
furor	anger	0.900	weriweri
hostile	anger	0.898	whakakino
annihilate	anger	0.898	whakangaro
murder	anger	0.897	kohuru
raging	anger	0.896	riri ana
sopissed	anger	0.894	whakapouri
infuriates	anger	0.894	whakapataritari
pissed	anger	0.894	kua riri
rape	anger	0.894	raupatu
ferocious	anger	0.894	taikaha
vengeful	anger	0.894	ngaki
obliterated	anger	0.894	murua
explosive	anger	0.894	pahū
killing	anger	0.893	kohuru
combative	anger	0.891	whawhai
vengeance	anger	0.886	te ngaki
gofuckyourself	anger	0.886	whakapouri i a koe ano
torment	anger	0.885	whakamamae
wrath	anger	0.885	riri
vicious	anger	0.884	nanakia
massacre	anger	0.882	kohuru
threatening	anger	0.882	whakatuma
abhorrent	anger	0.875	whakarihariha
bloodthirsty	anger	0.875	matewai toto
pissoff	anger	0.875	pissoff
fighting	anger	0.868	whawhai
attacking	anger	0.865	whakaeke
annihilated	anger	0.865	whakamotitia
angriest	anger	0.864	tino riri
bloodshed	anger	0.864	whakaheke toto
smite	anger	0.862	patuki
brawl	anger	0.861	ngangau
malicious	anger	0.859	kino
assassination	anger	0.859	kohuru
strangle	anger	0.859	whakawiri
hostility	anger	0.859	te mauahara
assault	anger	0.859	huaki
explode	anger	0.859	pahū
tirade	anger	0.859	whakakino
loathsome	anger	0.857	whakarihariha
hell	anger	0.853	reinga
murderous	anger	0.853	kohuru
attack	anger	0.853	whakaeke
malice	anger	0.852	kino
terrorism	anger	0.851	whakawetiweti
beating	anger	0.849	patupatu
outrage	anger	0.848	riri
desecration	anger	0.848	whakakino
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	whakangaro
slaughter	anger	0.844	kohuru
irate	anger	0.844	riri
violent	anger	0.844	tutu
stab	anger	0.844	wero
abomination	anger	0.844	mea whakarihariha
tumultuous	anger	0.844	ngangau
infuriate	anger	0.844	whakapataritari
obliterate	anger	0.843	whakakorea
belligerent	anger	0.841	ngangau
dumbbitch	anger	0.841	wahangu
detest	anger	0.838	whakarihariha
hostilities	anger	0.837	riri
prick	anger	0.835	wero
rampage	anger	0.833	ngangau
horrid	anger	0.833	whakamataku
cruelty	anger	0.833	nanakia
torture	anger	0.833	whakamamae
rabid	anger	0.833	nanakia
despicable	anger	0.828	whakahāwea
tyrannical	anger	0.828	nanakia
demonic	anger	0.828	rewera
satanic	anger	0.828	Hatana
hate	anger	0.828	mauahara
ragemode	anger	0.828	ahua riri
hating	anger	0.828	te mauahara
ruinous	anger	0.825	whakakino
condemn	anger	0.825	whakahengia
riots	anger	0.824	ngangau
demolish	anger	0.824	turaki
angry	anger	0.824	riri
extermination	anger	0.824	whakamomori
dickhead	anger	0.824	karekau
livid	anger	0.821	riri
madman	anger	0.820	haurangi
vindictive	anger	0.819	ngahuru
terrorist	anger	0.818	kaiwhakatuma
threaten	anger	0.818	whakatuma
venomous	anger	0.818	kawa
hateyou	anger	0.818	kino ki a koe
ferocity	anger	0.818	taikaha
effyou	anger	0.818	koe
abhor	anger	0.816	whakarihariha
carnage	anger	0.814	kohuru
savage	anger	0.814	mohoao
atrocity	anger	0.814	mahi nanakia
fucksake	anger	0.812	takakau
abuse	anger	0.812	tūkino
fierce	anger	0.812	taikaha
destroyer	anger	0.812	kaiwhakangaro
angrytweet	anger	0.812	angrytweet
barbaric	anger	0.812	tauhou
vendetta	anger	0.812	ngangau
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	whakapouri
tyrant	anger	0.812	nanakia
berserk	anger	0.812	whakapouri
fuming	anger	0.812	weriweri
anger	anger	0.811	riri
pieceofshit	anger	0.810	pieceofshit
punched	anger	0.803	werohia
punching	anger	0.803	patupatua
slam	anger	0.803	pakia
homicide	anger	0.803	kohuru
bitch	anger	0.803	uwha
fights	anger	0.803	whawhai
ruthless	anger	0.797	nanakia
villainous	anger	0.797	kino
destructive	anger	0.797	whakakino
slap	anger	0.791	pakipaki
riot	anger	0.788	ngangau
growthefuckup	anger	0.788	tipuranga
punishing	anger	0.788	whakawhiu
slaughterhouse	anger	0.788	whare patu
yelling	anger	0.788	tangi
diabolical	anger	0.788	rewera
destroyed	anger	0.788	whakahoroa
ragetweet	anger	0.788	ririweewe
retaliatory	anger	0.788	whakawhiu
manslaughter	anger	0.783	kohuru
clash	anger	0.783	taupatupatu
quarrel	anger	0.781	ngangare
bloody	anger	0.781	toto
hellish	anger	0.781	reinga
sinister	anger	0.781	kino
loath	anger	0.781	weriweri
detonation	anger	0.781	pahūtanga
accusing	anger	0.779	whakapae
fumin	anger	0.779	humene
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	tinihanga
madder	anger	0.773	haurangi
horrific	anger	0.773	whakamataku
revulsion	anger	0.773	whakatakariri
retaliate	anger	0.773	te utu
scorn	anger	0.769	whakahi
bomb	anger	0.766	poma
deplorable	anger	0.766	whakapouri
devastation	anger	0.765	whakangaromanga
anarchist	anger	0.765	anarchist
firestorm	anger	0.765	awha ahi
resent	anger	0.765	whakapouri
contemptible	anger	0.764	whakahāwea
shittest	anger	0.760	tino kino
rant	anger	0.758	tangi
cruel	anger	0.758	nanakia
deadly	anger	0.758	whakamate
smash	anger	0.758	pakaru
soangry	anger	0.758	karekau
outburst	anger	0.757	pupuhi
snarl	anger	0.754	ngongo
profane	anger	0.750	poke
revolting	anger	0.750	whakakeke
aggravating	anger	0.750	whakararu
horror	anger	0.750	whakamataku
despise	anger	0.750	whakahāwea
offend	anger	0.750	whakakino
stfu	anger	0.750	stfu
vulgarity	anger	0.750	whakakino
crazed	anger	0.750	porangi
douchebags	anger	0.750	pukoro
growling	anger	0.750	e tangi ana
dontmesswithme	anger	0.750	kaua e raru ki ahau
screaming	anger	0.742	te hamama
threat	anger	0.742	whakatuma
erupt	anger	0.742	pahū
horrible	anger	0.742	whakamataku
molestation	anger	0.742	whakakino
fuckedoff	anger	0.742	karekau
violence	anger	0.742	tutu
bastards	anger	0.741	poriro
revenge	anger	0.738	te utu
menacing	anger	0.735	whakamataku
crushing	anger	0.735	kuru
damn	anger	0.735	whakatara
catastrophe	anger	0.735	aitua
demon	anger	0.735	rewera
argue	anger	0.734	tautohe
persecute	anger	0.734	whakatoia
deplore	anger	0.734	pouri
flog	anger	0.734	whiu
fedup	anger	0.734	whakapouri
riotous	anger	0.734	ngangau
vehement	anger	0.734	kaha
revolt	anger	0.734	whakakeke
warfare	anger	0.734	whawhai
thrash	anger	0.734	whiu
altercation	anger	0.729	taupatupatu
warlike	anger	0.728	ahua whawhai
shitday	anger	0.727	porangi
mutiny	anger	0.727	whakakeke
castrate	anger	0.727	kātahi
sabotage	anger	0.727	whakawetiweti
