English Word	Emotion	Emotion-Intensity-Score	Marathi Word
outraged	anger	0.964	नाराज
brutality	anger	0.959	क्रूरता
hatred	anger	0.953	द्वेष
hateful	anger	0.940	द्वेषपूर्ण
terrorize	anger	0.939	दहशत करणे
violently	anger	0.938	हिंसकपणे
infuriated	anger	0.938	संतप्त
furious	anger	0.929	संताप
furiously	anger	0.927	रागाने
enraged	anger	0.927	संतप्त
screwyou	anger	0.924	स्क्रू यू
murderer	anger	0.922	खुनी
fury	anger	0.922	राग
execution	anger	0.917	अंमलबजावणी
angered	anger	0.916	संतप्त
savagery	anger	0.915	क्रूरता
slaughtering	anger	0.914	कत्तल
veryangry	anger	0.913	खूप राग
assassinate	anger	0.912	हत्या करणे
annihilation	anger	0.912	उच्चाटन
fuckoff	anger	0.912	संभोग
rage	anger	0.911	राग
loathe	anger	0.909	तिरस्कार
fucktard	anger	0.906	फक्टार्ड
roadrage	anger	0.906	रोडरेज
damnation	anger	0.906	शाप
homicidal	anger	0.906	हत्या
furor	anger	0.900	संताप
hostile	anger	0.898	विरोधी
annihilate	anger	0.898	नायनाट करणे
murder	anger	0.897	खून
raging	anger	0.896	रॅगिंग
sopissed	anger	0.894	खोडकर
infuriates	anger	0.894	चिडवतो
pissed	anger	0.894	चिडलेले
rape	anger	0.894	बलात्कार
ferocious	anger	0.894	उग्र
vengeful	anger	0.894	सूड घेणारा
obliterated	anger	0.894	नष्ट केले
explosive	anger	0.894	स्फोटक
killing	anger	0.893	हत्या
combative	anger	0.891	लढाऊ
vengeance	anger	0.886	सूड
gofuckyourself	anger	0.886	स्वत: ला मूर्ख
torment	anger	0.885	यातना
wrath	anger	0.885	क्रोध
vicious	anger	0.884	लबाडीचा
massacre	anger	0.882	हत्याकांड
threatening	anger	0.882	धमकी देणे
abhorrent	anger	0.875	घृणास्पद
bloodthirsty	anger	0.875	रक्तपिपासू
pissoff	anger	0.875	पिसऑफ
fighting	anger	0.868	लढाई
attacking	anger	0.865	हल्ला करणे
annihilated	anger	0.865	नष्ट केले
angriest	anger	0.864	संतप्त
bloodshed	anger	0.864	रक्तपात
smite	anger	0.862	मारणे
brawl	anger	0.861	भांडण
malicious	anger	0.859	दुर्भावनापूर्ण
assassination	anger	0.859	हत्या
strangle	anger	0.859	गळा दाबणे
hostility	anger	0.859	शत्रुत्व
assault	anger	0.859	हल्ला
explode	anger	0.859	एकदम बाहेर पडणे
tirade	anger	0.859	tirade
loathsome	anger	0.857	घृणास्पद
hell	anger	0.853	नरक
murderous	anger	0.853	खूनी
attack	anger	0.853	हल्ला
malice	anger	0.852	द्वेष
terrorism	anger	0.851	दहशतवाद
beating	anger	0.849	मारहाण
outrage	anger	0.848	आक्रोश
desecration	anger	0.848	अपवित्रीकरण
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	नष्ट करणे
slaughter	anger	0.844	कत्तल
irate	anger	0.844	संताप
violent	anger	0.844	हिंसक
stab	anger	0.844	वार
abomination	anger	0.844	घृणास्पद
tumultuous	anger	0.844	गोंधळ
infuriate	anger	0.844	चिडवणे
obliterate	anger	0.843	नष्ट करणे
belligerent	anger	0.841	भांडखोर
dumbbitch	anger	0.841	डंबबिच
detest	anger	0.838	तिरस्कार
hostilities	anger	0.837	शत्रुत्व
prick	anger	0.835	टोचणे
rampage	anger	0.833	भडकावणे
horrid	anger	0.833	भयंकर
cruelty	anger	0.833	क्रूरता
torture	anger	0.833	छळ
rabid	anger	0.833	वेडसर
despicable	anger	0.828	घृणास्पद
tyrannical	anger	0.828	अत्याचारी
demonic	anger	0.828	राक्षसी
satanic	anger	0.828	सैतानी
hate	anger	0.828	द्वेष
ragemode	anger	0.828	ragemode
hating	anger	0.828	द्वेष
ruinous	anger	0.825	उध्वस्त
condemn	anger	0.825	निषेध
riots	anger	0.824	दंगल
demolish	anger	0.824	पाडणे
angry	anger	0.824	राग
extermination	anger	0.824	संहार
dickhead	anger	0.824	डिकहेड
livid	anger	0.821	जीवंत
madman	anger	0.820	वेडा
vindictive	anger	0.819	बदला घेणारा
terrorist	anger	0.818	दहशतवादी
threaten	anger	0.818	धमकी देणे
venomous	anger	0.818	विषारी
hateyou	anger	0.818	तुझा तिरस्कार
ferocity	anger	0.818	क्रूरता
effyou	anger	0.818	effyou
abhor	anger	0.816	तिरस्कार
carnage	anger	0.814	नरसंहार
savage	anger	0.814	जंगली
atrocity	anger	0.814	अत्याचार
fucksake	anger	0.812	संभोग
abuse	anger	0.812	गैरवर्तन
fierce	anger	0.812	भयंकर
destroyer	anger	0.812	विनाशक
angrytweet	anger	0.812	संतप्त ट्विट
barbaric	anger	0.812	रानटी
vendetta	anger	0.812	सूडबुद्धी
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	नाराज
tyrant	anger	0.812	जुलमी
berserk	anger	0.812	निडर
fuming	anger	0.812	धुमसणे
anger	anger	0.811	राग
pieceofshit	anger	0.810	तुकडा
punched	anger	0.803	मुक्का मारला
punching	anger	0.803	मुक्का मारणे
slam	anger	0.803	स्लॅम
homicide	anger	0.803	हत्या
bitch	anger	0.803	कुत्री
fights	anger	0.803	मारामारी
ruthless	anger	0.797	निर्दयी
villainous	anger	0.797	खलनायक
destructive	anger	0.797	विध्वंसक
slap	anger	0.791	थप्पड
riot	anger	0.788	दंगा
growthefuckup	anger	0.788	वाढ
punishing	anger	0.788	शिक्षा करणे
slaughterhouse	anger	0.788	कत्तलखाना
yelling	anger	0.788	ओरडणे
diabolical	anger	0.788	शैतानी
destroyed	anger	0.788	नष्ट
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	बदला घेणारा
manslaughter	anger	0.783	हत्या
clash	anger	0.783	संघर्ष
quarrel	anger	0.781	भांडण
bloody	anger	0.781	रक्तरंजित
hellish	anger	0.781	नरक
sinister	anger	0.781	भयंकर
loath	anger	0.781	तिरस्कार
detonation	anger	0.781	विस्फोट
accusing	anger	0.779	आरोप करणे
fumin	anger	0.779	फ्युमिन
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	विश्वासघातकी
