English Word	Emotion	Emotion-Intensity-Score	Mongolian Word
outraged	anger	0.964	уурласан
brutality	anger	0.959	харгислал
hatred	anger	0.953	үзэн ядалт
hateful	anger	0.940	үзэн ядсан
terrorize	anger	0.939	айдас төрүүлэх
violently	anger	0.938	хүчирхийллээр
infuriated	anger	0.938	уурласан
furious	anger	0.929	ууртай
furiously	anger	0.927	ууртайгаар
enraged	anger	0.927	уурласан
screwyou	anger	0.924	новш
murderer	anger	0.922	алуурчин
fury	anger	0.922	уур хилэн
execution	anger	0.917	гүйцэтгэл
angered	anger	0.916	уурласан
savagery	anger	0.915	зэрлэг байдал
slaughtering	anger	0.914	нядалгаа
veryangry	anger	0.913	үнэхээр ууртай
assassinate	anger	0.912	алах
annihilation	anger	0.912	устгах
fuckoff	anger	0.912	новш
rage	anger	0.911	уур хилэн
loathe	anger	0.909	жигших
fucktard	anger	0.906	новш
roadrage	anger	0.906	замын хөдөлгөөн
damnation	anger	0.906	хараал
homicidal	anger	0.906	аллага
furor	anger	0.900	уур хилэн
hostile	anger	0.898	дайсагнасан
annihilate	anger	0.898	устгах
murder	anger	0.897	аллага
raging	anger	0.896	уурлаж байна
sopissed	anger	0.894	уйтгартай
infuriates	anger	0.894	уурлуулдаг
pissed	anger	0.894	уурласан
rape	anger	0.894	хүчиндэх
ferocious	anger	0.894	догшин
vengeful	anger	0.894	өс хонзонтой
obliterated	anger	0.894	устгасан
explosive	anger	0.894	тэсрэх бодис
killing	anger	0.893	алах
combative	anger	0.891	тэмцэгч
vengeance	anger	0.886	өс хонзон
gofuckyourself	anger	0.886	өөрийгөө хуур
torment	anger	0.885	тарчлал
wrath	anger	0.885	уур хилэн
vicious	anger	0.884	харгис
massacre	anger	0.882	аллага
threatening	anger	0.882	заналхийлж байна
abhorrent	anger	0.875	жигшүүртэй
bloodthirsty	anger	0.875	цуст
pissoff	anger	0.875	уурлах
fighting	anger	0.868	тулалдаж байна
attacking	anger	0.865	довтолж байна
annihilated	anger	0.865	устгасан
angriest	anger	0.864	хамгийн ууртай
bloodshed	anger	0.864	цус урсгасан
smite	anger	0.862	цохих
brawl	anger	0.861	зодоон
malicious	anger	0.859	хорлонтой
assassination	anger	0.859	аллага
strangle	anger	0.859	боомилох
hostility	anger	0.859	дайсагнал
assault	anger	0.859	дайралт
explode	anger	0.859	дэлбэрэх
tirade	anger	0.859	бухимдал
loathsome	anger	0.857	зэвүүн
hell	anger	0.853	там
murderous	anger	0.853	алуурчин
attack	anger	0.853	дайралт
malice	anger	0.852	хорон санаа
terrorism	anger	0.851	терроризм
beating	anger	0.849	зодох
outrage	anger	0.848	уур хилэн
desecration	anger	0.848	гутаан доромжлол
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	устгах
slaughter	anger	0.844	нядалгаа
irate	anger	0.844	уурлах
violent	anger	0.844	хүчирхийлэлтэй
stab	anger	0.844	хутгалах
abomination	anger	0.844	жигшүүрт зүйл
tumultuous	anger	0.844	үймээн самуунтай
infuriate	anger	0.844	уурлах
obliterate	anger	0.843	устгах
belligerent	anger	0.841	дайчин
dumbbitch	anger	0.841	тэнэг
detest	anger	0.838	жигшдэг
hostilities	anger	0.837	дайсагнал
prick	anger	0.835	хатгах
rampage	anger	0.833	дайралт
horrid	anger	0.833	аймшигтай
cruelty	anger	0.833	харгислал
torture	anger	0.833	эрүү шүүлт
rabid	anger	0.833	галзуу
despicable	anger	0.828	жигшүүртэй
tyrannical	anger	0.828	дарангуйлагч
demonic	anger	0.828	чөтгөр
satanic	anger	0.828	сатанист
hate	anger	0.828	үзэн ядах
ragemode	anger	0.828	ragemode
hating	anger	0.828	үзэн ядах
ruinous	anger	0.825	сүйрсэн
condemn	anger	0.825	буруушаах
riots	anger	0.824	үймээн самуун
demolish	anger	0.824	нураах
angry	anger	0.824	ууртай
extermination	anger	0.824	устгах
dickhead	anger	0.824	новш
livid	anger	0.821	уйтгартай
madman	anger	0.820	галзуу хүн
vindictive	anger	0.819	өс хонзонтой
terrorist	anger	0.818	террорист
threaten	anger	0.818	заналхийлэх
venomous	anger	0.818	хортой
hateyou	anger	0.818	үзэн ядаж байна
ferocity	anger	0.818	харгислал
effyou	anger	0.818	эфф чи
abhor	anger	0.816	жигших
carnage	anger	0.814	аллага
savage	anger	0.814	зэрлэг
atrocity	anger	0.814	харгислал
fucksake	anger	0.812	новш
abuse	anger	0.812	хүчирхийлэл
fierce	anger	0.812	догшин
destroyer	anger	0.812	устгагч
angrytweet	anger	0.812	angrytweet
