English Word	Emotion	Emotion-Intensity-Score	Norwegian Word
outraged	anger	0.964	rasende
brutality	anger	0.959	brutalitet
hatred	anger	0.953	hat
hateful	anger	0.940	hatefull
terrorize	anger	0.939	terrorisere
violently	anger	0.938	voldelig
infuriated	anger	0.938	rasende
furious	anger	0.929	rasende
furiously	anger	0.927	rasende
enraged	anger	0.927	rasende
screwyou	anger	0.924	drit deg
murderer	anger	0.922	morder
fury	anger	0.922	raseri
execution	anger	0.917	henrettelse
angered	anger	0.916	sint
savagery	anger	0.915	villskap
slaughtering	anger	0.914	slakting
veryangry	anger	0.913	veldig sint
assassinate	anger	0.912	myrde
annihilation	anger	0.912	utslettelse
fuckoff	anger	0.912	faen
rage	anger	0.911	raseri
loathe	anger	0.909	avsky
fucktard	anger	0.906	jævla
roadrage	anger	0.906	roadrage
damnation	anger	0.906	fordømmelse
homicidal	anger	0.906	morderisk
furor	anger	0.900	furor
hostile	anger	0.898	fiendtlig
annihilate	anger	0.898	utslette
murder	anger	0.897	mord
raging	anger	0.896	rasende
sopissed	anger	0.894	tullete
infuriates	anger	0.894	rasende
pissed	anger	0.894	forbannet
rape	anger	0.894	voldtekt
ferocious	anger	0.894	glupsk
vengeful	anger	0.894	hevngjerrig
obliterated	anger	0.894	utslettet
explosive	anger	0.894	eksplosiv
killing	anger	0.893	drap
combative	anger	0.891	stridbar
vengeance	anger	0.886	hevn
gofuckyourself	anger	0.886	knulle deg selv
torment	anger	0.885	pine
wrath	anger	0.885	vrede
vicious	anger	0.884	ond
massacre	anger	0.882	massakre
threatening	anger	0.882	truende
abhorrent	anger	0.875	avskyelig
bloodthirsty	anger	0.875	blodtørstig
pissoff	anger	0.875	pisoff
fighting	anger	0.868	slåss
attacking	anger	0.865	angripende
annihilated	anger	0.865	utslettet
angriest	anger	0.864	sinteste
bloodshed	anger	0.864	blodsutgytelse
smite	anger	0.862	slå
brawl	anger	0.861	slåsskamp
malicious	anger	0.859	ondsinnet
assassination	anger	0.859	attentat
strangle	anger	0.859	kvele
hostility	anger	0.859	fiendtlighet
assault	anger	0.859	overfall
explode	anger	0.859	eksplodere
tirade	anger	0.859	tirade
loathsome	anger	0.857	avskyelig
hell	anger	0.853	helvete
murderous	anger	0.853	morderisk
attack	anger	0.853	angrep
malice	anger	0.852	ondskapsfullhet
terrorism	anger	0.851	terrorisme
beating	anger	0.849	slår
outrage	anger	0.848	raseri
desecration	anger	0.848	vanhelligelse
pissingmeoff	anger	0.848	gjør meg forbanna
destroying	anger	0.844	ødelegger
slaughter	anger	0.844	slakte
irate	anger	0.844	rasende
violent	anger	0.844	voldelig
stab	anger	0.844	stikke
abomination	anger	0.844	vederstyggelighet
tumultuous	anger	0.844	tumultarisk
infuriate	anger	0.844	gjøre rasende
obliterate	anger	0.843	utslette
belligerent	anger	0.841	Fiendtlig
dumbbitch	anger	0.841	dum
detest	anger	0.838	avsky
hostilities	anger	0.837	fiendtligheter
prick	anger	0.835	stikk
