English Word	Emotion	Emotion-Intensity-Score	Odia Word
outraged	anger	0.964	କ୍ରୋଧିତ
brutality	anger	0.959	ଅତ୍ୟାଚାର
hatred	anger	0.953	ଘୃଣା
hateful	anger	0.940	ଘୃଣ୍ୟ
terrorize	anger	0.939	ଆତଙ୍କିତ କର |
violently	anger	0.938	ହିଂସାତ୍ମକ ଭାବରେ
infuriated	anger	0.938	କ୍ରୋଧିତ
furious	anger	0.929	କ୍ରୋଧିତ
furiously	anger	0.927	କ୍ରୋଧରେ
enraged	anger	0.927	କ୍ରୋଧିତ
screwyou	anger	0.924	screwyou
murderer	anger	0.922	ହତ୍ୟାକାରୀ
fury	anger	0.922	କ୍ରୋଧ
execution	anger	0.917	ନିଷ୍ପାଦନ
angered	anger	0.916	କ୍ରୋଧିତ |
savagery	anger	0.915	ସାଂଘାତିକତା |
slaughtering	anger	0.914	ବଧ
veryangry	anger	0.913	ବହୁତ
assassinate	anger	0.912	ହତ୍ୟା
annihilation	anger	0.912	ବିନାଶ
fuckoff	anger	0.912	fuckoff
rage	anger	0.911	ରାଗ
loathe	anger	0.909	ଘୃଣା
fucktard	anger	0.906	fucktard
roadrage	anger	0.906	ରାସ୍ତା
damnation	anger	0.906	ଅଭିଶାପ
homicidal	anger	0.906	ହତ୍ୟା
furor	anger	0.900	କ୍ରୋଧ
hostile	anger	0.898	ଶତ୍ରୁ
annihilate	anger	0.898	ବିନାଶ କର |
murder	anger	0.897	ହତ୍ୟା
raging	anger	0.896	କ୍ରୋଧ
sopissed	anger	0.894	sopissed
infuriates	anger	0.894	କ୍ରୋଧିତ
pissed	anger	0.894	ପିସ୍
rape	anger	0.894	ବଳାତ୍କାର
ferocious	anger	0.894	ଭୟଙ୍କର
vengeful	anger	0.894	ପ୍ରତିଶୋଧପରାୟଣ
obliterated	anger	0.894	ବିଲୋପ
explosive	anger	0.894	ବିସ୍ଫୋରକ |
killing	anger	0.893	ହତ୍ୟା
combative	anger	0.891	ଯୁଗ୍ମ
vengeance	anger	0.886	ପ୍ରତିଶୋଧ
gofuckyourself	anger	0.886	gofuckyourself
torment	anger	0.885	ଯନ୍ତ୍ରଣା
wrath	anger	0.885	କ୍ରୋଧ
vicious	anger	0.884	ଦୁଷ୍ଟ
massacre	anger	0.882	ହତ୍ୟା
threatening	anger	0.882	ଧମକ
abhorrent	anger	0.875	ଘୃଣ୍ୟ
