English Word	Emotion	Emotion-Intensity-Score	Polish Word
outraged	anger	0.964	oburzony
brutality	anger	0.959	brutalność
hatred	anger	0.953	nienawiść
hateful	anger	0.940	nienawistny
terrorize	anger	0.939	terroryzować
violently	anger	0.938	gwałtownie
infuriated	anger	0.938	wściekły
furious	anger	0.929	wściekły
furiously	anger	0.927	wściekle
enraged	anger	0.927	rozwścieczony
screwyou	anger	0.924	Wal się
murderer	anger	0.922	morderca
fury	anger	0.922	Furia
execution	anger	0.917	wykonanie
angered	anger	0.916	rozgniewany
savagery	anger	0.915	dzikość
slaughtering	anger	0.914	ubój
veryangry	anger	0.913	bardzo zły
assassinate	anger	0.912	dokonać zamachu
annihilation	anger	0.912	unicestwienie
fuckoff	anger	0.912	odpierdolić się
rage	anger	0.911	wściekłość
loathe	anger	0.909	brzydzić
fucktard	anger	0.906	pierdolić
roadrage	anger	0.906	przewóz
damnation	anger	0.906	potępienie
homicidal	anger	0.906	morderczy
furor	anger	0.900	furora
hostile	anger	0.898	wrogi
annihilate	anger	0.898	zniszczyć
murder	anger	0.897	morderstwo
raging	anger	0.896	wściekły
sopissed	anger	0.894	wkurzony
infuriates	anger	0.894	wkurza
pissed	anger	0.894	zalany
rape	anger	0.894	rzepak
ferocious	anger	0.894	srogi
vengeful	anger	0.894	mściwy
obliterated	anger	0.894	zatarte
explosive	anger	0.894	materiał wybuchowy
killing	anger	0.893	zabicie
combative	anger	0.891	wojowniczy
vengeance	anger	0.886	zemsta
gofuckyourself	anger	0.886	popierdol się
torment	anger	0.885	dręczyć
wrath	anger	0.885	gniew
vicious	anger	0.884	podstępny
massacre	anger	0.882	masakra
threatening	anger	0.882	groźny
abhorrent	anger	0.875	odrażający
bloodthirsty	anger	0.875	krwiożerczy
pissoff	anger	0.875	odwal się
fighting	anger	0.868	walczący
attacking	anger	0.865	napadający
annihilated	anger	0.865	unicestwiony
angriest	anger	0.864	najbardziej wściekły
bloodshed	anger	0.864	rozlew krwi
smite	anger	0.862	porazić
brawl	anger	0.861	bijatyka
malicious	anger	0.859	złośliwy
assassination	anger	0.859	zamach
strangle	anger	0.859	udusić
hostility	anger	0.859	wrogość
assault	anger	0.859	napaść
explode	anger	0.859	eksplodować
tirade	anger	0.859	tyrada
loathsome	anger	0.857	odrażający
hell	anger	0.853	piekło
murderous	anger	0.853	morderczy
attack	anger	0.853	atak
malice	anger	0.852	złośliwość
terrorism	anger	0.851	terroryzm
beating	anger	0.849	bicie
outrage	anger	0.848	skandal
desecration	anger	0.848	profanacja
pissingmeoff	anger	0.848	wkurza mnie
destroying	anger	0.844	niszcząc
slaughter	anger	0.844	ubój
irate	anger	0.844	zirytowany
violent	anger	0.844	brutalny
stab	anger	0.844	zasztyletować
abomination	anger	0.844	wstręt
tumultuous	anger	0.844	zgiełkliwy
infuriate	anger	0.844	rozwścieczyć
obliterate	anger	0.843	wymazać
