English Word	Emotion	Emotion-Intensity-Score	Portuguese Word
outraged	anger	0.964	indignado
brutality	anger	0.959	brutalidade
hatred	anger	0.953	ódio
hateful	anger	0.940	odioso
terrorize	anger	0.939	aterrorizar
violently	anger	0.938	violentamente
infuriated	anger	0.938	enfurecido
furious	anger	0.929	furioso
furiously	anger	0.927	furiosamente
enraged	anger	0.927	enfurecido
screwyou	anger	0.924	Dane-se
murderer	anger	0.922	assassino
fury	anger	0.922	fúria
execution	anger	0.917	execução
angered	anger	0.916	irritado
savagery	anger	0.915	selvageria
slaughtering	anger	0.914	abate
veryangry	anger	0.913	muito bravo
assassinate	anger	0.912	assassinar
annihilation	anger	0.912	aniquilação
fuckoff	anger	0.912	foda-se
rage	anger	0.911	fúria
loathe	anger	0.909	detestar
fucktard	anger	0.906	filho da puta
roadrage	anger	0.906	Estrada Violenta
damnation	anger	0.906	condenação
homicidal	anger	0.906	homicida
furor	anger	0.900	furor
hostile	anger	0.898	hostil
annihilate	anger	0.898	aniquilar
murder	anger	0.897	assassinato
raging	anger	0.896	furioso
sopissed	anger	0.894	tão irritado
infuriates	anger	0.894	enfurece
pissed	anger	0.894	chateado
rape	anger	0.894	estupro
ferocious	anger	0.894	feroz
vengeful	anger	0.894	vingativo
obliterated	anger	0.894	obliterado
explosive	anger	0.894	explosivo
killing	anger	0.893	matando
combative	anger	0.891	combativo
vengeance	anger	0.886	vingança
gofuckyourself	anger	0.886	foda-se
torment	anger	0.885	tormento
wrath	anger	0.885	fúria
vicious	anger	0.884	vicioso
massacre	anger	0.882	massacre
threatening	anger	0.882	ameaçador
abhorrent	anger	0.875	abominável
bloodthirsty	anger	0.875	sanguinário
pissoff	anger	0.875	não me chateies
fighting	anger	0.868	brigando
attacking	anger	0.865	atacante
annihilated	anger	0.865	aniquilado
angriest	anger	0.864	mais raivoso
bloodshed	anger	0.864	derramamento de sangue
smite	anger	0.862	desbaratar
brawl	anger	0.861	briga
malicious	anger	0.859	malicioso
assassination	anger	0.859	assassinato
strangle	anger	0.859	estrangular
hostility	anger	0.859	hostilidade
assault	anger	0.859	assalto
explode	anger	0.859	explodir
tirade	anger	0.859	discurso
loathsome	anger	0.857	repugnante
hell	anger	0.853	inferno
murderous	anger	0.853	assassino
attack	anger	0.853	ataque
malice	anger	0.852	malícia
terrorism	anger	0.851	terrorismo
beating	anger	0.849	espancamento
outrage	anger	0.848	ultraje
desecration	anger	0.848	profanação
pissingmeoff	anger	0.848	me irritando
destroying	anger	0.844	destruindo
slaughter	anger	0.844	abate
irate	anger	0.844	irado
violent	anger	0.844	violento
stab	anger	0.844	punhalada
abomination	anger	0.844	abominação
tumultuous	anger	0.844	tumultuoso
infuriate	anger	0.844	enfurecer
obliterate	anger	0.843	obliterar
belligerent	anger	0.841	beligerante
dumbbitch	anger	0.841	idiota
detest	anger	0.838	detestar
hostilities	anger	0.837	hostilidades
prick	anger	0.835	picada
rampage	anger	0.833	tumulto
horrid	anger	0.833	horrível
cruelty	anger	0.833	crueldade
torture	anger	0.833	tortura
rabid	anger	0.833	raivoso
despicable	anger	0.828	desprezível
tyrannical	anger	0.828	tirânico
demonic	anger	0.828	demoníaco
satanic	anger	0.828	satânico
hate	anger	0.828	odiar
ragemode	anger	0.828	modo furioso
hating	anger	0.828	odiando
ruinous	anger	0.825	ruinoso
condemn	anger	0.825	condenar
riots	anger	0.824	motins
demolish	anger	0.824	demolir
angry	anger	0.824	Bravo
extermination	anger	0.824	extermínio
dickhead	anger	0.824	idiota
livid	anger	0.821	lívido
madman	anger	0.820	louco
vindictive	anger	0.819	vingativo
terrorist	anger	0.818	terrorista
threaten	anger	0.818	ameaçar
venomous	anger	0.818	venenoso
hateyou	anger	0.818	odeio você
ferocity	anger	0.818	ferocidade
effyou	anger	0.818	effou
abhor	anger	0.816	abominar
carnage	anger	0.814	carnificina
savage	anger	0.814	selvagem
