English Word	Emotion	Emotion-Intensity-Score	Punjabi Word
outraged	anger	0.964	ਨਾਰਾਜ਼
brutality	anger	0.959	ਬੇਰਹਿਮੀ
hatred	anger	0.953	ਨਫ਼ਰਤ
hateful	anger	0.940	ਨਫ਼ਰਤ ਭਰਿਆ
terrorize	anger	0.939	ਦਹਿਸ਼ਤ
violently	anger	0.938	ਹਿੰਸਕ ਤੌਰ 'ਤੇ
infuriated	anger	0.938	ਗੁੱਸੇ
furious	anger	0.929	ਗੁੱਸੇ
furiously	anger	0.927	ਗੁੱਸੇ ਨਾਲ
enraged	anger	0.927	ਗੁੱਸੇ
screwyou	anger	0.924	ਬਾੜ੍ਹ ਵਿੱਚ ਜਾਓ
murderer	anger	0.922	ਕਾਤਲ
fury	anger	0.922	ਕਹਿਰ
execution	anger	0.917	ਐਗਜ਼ੀਕਿਊਸ਼ਨ
angered	anger	0.916	ਗੁੱਸੇ
savagery	anger	0.915	ਬੇਰਹਿਮੀ
slaughtering	anger	0.914	ਕਤਲ
veryangry	anger	0.913	ਬਹੁਤ ਗੁੱਸੇ
assassinate	anger	0.912	ਕਤਲ
annihilation	anger	0.912	ਵਿਨਾਸ਼
fuckoff	anger	0.912	fuckoff
rage	anger	0.911	ਗੁੱਸਾ
loathe	anger	0.909	ਨਫ਼ਰਤ
fucktard	anger	0.906	fucktard
roadrage	anger	0.906	ਰੋਡਰੇਜ
damnation	anger	0.906	ਨਿੰਦਿਆ
homicidal	anger	0.906	ਕਤਲੇਆਮ
furor	anger	0.900	ਗੁੱਸਾ
hostile	anger	0.898	ਵਿਰੋਧੀ
annihilate	anger	0.898	ਖ਼ਤਮ ਕਰਨਾ
murder	anger	0.897	ਕਤਲ
raging	anger	0.896	ਗੁੱਸਾ
sopissed	anger	0.894	ਗੁੰਝਲਦਾਰ
infuriates	anger	0.894	ਗੁੱਸੇ
pissed	anger	0.894	ਪਰੇਸ਼ਾਨ
rape	anger	0.894	ਬਲਾਤਕਾਰ
ferocious	anger	0.894	ਭਿਆਨਕ
vengeful	anger	0.894	ਬਦਲਾ ਲੈਣ ਵਾਲਾ
obliterated	anger	0.894	ਮਿਟਾ ਦਿੱਤਾ
explosive	anger	0.894	ਵਿਸਫੋਟਕ
killing	anger	0.893	ਕਤਲ
combative	anger	0.891	ਜੁਝਾਰੂ
vengeance	anger	0.886	ਬਦਲਾ
gofuckyourself	anger	0.886	ਆਪਣੇ ਆਪ ਨੂੰ gofucky
torment	anger	0.885	ਤਸੀਹੇ
wrath	anger	0.885	ਗੁੱਸਾ
vicious	anger	0.884	ਵਹਿਸ਼ੀ
massacre	anger	0.882	ਕਤਲੇਆਮ
threatening	anger	0.882	ਧਮਕੀ
abhorrent	anger	0.875	ਘਿਣਾਉਣੀ
bloodthirsty	anger	0.875	ਖੂਨ ਦੇ ਪਿਆਸੇ
pissoff	anger	0.875	ਦਫਾ ਹੋ
fighting	anger	0.868	ਲੜਾਈ
attacking	anger	0.865	ਹਮਲਾ ਕਰਨਾ
annihilated	anger	0.865	ਤਬਾਹ ਕਰ ਦਿੱਤਾ
angriest	anger	0.864	ਗੁੱਸੇ ਵਿੱਚ
bloodshed	anger	0.864	ਖੂਨ-ਖਰਾਬਾ
smite	anger	0.862	ਮਾਰੋ
brawl	anger	0.861	ਝਗੜਾ
malicious	anger	0.859	ਖਤਰਨਾਕ
assassination	anger	0.859	ਕਤਲ
strangle	anger	0.859	ਗਲਾ ਘੁੱਟਣਾ
hostility	anger	0.859	ਦੁਸ਼ਮਣੀ
assault	anger	0.859	ਹਮਲਾ
explode	anger	0.859	ਵਿਸਫੋਟ
tirade	anger	0.859	tirade
loathsome	anger	0.857	ਘਿਣਾਉਣੀ
hell	anger	0.853	ਨਰਕ
murderous	anger	0.853	ਕਾਤਲਾਨਾ
attack	anger	0.853	ਹਮਲਾ
malice	anger	0.852	ਬੁਰਾਈ
terrorism	anger	0.851	ਅੱਤਵਾਦ
beating	anger	0.849	ਕੁੱਟਣਾ
outrage	anger	0.848	ਗੁੱਸਾ
desecration	anger	0.848	ਅਪਵਿੱਤਰ
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	ਤਬਾਹ ਕਰ ਰਿਹਾ ਹੈ
slaughter	anger	0.844	ਕਤਲ
irate	anger	0.844	ਗੁੱਸੇ
violent	anger	0.844	ਹਿੰਸਕ
stab	anger	0.844	ਛੁਰਾ
abomination	anger	0.844	ਘਿਣਾਉਣੀ
tumultuous	anger	0.844	ਗੜਬੜ
infuriate	anger	0.844	ਗੁੱਸੇ ਕਰਨਾ
obliterate	anger	0.843	ਮਿਟਾ ਦੇਣਾ
belligerent	anger	0.841	ਜੁਝਾਰੂ
dumbbitch	anger	0.841	ਡੰਬੀਚ
detest	anger	0.838	ਨਫ਼ਰਤ
hostilities	anger	0.837	ਦੁਸ਼ਮਣੀ
prick	anger	0.835	ਚੁਭਣਾ
rampage	anger	0.833	ਭੜਕਾਹਟ
horrid	anger	0.833	ਭਿਆਨਕ
cruelty	anger	0.833	ਬੇਰਹਿਮੀ
torture	anger	0.833	ਤਸ਼ੱਦਦ
rabid	anger	0.833	ਪਾਗਲ
despicable	anger	0.828	ਘਿਣਾਉਣੀ
tyrannical	anger	0.828	ਜ਼ਾਲਮ
demonic	anger	0.828	ਸ਼ੈਤਾਨੀ
satanic	anger	0.828	ਸ਼ੈਤਾਨੀ
hate	anger	0.828	ਨਫ਼ਰਤ
ragemode	anger	0.828	ragemode
hating	anger	0.828	ਨਫ਼ਰਤ
ruinous	anger	0.825	ਵਿਨਾਸ਼ਕਾਰੀ
condemn	anger	0.825	ਨਿੰਦਾ
riots	anger	0.824	ਦੰਗੇ
demolish	anger	0.824	ਢਾਹੁਣਾ
angry	anger	0.824	ਗੁੱਸੇ
extermination	anger	0.824	ਬਰਬਾਦੀ
dickhead	anger	0.824	ਡਿਕਹੈੱਡ
livid	anger	0.821	ਜੀਵੰਤ
madman	anger	0.820	ਪਾਗਲ
vindictive	anger	0.819	ਬਦਲਾ ਲੈਣ ਵਾਲਾ
terrorist	anger	0.818	ਅੱਤਵਾਦੀ
threaten	anger	0.818	ਧਮਕੀ
venomous	anger	0.818	ਜ਼ਹਿਰੀਲੇ
hateyou	anger	0.818	ਤੁਹਾਥੋਂ ਨਫਰਤ ਹੈ
ferocity	anger	0.818	ਭਿਆਨਕਤਾ
effyou	anger	0.818	effyou
abhor	anger	0.816	ਨਫ਼ਰਤ
carnage	anger	0.814	ਕਤਲੇਆਮ
savage	anger	0.814	ਜੰਗਲੀ
atrocity	anger	0.814	ਅੱਤਿਆਚਾਰ
fucksake	anger	0.812	fucksake
abuse	anger	0.812	ਦੁਰਵਿਵਹਾਰ
