English Word	Emotion	Emotion-Intensity-Score	Romanian Word
outraged	anger	0.964	revoltat
brutality	anger	0.959	brutalitate
hatred	anger	0.953	ură
hateful	anger	0.940	odios
terrorize	anger	0.939	teroriza
violently	anger	0.938	violent
infuriated	anger	0.938	înfuriat
furious	anger	0.929	furios
furiously	anger	0.927	cu furie
enraged	anger	0.927	înfuriat
screwyou	anger	0.924	du-te dracului
murderer	anger	0.922	criminal
fury	anger	0.922	furie
execution	anger	0.917	execuţie
angered	anger	0.916	supărat
savagery	anger	0.915	sălbăticie
slaughtering	anger	0.914	sacrificarea
veryangry	anger	0.913	foarte supărat
assassinate	anger	0.912	asasina
annihilation	anger	0.912	anihilare
fuckoff	anger	0.912	la naiba
rage	anger	0.911	furie
loathe	anger	0.909	detesta
fucktard	anger	0.906	dracului
roadrage	anger	0.906	roadrage
damnation	anger	0.906	damnare
homicidal	anger	0.906	ucigaș
furor	anger	0.900	furori
hostile	anger	0.898	ostil
annihilate	anger	0.898	anihila
murder	anger	0.897	crimă
raging	anger	0.896	furios
sopissed	anger	0.894	sopatat
infuriates	anger	0.894	înfurie
pissed	anger	0.894	supărat
rape	anger	0.894	viol
ferocious	anger	0.894	feroce
vengeful	anger	0.894	răzbunător
obliterated	anger	0.894	şterse
explosive	anger	0.894	exploziv
killing	anger	0.893	ucidere
combative	anger	0.891	combativ
vengeance	anger	0.886	răzbunare
gofuckyourself	anger	0.886	merge-te la naiba
torment	anger	0.885	chin
wrath	anger	0.885	mânie
vicious	anger	0.884	vicios
massacre	anger	0.882	masacru
threatening	anger	0.882	amenintatoare
abhorrent	anger	0.875	dezgustător
bloodthirsty	anger	0.875	însetat de sânge
pissoff	anger	0.875	pisoff
fighting	anger	0.868	luptă
attacking	anger	0.865	atacând
annihilated	anger	0.865	anihilate
angriest	anger	0.864	cel mai supărat
bloodshed	anger	0.864	vărsare de sânge
smite	anger	0.862	lovi
brawl	anger	0.861	certa
malicious	anger	0.859	răutăcios
assassination	anger	0.859	asasinat
strangle	anger	0.859	sugruma
hostility	anger	0.859	ostilitate
assault	anger	0.859	asalt
explode	anger	0.859	exploda
tirade	anger	0.859	tiradă
loathsome	anger	0.857	dezgustătoare
hell	anger	0.853	iad
murderous	anger	0.853	criminală
attack	anger	0.853	atac
malice	anger	0.852	răutate
terrorism	anger	0.851	terorism
beating	anger	0.849	bătaie
outrage	anger	0.848	ultraj
desecration	anger	0.848	profanare
pissingmeoff	anger	0.848	ma enerveaza
destroying	anger	0.844	distrugând
slaughter	anger	0.844	sacrificarea
irate	anger	0.844	iritat
violent	anger	0.844	violent
stab	anger	0.844	înjunghia
abomination	anger	0.844	urâciune
tumultuous	anger	0.844	tumultuoasă
infuriate	anger	0.844	înfuria
obliterate	anger	0.843	şterge
belligerent	anger	0.841	beligerant
dumbbitch	anger	0.841	prost
detest	anger	0.838	detesta
hostilities	anger	0.837	ostilități
prick	anger	0.835	înţepătură
rampage	anger	0.833	ieşire violentă
horrid	anger	0.833	oribil
cruelty	anger	0.833	cruzime
torture	anger	0.833	tortura
rabid	anger	0.833	turbat
despicable	anger	0.828	josnic
tyrannical	anger	0.828	tiranic
demonic	anger	0.828	demonic
satanic	anger	0.828	satanic
hate	anger	0.828	ură
ragemode	anger	0.828	Modul furios
hating	anger	0.828	urând
ruinous	anger	0.825	ruinatoare
condemn	anger	0.825	condamna
riots	anger	0.824	revolte
demolish	anger	0.824	demola
angry	anger	0.824	furios
extermination	anger	0.824	exterminare
dickhead	anger	0.824	nebun
livid	anger	0.821	livid
madman	anger	0.820	nebun
vindictive	anger	0.819	răzbunător
terrorist	anger	0.818	terorist
threaten	anger	0.818	a ameninta
venomous	anger	0.818	veninos
hateyou	anger	0.818	te urasc
ferocity	anger	0.818	ferocitate
effyou	anger	0.818	effyou
abhor	anger	0.816	detesta
carnage	anger	0.814	măcel
savage	anger	0.814	sălbatic
atrocity	anger	0.814	atrocitate
fucksake	anger	0.812	dracului
abuse	anger	0.812	abuz
fierce	anger	0.812	feroce
destroyer	anger	0.812	distrugător
angrytweet	anger	0.812	angrytweet
barbaric	anger	0.812	barbar
vendetta	anger	0.812	răzbunare
pissesmeoff	anger	0.812	ma enerveaza
pissedoff	anger	0.812	enervat
tyrant	anger	0.812	tiran
berserk	anger	0.812	înnebunit
fuming	anger	0.812	fumegând
anger	anger	0.811	furie
pieceofshit	anger	0.810	bucată de rahat
punched	anger	0.803	pocnit
punching	anger	0.803	lovirea cu pumnii
slam	anger	0.803	trânti
homicide	anger	0.803	omucidere
bitch	anger	0.803	căţea
fights	anger	0.803	lupte
ruthless	anger	0.797	nemilos
villainous	anger	0.797	mizerabil
destructive	anger	0.797	distructiv
slap	anger	0.791	palmă
riot	anger	0.788	revoltă
growthefuckup	anger	0.788	growefuckup
punishing	anger	0.788	pedepsirea
slaughterhouse	anger	0.788	abator
yelling	anger	0.788	ţipând
diabolical	anger	0.788	diabolic
destroyed	anger	0.788	distrus
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	represalii
manslaughter	anger	0.783	omor prin imprudenţă
clash	anger	0.783	ciocnire
quarrel	anger	0.781	ceartă
bloody	anger	0.781	sângeros
hellish	anger	0.781	infernal
sinister	anger	0.781	sinistru
loath	anger	0.781	detesta
detonation	anger	0.781	detonaţie
accusing	anger	0.779	acuzând
fumin	anger	0.779	fumin
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	perfid
madder	anger	0.773	roibă
horrific	anger	0.773	îngrozitor
revulsion	anger	0.773	repulsie
retaliate	anger	0.773	răzbuna
scorn	anger	0.769	dispreţ
bomb	anger	0.766	bombă
deplorable	anger	0.766	deplorabil
devastation	anger	0.765	devastare
anarchist	anger	0.765	anarhist
firestorm	anger	0.765	furtună de foc
resent	anger	0.765	supărat
contemptible	anger	0.764	dispreţuitor
shittest	anger	0.760	cel mai rahat
rant	anger	0.758	declama
cruel	anger	0.758	crud
deadly	anger	0.758	mortal
smash	anger	0.758	lovitura
soangry	anger	0.758	atat de furios
outburst	anger	0.757	izbucnire
snarl	anger	0.754	mârâit
profane	anger	0.750	profan
revolting	anger	0.750	revoltător
aggravating	anger	0.750	agravante
horror	anger	0.750	groază
despise	anger	0.750	dispreţui
offend	anger	0.750	jignesc
stfu	anger	0.750	stfu
vulgarity	anger	0.750	vulgaritate
crazed	anger	0.750	înnebunit
douchebags	anger	0.750	prostii
growling	anger	0.750	mârâind
dontmesswithme	anger	0.750	nu te încurca cu mine
screaming	anger	0.742	țipând
threat	anger	0.742	amenințare
erupt	anger	0.742	erupe
horrible	anger	0.742	oribil
molestation	anger	0.742	molestare
fuckedoff	anger	0.742	la dracu
violence	anger	0.742	violenţă
bastards	anger	0.741	nenorociţi
revenge	anger	0.738	răzbunare
menacing	anger	0.735	ameninţător
crushing	anger	0.735	strivire
damn	anger	0.735	La naiba
catastrophe	anger	0.735	catastrofă
demon	anger	0.735	demon
argue	anger	0.734	argumentează
persecute	anger	0.734	persecuta
