English Word	Emotion	Emotion-Intensity-Score	Russian Word
outraged	anger	0.964	возмущенный
brutality	anger	0.959	жестокость
hatred	anger	0.953	ненависть
hateful	anger	0.940	ненавистный
terrorize	anger	0.939	терроризировать
violently	anger	0.938	яростно
infuriated	anger	0.938	взбешенный
furious	anger	0.929	яростный
furiously	anger	0.927	яростно
enraged	anger	0.927	разъяренный
screwyou	anger	0.924	пошел вон
murderer	anger	0.922	убийца
fury	anger	0.922	ярость
execution	anger	0.917	исполнение
angered	anger	0.916	рассерженный
savagery	anger	0.915	дикость
slaughtering	anger	0.914	забой
veryangry	anger	0.913	очень злой
assassinate	anger	0.912	убить
annihilation	anger	0.912	уничтожение
fuckoff	anger	0.912	отъебись
rage	anger	0.911	ярость
loathe	anger	0.909	ненавижу
fucktard	anger	0.906	ублюдок
roadrage	anger	0.906	дорожная агрессия
damnation	anger	0.906	проклятие
homicidal	anger	0.906	убийственный
furor	anger	0.900	фурор
hostile	anger	0.898	враждебный
annihilate	anger	0.898	уничтожить
murder	anger	0.897	убийство
raging	anger	0.896	бушующий
sopissed	anger	0.894	пьяный
infuriates	anger	0.894	бесит
pissed	anger	0.894	разозлился
rape	anger	0.894	изнасилование
ferocious	anger	0.894	свирепый
vengeful	anger	0.894	мстительный
obliterated	anger	0.894	уничтожен
explosive	anger	0.894	взрывной
killing	anger	0.893	убийство
combative	anger	0.891	боевой
vengeance	anger	0.886	месть
gofuckyourself	anger	0.886	иди на хуй
torment	anger	0.885	мучить
wrath	anger	0.885	гнев
vicious	anger	0.884	беспощадный
massacre	anger	0.882	резня
threatening	anger	0.882	угрожающий
abhorrent	anger	0.875	отвратительный
bloodthirsty	anger	0.875	кровожадный
pissoff	anger	0.875	разозлить
fighting	anger	0.868	борьба
attacking	anger	0.865	атакующий
annihilated	anger	0.865	уничтожен
angriest	anger	0.864	самый злой
bloodshed	anger	0.864	кровопролитие
smite	anger	0.862	поразить
brawl	anger	0.861	драка
malicious	anger	0.859	злонамеренный
assassination	anger	0.859	убийство
strangle	anger	0.859	задушить
hostility	anger	0.859	враждебность
assault	anger	0.859	атаковать
explode	anger	0.859	взорваться
tirade	anger	0.859	тирада
loathsome	anger	0.857	отвратительный
hell	anger	0.853	ад
murderous	anger	0.853	убийственный
attack	anger	0.853	атака
malice	anger	0.852	злоба
terrorism	anger	0.851	терроризм
beating	anger	0.849	избиение
outrage	anger	0.848	возмущение
desecration	anger	0.848	осквернение
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	разрушающий
slaughter	anger	0.844	бойня
irate	anger	0.844	разгневанный
violent	anger	0.844	жестокий
stab	anger	0.844	наносить удар
abomination	anger	0.844	мерзость
tumultuous	anger	0.844	бурный
infuriate	anger	0.844	бесить
obliterate	anger	0.843	уничтожить
belligerent	anger	0.841	воинственный
dumbbitch	anger	0.841	тупица
detest	anger	0.838	ненавижу
hostilities	anger	0.837	боевые действия
prick	anger	0.835	уколоть
rampage	anger	0.833	неистовство
horrid	anger	0.833	ужасный
cruelty	anger	0.833	жестокость
torture	anger	0.833	пытка
rabid	anger	0.833	бешеный
despicable	anger	0.828	презренный
tyrannical	anger	0.828	тиранический
demonic	anger	0.828	демонический
satanic	anger	0.828	сатанинский
hate	anger	0.828	ненавидеть
ragemode	anger	0.828	Режим ярость
hating	anger	0.828	ненавидящий
ruinous	anger	0.825	губительный
condemn	anger	0.825	осуждать
riots	anger	0.824	беспорядки
demolish	anger	0.824	разрушать
angry	anger	0.824	злой
extermination	anger	0.824	истребление
dickhead	anger	0.824	придурок
livid	anger	0.821	в ярости
madman	anger	0.820	сумасшедший
vindictive	anger	0.819	мстительный
terrorist	anger	0.818	террорист
threaten	anger	0.818	угрожать
venomous	anger	0.818	ядовитый
hateyou	anger	0.818	ненавижу тебя
ferocity	anger	0.818	свирепость
effyou	anger	0.818	эффу
abhor	anger	0.816	ненавидеть
carnage	anger	0.814	резня
savage	anger	0.814	дикий
atrocity	anger	0.814	зверство
fucksake	anger	0.812	пиздец
abuse	anger	0.812	злоупотреблять
fierce	anger	0.812	яростный
destroyer	anger	0.812	разрушитель
angrytweet	anger	0.812	гневный твит
barbaric	anger	0.812	варварский
vendetta	anger	0.812	вендетта
pissesmeoff	anger	0.812	бесит
pissedoff	anger	0.812	обозленный
tyrant	anger	0.812	тиран
berserk	anger	0.812	берсерк
fuming	anger	0.812	дымящийся
anger	anger	0.811	злость
pieceofshit	anger	0.810	кусок дерьма
punched	anger	0.803	пробитый
punching	anger	0.803	штамповка
slam	anger	0.803	хлопать
homicide	anger	0.803	убийство
bitch	anger	0.803	сука
fights	anger	0.803	бои
ruthless	anger	0.797	безжалостный
villainous	anger	0.797	злодейский
destructive	anger	0.797	разрушительный
slap	anger	0.791	шлепок
riot	anger	0.788	бунт
growthefuckup	anger	0.788	рост
punishing	anger	0.788	наказание
slaughterhouse	anger	0.788	скотобойня
yelling	anger	0.788	кричать
diabolical	anger	0.788	дьявольский
destroyed	anger	0.788	уничтожен
ragetweet	anger	0.788	гневный твит
retaliatory	anger	0.788	ответный
manslaughter	anger	0.783	непредумышленное убийство
clash	anger	0.783	столкновение
quarrel	anger	0.781	ссориться
bloody	anger	0.781	кровавый
hellish	anger	0.781	адский
sinister	anger	0.781	зловещий
loath	anger	0.781	отвращение
detonation	anger	0.781	детонация
accusing	anger	0.779	обвинение
fumin	anger	0.779	фумин
hateeee	anger	0.779	ненавижу
treacherous	anger	0.779	предательский
madder	anger	0.773	безумнее
horrific	anger	0.773	ужасный
revulsion	anger	0.773	отвращение
retaliate	anger	0.773	отомстить
scorn	anger	0.769	презрение
bomb	anger	0.766	бомбить
deplorable	anger	0.766	прискорбный
devastation	anger	0.765	опустошение
anarchist	anger	0.765	анархист
firestorm	anger	0.765	огненная буря
resent	anger	0.765	возмущаться
contemptible	anger	0.764	презренный
shittest	anger	0.760	самый дерьмовый
rant	anger	0.758	разглагольствовать
cruel	anger	0.758	жестокий
deadly	anger	0.758	смертельный
smash	anger	0.758	разгромить
soangry	anger	0.758	так зол
outburst	anger	0.757	вспышка
snarl	anger	0.754	рычать
profane	anger	0.750	нечестивый
revolting	anger	0.750	отвратительный
aggravating	anger	0.750	отягчающий
horror	anger	0.750	ужастик
despise	anger	0.750	презирать
offend	anger	0.750	обидеть
stfu	anger	0.750	стфу
vulgarity	anger	0.750	пошлость
crazed	anger	0.750	сумасшедший
douchebags	anger	0.750	придурки
growling	anger	0.750	рычание
dontmesswithme	anger	0.750	не связывайся со мной
screaming	anger	0.742	кричащий
threat	anger	0.742	угроза
erupt	anger	0.742	извергаться
horrible	anger	0.742	какой ужас
molestation	anger	0.742	приставание
fuckedoff	anger	0.742	пиздец
violence	anger	0.742	насилие
bastards	anger	0.741	ублюдки
revenge	anger	0.738	месть
menacing	anger	0.735	угрожающий
crushing	anger	0.735	сокрушительный
damn	anger	0.735	проклятие
catastrophe	anger	0.735	катастрофа
demon	anger	0.735	демон
argue	anger	0.734	спорить
persecute	anger	0.734	преследовать
deplore	anger	0.734	сожалеть
flog	anger	0.734	порка
fedup	anger	0.734	сытый по горло
riotous	anger	0.734	буйный
vehement	anger	0.734	страстный
revolt	anger	0.734	бунт
warfare	anger	0.734	военное дело
thrash	anger	0.734	трэш
altercation	anger	0.729	ссора
warlike	anger	0.728	воинственный
shitday	anger	0.727	день дерьма
mutiny	anger	0.727	мятеж
castrate	anger	0.727	кастрировать
sabotage	anger	0.727	саботаж
malevolent	anger	0.721	злобный
strike	anger	0.721	забастовка
disaster	anger	0.721	стихийное бедствие
disastrous	anger	0.720	катастрофический
bastarding	anger	0.719	незаконнорожденный
treachery	anger	0.719	предательство
arseholes	anger	0.719	жопы
horseshit	anger	0.719	фигня
slay	anger	0.719	убить
disdain	anger	0.719	презрение
aggravates	anger	0.719	усугубляет
brutal	anger	0.719	жестокий
scorching	anger	0.719	палящий
devil	anger	0.719	дьявол
madden	anger	0.719	сводить с ума
spiteful	anger	0.719	злобный
scream	anger	0.719	крик
choke	anger	0.719	удушение
vermin	anger	0.719	паразит
tumult	anger	0.719	суматоха
criminal	anger	0.714	уголовное
mangle	anger	0.714	калечить
anarchism	anger	0.714	анархизм
mutilation	anger	0.714	увечье
denunciation	anger	0.713	донос
punch	anger	0.713	ударить кулаком
virulence	anger	0.712	вирулентность
fatal	anger	0.712	фатальный
hurting	anger	0.712	больно
crucifixion	anger	0.712	распятие
dontlikeyou	anger	0.712	ты не нравишься
blasphemous	anger	0.712	богохульный
holocaust	anger	0.712	холокост
dumbasses	anger	0.712	тупицы
battled	anger	0.712	сражался
deranged	anger	0.706	ненормальный
irritated	anger	0.706	раздраженный
atrocious	anger	0.706	зверский
evil	anger	0.706	зло
aggravated	anger	0.703	усугубленный
intimidation	anger	0.703	запугивание
dicks	anger	0.703	члены
assassin	anger	0.703	убийца
scolding	anger	0.703	брань
persecution	anger	0.703	преследование
slayer	anger	0.703	убийца
kidnap	anger	0.703	похитить
aggression	anger	0.702	агрессия
armed	anger	0.700	вооруженный
battle	anger	0.697	боевой
poison	anger	0.697	яд
snarling	anger	0.697	рычание
venom	anger	0.697	яд
disgruntled	anger	0.693	недовольный
resentment	anger	0.691	негодование
assailant	anger	0.691	нападавший
insidious	anger	0.691	коварный
contemptuous	anger	0.690	презрительный
lynch	anger	0.690	линчевать
temper	anger	0.688	характер
terrible	anger	0.688	ужасный
disparage	anger	0.688	пренебрежение
lunatic	anger	0.688	сумасшедший
bully	anger	0.688	терроризировать
mad	anger	0.688	без ума
makesmemad	anger	0.688	заставляет меня сходить с ума
infanticide	anger	0.688	детоубийство
domination	anger	0.688	господство
peeved	anger	0.688	раздраженный
imprisonment	anger	0.688	тюремное заключение
curse	anger	0.688	проклинать
volatility	anger	0.687	волатильность
eradication	anger	0.685	искоренение
eradicate	anger	0.682	искоренить
tantrum	anger	0.682	истерика
scoundrel	anger	0.682	негодяй
devastate	anger	0.682	опустошать
aggressively	anger	0.680	агрессивно
agitation	anger	0.680	волнение
dictatorship	anger	0.676	диктатура
irritates	anger	0.676	раздражает
profanity	anger	0.673	ненормативная лексика
shove	anger	0.672	пихать
nasty	anger	0.672	противный
shot	anger	0.672	выстрелил
cruelly	anger	0.672	жестоко
shoot	anger	0.672	стрелять
condemnation	anger	0.672	осуждение
crushed	anger	0.672	раздавленный
aggravation	anger	0.672	обострение
poisonous	anger	0.672	ядовитый
egregious	anger	0.672	вопиющий
crime	anger	0.672	преступление
corrupting	anger	0.672	развращающий
dastardly	anger	0.672	подлый
contempt	anger	0.672	презрение
harmful	anger	0.672	вредный
expletive	anger	0.672	ругательство
wreak	anger	0.672	сеять
maniac	anger	0.670	маньяк
cutthroat	anger	0.667	головорез
enemy	anger	0.667	враг
hit	anger	0.667	хит
hateeveryone	anger	0.667	ненавижу всех
eruption	anger	0.667	извержение
irritable	anger	0.667	раздражительный
odious	anger	0.667	одиозный
shooting	anger	0.667	стрельба
shout	anger	0.667	кричать
aggressive	anger	0.667	агрессивный
kick	anger	0.667	пинать
combat	anger	0.667	бой
fight	anger	0.667	Борьба
punished	anger	0.662	наказан
yell	anger	0.661	кричать
ambush	anger	0.661	засада
harass	anger	0.659	беспокоить
malignant	anger	0.656	злокачественный
aggressor	anger	0.656	агрессор
gore	anger	0.656	кровь
destruction	anger	0.656	разрушение
grudge	anger	0.656	обида
antichrist	anger	0.656	антихрист
incense	anger	0.656	благовония
expel	anger	0.656	изгнать
cranky	anger	0.653	капризный
slave	anger	0.652	раб
reprisal	anger	0.652	возмездие
growl	anger	0.652	рычать
animosity	anger	0.652	враждебность
insurrection	anger	0.652	восстание
clashing	anger	0.652	столкновение
denounce	anger	0.652	денонсировать
offended	anger	0.652	обиженный
spank	anger	0.652	шлепать
insulting	anger	0.652	оскорбительный
growls	anger	0.649	рычит
executioner	anger	0.644	палач
twat	anger	0.644	пизда
doomsday	anger	0.643	конец света
obscenity	anger	0.641	непристойность
accused	anger	0.641	обвиняемый
feud	anger	0.641	вражда
daemon	anger	0.641	демон
havoc	anger	0.641	хаос
shackle	anger	0.641	кандалы
inexcusable	anger	0.641	непростительный
indignant	anger	0.641	возмущенный
grr	anger	0.641	грр
expulsion	anger	0.641	изгнание
bombard	anger	0.641	бомбардировать
spat	anger	0.641	плюнул
arson	anger	0.641	поджог
reprimand	anger	0.641	выговор
somad	anger	0.637	сомад
frustrated	anger	0.636	расстроенный
batter	anger	0.636	тесто
kicking	anger	0.636	ногами
anarchy	anger	0.636	анархия
spanking	anger	0.636	порка
glaring	anger	0.636	вопиющий
suicidal	anger	0.636	самоубийственный
disgusting	anger	0.636	отвратительный
wound	anger	0.636	ранить
hanging	anger	0.636	висит
poisoned	anger	0.636	отравлен
combatant	anger	0.636	комбатант
wrecked	anger	0.633	разбитый
inflict	anger	0.633	причинять
grievous	anger	0.632	тяжкий
prosecute	anger	0.630	преследовать в судебном порядке
agitated	anger	0.630	взволнованный
cheat	anger	0.630	изменять
swastika	anger	0.627	свастика
injure	anger	0.625	ранить
indict	anger	0.625	предъявить обвинение
scourge	anger	0.625	бич
provocation	anger	0.625	провокация
suffocation	anger	0.625	удушье
strife	anger	0.625	раздор
raid	anger	0.625	рейд
enslaved	anger	0.625	порабощенный
cursing	anger	0.625	проклятие
defamatory	anger	0.625	клеветнический
harassing	anger	0.625	беспокоящий
thundering	anger	0.625	гремящий
betray	anger	0.625	предавать
arsehole	anger	0.624	засранец
theft	anger	0.621	кража
insane	anger	0.621	безумный
retaliation	anger	0.621	возмездие
irritate	anger	0.621	раздражать
deprivation	anger	0.621	лишение
fiend	anger	0.621	злодей
jerk	anger	0.621	придурок
convict	anger	0.621	признать виновным
cussed	anger	0.619	ругался
turmoil	anger	0.618	смятение
smack	anger	0.615	хлопать
retribution	anger	0.614	возмездие
rebellion	anger	0.609	бунт
oppressor	anger	0.609	угнетатель
gang	anger	0.609	банда
slavery	anger	0.609	рабство
intolerable	anger	0.609	невыносимый
adverse	anger	0.609	неблагоприятный
injurious	anger	0.609	вредный
twats	anger	0.609	придурки
collision	anger	0.609	столкновение
battery	anger	0.609	батарея
bitterly	anger	0.609	горько
antagonism	anger	0.609	антагонизм
irritability	anger	0.609	раздражительность
disgraced	anger	0.608	опальный
diatribe	anger	0.606	обличительная речь
asshole	anger	0.606	Мудак
blast	anger	0.606	взрыв
bombardment	anger	0.606	бомбардировка
irks	anger	0.606	раздражает
ranting	anger	0.606	разглагольствовать
revolution	anger	0.606	революция
thug	anger	0.606	головорез
antagonistic	anger	0.606	антагонистический
irritating	anger	0.606	раздражающий
sickening	anger	0.606	тошнотворный
discrimination	anger	0.606	дискриминация
frustrate	anger	0.604	расстраивать
insult	anger	0.603	оскорблять
hurtful	anger	0.603	обидный
oppression	anger	0.603	угнетение
manipulation	anger	0.603	манипуляция
tiredofit	anger	0.603	устал от этого
bigot	anger	0.603	фанатик
tension	anger	0.603	напряжение
disgust	anger	0.602	отвращение
spite	anger	0.600	несмотря
intrusive	anger	0.598	навязчивый
harshness	anger	0.597	грубость
slur	anger	0.596	оскорбление
tempest	anger	0.594	буря
assail	anger	0.594	нападать
bitterness	anger	0.594	горечь
morbidity	anger	0.594	заболеваемость
casualty	anger	0.594	пострадавший
puncture	anger	0.594	прокол
miserable	anger	0.594	убогий
inferno	anger	0.594	ад
invasion	anger	0.594	вторжение
storming	anger	0.594	штурм
wretch	anger	0.594	негодяй
consternation	anger	0.592	ужас
raving	anger	0.591	бред
forcibly	anger	0.591	принудительно
guillotine	anger	0.591	гильотина
guilty	anger	0.591	виновный
depraved	anger	0.591	развратный
immoral	anger	0.591	аморальный
overpowering	anger	0.591	подавляющий
scare	anger	0.588	напугать
recalcitrant	anger	0.588	непокорный
screwed	anger	0.588	облажались
accursed	anger	0.588	проклятый
soannoyed	anger	0.588	так раздражен
invader	anger	0.588	захватчик
jealousy	anger	0.587	ревность
indignation	anger	0.587	возмущение
vexed	anger	0.586	раздосадованный
confront	anger	0.582	противостоять
brute	anger	0.581	грубый
throttle	anger	0.579	дроссель
slut	anger	0.578	шлюха
coup	anger	0.578	удачный ход
blaze	anger	0.578	пылать
pillage	anger	0.578	грабеж
provoking	anger	0.578	провоцирующий
damage	anger	0.578	наносить ущерб
criminality	anger	0.578	преступность
shutup	anger	0.578	замолчи
lash	anger	0.578	плеть
conflict	anger	0.578	конфликт
contentious	anger	0.578	спорный
shutit	anger	0.578	закрыть его
wreck	anger	0.578	крушение
defiant	anger	0.578	дерзкий
butcher	anger	0.578	мясник
incarceration	anger	0.578	заключение
revolver	anger	0.578	револьвер
bickering	anger	0.578	ссора
yousuck	anger	0.578	ты полный отстой
cancer	anger	0.577	рак
discriminate	anger	0.576	различать
gun	anger	0.576	пистолет
frustration	anger	0.576	разочарование
gory	anger	0.576	кровавый
pernicious	anger	0.576	пагубный
dontmess	anger	0.576	не путайся
blasphemy	anger	0.576	богохульство
chaotic	anger	0.576	хаотичный
grope	anger	0.576	нащупывать
alienation	anger	0.576	отчуждение
disturbance	anger	0.576	нарушение
condescension	anger	0.576	снисходительность
standoff	anger	0.576	противостояние
discord	anger	0.576	разлад
friggen	anger	0.575	мороз
sneer	anger	0.574	насмехаться
death	anger	0.574	смерть
lunacy	anger	0.574	безумие
scandalous	anger	0.574	скандальный
oppressive	anger	0.574	угнетающий
jab	anger	0.574	джеб
cursed	anger	0.574	проклятый
monstrosity	anger	0.574	чудовищность
shit	anger	0.573	дерьмо
disparaging	anger	0.571	пренебрежительный
slash	anger	0.571	косая черта
unfair	anger	0.571	несправедливый
gallows	anger	0.570	виселица
escalate	anger	0.569	обострять
intolerant	anger	0.564	нетерпимый
lawlessness	anger	0.563	беззаконие
beast	anger	0.562	зверь
torpedo	anger	0.562	торпеда
malign	anger	0.562	клеветать
traitor	anger	0.562	предатель
frightful	anger	0.562	ужасный
wrangling	anger	0.562	споры
slander	anger	0.562	клевета
bellows	anger	0.562	мехи
retards	anger	0.562	задерживает
grouchy	anger	0.562	ворчливый
derogatory	anger	0.562	уничижительный
bearish	anger	0.562	медвежий
invade	anger	0.562	вторгаться
perdition	anger	0.562	погибель
arghh	anger	0.562	ааа
dreadful	anger	0.562	ужасный
bluddy	anger	0.562	мутный
deceived	anger	0.562	обманутый
glare	anger	0.562	яркий свет
taunt	anger	0.562	дразнить
dissension	anger	0.561	раздор
cross	anger	0.561	Пересекать
rave	anger	0.561	бред
grating	anger	0.561	решетка
devastating	anger	0.561	разрушительный
fits	anger	0.561	подходит
jeopardize	anger	0.561	подвергать опасности
shatter	anger	0.561	разбить
idiots	anger	0.561	идиоты
hurt	anger	0.561	повредить
thief	anger	0.561	вор
uncontrollable	anger	0.561	неуправляемый
conflagration	anger	0.561	пожарище
betrayal	anger	0.561	предательство
banshee	anger	0.561	банши
subjugation	anger	0.559	подчинение
disturbed	anger	0.559	нарушенный
stomped	anger	0.557	растоптал
grab	anger	0.557	схватить
grievance	anger	0.556	обида
ticked	anger	0.556	галочка
masochism	anger	0.556	мазохизм
defiance	anger	0.552	неповиновение
blackmail	anger	0.550	шантажировать
offensive	anger	0.549	оскорбительный
decry	anger	0.548	порицать
frustrates	anger	0.547	расстраивает
violation	anger	0.547	нарушение
confine	anger	0.547	ограничивать
misery	anger	0.547	невзгоды
arghhhh	anger	0.547	ааааа
disparity	anger	0.547	несоответствие
punishment	anger	0.547	наказание
rebel	anger	0.547	бунтарь
preposterous	anger	0.547	нелепый
disgraceful	anger	0.547	постыдный
ire	anger	0.547	гнев
deceive	anger	0.547	обманывать
fustrated	anger	0.547	расстроенный
sin	anger	0.547	грех
shrill	anger	0.547	пронзительный
darkside	anger	0.547	темная сторона
overbearing	anger	0.547	властный
