English Word	Emotion	Emotion-Intensity-Score	Samoan Word
outraged	anger	0.964	ita
brutality	anger	0.959	sauā
hatred	anger	0.953	inoino
hateful	anger	0.940	inoino
terrorize	anger	0.939	fa'amata'u
violently	anger	0.938	sauā
infuriated	anger	0.938	ita tele
furious	anger	0.929	ita tele
furiously	anger	0.927	ita tele
enraged	anger	0.927	ita
screwyou	anger	0.924	make ai oe
murderer	anger	0.922	fasioti tagata
fury	anger	0.922	ita
execution	anger	0.917	fa'asalaga
angered	anger	0.916	ita
savagery	anger	0.915	saua
slaughtering	anger	0.914	fasia
veryangry	anger	0.913	ita tele
assassinate	anger	0.912	fasioti tagata
annihilation	anger	0.912	fa'aumatiaga
fuckoff	anger	0.912	fuckoff
rage	anger	0.911	ita
loathe	anger	0.909	'ino'ino
fucktard	anger	0.906	fucktard
roadrage	anger	0.906	aualadrage
damnation	anger	0.906	malaia
homicidal	anger	0.906	fasioti tagata
furor	anger	0.900	ita tele
hostile	anger	0.898	fa'aleaga
annihilate	anger	0.898	fa'aumatia
murder	anger	0.897	fasioti tagata
raging	anger	0.896	ita
sopissed	anger	0.894	fa'anoanoa
infuriates	anger	0.894	ua ita
pissed	anger	0.894	ita
rape	anger	0.894	toso teine
ferocious	anger	0.894	sauā
vengeful	anger	0.894	tauimasui
obliterated	anger	0.894	fa'aumatia
explosive	anger	0.894	mea pāpā
killing	anger	0.893	fasioti tagata
combative	anger	0.891	fa'atautau
vengeance	anger	0.886	tauimasui
gofuckyourself	anger	0.886	fuckyoe lava
torment	anger	0.885	puapuaga
wrath	anger	0.885	ita
vicious	anger	0.884	sauā
massacre	anger	0.882	fasiotiga tagata
threatening	anger	0.882	fa'amata'u
abhorrent	anger	0.875	inosia
bloodthirsty	anger	0.875	fia inu toto
pissoff	anger	0.875	kaoga ese
fighting	anger	0.868	taua
attacking	anger	0.865	osofa'i
annihilated	anger	0.865	fa'aumatia
angriest	anger	0.864	sili ona ita
bloodshed	anger	0.864	faamasaa toto
smite	anger	0.862	ta
brawl	anger	0.861	misa
malicious	anger	0.859	leaga
assassination	anger	0.859	fasioti tagata
strangle	anger	0.859	titina
hostility	anger	0.859	feitaga'i
assault	anger	0.859	osofa'iga
explode	anger	0.859	pa
tirade	anger	0.859	ulavale
loathsome	anger	0.857	inosia
hell	anger	0.853	seoli
murderous	anger	0.853	fasioti tagata
attack	anger	0.853	osofa'iga
malice	anger	0.852	loto leaga
terrorism	anger	0.851	faiga faatupu faalavelave
beating	anger	0.849	sasa
outrage	anger	0.848	ita
desecration	anger	0.848	fa'aleagaina
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	fa'aleagaina
slaughter	anger	0.844	fasia
irate	anger	0.844	ita
violent	anger	0.844	sauā
stab	anger	0.844	tui
abomination	anger	0.844	mea inosia
tumultuous	anger	0.844	vevesi
infuriate	anger	0.844	ita
obliterate	anger	0.843	fa'aumatia
belligerent	anger	0.841	misa
dumbbitch	anger	0.841	vale
detest	anger	0.838	inoino
hostilities	anger	0.837	taua
prick	anger	0.835	tui
rampage	anger	0.833	osooso
horrid	anger	0.833	mata'utia
cruelty	anger	0.833	sauā
torture	anger	0.833	sauaga
rabid	anger	0.833	fa'asā
despicable	anger	0.828	inosia
tyrannical	anger	0.828	sauā
demonic	anger	0.828	temoni
satanic	anger	0.828	faasatani
hate	anger	0.828	inoino
ragemode	anger	0.828	ita
hating	anger	0.828	inoino
ruinous	anger	0.825	fa'aleagaina
condemn	anger	0.825	fa'asalaina
riots	anger	0.824	vevesi
demolish	anger	0.824	soloia
angry	anger	0.824	ita
extermination	anger	0.824	fa'aumatiaga
dickhead	anger	0.824	ulu leaga
livid	anger	0.821	ita
madman	anger	0.820	tagata valea
vindictive	anger	0.819	taui ma sui
terrorist	anger	0.818	tagata faatupu faalavelave
threaten	anger	0.818	fa'amata'u
venomous	anger	0.818	oona
hateyou	anger	0.818	inoino ia te oe
ferocity	anger	0.818	sauā
effyou	anger	0.818	effyou
abhor	anger	0.816	'ino'ino
carnage	anger	0.814	fasiotiga tagata
savage	anger	0.814	feai
atrocity	anger	0.814	sauā
fucksake	anger	0.812	fucksake
abuse	anger	0.812	faatautala
fierce	anger	0.812	sauā
destroyer	anger	0.812	fa'aleaga
angrytweet	anger	0.812	angrytweet
barbaric	anger	0.812	fa'atauvalea
vendetta	anger	0.812	taui ma sui
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	alu ese ia
tyrant	anger	0.812	sauā
berserk	anger	0.812	fa'anoanoa
fuming	anger	0.812	aasa
anger	anger	0.811	ita
pieceofshit	anger	0.810	fasimeamea
punched	anger	0.803	tu'i
punching	anger	0.803	tu'i
slam	anger	0.803	slam
homicide	anger	0.803	fasioti tagata
bitch	anger	0.803	faife'au
fights	anger	0.803	fusuaga
ruthless	anger	0.797	sauā
villainous	anger	0.797	leaga
destructive	anger	0.797	fa'aleagaina
slap	anger	0.791	pati
riot	anger	0.788	vevesi
growthefuckup	anger	0.788	growthfuckup
punishing	anger	0.788	fa'asala
slaughterhouse	anger	0.788	fale fasimanu
yelling	anger	0.788	'e'e
diabolical	anger	0.788	fa'aleaga
destroyed	anger	0.788	fa'aumatia
ragetweet	anger	0.788	fa'aleagatweet
retaliatory	anger	0.788	tauimasui
manslaughter	anger	0.783	fasioti tagata
clash	anger	0.783	fete'ena'iga
quarrel	anger	0.781	misa
bloody	anger	0.781	toto
hellish	anger	0.781	seoli
sinister	anger	0.781	amio leaga
loath	anger	0.781	inoino
detonation	anger	0.781	pa'u
accusing	anger	0.779	molia
fumin	anger	0.779	fumin
hateeee	anger	0.779	itaeeee
treacherous	anger	0.779	fa'a'ole'ole
madder	anger	0.773	vale
horrific	anger	0.773	mata'utia
revulsion	anger	0.773	'ino'ino
retaliate	anger	0.773	taui ma sui
scorn	anger	0.769	tauemu
bomb	anger	0.766	pomu
deplorable	anger	0.766	fa'anoanoa
devastation	anger	0.765	faatafunaga
anarchist	anger	0.765	anarchist
firestorm	anger	0.765	afa afi
resent	anger	0.765	ita
contemptible	anger	0.764	inosia
shittest	anger	0.760	sili ona leaga
rant	anger	0.758	fa'amata'u
cruel	anger	0.758	sauā
deadly	anger	0.758	oti
smash	anger	0.758	tu'i
soangry	anger	0.758	fa'anoanoa
outburst	anger	0.757	osooso
snarl	anger	0.754	uē
profane	anger	0.750	leaga
revolting	anger	0.750	fouvale
aggravating	anger	0.750	fa'aleaga
horror	anger	0.750	mata'utia
despise	anger	0.750	inosia
offend	anger	0.750	faatiga
stfu	anger	0.750	stfu
vulgarity	anger	0.750	matagā
crazed	anger	0.750	valea
douchebags	anger	0.750	taga fa'ama'i
growling	anger	0.750	tagi
dontmesswithme	anger	0.750	aua le femisaa'i ma a'u
screaming	anger	0.742	'e'e
threat	anger	0.742	taufaamatau
erupt	anger	0.742	pa
horrible	anger	0.742	mata'utia
molestation	anger	0.742	fa'aleagaina
fuckedoff	anger	0.742	fuckedoff
violence	anger	0.742	sauaga
bastards	anger	0.741	tama'ita'i
revenge	anger	0.738	tauimasui
menacing	anger	0.735	taufaamata'u
crushing	anger	0.735	nutimomoia
damn	anger	0.735	malaia
catastrophe	anger	0.735	mala
demon	anger	0.735	temoni
argue	anger	0.734	finau
persecute	anger	0.734	sauāina
deplore	anger	0.734	fa'anoanoa
flog	anger	0.734	sasa
fedup	anger	0.734	ua fiu
riotous	anger	0.734	vevesi
vehement	anger	0.734	malosi
revolt	anger	0.734	fouvale
warfare	anger	0.734	taua
thrash	anger	0.734	sasa
altercation	anger	0.729	misa
warlike	anger	0.728	fa'a taua
shitday	anger	0.727	aso leaga
mutiny	anger	0.727	fouvalega
castrate	anger	0.727	tu'u
sabotage	anger	0.727	sabotage
malevolent	anger	0.721	leaga
strike	anger	0.721	taia
disaster	anger	0.721	mala
disastrous	anger	0.720	malaia
bastarding	anger	0.719	fa'atauvalea
treachery	anger	0.719	fa'a'ole'ole
arseholes	anger	0.719	faufau
horseshit	anger	0.719	'oti solofanua
slay	anger	0.719	fasioti
disdain	anger	0.719	'ino'ino
aggravates	anger	0.719	fa'aleaga
brutal	anger	0.719	sauā
scorching	anger	0.719	vevela
devil	anger	0.719	tiapolo
madden	anger	0.719	ita
spiteful	anger	0.719	loto ita
scream	anger	0.719	ee
choke	anger	0.719	latina
vermin	anger	0.719	mea leaga
tumult	anger	0.719	vevesi
criminal	anger	0.714	solitulafono
mangle	anger	0.714	mangle
anarchism	anger	0.714	anarchism
mutilation	anger	0.714	fa'aleagaina
denunciation	anger	0.713	fa'asalaina
punch	anger	0.713	tu'i
virulence	anger	0.712	fa'aleagaina
fatal	anger	0.712	oti
hurting	anger	0.712	tiga
crucifixion	anger	0.712	faasatauroga
dontlikeyou	anger	0.712	le fiafia ia te oe
blasphemous	anger	0.712	upu leaga
holocaust	anger	0.712	mūmū
dumbasses	anger	0.712	vale
battled	anger	0.712	tau
deranged	anger	0.706	fa'aletonu
irritated	anger	0.706	ita
atrocious	anger	0.706	mataga
evil	anger	0.706	leaga
aggravated	anger	0.703	fa'aleaga
intimidation	anger	0.703	fa'afefe
dicks	anger	0.703	titi
assassin	anger	0.703	fasioti tagata
scolding	anger	0.703	otegia
persecution	anger	0.703	sauaga
slayer	anger	0.703	fasioti tagata
kidnap	anger	0.703	ave faamalosi
aggression	anger	0.702	osofa'iga
armed	anger	0.700	faaauupegaina
battle	anger	0.697	taua
poison	anger	0.697	oona
snarling	anger	0.697	fa'afefete
venom	anger	0.697	oona
disgruntled	anger	0.693	le fiafia
resentment	anger	0.691	ita
assailant	anger	0.691	fa'asagatau
insidious	anger	0.691	taufaavalea
contemptuous	anger	0.690	fa'atauva'a
lynch	anger	0.690	lynch
temper	anger	0.688	ita
terrible	anger	0.688	mata'utia
disparage	anger	0.688	fa'atauva'a
lunatic	anger	0.688	valea
bully	anger	0.688	taufaaleaga
mad	anger	0.688	ita
makesmemad	anger	0.688	faiamemad
infanticide	anger	0.688	fasioti tagata
domination	anger	0.688	pulega
peeved	anger	0.688	ita
imprisonment	anger	0.688	falepuipui
curse	anger	0.688	fetuu
volatility	anger	0.687	volatility
eradication	anger	0.685	tafiesea
eradicate	anger	0.682	fa'aumatia
tantrum	anger	0.682	ita
scoundrel	anger	0.682	tagata ulavavale
devastate	anger	0.682	fa'aleaga
aggressively	anger	0.680	fa'amalosi
agitation	anger	0.680	vevesi
dictatorship	anger	0.676	fa'apulepulega
irritates	anger	0.676	fa'aita
profanity	anger	0.673	upu masoa
shove	anger	0.672	tulei
nasty	anger	0.672	leaga
shot	anger	0.672	fana
cruelly	anger	0.672	sauā
shoot	anger	0.672	fana
condemnation	anger	0.672	fa'asala
crushed	anger	0.672	nutimomoia
aggravation	anger	0.672	fa'aleaga
poisonous	anger	0.672	oona
egregious	anger	0.672	mata'utia
crime	anger	0.672	solitulafono
