English Word	Emotion	Emotion-Intensity-Score	Scots-Gaelic Word
outraged	anger	0.964	feargach
brutality	anger	0.959	brùidealachd
hatred	anger	0.953	fuath
hateful	anger	0.940	gràineil
terrorize	anger	0.939	uamhas
violently	anger	0.938	gu fòirneartach
infuriated	anger	0.938	borb
furious	anger	0.929	baoghalach
furiously	anger	0.927	gu feargach
enraged	anger	0.927	feargach
screwyou	anger	0.924	Falbh ‘s tarraing
murderer	anger	0.922	mortair
fury	anger	0.922	feirge
execution	anger	0.917	cur gu bàs
angered	anger	0.916	feargach
savagery	anger	0.915	saoth'rachd
slaughtering	anger	0.914	marbhadh
veryangry	anger	0.913	gu math feargach
assassinate	anger	0.912	marbhadh
annihilation	anger	0.912	sgrios
fuckoff	anger	0.912	fòghlum
rage	anger	0.911	boile
loathe	anger	0.909	gràin
fucktard	anger	0.906	fitheach
roadrage	anger	0.906	feirg
damnation	anger	0.906	damnadh
homicidal	anger	0.906	marbhadh
furor	anger	0.900	cràdh
hostile	anger	0.898	nàimhdeil
annihilate	anger	0.898	sgrios
murder	anger	0.897	murt
raging	anger	0.896	creachadh
sopissed	anger	0.894	sopisichte
infuriates	anger	0.894	infuriates
pissed	anger	0.894	pissed
rape	anger	0.894	èigneachadh
ferocious	anger	0.894	borb
vengeful	anger	0.894	dioghaltas
obliterated	anger	0.894	air a dhubhadh às
explosive	anger	0.894	spreadhach
killing	anger	0.893	marbhadh
combative	anger	0.891	sabaid
vengeance	anger	0.886	dìoghaltas
gofuckyourself	anger	0.886	goguck thu fhèin
torment	anger	0.885	cràdh
wrath	anger	0.885	feirg
vicious	anger	0.884	borb
massacre	anger	0.882	murt
threatening	anger	0.882	a' bagairt
abhorrent	anger	0.875	gràineil
bloodthirsty	anger	0.875	am pathadh
pissoff	anger	0.875	Falbh ‘s tarraing
fighting	anger	0.868	sabaid
attacking	anger	0.865	a' toirt ionnsaigh
annihilated	anger	0.865	air a chur às
angriest	anger	0.864	feargach
bloodshed	anger	0.864	dòrtadh fala
smite	anger	0.862	buail
brawl	anger	0.861	brawl
malicious	anger	0.859	droch-rùnach
assassination	anger	0.859	murt
strangle	anger	0.859	tachdadh
hostility	anger	0.859	naimhdeas
assault	anger	0.859	ionnsaigh
explode	anger	0.859	spreadhadh
tirade	anger	0.859	tirade
loathsome	anger	0.857	gràineil
hell	anger	0.853	ifrinn
murderous	anger	0.853	murrach
attack	anger	0.853	ionnsaigh
malice	anger	0.852	mallachd
terrorism	anger	0.851	ceannairc
beating	anger	0.849	a' bualadh
outrage	anger	0.848	feirg
desecration	anger	0.848	sgrios
pissingmeoff	anger	0.848	pissing meoff
destroying	anger	0.844	sgrios
slaughter	anger	0.844	marbhadh
irate	anger	0.844	irioslachd
violent	anger	0.844	fòirneartach
stab	anger	0.844	stab
abomination	anger	0.844	gràineileachd
tumultuous	anger	0.844	buaireasach
infuriate	anger	0.844	irioslachd
obliterate	anger	0.843	cur às
belligerent	anger	0.841	clogach
dumbbitch	anger	0.841	balbh
detest	anger	0.838	gràin
hostilities	anger	0.837	naimhdeas
prick	anger	0.835	priobadh
rampage	anger	0.833	ramadh
horrid	anger	0.833	eagallach
cruelty	anger	0.833	cruadal
torture	anger	0.833	chràdh
rabid	anger	0.833	rabaid
despicable	anger	0.828	suarach
tyrannical	anger	0.828	tyrannical
demonic	anger	0.828	deamhan
