English Word	Emotion	Emotion-Intensity-Score	Serbian Word
outraged	anger	0.964	огорчен
brutality	anger	0.959	бруталност
hatred	anger	0.953	мржње
hateful	anger	0.940	мрски
terrorize	anger	0.939	терорисати
violently	anger	0.938	насилно
infuriated	anger	0.938	разбеснели
furious	anger	0.929	бесан
furiously	anger	0.927	бесно
enraged	anger	0.927	разјарен
screwyou	anger	0.924	носи се
murderer	anger	0.922	убица
fury	anger	0.922	бес
execution	anger	0.917	извршење
angered	anger	0.916	љутити
savagery	anger	0.915	дивљаштво
slaughtering	anger	0.914	клање
veryangry	anger	0.913	веома љут
assassinate	anger	0.912	атентат
annihilation	anger	0.912	уништење
fuckoff	anger	0.912	фуцкофф
rage	anger	0.911	бес
loathe	anger	0.909	гнушати се
fucktard	anger	0.906	фуцктард
roadrage	anger	0.906	роадраге
damnation	anger	0.906	проклетство
homicidal	anger	0.906	убиствена
furor	anger	0.900	фурор
hostile	anger	0.898	непријатељски
annihilate	anger	0.898	поништити
murder	anger	0.897	убиство
raging	anger	0.896	бесни
sopissed	anger	0.894	сописсед
infuriates	anger	0.894	разбесне
pissed	anger	0.894	љут
rape	anger	0.894	силовање
ferocious	anger	0.894	свиреп
vengeful	anger	0.894	осветољубив
obliterated	anger	0.894	избрисани
explosive	anger	0.894	експлозивно
killing	anger	0.893	убијање
combative	anger	0.891	борбени
vengeance	anger	0.886	освета
gofuckyourself	anger	0.886	гофуцкиоурселф
torment	anger	0.885	мучити
wrath	anger	0.885	гнев
vicious	anger	0.884	злобни
massacre	anger	0.882	масакра
threatening	anger	0.882	претећи
abhorrent	anger	0.875	одвратан
bloodthirsty	anger	0.875	крволочан
pissoff	anger	0.875	одјеби
fighting	anger	0.868	борећи се
attacking	anger	0.865	нападајући
annihilated	anger	0.865	поништен
angriest	anger	0.864	љутити
bloodshed	anger	0.864	крвопролиће
smite	anger	0.862	смите
brawl	anger	0.861	туча
malicious	anger	0.859	злонамерно
assassination	anger	0.859	атентат
strangle	anger	0.859	задавити
hostility	anger	0.859	непријатељство
assault	anger	0.859	напад
explode	anger	0.859	експлодирати
tirade	anger	0.859	тирада
loathsome	anger	0.857	одвратан
hell	anger	0.853	пакао
murderous	anger	0.853	убилачки
attack	anger	0.853	напад
malice	anger	0.852	злобе
terrorism	anger	0.851	тероризам
beating	anger	0.849	батинање
outrage	anger	0.848	згражавање
desecration	anger	0.848	скрнављење
pissingmeoff	anger	0.848	писсингмеофф
destroying	anger	0.844	уништавајући
slaughter	anger	0.844	клање
irate	anger	0.844	бијесан
violent	anger	0.844	насилан
