English Word	Emotion	Emotion-Intensity-Score	Sesotho Word
outraged	anger	0.964	koatile
brutality	anger	0.959	sehlōhō
hatred	anger	0.953	lehloyo
hateful	anger	0.940	lehloyo
terrorize	anger	0.939	tshosa
violently	anger	0.938	ka mabifi
infuriated	anger	0.938	koatile
furious	anger	0.929	bohale
furiously	anger	0.927	ka bohale
enraged	anger	0.927	halefile
screwyou	anger	0.924	oela koana
murderer	anger	0.922	mmolai
fury	anger	0.922	khalefo
execution	anger	0.917	phethahatso
angered	anger	0.916	koatile
savagery	anger	0.915	bohlanya
slaughtering	anger	0.914	ho hlaba
veryangry	anger	0.913	bohale haholo
assassinate	anger	0.912	bolaile
annihilation	anger	0.912	timetso
fuckoff	anger	0.912	qhekella
rage	anger	0.911	khalefo
loathe	anger	0.909	nyonya
fucktard	anger	0.906	fucktard
roadrage	anger	0.906	tsela ea litsela
damnation	anger	0.906	tsuo
homicidal	anger	0.906	polao
furor	anger	0.900	furor
hostile	anger	0.898	bora
annihilate	anger	0.898	felisa
murder	anger	0.897	polao
raging	anger	0.896	khalefo
sopissed	anger	0.894	sopised
infuriates	anger	0.894	halefisa
pissed	anger	0.894	hlabehile
rape	anger	0.894	peto
ferocious	anger	0.894	bohale
vengeful	anger	0.894	phetetso
obliterated	anger	0.894	hlakotsoe
explosive	anger	0.894	qhoma
killing	anger	0.893	ho bolaea
combative	anger	0.891	loantsang
vengeance	anger	0.886	phetetso
gofuckyourself	anger	0.886	gofuckyourself
torment	anger	0.885	hlokofatsa
wrath	anger	0.885	khalefo
vicious	anger	0.884	e khopo
massacre	anger	0.882	polao
threatening	anger	0.882	tshosetsang
abhorrent	anger	0.875	e nyonyehang
bloodthirsty	anger	0.875	e nyoretsoeng madi
pissoff	anger	0.875	pissoff
fighting	anger	0.868	ho loana
attacking	anger	0.865	hlasela
annihilated	anger	0.865	felisitsoe
angriest	anger	0.864	bohale ka ho fetisisa
bloodshed	anger	0.864	tshollo ya madi
smite	anger	0.862	otla
brawl	anger	0.861	robotsa
malicious	anger	0.859	e kotsi
assassination	anger	0.859	polao
strangle	anger	0.859	khama
hostility	anger	0.859	bora
assault	anger	0.859	tlhaselo
explode	anger	0.859	qhoma
tirade	anger	0.859	tirade
loathsome	anger	0.857	e nyonyehang
hell	anger	0.853	lihele
murderous	anger	0.853	mmolai
attack	anger	0.853	hlasela
malice	anger	0.852	lonya
terrorism	anger	0.851	bokhukhuni
beating	anger	0.849	ho otla
outrage	anger	0.848	khalefo
desecration	anger	0.848	nyeliso
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	ho senya
slaughter	anger	0.844	hlaba
irate	anger	0.844	koatile
violent	anger	0.844	mabifi
stab	anger	0.844	hlaba
abomination	anger	0.844	manyala
tumultuous	anger	0.844	moferefere
infuriate	anger	0.844	halefisa
obliterate	anger	0.843	fedisitse
belligerent	anger	0.841	belligerant
dumbbitch	anger	0.841	sethoto
detest	anger	0.838	hloea
hostilities	anger	0.837	bora
prick	anger	0.835	hlaba
rampage	anger	0.833	pherekano
horrid	anger	0.833	tshosang
cruelty	anger	0.833	sehlōhō
torture	anger	0.833	tlhokofatso
rabid	anger	0.833	rabid
despicable	anger	0.828	nyatsehang
tyrannical	anger	0.828	mohatelli
demonic	anger	0.828	bodemona
satanic	anger	0.828	satane
hate	anger	0.828	hloea
ragemode	anger	0.828	ragemode
hating	anger	0.828	ho hloea
ruinous	anger	0.825	tshenyeho
condemn	anger	0.825	nyatsa
riots	anger	0.824	merusu
demolish	anger	0.824	heletsa
angry	anger	0.824	bohale
extermination	anger	0.824	phediso
dickhead	anger	0.824	hlooho ea hlooho
livid	anger	0.821	hlasimolohile
madman	anger	0.820	lehlanya
vindictive	anger	0.819	boiphetetso
terrorist	anger	0.818	sekhukhuni
threaten	anger	0.818	tshosa
venomous	anger	0.818	e chefo
hateyou	anger	0.818	ke u hloile
ferocity	anger	0.818	bohale
effyou	anger	0.818	effyou
abhor	anger	0.816	nyonya
carnage	anger	0.814	polao
savage	anger	0.814	e sehlōhō
atrocity	anger	0.814	sehlōhō
fucksake	anger	0.812	fucksake
abuse	anger	0.812	tlhekefetso
fierce	anger	0.812	bohale
destroyer	anger	0.812	mosenyi
angrytweet	anger	0.812	halefile
barbaric	anger	0.812	ya sehloho
vendetta	anger	0.812	vendetta
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	u koatile
tyrant	anger	0.812	mohatelli
berserk	anger	0.812	berserk
fuming	anger	0.812	ho halefisa
anger	anger	0.811	khalefo
pieceofshit	anger	0.810	pieceofshit
punched	anger	0.803	phunya
punching	anger	0.803	ho hlaba
slam	anger	0.803	slam
homicide	anger	0.803	polao
bitch	anger	0.803	sekgoa
fights	anger	0.803	lintoa
ruthless	anger	0.797	e hlokang mohau
villainous	anger	0.797	sekhopo
destructive	anger	0.797	senyang
slap	anger	0.791	otla
riot	anger	0.788	moferefere
growthefuckup	anger	0.788	kholoanyane
punishing	anger	0.788	ho otla
slaughterhouse	anger	0.788	ntlo ya mahlabelo
yelling	anger	0.788	ho hoeletsa
diabolical	anger	0.788	diabolosi
destroyed	anger	0.788	senyehile
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	phetetso
manslaughter	anger	0.783	polao
clash	anger	0.783	khohlano
quarrel	anger	0.781	qabanya
bloody	anger	0.781	madi
hellish	anger	0.781	hellish
sinister	anger	0.781	sebe
loath	anger	0.781	lehloyo
detonation	anger	0.781	ho qhomisa
accusing	anger	0.779	qosa
fumin	anger	0.779	fumin
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	bolotsana
madder	anger	0.773	bohlanya
horrific	anger	0.773	tshosang
revulsion	anger	0.773	ho kgeloha
retaliate	anger	0.773	phetetsa
scorn	anger	0.769	tshotlo
bomb	anger	0.766	bomo
deplorable	anger	0.766	nyatsehang
devastation	anger	0.765	tshenyo
anarchist	anger	0.765	setsebi sa anarchist
firestorm	anger	0.765	sefefo sa mollo
resent	anger	0.765	koatile
contemptible	anger	0.764	nyatsehang
shittest	anger	0.760	shittest
rant	anger	0.758	robotsa
cruel	anger	0.758	sehlōhō
deadly	anger	0.758	bolaeang
smash	anger	0.758	pshatla
soangry	anger	0.758	songry
outburst	anger	0.757	ho phasoloha
snarl	anger	0.754	qhetsola
profane	anger	0.750	hlompholla
revolting	anger	0.750	hlabang pelo
aggravating	anger	0.750	mpefatsa
horror	anger	0.750	tshoso
despise	anger	0.750	nyelisa
offend	anger	0.750	khopisa
stfu	anger	0.750	stfu
vulgarity	anger	0.750	bohlasoa
crazed	anger	0.750	hlanya
douchebags	anger	0.750	li-douchebags
growling	anger	0.750	ho rora
dontmesswithme	anger	0.750	dontmesswithme
screaming	anger	0.742	ho hoeletsa
threat	anger	0.742	tshoso
erupt	anger	0.742	qhoma
horrible	anger	0.742	tshosang
molestation	anger	0.742	hlekefetsa
fuckedoff	anger	0.742	feletsoe
violence	anger	0.742	pefo
bastards	anger	0.741	dinyatsi
revenge	anger	0.738	boiphetetso
menacing	anger	0.735	ho tshosetsa
crushing	anger	0.735	ho thuba
damn	anger	0.735	Yerrrrrrr
catastrophe	anger	0.735	tlokotsi
demon	anger	0.735	modemona
argue	anger	0.734	tsekisana
persecute	anger	0.734	hlorisa
deplore	anger	0.734	hlompholla
flog	anger	0.734	otla
fedup	anger	0.734	tenehile
riotous	anger	0.734	morusu
vehement	anger	0.734	vehement
revolt	anger	0.734	bofetoheli
warfare	anger	0.734	ntoa
thrash	anger	0.734	thrash
altercation	anger	0.729	qabang
warlike	anger	0.728	joalo ka ntoa
shitday	anger	0.727	shitday
mutiny	anger	0.727	pherekano
castrate	anger	0.727	castrate
sabotage	anger	0.727	tshenyo
malevolent	anger	0.721	malevolent
strike	anger	0.721	otla
disaster	anger	0.721	tlokotsi
disastrous	anger	0.720	tlokotsi
bastarding	anger	0.719	bastaring
treachery	anger	0.719	bolotsana
arseholes	anger	0.719	masoba
horseshit	anger	0.719	pitsi
slay	anger	0.719	bolaea
disdain	anger	0.719	nyeliso
aggravates	anger	0.719	mpefatsa
brutal	anger	0.719	sehlōhō
scorching	anger	0.719	ho chesa
devil	anger	0.719	diabolose
madden	anger	0.719	hlanyetsa
spiteful	anger	0.719	hlabang
scream	anger	0.719	hoeletsa
choke	anger	0.719	khama
vermin	anger	0.719	likokoanyana
tumult	anger	0.719	moferefere
criminal	anger	0.714	senokoane
mangle	anger	0.714	mangle
anarchism	anger	0.714	anarchism
mutilation	anger	0.714	ho hlapa
denunciation	anger	0.713	nyatso
punch	anger	0.713	phunya
virulence	anger	0.712	virulence
fatal	anger	0.712	bolaeang
hurting	anger	0.712	ho utloisa bohloko
crucifixion	anger	0.712	thakgiso
dontlikeyou	anger	0.712	ha u rate
blasphemous	anger	0.712	nyefolo
holocaust	anger	0.712	polao ya polao
dumbasses	anger	0.712	dinyatsi
battled	anger	0.712	loanoa
deranged	anger	0.706	tsielehile
irritated	anger	0.706	koatile
atrocious	anger	0.706	e sehlōhō
evil	anger	0.706	bobe
aggravated	anger	0.703	mpefalitsoe
intimidation	anger	0.703	tshoso
dicks	anger	0.703	ditshipi
assassin	anger	0.703	mmolai
scolding	anger	0.703	ho omanya
persecution	anger	0.703	hloriso
slayer	anger	0.703	mmolai
kidnap	anger	0.703	koetela
aggression	anger	0.702	tlhekefetso
armed	anger	0.700	hlometse
battle	anger	0.697	ntoa
poison	anger	0.697	chefo
snarling	anger	0.697	snarling
venom	anger	0.697	chefo
disgruntled	anger	0.693	nyahamehile
resentment	anger	0.691	khalefo
assailant	anger	0.691	mohlasedi
insidious	anger	0.691	bolotsana
contemptuous	anger	0.690	nyelisa
lynch	anger	0.690	lynch
temper	anger	0.688	bohale
terrible	anger	0.688	tshabeha
disparage	anger	0.688	nyelisa
lunatic	anger	0.688	lehlanya
bully	anger	0.688	mohlekefetsi
mad	anger	0.688	hlanya
makesmemad	anger	0.688	makememad
infanticide	anger	0.688	polao ea masea
domination	anger	0.688	puso
peeved	anger	0.688	peeved
imprisonment	anger	0.688	ho koalloa chankaneng
curse	anger	0.688	rohaka
volatility	anger	0.687	ho hloka botsitso
eradication	anger	0.685	phediso
eradicate	anger	0.682	felisa
tantrum	anger	0.682	pherekano
scoundrel	anger	0.682	molotsana
devastate	anger	0.682	senya
aggressively	anger	0.680	ka mabifi
agitation	anger	0.680	pherekano
dictatorship	anger	0.676	bohatelli
irritates	anger	0.676	koatisa
profanity	anger	0.673	puo e litšila
shove	anger	0.672	sututsa
nasty	anger	0.672	tse mpe
shot	anger	0.672	thunya
cruelly	anger	0.672	ka sehlōhō
shoot	anger	0.672	thunya
condemnation	anger	0.672	nyatso
crushed	anger	0.672	petetsoe
aggravation	anger	0.672	aggravation
poisonous	anger	0.672	chefo
egregious	anger	0.672	e kgolo
crime	anger	0.672	botlokotsebe
corrupting	anger	0.672	bobodu
dastardly	anger	0.672	dastardly
contempt	anger	0.672	nyeliso
harmful	anger	0.672	kotsi
expletive	anger	0.672	expletive
wreak	anger	0.672	senya
maniac	anger	0.670	mahlanya
cutthroat	anger	0.667	sekotlo
enemy	anger	0.667	sera
hit	anger	0.667	otla
hateeveryone	anger	0.667	lehloyo bohle
eruption	anger	0.667	ho foqoha
irritable	anger	0.667	teneha
odious	anger	0.667	e nyonyehang
shooting	anger	0.667	ho thunya
shout	anger	0.667	hoeletsa
aggressive	anger	0.667	e mabifi
kick	anger	0.667	raha
combat	anger	0.667	ntoa
fight	anger	0.667	ntoa
punished	anger	0.662	kotloetsoe
yell	anger	0.661	lla
ambush	anger	0.661	laletse
harass	anger	0.659	hlekefetsa
malignant	anger	0.656	malignant
aggressor	anger	0.656	mohlasedi
gore	anger	0.656	selemo
destruction	anger	0.656	timetso
grudge	anger	0.656	ho hlonama
antichrist	anger	0.656	antikreste
incense	anger	0.656	libano
expel	anger	0.656	tebela
cranky	anger	0.653	cranky
slave	anger	0.652	lekgoba
reprisal	anger	0.652	boiphetetso
growl	anger	0.652	rora
animosity	anger	0.652	bora
insurrection	anger	0.652	moferefere
clashing	anger	0.652	qabanya
denounce	anger	0.652	nyatsa
offended	anger	0.652	khopisitsoe
spank	anger	0.652	shapa
insulting	anger	0.652	rohaka
growls	anger	0.649	ho rora
executioner	anger	0.644	mophethi
twat	anger	0.644	tse peli
doomsday	anger	0.643	letsatsi la timelo
obscenity	anger	0.641	manyala
accused	anger	0.641	qosoa
feud	anger	0.641	khohlano
daemon	anger	0.641	daemon
havoc	anger	0.641	moferefere
shackle	anger	0.641	shackle
inexcusable	anger	0.641	e hlokang boikemelo
indignant	anger	0.641	koatile
grr	anger	0.641	grr
expulsion	anger	0.641	ho tebeloa
bombard	anger	0.641	qhoqhoa
spat	anger	0.641	tshwela ka mathe
arson	anger	0.641	ho chesa
reprimand	anger	0.641	khalemela
somad	anger	0.637	somad
frustrated	anger	0.636	tsielehile
batter	anger	0.636	betha
kicking	anger	0.636	ho raha
anarchy	anger	0.636	pherekano
spanking	anger	0.636	ho shapa
glaring	anger	0.636	kganyang
suicidal	anger	0.636	ho ipolaea
disgusting	anger	0.636	e nyonyehang
wound	anger	0.636	leqeba
hanging	anger	0.636	leketla
poisoned	anger	0.636	chefo
combatant	anger	0.636	mohlabani
wrecked	anger	0.633	robehile
inflict	anger	0.633	fetsa
grievous	anger	0.632	bohloko
prosecute	anger	0.630	qosa
agitated	anger	0.630	ferekantse
cheat	anger	0.630	qhekella
swastika	anger	0.627	swastika
injure	anger	0.625	ntša kotsi
indict	anger	0.625	qoso
scourge	anger	0.625	lefu la seoa
provocation	anger	0.625	qholotso
suffocation	anger	0.625	ho bipetsane
strife	anger	0.625	qabang
raid	anger	0.625	hlasela
enslaved	anger	0.625	kentse lekgoba
cursing	anger	0.625	rohaka
defamatory	anger	0.625	nyeliso
harassing	anger	0.625	hlekefetsa
thundering	anger	0.625	lialuma
betray	anger	0.625	eka
arsehole	anger	0.624	sekoti
theft	anger	0.621	boshodu
insane	anger	0.621	bohlanya
retaliation	anger	0.621	boiphetetso
irritate	anger	0.621	koatisa
deprivation	anger	0.621	tlhokeho
fiend	anger	0.621	fiend
jerk	anger	0.621	qhekella
convict	anger	0.621	moahlodi
cussed	anger	0.619	kgethile
turmoil	anger	0.618	pherekano
smack	anger	0.615	otla
retribution	anger	0.614	tefetso
rebellion	anger	0.609	borabele
oppressor	anger	0.609	mohatelli
gang	anger	0.609	sehlopha sa ditlokotsebe
slavery	anger	0.609	bokhoba
intolerable	anger	0.609	e sa mamelleheng
adverse	anger	0.609	e mpe
injurious	anger	0.609	e kotsi
twats	anger	0.609	hlabang
collision	anger	0.609	thulano
battery	anger	0.609	betri
bitterly	anger	0.609	babang
antagonism	anger	0.609	bohanyetsi
irritability	anger	0.609	ho teneha
disgraced	anger	0.608	hlabisitsoe
diatribe	anger	0.606	diatribe
asshole	anger	0.606	Sebono
blast	anger	0.606	qhoma
bombardment	anger	0.606	ho qhomisa
irks	anger	0.606	e khopisa
ranting	anger	0.606	ranting
revolution	anger	0.606	phetohelo
thug	anger	0.606	morusu
antagonistic	anger	0.606	mohanyetsi
irritating	anger	0.606	hlabang pelo
sickening	anger	0.606	ho kula
discrimination	anger	0.606	kgethollo
frustrate	anger	0.604	nyahamisa
insult	anger	0.603	nyefolo
hurtful	anger	0.603	e utloisang bohloko
oppression	anger	0.603	kgatello
manipulation	anger	0.603	thetso
tiredofit	anger	0.603	khathetse
bigot	anger	0.603	motho e moholo
tension	anger	0.603	tsitsipano
disgust	anger	0.602	ho nyonya
spite	anger	0.600	tsoeroe
intrusive	anger	0.598	e kgenneng
harshness	anger	0.597	bohale
slur	anger	0.596	nyenyefatsa
tempest	anger	0.594	sefefo
assail	anger	0.594	hlasela
bitterness	anger	0.594	babang
morbidity	anger	0.594	ho kula
casualty	anger	0.594	kotsi
puncture	anger	0.594	ho phunya
miserable	anger	0.594	mahlomoleng
inferno	anger	0.594	inferno
invasion	anger	0.594	tlhaselo
storming	anger	0.594	sefefo
wretch	anger	0.594	soto
consternation	anger	0.592	tsietsi
raving	anger	0.591	raving
forcibly	anger	0.591	ka likhoka
guillotine	anger	0.591	guillotine
guilty	anger	0.591	molato
depraved	anger	0.591	tshenyehile
immoral	anger	0.591	ya hlokang boitshwaro
overpowering	anger	0.591	e hlolehang
scare	anger	0.588	tshosa
recalcitrant	anger	0.588	recalcitrant
screwed	anger	0.588	screwed
accursed	anger	0.588	rohakiloe
soannoyed	anger	0.588	tenehile
invader	anger	0.588	mohlasedi
jealousy	anger	0.587	poulelo
indignation	anger	0.587	khalefo
vexed	anger	0.586	tshwenyehile
confront	anger	0.582	thulana
brute	anger	0.581	sehlōhō
throttle	anger	0.579	throttle
slut	anger	0.578	slut/
coup	anger	0.578	ho phethola
blaze	anger	0.578	tukang
pillage	anger	0.578	tlatlapa
provoking	anger	0.578	qholotsa
damage	anger	0.578	tshenyo
criminality	anger	0.578	botlokotsebe
shutup	anger	0.578	thola
lash	anger	0.578	hlapa
conflict	anger	0.578	khohlano
contentious	anger	0.578	qabang
shutit	anger	0.578	koala
wreck	anger	0.578	senya
defiant	anger	0.578	defiant
butcher	anger	0.578	raselakha
incarceration	anger	0.578	ho koalla
revolver	anger	0.578	revolver
bickering	anger	0.578	qabang
yousuck	anger	0.578	u sehele
cancer	anger	0.577	kankere
discriminate	anger	0.576	kgetholla
gun	anger	0.576	sethunya
frustration	anger	0.576	tsieleha
gory	anger	0.576	gory
pernicious	anger	0.576	kotsi
dontmess	anger	0.576	dontmess
blasphemy	anger	0.576	nyefolo
chaotic	anger	0.576	moferefere
grope	anger	0.576	phopholetsa
alienation	anger	0.576	bojaki
disturbance	anger	0.576	tshitiso
condescension	anger	0.576	nyenyefatso
standoff	anger	0.576	standoff
discord	anger	0.576	pherekano
friggen	anger	0.575	sehatsetsi
sneer	anger	0.574	soma
death	anger	0.574	lefu
lunacy	anger	0.574	lehlanya
scandalous	anger	0.574	hlabisang lihlong
oppressive	anger	0.574	hatellang
jab	anger	0.574	jab
cursed	anger	0.574	rohakiloe
monstrosity	anger	0.574	monstrosity
shit	anger	0.573	shit
disparaging	anger	0.571	nyenyefatsa
slash	anger	0.571	hlaba
unfair	anger	0.571	e hlokang toka
gallows	anger	0.570	sefate sa sefate
escalate	anger	0.569	eketsa
intolerant	anger	0.564	e hlokang mamello
lawlessness	anger	0.563	ho hloka molao
beast	anger	0.562	sebata
torpedo	anger	0.562	torpedo
malign	anger	0.562	senya
traitor	anger	0.562	lehlabaphio
frightful	anger	0.562	e tshosang
wrangling	anger	0.562	qabanya
slander	anger	0.562	ho etselletsa
bellows	anger	0.562	melomo
retards	anger	0.562	bafokodi
grouchy	anger	0.562	grouchy
derogatory	anger	0.562	nyelisa
bearish	anger	0.562	bohlasoa
invade	anger	0.562	hlasela
perdition	anger	0.562	tahleho
arghh	anger	0.562	argh
dreadful	anger	0.562	e tshabehang
bluddy	anger	0.562	bohlasoa
deceived	anger	0.562	thetsitsoe
glare	anger	0.562	phatsima
taunt	anger	0.562	tshotlo
dissension	anger	0.561	qabang
cross	anger	0.561	sefapano
rave	anger	0.561	rorisa
grating	anger	0.561	grating
devastating	anger	0.561	senyang
fits	anger	0.561	lekane
jeopardize	anger	0.561	beha kotsing
shatter	anger	0.561	pshatla
