English Word	Emotion	Emotion-Intensity-Score	Shona Word
outraged	anger	0.964	vakatsamwa
brutality	anger	0.959	hutsinye
hatred	anger	0.953	ruvengo
hateful	anger	0.940	kuvenga
terrorize	anger	0.939	kutya
violently	anger	0.938	nechisimba
infuriated	anger	0.938	kushatirwa
furious	anger	0.929	nehasha
furiously	anger	0.927	nehasha
enraged	anger	0.927	kushatirwa
screwyou	anger	0.924	ndezvako izvo
murderer	anger	0.922	mhondi
fury	anger	0.922	fury
execution	anger	0.917	kuuraya
angered	anger	0.916	akatsamwa
savagery	anger	0.915	hutsinye
slaughtering	anger	0.914	kuuraya
veryangry	anger	0.913	akatsamwa kwazvo
assassinate	anger	0.912	kuuraya
annihilation	anger	0.912	kuparadzwa
fuckoff	anger	0.912	fuckoff
rage	anger	0.911	hasha
loathe	anger	0.909	venga
fucktard	anger	0.906	fucktard
roadrage	anger	0.906	roadrage
damnation	anger	0.906	kutongwa
homicidal	anger	0.906	kuuraya
furor	anger	0.900	furor
hostile	anger	0.898	ruvengo
annihilate	anger	0.898	paradza
murder	anger	0.897	kuuraya
raging	anger	0.896	nehasha
sopissed	anger	0.894	sopissed
infuriates	anger	0.894	anoshatirisa
pissed	anger	0.894	pissed
rape	anger	0.894	kubata chibharo
ferocious	anger	0.894	ferocious
vengeful	anger	0.894	vengeful
obliterated	anger	0.894	obliterated
explosive	anger	0.894	zvinoputika
killing	anger	0.893	kuuraya
combative	anger	0.891	kurwisa
vengeance	anger	0.886	kutsiva
gofuckyourself	anger	0.886	gofuckyourself
torment	anger	0.885	kutambudzika
wrath	anger	0.885	hasha
vicious	anger	0.884	utsinye
massacre	anger	0.882	kuuraya
threatening	anger	0.882	kutyisidzira
abhorrent	anger	0.875	zvinosemesa
bloodthirsty	anger	0.875	vane nyota yeropa
pissoff	anger	0.875	ibvapo
fighting	anger	0.868	kurwa
attacking	anger	0.865	kurwisa
annihilated	anger	0.865	annihilated
angriest	anger	0.864	akatsamwa
bloodshed	anger	0.864	kudeuka kweropa
smite	anger	0.862	rova
brawl	anger	0.861	brawl
malicious	anger	0.859	zvakashata
assassination	anger	0.859	kuurayiwa
strangle	anger	0.859	dzipa
hostility	anger	0.859	ruvengo
assault	anger	0.859	kurova
explode	anger	0.859	putika
tirade	anger	0.859	tirade
loathsome	anger	0.857	zvinosemesa
hell	anger	0.853	gehena
murderous	anger	0.853	mhondi
attack	anger	0.853	kurwisa
malice	anger	0.852	uipi
terrorism	anger	0.851	ugandanga
beating	anger	0.849	kurova
outrage	anger	0.848	kutsamwa
desecration	anger	0.848	desecration
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	kuparadza
slaughter	anger	0.844	kuuraya
irate	anger	0.844	irate
violent	anger	0.844	zvechisimba
stab	anger	0.844	kubaya
abomination	anger	0.844	chinonyangadza
tumultuous	anger	0.844	tumultuous
infuriate	anger	0.844	kushatirisa
obliterate	anger	0.843	obliterate
belligerent	anger	0.841	belligerent
dumbbitch	anger	0.841	dumbbitch
detest	anger	0.838	detest
hostilities	anger	0.837	ruvengo
prick	anger	0.835	prick
rampage	anger	0.833	rampage
horrid	anger	0.833	horid
cruelty	anger	0.833	utsinye
torture	anger	0.833	kutambudza
rabid	anger	0.833	rabid
despicable	anger	0.828	zvinoshoreka
tyrannical	anger	0.828	dzvinyiriri
demonic	anger	0.828	zvemadhimoni
satanic	anger	0.828	satani
hate	anger	0.828	hate
ragemode	anger	0.828	ragemode
hating	anger	0.828	kuvenga
ruinous	anger	0.825	zvinoparadza
condemn	anger	0.825	shora
riots	anger	0.824	mhirizhonga
demolish	anger	0.824	paradza
angry	anger	0.824	akatsamwa
extermination	anger	0.824	kuparadzwa
dickhead	anger	0.824	dickhead
livid	anger	0.821	livid
madman	anger	0.820	madman
vindictive	anger	0.819	kutsiva
terrorist	anger	0.818	gandanga
threaten	anger	0.818	tyisidzira
venomous	anger	0.818	uturu
hateyou	anger	0.818	hateyou
ferocity	anger	0.818	ferocity
effyou	anger	0.818	effyou
abhor	anger	0.816	sema
carnage	anger	0.814	carnage
savage	anger	0.814	savage
atrocity	anger	0.814	hutsinye
fucksake	anger	0.812	fucksake
abuse	anger	0.812	kushungurudzwa
fierce	anger	0.812	vanotyisa
destroyer	anger	0.812	muparadzi
angrytweet	anger	0.812	angrytweet
barbaric	anger	0.812	barbaric
vendetta	anger	0.812	vendetta
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	kugumbuka
tyrant	anger	0.812	mudzvinyiriri
berserk	anger	0.812	berserk
fuming	anger	0.812	fuming
anger	anger	0.811	kutsamwa
pieceofshit	anger	0.810	pieceofshit
punched	anger	0.803	chibhakera
punching	anger	0.803	punching
slam	anger	0.803	slam
homicide	anger	0.803	kuuraya
bitch	anger	0.803	hure
fights	anger	0.803	kurwa
ruthless	anger	0.797	vasina tsitsi
villainous	anger	0.797	akaipa
destructive	anger	0.797	zvinoparadza
slap	anger	0.791	mbama
riot	anger	0.788	bongozozo
growthefuckup	anger	0.788	growthefuckup
punishing	anger	0.788	kuranga
slaughterhouse	anger	0.788	imba yokuurayira
yelling	anger	0.788	kupopota
diabolical	anger	0.788	dhiyabhorosi
destroyed	anger	0.788	kuparadzwa
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	kutsiva
manslaughter	anger	0.783	kuuraya
clash	anger	0.783	clash
quarrel	anger	0.781	kukakavara
bloody	anger	0.781	ropa
hellish	anger	0.781	hellish
sinister	anger	0.781	sinister
loath	anger	0.781	ruvengo
detonation	anger	0.781	detonation
accusing	anger	0.779	vachipomera mhosva
fumin	anger	0.779	fumin
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	anonyengera
madder	anger	0.773	madder
horrific	anger	0.773	zvinotyisa
revulsion	anger	0.773	revulsion
retaliate	anger	0.773	dzorera
scorn	anger	0.769	kushora
bomb	anger	0.766	bhomba
deplorable	anger	0.766	zvinosiririsa
devastation	anger	0.765	kuparadza
anarchist	anger	0.765	anarchist
firestorm	anger	0.765	firestorm
resent	anger	0.765	kugumbuka
contemptible	anger	0.764	zvinoshoreka
shittest	anger	0.760	shittest
rant	anger	0.758	rant
cruel	anger	0.758	hutsinye
deadly	anger	0.758	zvinouraya
smash	anger	0.758	smash
soangry	anger	0.758	songry
outburst	anger	0.757	kuputika
snarl	anger	0.754	snarl
profane	anger	0.750	tsvina
revolting	anger	0.750	kumukira
aggravating	anger	0.750	aggravating
horror	anger	0.750	horror
despise	anger	0.750	zvidza
offend	anger	0.750	kugumbura
stfu	anger	0.750	stfu
vulgarity	anger	0.750	vulgarity
crazed	anger	0.750	crazed
douchebags	anger	0.750	douchebags
growling	anger	0.750	kuchema
dontmesswithme	anger	0.750	dontmesswithme
screaming	anger	0.742	kuchema
threat	anger	0.742	kutyisidzira
erupt	anger	0.742	kuputika
horrible	anger	0.742	zvinotyisa
molestation	anger	0.742	kushungurudza
fuckedoff	anger	0.742	fuckedoff
violence	anger	0.742	mhirizhonga
bastards	anger	0.741	vastards
revenge	anger	0.738	kutsiva
menacing	anger	0.735	menacing
crushing	anger	0.735	kupwanya
damn	anger	0.735	damn
catastrophe	anger	0.735	njodzi
demon	anger	0.735	dhimoni
argue	anger	0.734	nharo
persecute	anger	0.734	tambudzai
deplore	anger	0.734	deplore
flog	anger	0.734	rova
fedup	anger	0.734	neta
riotous	anger	0.734	mhirizhonga
vehement	anger	0.734	vehement
revolt	anger	0.734	kumukira
warfare	anger	0.734	hondo
thrash	anger	0.734	thrash
altercation	anger	0.729	kupopotedzana
warlike	anger	0.728	sehondo
shitday	anger	0.727	shitday
mutiny	anger	0.727	mutiny
castrate	anger	0.727	castrate
sabotage	anger	0.727	sabotage
malevolent	anger	0.721	malevolent
strike	anger	0.721	strike
disaster	anger	0.721	njodzi
disastrous	anger	0.720	njodzi
bastarding	anger	0.719	bastarding
treachery	anger	0.719	kunyengera
arseholes	anger	0.719	arseholes
horseshit	anger	0.719	horseshit
slay	anger	0.719	uraya
disdain	anger	0.719	kushora
aggravates	anger	0.719	aggravates
brutal	anger	0.719	hutsinye
scorching	anger	0.719	kupisa
devil	anger	0.719	dhiyabhorosi
madden	anger	0.719	madden
spiteful	anger	0.719	zvinosemesa
scream	anger	0.719	mhere
choke	anger	0.719	kukachidza
vermin	anger	0.719	vermin
tumult	anger	0.719	mheremhere
criminal	anger	0.714	tsotsi
mangle	anger	0.714	mangle
anarchism	anger	0.714	anarchism
mutilation	anger	0.714	kuchekeresa
denunciation	anger	0.713	kushora
punch	anger	0.713	punch
virulence	anger	0.712	virulence
fatal	anger	0.712	zvinouraya
hurting	anger	0.712	kurwadzisa
crucifixion	anger	0.712	kurovererwa
dontlikeyou	anger	0.712	donlike you
blasphemous	anger	0.712	kumhura Mwari
holocaust	anger	0.712	holocaust
dumbasses	anger	0.712	dumbasses
battled	anger	0.712	battled
deranged	anger	0.706	deranged
irritated	anger	0.706	kushatirwa
atrocious	anger	0.706	atrocious
evil	anger	0.706	zvakaipa
aggravated	anger	0.703	aggravated
intimidation	anger	0.703	kutyisidzirwa
dicks	anger	0.703	dicks
assassin	anger	0.703	mhondi
scolding	anger	0.703	kupopota
persecution	anger	0.703	kutambudzwa
slayer	anger	0.703	muurayi
kidnap	anger	0.703	kidnap
aggression	anger	0.702	hutsinye
armed	anger	0.700	nezvombo
battle	anger	0.697	hondo
poison	anger	0.697	poison
snarling	anger	0.697	snarling
venom	anger	0.697	uturu
disgruntled	anger	0.693	disgruntled
resentment	anger	0.691	kugumbuka
assailant	anger	0.691	mhondi
insidious	anger	0.691	insidious
contemptuous	anger	0.690	kuzvidza
lynch	anger	0.690	lynch
temper	anger	0.688	temper
terrible	anger	0.688	zvakaipa
disparage	anger	0.688	kushora
lunatic	anger	0.688	lunatic
bully	anger	0.688	anodheerera
mad	anger	0.688	mad
makesmemad	anger	0.688	makemamad
infanticide	anger	0.688	kuuraya vana
domination	anger	0.688	kutonga
peeved	anger	0.688	peeved
imprisonment	anger	0.688	kusungwa
curse	anger	0.688	tuka
volatility	anger	0.687	volatility
eradication	anger	0.685	eradication
eradicate	anger	0.682	eradicate
tantrum	anger	0.682	tantrum
scoundrel	anger	0.682	scoundrel
devastate	anger	0.682	devastate
aggressively	anger	0.680	nehasha
agitation	anger	0.680	kushushikana
dictatorship	anger	0.676	udzvanyiriri
irritates	anger	0.676	zvinoshatirisa
profanity	anger	0.673	kutuka
shove	anger	0.672	sundidzira
nasty	anger	0.672	nasty
shot	anger	0.672	pfuti
cruelly	anger	0.672	hutsinye
shoot	anger	0.672	pfura
condemnation	anger	0.672	kutongwa
crushed	anger	0.672	kupwanyiwa
aggravation	anger	0.672	aggravation
poisonous	anger	0.672	chepfu
egregious	anger	0.672	egregious
crime	anger	0.672	mhosva
corrupting	anger	0.672	uori
dastardly	anger	0.672	dastardly
contempt	anger	0.672	kuzvidza
harmful	anger	0.672	zvinokuvadza
expletive	anger	0.672	expletive
wreak	anger	0.672	wreak
maniac	anger	0.670	maniac
cutthroat	anger	0.667	cutthroat
enemy	anger	0.667	muvengi
hit	anger	0.667	hit
hateeveryone	anger	0.667	vanovenga munhu wose
eruption	anger	0.667	kuputika
irritable	anger	0.667	kushatirwa
odious	anger	0.667	zvinosemesa
shooting	anger	0.667	kupfura
shout	anger	0.667	danidzira
aggressive	anger	0.667	ane hasha
kick	anger	0.667	kick
combat	anger	0.667	kurwa
fight	anger	0.667	kurwa
punished	anger	0.662	kurangwa
yell	anger	0.661	yell
ambush	anger	0.661	kuvandira
harass	anger	0.659	shungurudza
malignant	anger	0.656	zvakaipa
aggressor	anger	0.656	murwi
gore	anger	0.656	gore
destruction	anger	0.656	kuparadza
grudge	anger	0.656	grudge
antichrist	anger	0.656	munhu anopesana naKristu
incense	anger	0.656	rusenzi
expel	anger	0.656	dzinga
cranky	anger	0.653	cranky
slave	anger	0.652	muranda
reprisal	anger	0.652	kutsiva
growl	anger	0.652	kuchema
animosity	anger	0.652	ruvengo
insurrection	anger	0.652	kumukirana
clashing	anger	0.652	clashing
