English Word	Emotion	Emotion-Intensity-Score	Slovak Word
outraged	anger	0.964	pobúrený
brutality	anger	0.959	brutalita
hatred	anger	0.953	nenávisť
hateful	anger	0.940	nenávistný
terrorize	anger	0.939	terorizovať
violently	anger	0.938	násilne
infuriated	anger	0.938	rozzúrený
furious	anger	0.929	zúrivý
furiously	anger	0.927	zúrivo
enraged	anger	0.927	rozzúrený
screwyou	anger	0.924	daj sa vypchať
murderer	anger	0.922	vrah
fury	anger	0.922	zúrivosť
execution	anger	0.917	exekúcie
angered	anger	0.916	nahnevaný
savagery	anger	0.915	divokosť
slaughtering	anger	0.914	zabíjanie
veryangry	anger	0.913	veľmi nahnevaný
assassinate	anger	0.912	zavraždiť
annihilation	anger	0.912	zničenie
fuckoff	anger	0.912	jebať sa
rage	anger	0.911	zlosť
loathe	anger	0.909	mať odpor
fucktard	anger	0.906	kurva
roadrage	anger	0.906	cestná doprava
damnation	anger	0.906	zatratenie
homicidal	anger	0.906	vražedný
furor	anger	0.900	zúrivosť
hostile	anger	0.898	nepriateľský
annihilate	anger	0.898	anihilovať
murder	anger	0.897	vražda
raging	anger	0.896	zúrivý
sopissed	anger	0.894	oklamaný
infuriates	anger	0.894	rozhorčuje sa
pissed	anger	0.894	nasratý
rape	anger	0.894	znásilnenie
ferocious	anger	0.894	zúrivý
vengeful	anger	0.894	pomstychtivý
obliterated	anger	0.894	vymazané
explosive	anger	0.894	výbušný
killing	anger	0.893	zabíjanie
combative	anger	0.891	bojovný
vengeance	anger	0.886	pomstu
gofuckyourself	anger	0.886	posrat sa
torment	anger	0.885	trápenie
wrath	anger	0.885	hnev
vicious	anger	0.884	zhubný
massacre	anger	0.882	masaker
threatening	anger	0.882	ohrozujúce
abhorrent	anger	0.875	odporný
bloodthirsty	anger	0.875	krvilačný
pissoff	anger	0.875	pissoff
fighting	anger	0.868	bojovanie
attacking	anger	0.865	útočiace
annihilated	anger	0.865	zničené
angriest	anger	0.864	nahnevanejší
bloodshed	anger	0.864	krviprelievanie
smite	anger	0.862	udrieť
brawl	anger	0.861	bitka
malicious	anger	0.859	zlomyseľný
assassination	anger	0.859	atentát
strangle	anger	0.859	uškrtiť
hostility	anger	0.859	nepriateľstvo
assault	anger	0.859	napadnutie
explode	anger	0.859	vybuchnúť
tirade	anger	0.859	tiráda
loathsome	anger	0.857	odporný
hell	anger	0.853	peklo
murderous	anger	0.853	vražedný
attack	anger	0.853	útok
malice	anger	0.852	zlomyseľnosť
terrorism	anger	0.851	terorizmu
beating	anger	0.849	bitie
outrage	anger	0.848	pobúrenie
desecration	anger	0.848	znesvätenie
pissingmeoff	anger	0.848	vytočiť ma
destroying	anger	0.844	ničenie
slaughter	anger	0.844	zabitie
irate	anger	0.844	nahnevať
violent	anger	0.844	násilný
stab	anger	0.844	bodnúť
abomination	anger	0.844	ohavnosť
tumultuous	anger	0.844	búrlivý
infuriate	anger	0.844	rozzúriť
obliterate	anger	0.843	vymazať
belligerent	anger	0.841	bojovný
dumbbitch	anger	0.841	hlupák
detest	anger	0.838	nenávidieť
hostilities	anger	0.837	nepriateľské akcie
prick	anger	0.835	prick
rampage	anger	0.833	besnenie
horrid	anger	0.833	hrozné
cruelty	anger	0.833	krutosť
torture	anger	0.833	mučenie
rabid	anger	0.833	besný
despicable	anger	0.828	opovrhnutiahodný
tyrannical	anger	0.828	tyranský
demonic	anger	0.828	démonický
satanic	anger	0.828	satanská
hate	anger	0.828	nenávidieť
ragemode	anger	0.828	ragemode
hating	anger	0.828	nenávidieť
ruinous	anger	0.825	ničivý
condemn	anger	0.825	odsúdiť
riots	anger	0.824	nepokojov
demolish	anger	0.824	zbúrať
angry	anger	0.824	nahnevaný
extermination	anger	0.824	vyhladzovanie
dickhead	anger	0.824	čurák
livid	anger	0.821	rozpálený
madman	anger	0.820	šialenec
vindictive	anger	0.819	pomstychtivý
terrorist	anger	0.818	terorista
threaten	anger	0.818	vyhrážať sa
venomous	anger	0.818	jedovatý
hateyou	anger	0.818	neznášam ťa
ferocity	anger	0.818	dravosť
effyou	anger	0.818	effyou
abhor	anger	0.816	nenávidieť
carnage	anger	0.814	masaker
savage	anger	0.814	divoch
atrocity	anger	0.814	zverstvo
fucksake	anger	0.812	kurva
abuse	anger	0.812	zneužívanie
fierce	anger	0.812	divoký
destroyer	anger	0.812	ničiteľ
angrytweet	anger	0.812	nahnevaný tweet
barbaric	anger	0.812	barbarský
vendetta	anger	0.812	vendeta
pissesmeoff	anger	0.812	štve ma
pissedoff	anger	0.812	nahnevaný
tyrant	anger	0.812	tyran
berserk	anger	0.812	berserk
fuming	anger	0.812	dymenie
anger	anger	0.811	hnev
pieceofshit	anger	0.810	svinstvo
punched	anger	0.803	vyrazený
punching	anger	0.803	dierovanie
slam	anger	0.803	zabuchnúť
homicide	anger	0.803	zabitie
bitch	anger	0.803	mrcha
fights	anger	0.803	bitky
ruthless	anger	0.797	bezohľadný
villainous	anger	0.797	darebný
destructive	anger	0.797	deštruktívne
slap	anger	0.791	facka
riot	anger	0.788	vzbura
growthefuckup	anger	0.788	growthefuckup
punishing	anger	0.788	trestajúci
slaughterhouse	anger	0.788	bitúnok
yelling	anger	0.788	kričať
diabolical	anger	0.788	diabolský
destroyed	anger	0.788	zničené
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	odvetné
manslaughter	anger	0.783	zabitie
clash	anger	0.783	stret
quarrel	anger	0.781	hádka
bloody	anger	0.781	krvavý
hellish	anger	0.781	pekelný
sinister	anger	0.781	zlovestný
loath	anger	0.781	nenávisť
detonation	anger	0.781	detonácia
accusing	anger	0.779	obviňujúci
fumin	anger	0.779	fumin
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	zradný
madder	anger	0.773	šialenejší
horrific	anger	0.773	strašný
revulsion	anger	0.773	odpor
retaliate	anger	0.773	odplatiť
scorn	anger	0.769	opovrhovať
bomb	anger	0.766	bomba
deplorable	anger	0.766	poľutovaniahodné
devastation	anger	0.765	devastácia
anarchist	anger	0.765	anarchista
firestorm	anger	0.765	ohnivá búrka
resent	anger	0.765	pohoršovať sa
contemptible	anger	0.764	opovrhnutiahodný
shittest	anger	0.760	nasratý
rant	anger	0.758	nadávať
cruel	anger	0.758	krutý
