English Word	Emotion	Emotion-Intensity-Score	Slovenian Word
outraged	anger	0.964	ogorčen
brutality	anger	0.959	brutalnost
hatred	anger	0.953	sovraštvo
hateful	anger	0.940	sovražno
terrorize	anger	0.939	terorizirati
violently	anger	0.938	nasilno
infuriated	anger	0.938	razjarjen
furious	anger	0.929	besen
furiously	anger	0.927	besno
enraged	anger	0.927	razjarjen
screwyou	anger	0.924	jebi te
murderer	anger	0.922	morilec
fury	anger	0.922	bes
execution	anger	0.917	izvedba
angered	anger	0.916	jezen
savagery	anger	0.915	divjaštvo
slaughtering	anger	0.914	zakol
veryangry	anger	0.913	zelo jezen
assassinate	anger	0.912	atentat
annihilation	anger	0.912	izničenje
fuckoff	anger	0.912	odjeba
rage	anger	0.911	bes
loathe	anger	0.909	prezirati
fucktard	anger	0.906	jebec
roadrage	anger	0.906	cestni bes
damnation	anger	0.906	prekletstvo
homicidal	anger	0.906	morilski
furor	anger	0.900	bes
hostile	anger	0.898	sovražno
annihilate	anger	0.898	izničiti
murder	anger	0.897	umor
raging	anger	0.896	divjanje
sopissed	anger	0.894	sopissed
infuriates	anger	0.894	razjezi
pissed	anger	0.894	jezen
rape	anger	0.894	posilstvo
ferocious	anger	0.894	divji
vengeful	anger	0.894	maščevalen
obliterated	anger	0.894	izbrisano
explosive	anger	0.894	eksplozivno
killing	anger	0.893	ubijanje
combative	anger	0.891	bojevita
vengeance	anger	0.886	maščevanje
gofuckyourself	anger	0.886	jebi se
torment	anger	0.885	muka
wrath	anger	0.885	jeza
vicious	anger	0.884	hudoben
massacre	anger	0.882	masaker
threatening	anger	0.882	grozeče
abhorrent	anger	0.875	gnusno
bloodthirsty	anger	0.875	krvoločni
pissoff	anger	0.875	razjeziti
fighting	anger	0.868	bojevanje
attacking	anger	0.865	napadajoč
annihilated	anger	0.865	izničen
angriest	anger	0.864	najbolj jezen
bloodshed	anger	0.864	prelivanje krvi
smite	anger	0.862	udariti
brawl	anger	0.861	prepir
malicious	anger	0.859	zlonamerno
assassination	anger	0.859	atentat
strangle	anger	0.859	zadaviti
hostility	anger	0.859	sovražnost
assault	anger	0.859	napad
explode	anger	0.859	eksplodirati
tirade	anger	0.859	tirada
loathsome	anger	0.857	odurno
hell	anger	0.853	pekel
murderous	anger	0.853	ubijalski
attack	anger	0.853	napad
malice	anger	0.852	zloba
terrorism	anger	0.851	terorizem
beating	anger	0.849	pretepanje
outrage	anger	0.848	ogorčenje
desecration	anger	0.848	skrunitev
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	uničevanje
slaughter	anger	0.844	zakol
irate	anger	0.844	jezen
violent	anger	0.844	nasilen
stab	anger	0.844	zabodel
abomination	anger	0.844	gnusoba
tumultuous	anger	0.844	burno
infuriate	anger	0.844	razjeziti
obliterate	anger	0.843	izbrisati
belligerent	anger	0.841	bojevita
dumbbitch	anger	0.841	butec
detest	anger	0.838	sovražiti
hostilities	anger	0.837	sovražnosti
prick	anger	0.835	vbod
rampage	anger	0.833	divjanje
horrid	anger	0.833	grozno
cruelty	anger	0.833	krutost
torture	anger	0.833	mučenje
rabid	anger	0.833	besen
despicable	anger	0.828	zaničljivo
tyrannical	anger	0.828	tiranski
demonic	anger	0.828	demonski
satanic	anger	0.828	satanski
hate	anger	0.828	sovraštvo
ragemode	anger	0.828	ragemode
hating	anger	0.828	sovražiti
ruinous	anger	0.825	pogubno
condemn	anger	0.825	obsoditi
riots	anger	0.824	nemiri
demolish	anger	0.824	uničiti
angry	anger	0.824	jezen
extermination	anger	0.824	iztrebljanje
dickhead	anger	0.824	kurac
livid	anger	0.821	lividen
madman	anger	0.820	norec
vindictive	anger	0.819	maščevalen
terrorist	anger	0.818	terorist
threaten	anger	0.818	groziti
venomous	anger	0.818	strupena
hateyou	anger	0.818	sovražim te
ferocity	anger	0.818	divjost
effyou	anger	0.818	effyou
abhor	anger	0.816	gnusiti se
carnage	anger	0.814	poboj
savage	anger	0.814	divjak
atrocity	anger	0.814	grozodejstvo
fucksake	anger	0.812	kurba
abuse	anger	0.812	zloraba
fierce	anger	0.812	hud
destroyer	anger	0.812	rušilec
angrytweet	anger	0.812	jezen tweet
barbaric	anger	0.812	barbarski
vendetta	anger	0.812	maščevanje
pissesmeoff	anger	0.812	jezi se
pissedoff	anger	0.812	jezen
tyrant	anger	0.812	tiran
berserk	anger	0.812	ponoren
fuming	anger	0.812	dimljenje
anger	anger	0.811	jeza
pieceofshit	anger	0.810	sranje
punched	anger	0.803	udarjen
punching	anger	0.803	prebijanje
slam	anger	0.803	slam
homicide	anger	0.803	umor
bitch	anger	0.803	prasica
fights	anger	0.803	spopadi
ruthless	anger	0.797	neusmiljen
villainous	anger	0.797	zlobnež
destructive	anger	0.797	uničujoče
slap	anger	0.791	klofuta
riot	anger	0.788	nemiri
growthefuckup	anger	0.788	rastjebak
punishing	anger	0.788	kaznovanje
slaughterhouse	anger	0.788	klavnica
yelling	anger	0.788	kričanje
diabolical	anger	0.788	diabolično
destroyed	anger	0.788	uničeno
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	povračilni
manslaughter	anger	0.783	umor
clash	anger	0.783	spopad
quarrel	anger	0.781	prepir
bloody	anger	0.781	krvav
hellish	anger	0.781	peklensko
sinister	anger	0.781	zlovešča
loath	anger	0.781	sovraštvo
detonation	anger	0.781	detonacija
accusing	anger	0.779	obtožujoče
fumin	anger	0.779	fumin
hateeee	anger	0.779	sovražim
treacherous	anger	0.779	zahrbten
madder	anger	0.773	norejši
horrific	anger	0.773	grozljivo
revulsion	anger	0.773	odpor
retaliate	anger	0.773	maščevati
scorn	anger	0.769	prezir
bomb	anger	0.766	bomba
deplorable	anger	0.766	obžalovanja vredno
devastation	anger	0.765	opustošenje
anarchist	anger	0.765	anarhist
firestorm	anger	0.765	ognjena nevihta
resent	anger	0.765	zameriti
contemptible	anger	0.764	zaničljivo
shittest	anger	0.760	najbolj sranje
rant	anger	0.758	tarnati
cruel	anger	0.758	kruto
deadly	anger	0.758	smrtonosno
smash	anger	0.758	razbiti
soangry	anger	0.758	tako jezen
outburst	anger	0.757	izbruh
snarl	anger	0.754	zarežati
